,Date,Open,High,Low,Close,Volume
0,2008-05-07,10.299,10.603,10.034,10.603,62224
1,2008-05-08,10.75,10.75,10.318,10.632,8880
2,2008-05-09,10.485,10.652,10.407,10.652,10430
3,2008-05-12,10.269,10.701,10.259,10.701,9892
4,2008-05-13,10.652,10.799,10.652,10.799,6417
5,2008-05-14,10.809,10.809,10.799,10.799,18209
6,2008-05-15,10.799,10.848,10.79,10.848,10043
7,2008-05-16,10.505,10.848,10.505,10.848,2900
8,2008-05-19,10.799,10.848,10.475,10.799,10438
9,2008-05-20,10.79,10.79,10.338,10.505,18616
10,2008-05-21,10.308,10.505,10.308,10.505,4994
11,2008-05-26,10.407,10.407,10.407,10.407,653
12,2008-05-27,10.554,10.554,10.407,10.407,23682
13,2008-05-28,10.377,10.377,10.377,10.377,12
14,2008-05-30,10.505,10.505,10.505,10.505,10186
15,2008-06-03,10.299,10.495,10.299,10.495,25465
16,2008-06-04,10.485,10.485,10.485,10.485,306
17,2008-06-06,10.407,10.407,10.407,10.407,7130
18,2008-06-10,10.014,10.014,9.916,9.916,280
19,2008-06-11,9.916,10.299,9.916,10.299,10328
20,2008-06-13,10.299,10.299,9.837,9.837,307
21,2008-06-16,9.837,9.837,9.837,9.837,1019
22,2008-06-17,9.837,9.916,9.837,9.916,4075
23,2008-06-18,10.21,10.21,10.21,10.21,1
24,2008-06-19,10.299,10.299,10.299,10.299,1
25,2008-06-20,10.299,10.299,10.299,10.299,1
26,2008-06-23,9.818,9.818,9.818,9.818,1752
27,2008-06-24,9.916,10.308,9.916,10.112,1732
28,2008-06-25,10.299,10.299,10.299,10.299,1
29,2008-06-26,10.102,10.299,9.818,10.299,2160
30,2008-06-27,10.112,10.112,10.112,10.112,764
31,2008-06-30,10.112,10.112,10.112,10.112,1
32,2008-07-01,9.651,9.651,9.651,9.651,815
33,2008-07-08,9.67,9.67,9.67,9.67,815
34,2008-07-09,9.67,10.112,9.67,10.112,1833
35,2008-07-10,10.308,10.308,10.308,10.308,102
36,2008-07-11,9.818,10.308,9.818,10.308,161
37,2008-07-14,10.308,10.308,10.308,10.308,1
38,2008-07-15,10.308,10.308,10.308,10.308,1
39,2008-07-16,9.818,9.818,9.818,9.818,764
40,2008-07-17,9.818,9.818,9.818,9.818,509
41,2008-07-18,9.818,9.818,9.818,9.818,1
42,2008-07-21,9.818,9.818,9.818,9.818,764
43,2008-07-22,10.21,10.21,9.729,10.21,305
44,2008-07-23,10.21,10.21,10.21,10.21,102
45,2008-07-24,9.749,10.74,9.749,10.74,1131
46,2008-07-25,10.819,10.819,10.819,10.819,102
47,2008-07-28,10.75,10.799,10.75,10.799,204
48,2008-07-29,10.799,10.799,10.289,10.289,877
49,2008-07-30,10.358,10.603,10.358,10.603,815
50,2008-07-31,10.75,10.75,10.75,10.75,173
51,2008-08-01,10.77,11.28,10.701,10.701,1518
52,2008-08-04,10.77,10.77,10.77,10.77,102
53,2008-08-05,10.77,10.77,10.77,10.77,102
54,2008-08-06,10.77,10.77,10.259,10.259,765
55,2008-08-07,10.259,10.259,10.259,10.259,306
56,2008-08-11,10.2,10.2,10.2,10.2,102
57,2008-08-12,10.2,10.259,10.2,10.259,153
58,2008-08-13,10.259,10.259,10.259,10.259,102
59,2008-08-14,10.259,10.77,10.259,10.77,866
60,2008-08-18,10.524,10.524,10.524,10.524,1
61,2008-08-19,10.328,10.77,10.328,10.77,765
62,2008-08-20,10.75,10.75,10.75,10.75,52
63,2008-08-21,10.328,10.76,10.328,10.76,1027
64,2008-08-22,10.77,10.77,10.77,10.77,102
65,2008-08-25,10.77,10.77,10.77,10.77,115
66,2008-08-26,10.259,10.308,10.259,10.308,1477
67,2008-08-27,9.4837,9.808,9.3954,9.798,4445
68,2008-08-28,9.808,9.808,9.808,9.808,1
69,2008-08-29,9.798,9.798,9.798,9.798,1
70,2008-09-01,9.768,9.818,9.768,9.818,174
71,2008-09-02,9.768,9.818,9.768,9.818,154
72,2008-09-03,9.3659,10.308,9.3659,10.308,816
73,2008-09-04,10.308,10.308,10.308,10.308,102
74,2008-09-05,10.102,10.102,10.102,10.102,764
75,2008-09-08,10.308,10.308,10.308,10.308,102
76,2008-09-09,10.308,10.308,10.308,10.308,102
77,2008-09-10,10.308,10.308,10.308,10.308,153
78,2008-09-11,10.308,10.308,10.308,10.308,102
79,2008-09-12,10.308,10.308,10.308,10.308,102
80,2008-09-15,10.308,10.308,10.308,10.308,102
81,2008-09-16,10.308,10.308,10.308,10.308,102
82,2008-09-17,10.308,10.308,10.308,10.308,102
83,2008-09-18,10.308,10.308,10.308,10.308,102
84,2008-09-19,10.308,10.308,10.308,10.308,102
85,2008-09-22,10.308,10.75,10.308,10.75,713
86,2008-09-23,10.505,10.505,10.505,10.505,102
87,2008-09-24,10.505,10.505,10.505,10.505,51
88,2008-09-25,10.603,10.603,10.603,10.603,51
89,2008-09-26,10.701,10.75,10.112,10.112,815
90,2008-09-29,10.308,10.308,10.308,10.308,112
91,2008-09-30,10.308,10.308,10.308,10.308,102
92,2008-10-01,10.308,10.308,10.308,10.308,102
93,2008-10-02,9.818,9.818,9.818,9.818,2
94,2008-10-03,10.299,10.299,9.818,9.818,116
95,2008-10-06,10.299,10.299,10.299,10.299,102
96,2008-10-07,10.299,10.299,10.299,10.299,117
97,2008-10-08,10.279,10.279,9.818,9.818,1476
98,2008-10-09,9.818,9.818,9.818,9.818,780
99,2008-10-10,9.67,9.67,9.1205,9.562,2758
100,2008-10-13,9.572,9.572,9.543,9.543,132
101,2008-10-14,9.572,9.572,9.1205,9.1303,1833
102,2008-10-15,9.2285,9.562,8.6983,8.8358,978
103,2008-10-16,8.286,8.286,7.7558,7.7558,1070
104,2008-10-17,7.7558,7.7558,6.8723,7.7558,5903
105,2008-10-20,6.8723,7.7558,6.8723,7.7558,3091
106,2008-10-21,8.0405,8.0405,8.0405,8.0405,102
107,2008-10-22,8.0405,8.0405,8.0405,8.0405,102
108,2008-10-23,8.0405,8.0405,8.0405,8.0405,102
109,2008-10-24,8.0405,8.0405,8.0307,8.0307,107
110,2008-10-27,7.7068,8.0405,7.7068,8.0405,159
111,2008-10-28,8.0405,8.0405,8.0405,8.0405,102
112,2008-10-29,8.0405,8.0405,8.0405,8.0405,102
113,2008-10-30,7.6577,8.0405,7.6577,8.0405,611
114,2008-10-31,8.0405,8.0405,8.0405,8.0405,516
115,2008-11-03,8.1976,8.1976,8.1976,8.1976,102
116,2008-11-04,8.1976,8.2958,8.1976,8.2467,1021
117,2008-11-05,8.2958,8.6591,8.2958,8.6591,457
118,2008-11-06,8.4234,8.7867,8.4234,8.7867,92
119,2008-11-07,8.8358,8.8358,8.8358,8.8358,153
120,2008-11-10,8.8259,8.8259,8.8259,8.8259,103
121,2008-11-12,8.8259,8.8358,8.4234,8.8358,814
122,2008-11-13,9.1205,9.1205,9.1205,9.1205,102
123,2008-11-14,9.1205,9.1205,9.1205,9.1205,81
124,2008-11-17,9.1205,9.1205,9.1205,9.1205,102
125,2008-11-18,9.1107,9.1107,9.1107,9.1107,102
126,2008-11-19,9.1205,9.1205,9.1205,9.1205,102
127,2008-11-20,8.6885,8.6885,8.6885,8.6885,102
128,2008-11-21,8.6885,8.6885,8.6885,8.6885,102
