,Date,Open,High,Low,Close,Volume
0,2014-04-11,14.481,14.481,13.623,13.889,182196
1,2014-04-14,13.806,13.806,13.401,13.512,49341
2,2014-04-15,13.512,13.639,13.437,13.504,4410
3,2014-04-16,13.504,13.61,13.437,13.437,4339
4,2014-04-17,13.361,13.662,13.361,13.512,4732
5,2014-04-22,13.729,13.957,13.551,13.924,2879
6,2014-04-23,13.889,13.965,13.814,13.924,9349
7,2014-04-24,13.924,13.924,13.918,13.918,1212
8,2014-04-25,13.798,13.889,13.512,13.889,11765
9,2014-04-28,13.924,13.924,13.52,13.881,1089
10,2014-04-29,13.881,13.881,13.512,13.881,1946
11,2014-04-30,13.924,13.924,13.512,13.806,4167
12,2014-05-02,13.873,13.873,13.512,13.512,4780
13,2014-05-05,13.814,13.857,13.588,13.588,920
14,2014-05-06,13.588,13.739,13.512,13.588,1623
15,2014-05-07,13.512,13.52,13.347,13.468,8929
16,2014-05-08,13.468,13.475,13.442,13.442,2048
17,2014-05-09,13.451,13.451,13.286,13.286,960
18,2014-05-12,13.286,13.355,12.551,12.911,77346
19,2014-05-13,13.056,13.056,12.761,12.898,3368
20,2014-05-14,12.776,12.776,12.687,12.776,18549
21,2014-05-15,12.761,13.136,12.761,13.136,404
22,2014-05-16,13.129,13.136,12.761,13.129,3055
23,2014-05-19,13.098,13.098,13.098,13.098,10
24,2014-05-20,12.843,12.875,12.522,12.85,2016
25,2014-05-21,12.843,12.859,12.5,12.799,1035
26,2014-05-22,12.866,13.468,12.761,13.468,4246
27,2014-05-23,13.401,13.504,13.401,13.504,1347
28,2014-05-26,13.504,13.551,13.504,13.551,5
29,2014-05-27,13.512,13.512,13.325,13.496,890
30,2014-05-28,13.504,13.504,13.504,13.504,10
31,2014-05-29,13.361,13.361,13.212,13.286,577
32,2014-05-30,13.212,13.881,12.987,13.881,6725
33,2014-06-02,13.849,13.849,13.361,13.468,1537
34,2014-06-03,13.512,13.512,12.793,13.401,331
35,2014-06-04,12.911,13.401,12.911,13.361,946
36,2014-06-05,13.063,13.247,13.063,13.247,516
37,2014-06-06,13.361,13.7,13.226,13.226,15552
38,2014-06-09,13.468,13.775,13.136,13.775,5379
39,2014-06-10,13.865,13.873,13.739,13.739,3759
40,2014-06-11,13.739,13.739,13.512,13.685,1482
41,2014-06-12,13.685,13.685,13.662,13.679,419
42,2014-06-13,13.512,13.669,13.512,13.669,992
43,2014-06-16,13.662,13.662,13.212,13.617,1284
44,2014-06-17,13.669,13.669,13.376,13.662,2199
45,2014-06-18,13.654,13.7,13.654,13.662,595
46,2014-06-20,13.7,13.7,13.662,13.7,466
47,2014-06-23,13.662,13.662,13.662,13.662,45
48,2014-06-24,13.721,13.721,13.437,13.693,742
49,2014-06-25,13.718,13.718,13.662,13.662,587
50,2014-06-26,13.183,13.654,13.183,13.654,3334
51,2014-06-27,13.662,13.662,13.588,13.588,15
52,2014-06-30,13.647,13.647,13.368,13.512,582
53,2014-07-01,13.512,13.512,13.212,13.212,217
54,2014-07-02,13.401,13.437,13.024,13.437,4848
55,2014-07-03,13.437,13.437,13.437,13.437,10
56,2014-07-04,13.437,13.437,13.437,13.437,10
57,2014-07-07,13.437,13.437,13.431,13.431,2012
58,2014-07-08,13.437,13.437,13.361,13.416,2711
59,2014-07-09,13.416,13.416,13.063,13.407,1375
60,2014-07-10,13.407,13.407,13.024,13.383,3352
61,2014-07-11,13.383,13.383,13.063,13.286,1818
62,2014-07-14,12.994,13.339,12.994,13.339,1772
63,2014-07-15,13.339,13.339,13.041,13.247,858
64,2014-07-16,13.339,13.339,12.882,13.09,1374
65,2014-07-17,13.167,13.167,12.761,13.136,2325
66,2014-07-18,13.129,13.339,12.834,13.339,1478
67,2014-07-21,13.136,13.136,12.761,13.024,2441
68,2014-07-22,13.056,13.152,12.987,12.987,87
69,2014-07-23,12.911,12.987,12.911,12.987,298
70,2014-07-24,12.987,12.987,12.941,12.941,2415
71,2014-07-25,13.122,13.122,12.822,12.89,12275
72,2014-07-28,13.199,13.199,13.098,13.098,4001
73,2014-07-29,12.654,13.001,12.654,12.846,10992
74,2014-07-30,12.878,12.878,12.732,12.809,329
75,2014-07-31,12.794,12.794,12.639,12.794,3117
76,2014-08-01,12.846,12.846,12.272,12.83,5813
77,2014-08-04,12.732,12.959,12.732,12.916,5281
78,2014-08-05,13.039,13.039,12.424,12.424,1013
79,2014-08-06,12.462,12.462,12.272,12.272,6722
80,2014-08-07,12.263,12.263,11.504,12.011,22124
81,2014-08-08,12.011,12.011,11.045,11.658,12258
82,2014-08-11,11.803,11.803,11.65,11.658,2622
83,2014-08-12,11.841,11.841,11.504,11.65,110
84,2014-08-13,11.834,11.834,11.658,11.658,139
85,2014-08-14,11.841,11.841,11.314,11.658,452
86,2014-08-18,11.841,11.841,11.39,11.736,639
87,2014-08-19,11.728,11.728,11.504,11.658,943
88,2014-08-20,11.658,11.658,11.351,11.658,1396
89,2014-08-21,11.658,11.658,11.504,11.504,174
90,2014-08-22,11.544,11.658,11.544,11.658,730
91,2014-08-25,11.512,12.272,11.512,11.887,892
92,2014-08-26,11.887,11.887,11.544,11.65,71
93,2014-08-27,11.65,11.65,11.581,11.65,793
94,2014-08-28,11.65,11.65,11.504,11.504,13551
95,2014-08-29,11.504,11.504,11.166,11.351,17453
96,2014-09-01,11.504,11.504,10.89,11.497,15754
97,2014-09-02,11.504,11.504,11.123,11.497,4649
98,2014-09-03,11.198,12.272,11.198,12.272,2806
99,2014-09-04,12.272,12.349,11.973,12.341,3774
100,2014-09-05,12.349,12.349,11.811,11.811,1040
101,2014-09-08,11.887,11.887,11.504,11.88,1518
102,2014-09-09,11.88,11.88,11.428,11.504,184473
103,2014-09-10,11.619,11.619,11.504,11.563,184620
104,2014-09-11,12.256,12.256,11.736,11.773,2379
105,2014-09-12,11.849,12.187,11.849,12.187,53557
106,2014-09-15,12.263,12.692,12.195,12.432,27402
107,2014-09-16,12.424,12.74,12.424,12.732,45950
108,2014-09-17,12.746,13.415,12.746,13.055,33709
109,2014-09-18,13.26,13.422,13.055,13.422,34932
110,2014-09-19,13.72,13.72,13.684,13.684,593
111,2014-09-22,13.788,13.788,13.497,13.643,890
112,2014-09-23,13.651,13.912,13.643,13.806,4387
113,2014-09-24,13.806,13.806,13.727,13.806,7636
114,2014-09-25,13.806,13.806,13.291,13.806,5242
115,2014-09-26,13.437,13.806,13.43,13.806,4146
116,2014-09-29,13.806,14.035,13.727,14.027,11931
117,2014-09-30,14.027,14.035,13.576,14.035,21553
118,2014-10-01,14.035,14.035,13.819,14.035,20132
119,2014-10-02,14.035,14.035,13.951,14.02,52356
120,2014-10-03,14.035,14.035,13.745,13.75,65251
121,2014-10-06,13.727,14.142,13.727,14.142,24380
122,2014-10-07,14.15,14.15,13.866,14.111,32777
123,2014-10-08,14.15,14.15,13.835,14.111,41850
124,2014-10-09,14.15,14.15,14.111,14.111,16073
125,2014-10-10,14.15,14.189,14.111,14.111,17217
126,2014-10-13,14.15,14.282,14.15,14.264,15118
127,2014-10-14,14.229,14.264,14.074,14.074,41471
128,2014-10-15,14.15,14.15,13.806,13.967,503
129,2014-10-16,14.104,14.198,13.844,14.198,52854
130,2014-10-17,14.229,14.264,14.189,14.189,6060
131,2014-10-20,14.189,14.189,14.189,14.189,20
132,2014-10-21,14.189,14.189,14.189,14.189,13043
133,2014-10-22,14.258,14.258,14.189,14.189,13176
134,2014-10-23,14.189,14.189,14.189,14.189,13182
135,2014-10-24,14.189,14.189,13.96,14.189,2711
136,2014-10-27,14.258,14.258,14.18,14.18,139
137,2014-10-28,14.18,14.18,14.18,14.18,5
138,2014-10-29,14.18,14.18,14.18,14.18,3
139,2014-10-30,14.18,14.18,14.104,14.104,6
140,2014-10-31,14.171,14.171,13.806,13.806,6
141,2014-11-03,13.85,13.85,13.269,13.758,2370
142,2014-11-04,13.705,13.72,13.497,13.72,770
143,2014-11-05,13.806,14.573,13.758,13.814,5681
144,2014-11-06,13.835,13.92,13.835,13.92,64
145,2014-11-07,14.488,14.488,13.967,14.189,352
146,2014-11-10,14.448,14.455,14.411,14.411,3564
147,2014-11-12,14.434,14.879,14.381,14.718,56351
148,2014-11-13,14.687,15.3,14.687,15.223,2378
149,2014-11-14,15.223,15.223,14.801,15.223,1381
150,2014-11-17,15.185,15.185,14.801,15.132,144
151,2014-11-18,15.132,15.3,14.765,14.765,1749
152,2014-11-19,15.024,15.024,14.61,14.65,280
153,2014-11-20,14.565,14.565,14.049,14.396,230
154,2014-11-21,14.396,14.565,14.396,14.496,379
155,2014-11-24,14.565,14.565,14.481,14.481,1326
156,2014-11-25,14.565,14.957,14.565,14.74,34113
157,2014-11-26,14.801,17.258,14.801,17.258,62566
158,2014-11-27,16.872,17.258,15.929,17.033,9459
159,2014-11-28,17.05,19.483,17.042,19.181,69242
160,2014-12-01,19.181,21.275,19.173,21.275,245751
161,2014-12-02,21.475,21.475,19.94,20.555,7830
162,2014-12-03,19.826,22.931,19.826,22.931,26410
163,2014-12-04,23.008,24.08,21.718,21.718,178829
164,2014-12-05,21.718,23.391,21.475,23.354,8333
165,2014-12-08,23.354,23.774,21.78,22.226,11104
166,2014-12-09,21.856,21.896,20.287,20.287,7405
167,2014-12-10,20.294,21.451,20.294,21.006,648
168,2014-12-11,20.93,20.93,19.273,19.957,4786
169,2014-12-12,20.706,22.855,19.671,22.855,14655
170,2014-12-15,21.629,22.241,21.483,21.935,970
171,2014-12-16,21.168,21.168,20.706,20.706,6230
172,2014-12-17,20.706,21.935,20.706,21.856,1326
173,2014-12-18,21.935,22.241,21.78,22.241,25911
174,2014-12-19,22.623,22.738,21.703,22.241,20505
175,2014-12-22,22.738,22.738,21.735,22.564,225
176,2014-12-23,21.78,22.613,21.78,22.241,1802
177,2014-12-29,22.564,22.564,21.475,21.475,9811
178,2014-12-30,21.475,21.475,20.386,21.466,40884
179,2015-01-02,21.466,21.834,20.785,20.93,779
180,2015-01-05,21.091,21.658,21.091,21.475,1233
181,2015-01-07,21.013,21.483,21.013,21.475,1204
182,2015-01-08,21.466,21.466,20.706,21.091,9578
183,2015-01-09,21.076,21.091,20.593,21.091,4837
184,2015-01-12,21.235,22.158,21.013,21.78,25958
185,2015-01-13,21.367,21.367,21.221,21.253,394
186,2015-01-14,20.868,21.397,20.86,21.091,374
187,2015-01-15,20.946,20.946,20.937,20.937,703
188,2015-01-16,20.946,21.466,20.937,21.466,170
189,2015-01-19,21.466,21.466,20.368,20.706,14777
190,2015-01-20,20.746,20.899,20.746,20.746,4030
191,2015-01-21,20.73,21.013,20.361,21.013,7942
192,2015-01-22,21.114,21.114,20.785,20.793,1013
193,2015-01-23,21.083,21.083,20.977,20.977,257
194,2015-01-26,21.045,21.82,21.045,21.689,9027
195,2015-01-27,22.385,25.025,21.987,25.025,60695
196,2015-01-28,25.501,26.764,24.005,24.964,10869
197,2015-01-29,26.077,26.536,23.949,24.734,43210
198,2015-01-30,24.84,25.461,24.16,25.461,8552
199,2015-02-02,25.655,25.655,24.321,25.309,4215
200,2015-02-03,25.446,25.446,24.534,24.534,3419
201,2015-02-04,24.534,24.541,23.543,24.541,37047
202,2015-02-05,24.541,25.923,24.16,25.693,22640
203,2015-02-06,25.685,25.845,25.615,25.845,1921
204,2015-02-09,26.414,26.414,25.154,25.154,16188
205,2015-02-10,25.077,25.309,24.312,24.642,10455
206,2015-02-11,24.635,24.635,24.197,24.342,639
207,2015-02-12,24.541,25.272,24.541,25.272,24542
208,2015-02-13,24.865,25.231,24.589,24.818,7635
209,2015-02-16,24.833,25.309,24.809,24.84,85318
210,2015-02-17,24.84,25.47,24.616,25.301,62198
211,2015-02-18,25.301,25.309,25.025,25.025,1978
212,2015-02-19,25.217,25.845,25.025,25.845,2995
213,2015-02-20,25.845,26.633,25.845,26.46,4373
214,2015-02-23,26.764,28.225,26.764,27.61,7917
215,2015-02-24,27.916,27.916,27.126,27.61,5423
216,2015-02-25,27.266,27.266,26.151,26.844,1665
217,2015-02-26,27.42,27.42,26.151,27.103,876
218,2015-02-27,27.005,27.601,27.005,27.587,4313
219,2015-03-02,27.61,27.61,26.077,27.449,5304
220,2015-03-03,27.227,27.227,26.383,26.383,4426
221,2015-03-04,26.207,26.82,26.077,26.736,3403
222,2015-03-05,26.576,26.804,26.536,26.796,682
223,2015-03-06,26.46,26.49,25.396,25.396,4073
224,2015-03-09,25.568,26.291,24.635,26.291,14803
225,2015-03-10,26.3,27.301,26.214,27.227,14676
226,2015-03-11,27.227,27.227,26.498,26.536,328
227,2015-03-13,26.536,26.844,26.077,26.077,1449
228,2015-03-16,26.445,26.764,26.16,26.268,1938
229,2015-03-17,26.083,26.151,25.961,25.961,773
230,2015-03-18,25.869,25.961,25.81,25.81,371
231,2015-03-19,25.884,26.764,25.845,26.652,2826
232,2015-03-20,26.652,26.764,26.077,26.764,2210
233,2015-03-23,26.383,26.751,25.999,26.482,3278
234,2015-03-24,26.46,27.227,26.46,27.111,30724
235,2015-03-25,26.736,26.736,25.845,26.038,1173
236,2015-03-26,26.383,26.453,26.038,26.306,1735
237,2015-03-27,26.46,26.844,25.845,25.953,15531
238,2015-03-30,26.306,27.135,25.768,25.768,15725
239,2015-03-31,25.386,25.386,24.964,25.025,20977
240,2015-04-01,25.154,26.652,25.154,26.077,58933
241,2015-04-02,26.559,26.764,26.46,26.605,6623
242,2015-04-07,26.633,27.149,26.468,26.468,4268
243,2015-04-08,26.468,26.468,25.7,26.228,3716
244,2015-04-09,26.228,26.228,25.461,25.524,5919
245,2015-04-10,25.542,25.693,25.309,25.542,7151
246,2015-04-13,25.615,25.615,24.541,24.772,5656
247,2015-04-14,24.704,24.704,22.623,23.375,11480
248,2015-04-15,23.354,24.234,23.008,24.234,4628
249,2015-04-16,24.234,24.772,24.234,24.396,1987
250,2015-04-17,24.809,24.809,24.08,24.08,3182
251,2015-04-20,24.073,24.073,23.43,23.774,2114
252,2015-04-21,23.774,24.058,23.43,23.43,2215
253,2015-04-22,23.53,23.737,23.414,23.659,1113
254,2015-04-23,23.774,24.073,23.659,23.929,2688
255,2015-04-24,23.774,24.16,23.774,23.774,2328
256,2015-04-27,23.967,23.967,23.118,23.774,6907
257,2015-04-28,23.897,23.897,23.159,23.766,870
258,2015-04-29,23.766,23.766,23.008,23.371,8482
259,2015-04-30,23.706,23.706,23.016,23.016,2254
260,2015-05-04,23.008,23.391,23.008,23.186,6162
261,2015-05-05,23.391,23.697,23.239,23.438,12484
262,2015-05-06,23.507,23.507,23.055,23.239,4763
263,2015-05-07,23.254,23.354,23.249,23.307,8428
264,2015-05-08,23.507,24.121,23.468,23.929,1154
265,2015-05-11,24.925,25.163,24.541,25.163,12879
266,2015-05-12,25.293,25.309,24.925,25.154,9448
267,2015-05-13,24.772,25.386,23.79,25.372,15894
268,2015-05-14,25.301,25.301,24.312,24.541,1764
269,2015-05-15,24.925,24.925,24.174,24.925,900
270,2015-05-18,24.925,24.925,22.931,22.931,8957
271,2015-05-19,24.16,25.14,23.543,25.14,28823
272,2015-05-20,25.119,25.119,23.774,24.918,24266
273,2015-05-21,24.833,24.833,24.273,24.666,610
274,2015-05-22,24.35,24.616,24.35,24.466,2779
275,2015-05-25,24.456,24.581,24.35,24.541,623
276,2015-05-26,24.541,25.301,24.396,25.071,22837
277,2015-05-27,25.071,25.119,24.16,25.119,1595
278,2015-05-28,25.077,25.119,24.242,25.004,2606
279,2015-05-29,25.077,25.119,25.004,25.119,3568
280,2015-06-01,25.147,25.147,24.541,25.1,1071
281,2015-06-02,25.1,25.154,24.925,25.154,935
282,2015-06-03,25.194,25.194,24.548,25.04,1104
283,2015-06-05,25.004,25.004,24.281,24.281,1890
284,2015-06-08,24.022,24.809,24.005,24.687,1351
285,2015-06-09,24.772,24.795,23.774,24.005,4832
286,2015-06-10,24.005,24.541,24.005,24.121,1278
287,2015-06-11,24.234,24.541,24.005,24.387,3123
288,2015-06-12,23.929,23.929,23.644,23.746,1109
289,2015-06-15,23.929,24.342,23.63,24.342,658
290,2015-06-16,24.335,24.335,23.697,24.005,1209
291,2015-06-17,24.197,24.234,24.19,24.234,752
292,2015-06-18,24.005,24.005,23.391,23.582,1916
293,2015-06-19,24.098,24.098,23.016,23.016,3266
294,2015-06-22,23.468,23.468,21.336,22.969,21983
295,2015-06-23,22.778,22.931,22.036,22.931,4833
296,2015-06-24,22.434,22.876,22.086,22.876,2651
297,2015-06-25,22.868,22.931,22.248,22.884,2164
298,2015-06-26,22.678,22.678,22.608,22.67,1974
299,2015-06-29,22.226,22.226,20.018,21.743,9455
300,2015-06-30,21.703,21.703,21.213,21.689,1602
301,2015-07-01,21.297,21.773,21.107,21.475,9026
302,2015-07-02,21.475,21.666,21.168,21.168,3671
303,2015-07-03,21.475,21.475,21.091,21.36,2847
304,2015-07-06,20.899,22.234,20.899,22.158,2359
305,2015-07-07,22.931,23.0,21.475,21.935,3098
306,2015-07-08,21.666,21.666,21.243,21.243,1018
307,2015-07-09,21.091,21.475,21.091,21.321,615
308,2015-07-10,22.471,22.548,22.241,22.548,652
309,2015-07-13,23.008,23.23,22.702,22.931,3386
310,2015-07-14,22.785,22.785,22.623,22.623,212
311,2015-07-15,23.0,23.383,22.825,22.825,10375
312,2015-07-16,23.0,23.624,22.778,23.624,4914
313,2015-07-17,23.766,23.79,23.159,23.159,1306
314,2015-07-20,23.201,23.201,22.778,23.008,1683
315,2015-07-21,23.201,23.201,22.434,22.778,4266
316,2015-07-22,23.447,23.447,21.972,22.572,8353
317,2015-07-23,23.0,23.0,22.248,22.28,640
318,2015-07-24,22.288,22.425,22.288,22.425,196
319,2015-07-27,22.816,22.816,22.28,22.623,1278
320,2015-07-28,22.365,23.104,22.052,22.798,1419
321,2015-07-29,22.867,22.867,22.788,22.788,458
322,2015-07-30,22.788,22.948,22.788,22.948,898
323,2015-07-31,22.788,23.072,22.788,23.072,864
324,2015-08-03,23.072,23.094,22.788,23.094,1600
325,2015-08-04,23.175,23.184,22.788,23.184,11055
326,2015-08-05,21.61,23.184,21.61,23.184,907
327,2015-08-06,23.56,23.574,22.633,22.75,935
328,2015-08-07,22.788,22.788,22.554,22.788,13710
329,2015-08-10,22.867,23.175,22.788,23.175,945
330,2015-08-11,23.812,24.118,23.365,24.118,16326
331,2015-08-12,24.127,24.127,23.912,24.048,562
332,2015-08-13,24.243,24.243,23.969,24.235,1437
333,2015-08-14,24.243,24.243,23.93,24.127,1816
334,2015-08-17,24.251,24.753,23.969,24.652,9956
335,2015-08-18,24.674,25.14,24.44,25.14,20108
336,2015-08-19,25.132,25.935,25.021,25.776,12641
337,2015-08-20,25.935,25.935,25.659,25.854,1823
338,2015-08-21,25.817,25.817,24.674,24.753,1634
339,2015-08-24,23.574,23.574,21.217,22.081,17342
340,2015-08-25,22.081,23.881,22.081,23.574,2685
341,2015-08-26,23.938,23.938,22.788,23.184,2367
342,2015-08-27,23.261,24.324,23.261,24.315,884
343,2015-08-28,24.315,24.324,23.348,24.305,1790
