,Date,Open,High,Low,Close,Volume
0,2012-08-09,3.2,3.2,2.1,2.7,31245
1,2012-08-10,2.8,2.9,2.4,2.9,3078
2,2012-08-13,2.8,3.4,2.8,3.3,1163
3,2012-08-14,3.1,3.1,2.2,2.7,2831
4,2012-08-16,2.7,2.7,2.2,2.5,1561
5,2012-08-17,2.3,2.3,2.0,2.2,3684
6,2012-08-20,2.1,2.5,2.1,2.5,965
7,2012-08-21,2.5,2.5,2.3,2.4,570
8,2012-08-22,2.4,2.4,2.0,2.2,1086
9,2012-08-23,2.2,2.3,2.2,2.3,200
10,2012-08-27,2.2,2.4,2.2,2.4,663
11,2012-08-28,2.2,2.3,2.1,2.3,52
12,2012-08-29,2.1,2.1,1.9,2.1,1424
13,2012-08-30,2.1,2.1,1.8,2.0,240
14,2012-08-31,1.8,2.1,1.8,1.8,131
15,2012-09-03,1.8,1.8,1.8,1.8,115
16,2012-09-04,1.8,1.9,1.7,1.9,1650
17,2012-09-10,1.8,2.0,1.8,2.0,210
18,2012-09-11,1.7,1.9,1.7,1.8,180
19,2012-09-12,1.7,1.7,1.2,1.6,7710
20,2012-09-13,1.6,2.1,1.6,2.1,3031
21,2012-09-14,2.1,2.4,2.0,2.2,2202
22,2012-09-17,2.3,2.3,2.3,2.3,30
23,2012-09-18,2.2,3.1,2.2,2.6,4688
24,2012-09-19,2.6,3.1,2.2,3.1,2663
25,2012-09-20,3.1,3.2,2.5,2.7,3582
26,2012-09-21,2.3,2.7,2.3,2.7,814
27,2012-09-24,2.7,2.7,2.2,2.7,2011
28,2012-09-25,2.7,2.7,2.7,2.7,80
29,2012-09-26,2.7,2.7,2.4,2.4,272
30,2012-09-28,2.4,2.4,2.2,2.2,500
31,2012-10-02,2.4,2.4,2.4,2.4,50
32,2012-10-03,2.3,2.3,2.1,2.1,500
33,2012-10-10,2.3,2.5,2.3,2.5,250
34,2012-10-12,2.4,2.4,2.0,2.1,1310
35,2012-10-15,2.2,2.2,2.2,2.2,200
36,2012-10-16,2.0,2.1,1.9,2.1,360
37,2012-10-17,2.1,2.2,2.1,2.2,100
38,2012-10-24,1.9,1.9,1.8,1.8,310
39,2012-10-26,1.9,1.9,1.9,1.9,100
40,2012-10-29,2.0,2.0,1.7,1.7,100
41,2012-10-30,1.8,1.9,1.8,1.9,100
42,2012-11-06,2.0,2.1,2.0,2.1,1814
43,2012-11-07,2.2,2.2,2.1,2.1,60
44,2012-11-08,2.2,2.2,2.1,2.1,49
45,2012-11-12,2.0,2.1,2.0,2.1,200
46,2012-11-13,2.2,2.2,2.2,2.2,5
47,2012-11-15,2.1,2.1,1.6,2.0,1259
48,2012-11-16,2.0,2.0,2.0,2.0,1
49,2012-11-21,1.7,1.7,1.7,1.7,25
50,2012-11-23,1.6,1.6,1.6,1.6,25
51,2012-11-27,1.8,1.8,1.7,1.7,105
52,2012-11-28,1.8,1.9,1.7,1.9,236
53,2012-12-03,1.8,1.8,1.8,1.8,15
54,2012-12-04,1.8,1.8,1.6,1.6,262
55,2012-12-10,1.7,1.7,1.7,1.7,100
56,2012-12-27,1.7,1.7,1.7,1.7,5
57,2012-12-28,1.7,1.7,1.4,1.6,626
58,2013-01-07,1.7,2.1,1.7,2.1,569
59,2013-01-08,2.0,2.0,2.0,2.0,100
60,2013-01-09,2.0,2.0,2.0,2.0,25
61,2013-01-11,2.0,2.0,2.0,2.0,50
62,2013-01-14,2.0,2.0,2.0,2.0,110
63,2013-01-15,2.0,2.0,2.0,2.0,10
64,2013-01-16,1.9,1.9,1.9,1.9,75
65,2013-01-17,1.9,1.9,1.9,1.9,51
66,2013-01-18,2.0,2.0,2.0,2.0,25
67,2013-01-31,1.8,1.8,1.8,1.8,200
68,2013-02-05,1.8,1.8,1.5,1.5,625
69,2013-02-07,1.5,1.5,1.2,1.3,1100
70,2013-02-11,1.4,1.5,1.4,1.5,500
71,2013-02-12,1.6,1.9,1.3,1.5,3140
72,2013-02-14,1.3,1.3,1.2,1.2,600
73,2013-02-15,1.2,1.2,1.2,1.2,265
74,2013-02-18,1.2,1.4,1.2,1.4,285
75,2013-02-19,1.4,1.5,1.4,1.5,300
76,2013-02-22,1.3,1.3,1.3,1.3,75
77,2013-02-26,1.3,1.3,1.3,1.3,50
78,2013-03-04,1.4,1.8,1.4,1.8,17525
79,2013-03-05,2.0,2.0,1.6,1.6,2436
80,2013-03-06,1.6,1.6,1.4,1.5,1600
81,2013-03-11,1.6,1.6,1.5,1.5,346
82,2013-03-12,1.5,1.5,1.5,1.5,150
83,2013-03-14,1.6,1.6,1.5,1.5,200
84,2013-03-18,1.5,1.6,1.5,1.6,13836
85,2013-03-19,1.6,1.6,1.6,1.6,100
86,2013-03-21,1.6,1.8,1.6,1.8,483
87,2013-03-22,1.6,1.6,1.6,1.6,41
88,2013-03-28,1.6,1.6,1.6,1.6,159
89,2013-04-03,1.6,1.6,1.6,1.6,10
90,2013-04-04,1.6,1.6,1.6,1.6,25
91,2013-04-05,1.6,1.6,1.6,1.6,60
92,2013-04-08,1.5,1.5,1.3,1.4,2105
93,2013-04-09,1.4,1.4,1.4,1.4,17
94,2013-05-09,1.5,1.5,1.5,1.5,25
95,2013-05-13,1.5,1.5,1.5,1.5,15
96,2013-05-14,1.5,1.5,1.5,1.5,81
97,2013-05-15,1.5,1.5,1.5,1.5,120
98,2013-05-16,1.5,1.5,1.5,1.5,130
99,2013-05-17,1.5,1.5,1.5,1.5,50
100,2013-05-20,1.5,1.5,1.5,1.5,110
101,2013-05-21,1.5,1.5,1.5,1.5,70
102,2013-05-22,1.5,1.5,1.5,1.5,110
103,2013-05-23,1.5,1.5,1.5,1.5,50
104,2013-05-24,1.5,1.5,1.5,1.5,20
105,2013-05-27,1.5,1.5,1.5,1.5,25
106,2013-05-28,1.5,1.5,1.4,1.4,99
107,2013-06-07,1.6,1.6,1.6,1.6,25
108,2013-06-10,1.7,1.7,1.7,1.7,5
109,2013-06-13,1.6,1.6,1.6,1.6,300
110,2013-06-21,1.7,1.7,1.7,1.7,50
111,2013-06-24,1.7,1.7,1.7,1.7,25
112,2013-06-25,1.7,1.7,1.7,1.7,10
113,2013-06-28,1.7,1.7,1.6,1.6,119
114,2013-07-01,1.7,1.7,1.7,1.7,10
115,2013-07-02,1.7,1.7,1.7,1.7,10
116,2013-07-03,1.7,1.7,1.7,1.7,15
117,2013-07-05,1.6,1.7,1.6,1.7,250
118,2013-07-08,1.7,1.7,1.7,1.7,10
119,2013-07-09,1.7,1.7,1.7,1.7,10
120,2013-07-10,1.7,1.7,1.7,1.7,10
121,2013-07-11,1.7,1.7,1.7,1.7,10
122,2013-07-12,1.7,1.7,1.7,1.7,10
123,2013-07-15,1.7,1.7,1.7,1.7,10
124,2013-07-16,1.7,1.7,1.7,1.7,100
125,2013-07-22,1.6,1.6,1.6,1.6,650
126,2013-07-23,1.6,1.6,1.6,1.6,25
127,2013-07-24,1.6,1.6,1.6,1.6,40
128,2013-07-29,1.6,1.6,1.6,1.6,47
129,2013-08-05,1.6,1.6,1.6,1.6,25
130,2013-08-06,1.6,1.6,1.6,1.6,25
131,2013-08-19,1.7,1.7,1.7,1.7,25
132,2013-08-20,1.7,1.7,1.7,1.7,20
133,2013-08-21,1.7,1.7,1.7,1.7,145
134,2013-08-27,1.8,1.8,1.8,1.8,10
135,2013-08-29,1.7,1.7,1.7,1.7,25
136,2013-08-30,1.7,1.7,1.7,1.7,180
137,2013-09-02,1.7,1.7,1.7,1.7,266
138,2013-09-03,1.7,1.7,1.7,1.7,18
139,2013-09-04,1.7,1.7,1.7,1.7,20
140,2013-09-09,1.6,1.6,1.4,1.4,550
141,2013-09-16,1.5,1.7,1.5,1.7,180
142,2013-09-25,1.6,1.6,1.6,1.6,150
143,2013-09-26,1.6,1.6,1.4,1.4,450
144,2013-09-27,1.4,1.4,1.4,1.4,35
145,2013-09-30,1.5,1.5,1.5,1.5,100
146,2013-10-01,1.5,1.5,1.5,1.5,100
147,2013-10-04,1.5,1.5,1.5,1.5,100
148,2013-10-10,1.5,1.5,1.5,1.5,100
149,2013-10-14,1.5,1.5,1.5,1.5,50
150,2013-10-15,1.6,1.6,1.6,1.6,200
