,Date,Open,High,Low,Close,Volume
0,2007-04-18,8.6182,8.6182,6.8,6.9315,1688965
1,2007-04-19,6.9461,7.523,6.8657,7.3258,393907
2,2007-04-20,7.45,7.5519,7.2237,7.523,154199
3,2007-04-23,7.7423,7.7423,7.2312,7.311,63094
4,2007-04-24,7.2674,7.2674,7.1215,7.1576,28472
5,2007-04-25,7.1576,7.3771,7.0119,7.3696,39950
6,2007-04-26,7.3771,7.3771,7.1801,7.253,25265
7,2007-04-27,7.2312,7.3477,7.1433,7.3042,60729
8,2007-04-30,7.4868,7.5955,7.3846,7.523,53856
9,2007-05-02,7.523,7.5892,7.4577,7.4644,17904
10,2007-05-04,7.4577,7.6694,7.3771,7.6694,62201
11,2007-05-07,7.6694,7.6694,7.45,7.6105,34447
12,2007-05-08,7.5306,7.5306,7.3042,7.3042,36480
13,2007-05-09,7.3042,7.4065,7.253,7.3042,12436
14,2007-05-10,7.3771,7.3771,7.1576,7.2892,23363
15,2007-05-11,7.2892,7.2892,6.8365,7.2892,79043
16,2007-05-14,7.2968,7.3042,7.1576,7.2312,7534
17,2007-05-15,7.2598,7.3042,7.1576,7.2892,24222
18,2007-05-16,7.2968,7.2968,7.1576,7.2748,3590
19,2007-05-17,7.2019,7.2019,7.0265,7.085,22571
20,2007-05-18,7.1945,7.1945,6.9607,7.0119,7163
21,2007-05-21,7.0338,7.1215,7.0265,7.0265,9218
22,2007-05-22,7.0921,7.0921,6.9899,7.041,31302
23,2007-05-23,7.0338,7.0338,6.9826,7.0119,10951
24,2007-05-24,6.9387,7.0483,6.9242,7.0119,14726
25,2007-05-25,6.9826,7.2162,6.9826,7.2162,3558
26,2007-05-28,7.1945,7.4868,7.1945,7.4132,29549
27,2007-05-29,7.4132,7.4132,7.2674,7.3042,43292
28,2007-05-30,7.2312,7.3042,7.0338,7.3042,17537
29,2007-05-31,7.165,7.45,7.1215,7.4132,61252
30,2007-06-01,7.3042,7.4644,7.3042,7.3915,33450
31,2007-06-04,7.3042,7.5154,7.3042,7.4868,27626
32,2007-06-05,7.5599,7.5955,7.45,7.4868,17164
33,2007-06-06,7.523,7.7423,7.45,7.5813,67579
