,Date,Open,High,Low,Close,Volume
0,2010-05-18,8.0,9.6,6.4,8.5,16075.0
1,2010-05-19,8.4,8.5,6.0,6.4,70075.0
2,2010-05-20,6.5,6.7,5.2,5.3,30503.0
3,2010-05-21,5.3,5.6,4.3,4.8,23764.0
4,2010-05-24,4.8,5.1,4.4,4.8,6510.0
5,2010-05-25,4.8,4.8,4.4,4.6,2191.0
6,2010-05-26,4.7,5.1,4.4,4.9,9020.0
7,2010-05-27,4.9,5.1,4.6,4.8,2839.0
8,2010-05-28,4.7,5.1,4.6,4.6,4756.0
9,2010-05-31,4.9,4.9,4.4,4.4,7267.0
10,2010-06-01,4.8,4.8,4.5,4.6,688.0
11,2010-06-02,4.5,4.7,4.3,4.5,895.0
12,2010-06-04,4.5,4.5,4.1,4.3,6900.0
13,2010-06-07,4.1,4.5,4.0,4.4,2387.0
14,2010-06-08,4.4,4.7,3.9,4.0,36497.0
15,2010-06-09,4.0,4.3,3.8,4.0,8177.0
16,2010-06-10,4.1,4.1,3.9,3.9,1315.0
17,2010-06-11,4.0,4.1,4.0,4.0,3800.0
18,2010-06-14,4.1,4.1,3.9,4.0,3287.0
19,2010-06-15,3.9,4.0,3.9,4.0,3248.0
20,2010-06-16,3.9,4.0,3.9,4.0,1346.0
21,2010-06-17,3.9,4.2,3.9,4.2,7616.0
22,2010-06-18,4.2,4.4,4.1,4.1,4478.0
23,2010-06-21,4.3,4.3,4.0,4.2,2242.0
24,2010-06-22,4.2,4.2,3.9,3.9,2390.0
25,2010-06-23,3.9,4.0,3.9,4.0,602.0
26,2010-06-24,3.9,3.9,3.4,3.5,8008.0
27,2010-06-25,3.6,3.6,3.3,3.6,453.0
28,2010-06-28,3.4,3.9,3.3,3.8,1850.0
29,2010-06-29,3.7,3.7,3.4,3.4,452.0
30,2010-06-30,3.5,3.7,3.5,3.7,912.0
31,2010-07-01,3.7,4.0,3.7,3.9,1277.0
32,2010-07-02,3.9,4.3,3.8,4.0,1471.0
33,2010-07-05,3.9,3.9,3.6,3.6,1050.0
34,2010-07-06,3.6,4.1,3.6,3.8,1030.0
35,2010-07-07,3.8,3.8,3.5,3.5,2059.0
36,2010-07-08,3.4,3.7,3.4,3.7,1221.0
37,2010-07-09,3.4,3.6,3.4,3.6,28.0
38,2010-07-12,3.7,3.9,3.4,3.9,3090.0
39,2010-07-13,3.7,3.9,3.6,3.6,354.0
40,2010-07-14,3.6,3.9,3.6,3.9,643.0
41,2010-07-15,3.9,4.0,3.7,3.9,391.0
42,2010-07-16,4.0,4.0,3.8,4.0,310.0
43,2010-07-20,4.0,4.0,4.0,4.0,50.0
44,2010-07-21,4.0,4.1,3.7,3.9,2614.0
45,2010-07-22,3.9,4.1,3.9,4.1,3060.0
46,2010-07-23,4.4,6.1,4.4,5.1,75757.0
47,2010-07-26,5.0,5.1,4.8,4.8,3363.0
48,2010-07-27,4.8,4.8,4.3,4.6,8389.0
49,2010-07-28,4.6,4.7,4.3,4.6,3405.0
50,2010-07-29,4.4,4.6,4.2,4.6,3486.0
51,2010-07-30,4.4,4.9,4.3,4.9,6303.0
52,2010-08-02,4.6,5.3,3.8,3.8,114706.0
53,2010-08-03,3.8,3.9,3.5,3.7,21163.0
54,2010-08-04,3.6,3.7,3.5,3.7,3266.0
55,2010-08-05,3.6,3.7,3.5,3.6,7274.0
56,2010-08-06,3.6,3.7,3.3,3.5,11102.0
57,2010-08-09,3.5,3.7,3.4,3.5,12827.0
58,2010-08-10,3.6,3.9,3.6,3.8,24213.0
59,2010-08-11,3.8,4.4,3.8,4.2,88145.0
60,2010-08-12,4.2,4.2,3.8,4.0,25784.0
61,2010-08-13,4.0,4.0,3.7,3.9,7642.0
62,2010-08-16,3.8,3.9,3.5,3.7,17317.0
63,2010-08-17,3.8,3.8,3.5,3.6,18278.0
64,2010-08-18,3.6,3.7,3.5,3.6,6705.0
65,2010-08-19,3.6,3.7,3.6,3.7,3155.0
66,2010-08-20,3.6,3.7,3.6,3.7,2073.0
67,2010-08-23,3.5,3.7,3.5,3.7,1545.0
68,2010-08-24,3.5,3.7,3.4,3.6,9309.0
69,2010-08-25,3.6,3.6,3.5,3.6,180.0
70,2010-08-26,3.5,3.5,3.4,3.5,4544.0
71,2010-08-27,3.5,3.7,3.5,3.6,9552.0
72,2010-08-30,3.5,3.5,3.3,3.5,6365.0
73,2010-08-31,3.5,3.5,3.3,3.4,4076.0
74,2010-09-01,3.3,3.4,3.1,3.3,8966.0
75,2010-09-02,3.2,3.3,3.1,3.3,3178.0
76,2010-09-03,3.3,3.4,3.2,3.4,1855.0
77,2010-09-06,3.3,3.4,3.3,3.4,998.0
78,2010-09-07,3.3,3.4,3.2,3.3,6283.0
79,2010-09-08,3.5,3.5,3.2,3.5,3415.0
80,2010-09-09,3.5,3.7,3.3,3.5,10579.0
81,2010-09-10,3.6,3.6,3.5,3.5,580.0
82,2010-09-13,3.5,3.5,3.3,3.5,2317.0
83,2010-09-14,3.4,3.4,3.3,3.3,1693.0
84,2010-09-15,3.3,3.5,3.3,3.4,676.0
85,2010-09-16,3.5,3.5,3.4,3.4,1094.0
86,2010-09-17,3.4,3.6,3.4,3.5,2063.0
87,2010-09-20,3.5,3.5,3.5,3.5,2200.0
88,2010-09-21,3.5,3.6,3.4,3.5,6461.0
89,2010-09-22,3.5,3.8,3.5,3.7,40108.0
90,2010-09-23,3.6,3.7,3.5,3.7,3560.0
91,2010-09-24,3.6,3.7,3.6,3.7,3390.0
92,2010-09-27,3.6,4.3,3.6,4.3,165565.0
93,2010-09-28,4.2,6.0,4.2,6.0,134604.0
94,2010-09-29,6.5,8.7,6.0,7.9,99170.0
95,2010-09-30,7.7,9.8,6.5,9.8,155717.0
96,2010-10-01,9.5,11.4,8.8,9.0,133779.0
97,2010-10-04,9.2,10.8,9.0,9.2,47867.0
98,2010-10-05,9.7,10.2,8.7,9.7,38351.0
99,2010-10-06,9.7,9.8,6.2,6.4,379956.0
100,2010-10-07,6.4,6.8,5.7,6.2,65396.0
101,2010-10-08,6.3,7.3,6.2,6.5,148923.0
102,2010-10-11,6.4,6.4,6.0,6.2,36469.0
103,2010-10-12,6.2,6.4,4.6,4.6,317172.0
104,2010-10-13,4.6,5.2,4.6,5.2,263059.0
105,2010-10-14,5.2,5.2,4.8,4.9,69953.0
106,2010-10-15,4.8,4.8,4.3,4.6,49136.0
107,2010-10-18,4.6,4.6,4.3,4.4,20846.0
108,2010-10-19,4.4,4.4,4.0,4.2,31304.0
109,2010-10-20,4.1,4.7,4.0,4.5,63249.0
110,2010-10-21,4.6,4.6,4.2,4.4,22841.0
111,2010-10-22,4.3,4.3,4.1,4.3,33102.0
112,2010-10-25,4.4,4.4,4.1,4.2,10405.0
113,2010-10-26,4.3,4.3,3.9,3.9,37336.0
114,2010-10-27,3.9,4.1,3.8,4.0,26315.0
115,2010-10-28,3.9,3.9,3.8,3.9,22490.0
116,2010-10-29,3.9,4.1,3.8,4.1,32021.0
117,2010-11-02,4.1,4.5,4.0,4.2,61066.0
118,2010-11-03,4.1,4.1,3.9,3.9,37932.0
119,2010-11-04,4.0,4.1,3.7,3.7,29903.0
120,2010-11-05,3.7,3.8,3.7,3.8,6362.0
121,2010-11-08,3.8,3.9,3.7,3.7,7735.0
122,2010-11-09,3.8,3.8,3.7,3.7,12933.0
123,2010-11-10,3.7,3.9,3.7,3.9,6870.0
124,2010-11-12,3.9,3.9,3.8,3.9,8196.0
125,2010-11-15,4.0,4.2,3.9,4.1,27532.0
126,2010-11-16,4.2,4.6,4.2,4.6,44932.0
127,2010-11-17,4.5,5.0,4.5,4.6,79223.0
128,2010-11-18,4.8,4.9,4.4,4.4,31643.0
129,2010-11-19,4.4,4.4,4.2,4.3,9890.0
130,2010-11-22,4.3,4.3,4.1,4.1,16621.0
131,2010-11-23,4.0,4.0,3.9,3.9,9260.0
132,2010-11-24,3.9,4.2,3.9,4.2,9719.0
133,2010-11-25,4.2,4.2,4.0,4.0,9535.0
134,2010-11-26,4.0,4.2,3.9,4.2,3728.0
135,2010-11-29,4.2,4.2,4.1,4.1,5033.0
136,2010-11-30,4.1,4.3,4.1,4.2,9992.0
137,2010-12-01,4.3,4.6,4.3,4.5,22327.0
138,2010-12-02,4.6,4.6,4.2,4.4,12665.0
139,2010-12-03,4.3,4.4,4.1,4.2,7953.0
140,2010-12-06,4.2,4.2,4.1,4.2,3765.0
141,2010-12-07,4.2,4.3,4.1,4.2,14746.0
142,2010-12-08,4.2,4.2,4.0,4.2,5144.0
143,2010-12-09,4.1,4.2,3.9,4.0,4401.0
144,2010-12-10,4.0,4.3,4.0,4.3,16278.0
145,2010-12-13,4.2,4.2,4.0,4.1,8121.0
146,2010-12-14,4.1,4.1,4.0,4.0,4339.0
147,2010-12-15,4.0,4.1,3.9,4.0,1645.0
148,2010-12-16,4.0,4.0,3.9,4.0,1568.0
149,2010-12-17,4.0,4.0,3.9,4.0,5520.0
150,2010-12-20,4.0,4.0,3.9,3.9,2539.0
151,2010-12-21,3.8,3.8,3.7,3.7,6630.0
152,2010-12-22,3.7,3.9,3.7,3.9,2959.0
