,Date,Open,High,Low,Close,Volume
0,2010-06-29,85.241,85.67,69.393,71.106,1317
1,2010-06-30,67.679,77.959,67.679,70.678,2369
2,2010-07-01,71.449,71.449,68.536,69.393,2700
3,2010-07-02,71.106,71.792,71.106,71.792,48
4,2010-07-05,71.106,71.106,71.106,71.106,15
5,2010-07-06,74.533,84.813,74.533,75.388,234
6,2010-07-07,74.961,98.515,74.961,98.515,741
7,2010-07-08,98.948,98.948,98.515,98.515,2584
8,2010-07-13,98.515,98.515,97.659,97.659,156
9,2010-07-14,98.515,98.515,98.515,98.515,35
10,2010-07-16,97.838,98.083,97.838,98.083,104
11,2010-07-21,85.67,97.659,83.528,97.659,14
12,2010-07-22,83.528,97.923,83.528,83.528,7
13,2010-07-23,94.067,94.067,83.528,83.528,12
14,2010-07-26,83.528,91.585,83.528,83.528,72
15,2010-07-27,83.956,83.956,83.956,83.956,57
16,2010-07-29,91.234,91.234,83.956,83.956,1536
17,2010-07-30,91.585,91.585,84.385,84.385,120
18,2010-08-02,84.385,91.495,84.385,84.813,507
19,2010-08-03,86.097,86.097,86.097,86.097,54
20,2010-08-04,91.585,91.585,86.526,86.526,32
21,2010-08-05,88.244,88.244,88.244,88.244,26
22,2010-08-09,88.244,88.244,88.244,88.244,5
23,2010-08-11,89.956,99.042,89.956,98.515,171
24,2010-08-13,84.813,96.804,83.956,89.956,692
25,2010-08-16,89.956,89.956,89.956,89.956,57
26,2010-08-18,94.237,94.237,94.237,94.237,2
27,2010-08-23,94.237,98.515,94.237,98.515,689
28,2010-08-24,98.515,98.515,98.515,98.515,119
29,2010-08-30,98.515,98.515,98.515,98.515,9
30,2010-09-01,98.515,98.609,98.083,98.515,235
31,2010-09-02,98.515,100.66,98.43,100.66,1053
32,2010-09-03,100.66,100.66,99.38,100.57,2042
33,2010-09-06,100.66,100.66,100.57,100.57,1722
34,2010-09-07,100.57,101.09,100.57,101.09,2151
35,2010-09-08,101.09,101.68,101.09,101.68,1682
36,2010-09-09,101.68,102.37,101.68,102.37,4311
37,2010-09-10,102.37,102.37,102.37,102.37,1411
38,2010-09-13,102.8,102.8,102.8,102.8,1004
39,2010-09-14,102.8,107.09,102.8,107.09,48
40,2010-09-15,110.78,110.78,110.78,110.78,35
41,2010-09-16,110.95,110.95,110.95,110.95,1
42,2010-09-20,110.51,110.51,110.51,110.51,17
43,2010-09-22,110.08,110.08,109.23,109.23,945
44,2010-09-23,109.23,109.23,109.23,109.23,1867
