,Date,Open,High,Low,Close,Volume
0,2008-07-24,3.2021,3.2021,1.8556,1.8988,308215
1,2008-07-25,2.011,2.3649,1.8384,2.3649,40170
2,2008-07-28,2.3821,2.3908,1.9937,2.244,6359
3,2008-07-29,2.2354,2.2354,2.0024,2.1319,2686
4,2008-07-30,2.2009,2.2009,1.8298,2.106,18611
5,2008-07-31,2.0714,2.0714,1.6571,1.7694,19120
6,2008-08-01,1.8988,1.8988,1.6658,1.8556,3100
7,2008-08-04,1.8556,1.8988,1.6485,1.8729,5008
8,2008-08-05,1.847,1.847,1.7262,1.8298,2829
9,2008-08-06,1.8298,1.847,1.7262,1.847,4298
10,2008-08-07,1.8384,1.8384,1.6571,1.8298,1540
11,2008-08-12,1.8212,1.8212,1.7262,1.7607,2156
12,2008-08-13,1.7607,1.7607,1.6399,1.7262,2756
13,2008-08-14,1.683,1.683,1.519,1.6399,607
14,2008-08-18,1.5967,1.6399,1.5536,1.6399,1001
15,2008-08-19,1.6399,1.6399,1.6399,1.6399,1
16,2008-08-20,1.6399,1.8988,1.6399,1.8988,1518
17,2008-08-21,1.8298,1.8298,1.8298,1.8298,29
18,2008-08-22,1.8556,1.8556,1.8212,1.8212,915
19,2008-08-25,1.8212,1.8212,1.7262,1.8212,458
20,2008-08-26,1.8212,1.8212,1.6658,1.8125,1182
21,2008-08-27,1.8125,1.8125,1.6658,1.8125,602
22,2008-08-28,1.8125,1.8125,1.8125,1.8125,12
23,2008-08-29,1.6399,1.7866,1.6399,1.7866,648
24,2008-09-01,1.7866,1.7866,1.5536,1.7607,1738
25,2008-09-02,1.7262,1.7262,1.7262,1.7262,12
26,2008-09-03,1.7262,1.7262,1.7262,1.7262,2793
27,2008-09-04,1.7262,1.7262,1.5536,1.6744,2444
28,2008-09-05,1.6744,1.6744,1.3724,1.4328,7611
29,2008-09-08,1.4242,1.4672,1.4242,1.4672,3010
30,2008-09-09,1.4672,1.7089,1.3119,1.6226,125719
31,2008-09-10,1.683,1.683,1.3465,1.5018,387625
32,2008-09-11,1.5536,1.8556,1.4069,1.8556,257248
33,2008-09-12,1.8556,2.106,1.5536,1.8039,153306
34,2008-09-15,1.6226,1.8815,1.4759,1.7176,190284
35,2008-09-16,1.7089,1.7089,1.4672,1.6312,166199
36,2008-09-17,1.519,1.7176,1.381,1.6226,354061
37,2008-09-18,1.5881,1.5881,1.4242,1.5795,10579
38,2008-09-19,1.5363,1.6658,1.2947,1.4672,219705
39,2008-09-22,1.4586,1.6399,1.3637,1.5708,375771
40,2008-09-23,1.4759,1.6399,1.4155,1.6312,160521
41,2008-09-24,1.6485,1.8556,1.6053,1.7262,87011
42,2008-09-25,1.6744,1.8125,1.5622,1.6658,136181
