,Date,Open,High,Low,Close,Volume
0,2007-07-19,17.788,22.52,17.788,21.195,3306915
1,2007-07-20,21.195,21.195,19.681,19.681,365506
2,2007-07-23,19.113,20.059,18.982,19.303,95743
3,2007-07-24,19.283,20.04,18.923,19.681,89707
4,2007-07-25,19.869,19.869,18.734,18.923,263427
5,2007-07-26,19.113,19.113,18.392,18.55,35689
6,2007-07-27,18.545,18.545,17.486,18.545,45087
7,2007-07-30,18.167,18.318,17.788,18.167,10949
8,2007-07-31,18.167,19.491,18.167,19.151,206738
9,2007-08-01,19.151,19.151,17.863,18.83,22499
10,2007-08-02,18.923,19.038,18.583,18.583,234554
11,2007-08-03,18.886,18.905,18.545,18.545,3437
12,2007-08-06,18.167,18.167,17.41,17.41,16051
13,2007-08-07,17.788,18.318,17.41,18.015,173460
14,2007-08-08,18.167,18.47,18.053,18.091,4027
15,2007-08-09,18.318,18.318,17.94,17.958,16254
16,2007-08-10,17.297,17.827,16.465,17.41,26985
17,2007-08-13,17.41,18.167,17.41,18.129,3057
18,2007-08-14,18.205,18.205,17.541,17.541,881
19,2007-08-16,16.441,16.539,14.801,15.139,44382
20,2007-08-17,15.139,15.593,14.76,15.139,31820
21,2007-08-20,16.274,16.274,15.139,15.139,9834
22,2007-08-21,15.519,15.519,14.3,14.76,5908
23,2007-08-22,14.76,16.653,14.76,16.274,71871
24,2007-08-23,17.599,17.599,16.917,16.917,186810
25,2007-08-24,17.599,17.599,17.333,17.371,3288
26,2007-08-27,17.333,18.091,17.032,17.41,7267
27,2007-08-28,17.788,17.788,16.653,17.333,1311
28,2007-08-29,16.274,17.028,16.274,16.917,20993
29,2007-08-30,17.032,17.077,17.032,17.069,15190
30,2007-08-31,16.691,17.22,16.691,17.074,1581
31,2007-09-03,17.41,17.599,17.297,17.599,5980
32,2007-09-04,17.637,17.637,17.41,17.599,5186
33,2007-09-05,17.297,17.562,17.297,17.562,6989
34,2007-09-06,17.599,17.75,17.032,17.75,130551
35,2007-09-07,17.788,17.788,16.465,17.788,6595
36,2007-09-10,16.316,17.599,16.316,17.599,4440
37,2007-09-11,17.713,17.713,17.713,17.713,1559
38,2007-09-12,17.035,17.558,17.032,17.558,133
39,2007-09-13,17.671,17.671,17.217,17.592,1637
40,2007-09-14,17.41,17.41,16.728,17.22,1028
41,2007-09-17,17.032,17.407,17.032,17.407,451
42,2007-09-18,17.108,17.562,17.108,17.562,1423
43,2007-09-19,17.562,17.592,16.861,17.22,5146
44,2007-09-20,16.917,17.179,16.691,17.164,746
45,2007-09-21,17.032,17.447,17.032,17.41,5073
46,2007-09-24,17.41,17.978,17.41,17.486,14479
47,2007-09-25,17.599,17.599,17.486,17.594,1633
48,2007-09-26,17.594,17.788,17.447,17.599,2684
49,2007-09-27,17.784,17.788,17.486,17.486,2164
50,2007-09-28,17.599,17.863,17.599,17.675,142253
51,2007-10-01,17.599,17.94,17.599,17.788,4089
52,2007-10-02,17.637,17.637,17.637,17.637,845
53,2007-10-03,17.089,17.599,17.089,17.258,598
54,2007-10-04,17.41,17.41,16.967,16.967,2148
