,Date,Open,High,Low,Close,Volume
0,2008-11-27,2.7,2.8,1.4,1.7,30697
1,2008-11-28,1.7,1.9,1.7,1.9,7044
2,2008-12-01,1.9,1.9,1.9,1.9,10
3,2008-12-02,1.7,1.7,1.5,1.7,3400
4,2008-12-03,1.7,1.7,1.5,1.6,2774
5,2008-12-04,1.6,1.6,1.6,1.6,322
6,2008-12-05,1.6,1.6,1.6,1.6,10
7,2008-12-08,1.6,1.9,1.6,1.9,652
8,2008-12-09,1.8,1.8,1.5,1.7,1100
9,2008-12-10,1.7,1.7,1.4,1.5,5461
10,2008-12-11,1.5,1.5,1.4,1.4,910
11,2008-12-12,1.4,1.4,1.3,1.4,1920
12,2008-12-15,1.4,1.4,1.4,1.4,369
13,2008-12-16,1.4,1.4,1.4,1.4,680
14,2008-12-18,1.3,1.3,1.2,1.2,2804
15,2008-12-19,1.2,1.3,1.2,1.3,769
16,2008-12-22,1.2,1.2,1.2,1.2,430
17,2008-12-23,1.3,1.3,1.3,1.3,100
18,2008-12-29,1.3,1.4,1.3,1.4,153
19,2008-12-30,1.4,1.4,1.3,1.3,165
20,2008-12-31,1.2,1.4,1.2,1.4,510
21,2009-01-05,1.4,1.5,1.4,1.5,421
22,2009-01-06,1.5,1.6,1.5,1.6,600
23,2009-01-07,1.6,1.6,1.6,1.6,100
24,2009-01-08,1.6,1.6,1.6,1.6,105
25,2009-01-09,1.6,1.6,1.5,1.6,142
26,2009-01-12,1.6,1.6,1.3,1.5,942
27,2009-01-13,1.5,1.5,1.5,1.5,2
28,2009-01-14,1.5,1.5,1.5,1.5,2
29,2009-01-15,1.5,1.5,1.4,1.4,252
30,2009-01-16,1.5,1.5,1.5,1.5,2
31,2009-01-19,1.5,1.5,1.5,1.5,1
32,2009-01-20,1.5,1.5,1.5,1.5,2
33,2009-01-21,1.5,1.5,1.5,1.5,1
34,2009-01-22,1.5,1.5,1.5,1.5,1
35,2009-01-23,1.5,1.5,1.5,1.5,1
36,2009-01-26,1.5,1.5,1.5,1.5,5
37,2009-01-27,1.5,1.5,1.5,1.5,1
38,2009-01-28,1.5,1.6,1.5,1.5,600
39,2009-01-29,1.3,1.3,1.2,1.2,3200
40,2009-01-30,1.3,1.3,1.3,1.3,5
41,2009-02-02,1.3,1.3,1.1,1.1,1001
42,2009-02-03,1.2,1.2,1.2,1.2,100
43,2009-02-04,1.2,1.3,1.1,1.1,11171
44,2009-02-05,1.2,1.2,1.2,1.2,100
45,2009-02-06,1.2,1.2,1.2,1.2,736
46,2009-02-09,1.1,1.1,1.1,1.1,400
47,2009-02-10,1.0,1.0,1.0,1.0,2548
48,2009-02-11,1.0,1.0,1.0,1.0,1025
49,2009-02-12,1.1,1.1,1.1,1.1,100
50,2009-02-13,1.0,1.1,1.0,1.1,1010
51,2009-02-17,1.1,1.1,1.0,1.0,172
52,2009-02-18,1.0,1.0,1.0,1.0,6106
53,2009-02-19,1.1,1.1,1.1,1.1,120
54,2009-02-20,1.1,1.1,1.1,1.1,158
55,2009-02-23,1.1,1.1,1.0,1.0,502
56,2009-02-24,1.1,1.1,1.1,1.1,2
57,2009-02-25,1.1,1.1,1.1,1.1,5
58,2009-02-26,1.1,1.1,1.1,1.1,3
59,2009-02-27,1.1,1.1,1.1,1.1,5
60,2009-03-02,1.1,1.1,1.1,1.1,5
61,2009-03-03,1.0,1.0,0.9,0.9,760
62,2009-03-04,1.0,1.0,1.0,1.0,10
63,2009-03-05,1.0,1.0,0.9,1.0,1020
64,2009-03-06,1.0,1.0,1.0,1.0,10
65,2009-03-09,1.0,1.0,1.0,1.0,10
66,2009-03-10,1.0,1.0,0.9,1.0,1210
67,2009-03-11,1.0,1.0,1.0,1.0,20
68,2009-03-12,1.0,1.0,1.0,1.0,10
69,2009-03-13,1.0,1.0,1.0,1.0,10
70,2009-03-16,1.0,1.0,1.0,1.0,10
71,2009-03-17,1.0,1.0,1.0,1.0,10
