,Date,Open,High,Low,Close,Volume
0,2007-11-16,16.99,16.99,10.01,11.08,15189
1,2007-11-19,11.9,14.2,11.9,13.85,6929
2,2007-11-20,14.0,14.0,12.0,13.2,4239
3,2007-11-21,13.0,13.01,12.0,12.68,7290
4,2007-11-22,12.15,12.95,12.15,12.95,1256
5,2007-11-23,13.2,13.2,13.0,13.0,755
6,2007-11-26,13.0,13.54,12.9,12.9,900
7,2007-11-27,12.39,12.5,12.39,12.39,798
8,2007-11-28,12.39,12.39,12.3,12.3,17477
9,2007-11-29,12.6,12.6,12.35,12.35,450
10,2007-11-30,12.75,12.75,11.7,11.7,1058
11,2007-12-03,11.39,11.5,11.2,11.4,2611
12,2007-12-04,11.3,12.9,11.3,11.91,904
13,2007-12-05,12.0,12.0,11.91,11.91,1200
14,2007-12-06,12.3,12.35,12.2,12.2,4619
15,2007-12-07,12.39,12.45,12.39,12.42,5099
16,2007-12-10,12.45,12.5,12.25,12.25,11800
17,2007-12-11,12.45,12.45,12.0,12.0,343
18,2007-12-12,12.2,12.25,12.2,12.25,20416
19,2007-12-13,12.3,12.3,12.3,12.3,99
20,2007-12-14,12.0,12.85,10.0,12.85,3575
21,2007-12-17,13.0,13.0,12.05,12.88,21901
22,2007-12-18,13.0,13.0,12.02,12.93,5884
23,2007-12-19,13.0,19.4,13.0,17.79,57977
24,2007-12-20,17.2,17.2,15.02,16.25,10436
25,2007-12-21,16.6,18.1,15.95,16.99,7155
26,2007-12-27,16.5,16.9,16.3,16.7,3463
27,2007-12-28,17.7,17.7,16.56,17.4,1133
28,2008-01-02,17.5,17.5,17.0,17.48,18042
29,2008-01-03,16.67,16.67,16.11,16.55,983
30,2008-01-04,16.16,16.16,15.29,15.89,3336
31,2008-01-07,15.89,15.89,14.49,14.49,1490
32,2008-01-08,14.29,14.48,13.39,14.0,3043
33,2008-01-09,13.24,13.9,13.05,13.05,2233
34,2008-01-10,13.05,13.05,12.69,12.69,1174
35,2008-01-11,13.0,13.2,12.5,12.6,1326
36,2008-01-14,12.9,13.2,12.9,13.2,1459
37,2008-01-15,13.2,13.2,13.2,13.2,1010
38,2008-01-17,12.8,13.2,12.8,13.2,316
39,2008-01-18,12.8,14.9,12.8,14.2,6605
40,2008-01-21,14.0,14.6,14.0,14.6,787
