,Date,Open,High,Low,Close,Volume
0,2014-01-09,10.042,10.343,9.785,10.22,127400
1,2014-01-10,10.22,10.327,10.078,10.327,26999
2,2014-01-13,10.193,11.081,10.193,10.992,21953
3,2014-01-14,10.754,10.992,10.754,10.877,14616
4,2014-01-15,10.53,10.921,10.53,10.798,3459
5,2014-01-16,10.834,10.834,10.443,10.443,7603
6,2014-01-17,10.397,10.887,10.263,10.353,14612
7,2014-01-20,10.719,10.719,10.415,10.575,3735
8,2014-01-21,10.655,10.914,10.575,10.904,15260
9,2014-01-22,10.921,11.1,10.762,11.055,20489
10,2014-01-23,11.037,11.091,10.868,11.065,2908
11,2014-01-24,10.931,11.091,10.674,10.887,5343
12,2014-01-27,10.887,11.065,10.487,11.065,3760
13,2014-01-28,10.709,11.091,10.709,10.931,4072
14,2014-01-29,10.824,11.055,10.798,11.02,5393
15,2014-01-30,10.976,11.02,10.967,11.02,2406
16,2014-01-31,11.081,11.517,11.02,11.517,20360
17,2014-02-03,11.206,11.463,11.206,11.287,2709
18,2014-02-04,11.215,11.463,11.215,11.455,12108
19,2014-02-05,11.455,11.553,11.455,11.5,6493
20,2014-02-06,11.553,11.73,11.553,11.624,11983
21,2014-02-07,11.721,11.73,11.419,11.419,5144
22,2014-02-10,11.633,11.633,11.375,11.375,6352
23,2014-02-11,11.597,11.597,11.375,11.553,883
24,2014-02-12,11.437,11.553,11.375,11.553,13372
25,2014-02-13,11.553,11.73,11.109,11.109,58900
26,2014-02-14,11.437,11.73,11.206,11.419,10685
27,2014-02-17,11.419,11.553,11.419,11.429,4128
28,2014-02-18,11.429,11.429,11.117,11.117,8117
29,2014-02-19,11.117,11.206,11.065,11.206,3722
30,2014-02-20,11.446,11.446,11.117,11.153,3749
31,2014-02-21,11.117,11.243,11.02,11.243,1473
32,2014-02-24,11.446,11.446,11.367,11.446,1969
33,2014-02-25,11.446,11.544,11.446,11.535,2925
34,2014-02-26,11.535,11.535,11.375,11.375,492
35,2014-02-27,11.375,11.375,11.367,11.367,1911
36,2014-02-28,11.367,11.437,11.117,11.419,1356
37,2014-03-03,11.198,11.198,10.131,10.664,27261
38,2014-03-04,10.575,10.931,10.575,10.887,3835
39,2014-03-05,10.976,11.091,10.754,10.754,3827
40,2014-03-06,11.109,11.109,10.664,10.664,5344
41,2014-03-07,10.664,10.842,10.664,10.664,1744
42,2014-03-10,10.664,10.664,10.327,10.327,4589
43,2014-03-11,10.496,10.496,10.389,10.397,796
44,2014-03-12,10.397,10.397,9.91,10.211,8384
45,2014-03-13,10.211,10.664,10.131,10.131,574
46,2014-03-14,10.14,10.3,9.732,10.202,7604
47,2014-03-17,10.202,10.477,10.202,10.477,1573
48,2014-03-18,10.397,10.655,10.229,10.655,23365
49,2014-03-19,10.664,10.842,10.407,10.664,397
50,2014-03-20,10.443,10.664,10.443,10.655,769
51,2014-03-21,10.237,10.655,10.237,10.655,51
52,2014-03-24,10.318,10.646,10.318,10.646,186
53,2014-03-25,10.46,10.69,10.452,10.69,2503
54,2014-03-26,10.69,10.842,10.69,10.842,1041
55,2014-03-27,10.575,10.575,10.575,10.575,229
56,2014-03-28,10.513,10.709,10.513,10.709,784
57,2014-03-31,10.709,10.834,10.53,10.834,6000
58,2014-04-01,10.664,10.992,10.664,10.992,1464
59,2014-04-02,10.664,10.921,10.664,10.921,76
60,2014-04-03,10.682,10.921,10.682,10.682,2779
61,2014-04-04,10.842,10.842,10.664,10.834,671
62,2014-04-07,10.798,10.798,10.682,10.798,86
63,2014-04-08,10.798,10.798,10.664,10.664,1079
64,2014-04-09,10.575,10.664,10.575,10.664,60
65,2014-04-10,10.674,10.674,10.664,10.664,371
66,2014-04-11,10.734,10.734,10.734,10.734,1
67,2014-04-14,10.754,10.754,10.309,10.646,2459
68,2014-04-15,10.309,10.664,9.954,9.954,1327
69,2014-04-16,10.61,10.61,10.06,10.477,733
