,Date,Open,High,Low,Close,Volume
0,1992-08-13,0.5924,0.5924,0.5924,0.5924,335667.0
1,1992-08-18,0.5924,0.5924,0.5924,0.5924,
2,1992-08-20,0.5841,0.5841,0.5841,0.5841,346440.0
3,1992-08-25,0.5841,0.5841,0.5841,0.5841,
4,1992-08-27,0.5841,0.5841,0.5841,0.5841,385465.0
5,1992-09-01,0.5183,0.5183,0.5183,0.5183,100210.0
6,1992-09-03,0.51,0.51,0.51,0.51,336391.0
7,1992-09-08,0.5018,0.5018,0.5018,0.5018,382815.0
8,1992-09-10,0.51,0.51,0.51,0.51,219680.0
9,1992-09-15,0.5511,0.5511,0.5511,0.5511,85135.0
10,1992-09-17,0.5511,0.5511,0.5511,0.5511,129926.0
11,1992-09-22,0.5595,0.5595,0.5595,0.5595,106836.0
12,1992-09-24,0.5511,0.5511,0.5511,0.5511,121220.0
13,1992-09-29,0.5595,0.5595,0.5595,0.5595,170246.0
14,1992-10-01,0.5924,0.5924,0.5924,0.5924,95201.0
15,1992-10-06,0.5924,0.5924,0.5924,0.5924,119848.0
16,1992-10-08,0.5924,0.5924,0.5924,0.5924,53394.0
17,1992-10-13,0.6087,0.6087,0.6087,0.6087,184629.0
18,1992-10-15,0.5924,0.5924,0.5924,0.5924,49895.0
19,1992-10-20,0.5924,0.5924,0.5924,0.5924,108300.0
20,1992-10-22,0.5924,0.5924,0.5924,0.5924,87378.0
21,1992-10-27,0.5924,0.5924,0.5924,0.5924,65449.0
22,1992-10-29,0.5924,0.5924,0.5924,0.5924,37312.0
23,1992-11-03,0.5924,0.5924,0.5924,0.5924,131921.0
24,1992-11-05,0.5759,0.5759,0.5759,0.5759,18951.0
25,1992-11-10,0.5183,0.5183,0.5183,0.5183,17680.0
26,1992-11-12,0.5183,0.5183,0.5183,0.5183,22342.0
27,1992-11-17,0.5511,0.5511,0.5511,0.5511,67548.0
28,1992-11-19,0.5511,0.5511,0.5511,0.5511,36083.0
29,1992-11-24,0.5183,0.5183,0.5183,0.5183,51348.0
30,1992-11-26,0.5183,0.5183,0.5183,0.5183,23001.0
31,1992-12-01,0.5511,0.5511,0.5511,0.5511,60020.0
32,1992-12-03,0.5511,0.5511,0.5511,0.5511,72718.0
33,1992-12-08,0.51,0.51,0.51,0.51,74082.0
34,1992-12-10,0.5511,0.5511,0.5511,0.5511,30829.0
35,1992-12-15,0.5429,0.5429,0.5429,0.5429,38911.0
36,1992-12-17,0.5511,0.5511,0.5511,0.5511,49868.0
37,1992-12-22,0.5759,0.5759,0.5759,0.5759,147054.0
38,1992-12-29,0.6251,0.6251,0.6251,0.6251,208402.0
39,1993-01-04,0.5759,0.5759,0.5759,0.5759,22902.0
40,1993-01-05,0.5841,0.5841,0.5841,0.5841,41104.0
41,1993-01-07,0.6087,0.6087,0.6087,0.6087,13681.0
42,1993-01-11,0.5924,0.5924,0.5924,0.5924,17423.0
43,1993-01-12,0.5924,0.5924,0.5924,0.5924,19807.0
44,1993-01-14,0.5595,0.5595,0.5595,0.5595,21494.0
45,1993-01-18,0.5841,0.5841,0.5841,0.5841,21156.0
46,1993-01-19,0.5595,0.5595,0.5595,0.5595,14448.0
47,1993-01-21,0.5595,0.5595,0.5595,0.5595,38972.0
48,1993-01-25,0.5759,0.5759,0.5759,0.5759,42378.0
49,1993-01-26,0.5595,0.5595,0.5595,0.5595,9988.0
50,1993-01-28,0.5511,0.5511,0.5511,0.5511,14510.0
51,1993-02-01,0.5595,0.5595,0.5595,0.5595,18371.0
52,1993-02-02,0.5595,0.5595,0.5595,0.5595,21846.0
53,1993-02-04,0.5511,0.5511,0.5511,0.5511,27563.0
54,1993-02-08,0.5759,0.5759,0.5759,0.5759,10526.0
55,1993-02-09,0.5511,0.5511,0.5511,0.5511,4987.0
56,1993-02-11,0.5429,0.5429,0.5429,0.5429,26738.0
57,1993-02-15,0.5429,0.5429,0.5429,0.5429,14289.0
58,1993-02-16,0.5429,0.5429,0.5429,0.5429,14105.0
59,1993-02-18,0.5429,0.5429,0.5429,0.5429,32178.0
60,1993-02-22,0.5348,0.5348,0.5348,0.5348,15569.0
61,1993-02-23,0.5348,0.5348,0.5348,0.5348,15569.0
62,1993-02-25,0.5429,0.5429,0.5429,0.5429,8388.0
63,1993-03-01,0.5511,0.5511,0.5511,0.5511,51501.0
64,1993-03-02,0.5511,0.5511,0.5511,0.5511,44337.0
65,1993-03-04,0.5595,0.5595,0.5595,0.5595,18549.0
66,1993-03-08,0.5841,0.5841,0.5841,0.5841,53106.0
67,1993-03-09,0.5841,0.5841,0.5841,0.5841,26683.0
68,1993-03-11,0.5924,0.5924,0.5924,0.5924,108464.0
69,1993-03-15,0.6251,0.6251,0.6251,0.6251,157441.0
70,1993-03-16,0.6828,0.6828,0.6828,0.6828,187388.0
71,1993-03-18,0.6992,0.6992,0.6992,0.6992,107082.0
