,Date,Open,High,Low,Close,Volume
0,2010-11-15,3.5718,3.8269,3.2316,3.2316,30692
1,2010-11-16,3.2231,3.2231,2.5853,2.5853,15244
2,2010-11-17,2.5512,2.5512,2.2111,2.2111,2606
3,2010-11-18,2.5512,2.5512,2.4663,2.4663,764
4,2010-11-19,2.2962,2.2962,2.041,2.041,28957
5,2010-11-22,2.041,2.1432,2.041,2.126,1411
6,2010-11-23,2.1687,2.2111,2.1687,2.2111,905
7,2010-11-24,2.2111,2.4492,2.126,2.3556,8503
8,2010-11-25,2.0921,2.3387,2.0921,2.3387,365
9,2010-11-26,2.2877,2.2962,2.2877,2.2962,3069
10,2010-11-29,2.1345,2.1345,1.956,1.956,6040
11,2010-11-30,1.956,2.2111,1.956,2.2111,1783
12,2010-12-01,2.2197,2.2197,2.041,2.2026,5772
13,2010-12-03,2.1687,2.1687,1.9815,2.0835,2378
14,2010-12-06,2.109,2.109,2.007,2.007,1423
15,2010-12-07,2.041,2.041,2.041,2.041,5
16,2010-12-08,1.973,1.973,1.7009,1.7604,28592
17,2010-12-09,1.99,1.99,1.7859,1.7859,262
18,2010-12-10,1.99,1.99,1.7094,1.8965,2605
19,2010-12-13,1.905,1.905,1.7178,1.7178,45
20,2010-12-14,1.7859,1.9815,1.7859,1.9475,356
21,2010-12-15,1.871,1.871,1.871,1.871,23
22,2010-12-16,1.7264,1.8625,1.7264,1.7349,1295
23,2010-12-17,1.7433,1.7433,1.7178,1.7178,3791
24,2010-12-20,1.7859,1.99,1.7178,1.7178,2116
25,2010-12-21,1.7094,1.8625,1.7094,1.8625,590
26,2010-12-22,1.939,1.939,1.939,1.939,2
27,2010-12-27,1.7178,1.7264,1.7178,1.7264,1070
28,2010-12-28,1.7178,1.888,1.5819,1.5819,907
29,2010-12-30,1.8625,1.8625,1.8454,1.8454,429
30,2010-12-31,1.6413,1.6413,1.6413,1.6413,353
31,2011-01-03,1.6839,1.6839,1.5819,1.5819,11759
32,2011-01-04,1.6668,1.6668,1.6668,1.6668,23
33,2011-01-05,1.5308,1.5308,1.4967,1.4967,3692
34,2011-01-07,1.5137,1.6413,1.5137,1.6413,883
35,2011-01-10,1.4627,1.5308,1.4457,1.5308,1999
36,2011-01-11,1.4542,1.4542,1.4542,1.4542,944
37,2011-01-12,1.5308,1.5392,1.5308,1.5392,941
38,2011-01-14,1.5308,1.6584,1.5308,1.6584,1235
39,2011-01-18,1.5137,1.5137,1.4542,1.4882,3999
40,2011-01-19,1.4032,1.4032,1.3522,1.3947,62485
41,2011-01-20,1.4032,1.4032,1.4032,1.4032,9102
42,2011-01-21,1.3607,1.4457,1.3607,1.3607,12822
43,2011-01-24,1.3692,1.4457,1.3607,1.4457,9407
44,2011-01-25,1.4032,1.4032,1.3692,1.3692,1411
45,2011-01-26,1.3692,1.4457,1.3522,1.4457,4989
46,2011-01-27,1.3607,1.3607,1.3607,1.3607,1282
47,2011-01-28,1.4372,1.5563,1.4372,1.5392,4320
48,2011-01-31,1.5137,1.5137,1.5137,1.5137,1197
49,2011-02-01,1.4372,1.4372,1.3862,1.3862,882
50,2011-02-02,1.4457,1.4457,1.4457,1.4457,1059
51,2011-02-03,1.3862,1.3862,1.3607,1.3607,4526
52,2011-02-04,1.3692,1.3692,1.3692,1.3692,823
53,2011-02-07,1.3692,1.3692,1.3692,1.3692,353
54,2011-02-08,1.3607,1.3607,1.2842,1.2842,5056
55,2011-02-09,1.2756,1.2756,1.2756,1.2756,1282
56,2011-02-11,1.3437,1.4372,1.3437,1.4372,3106
57,2011-02-14,1.3352,1.3862,1.3267,1.3862,1175
58,2011-02-15,1.3267,1.3267,1.3267,1.3267,588
59,2011-02-16,1.3267,1.3267,1.3267,1.3267,353
60,2011-02-22,1.3267,1.3267,1.2927,1.2927,58
61,2011-02-23,1.2842,1.2842,1.2416,1.2416,6809
62,2011-02-28,1.2501,1.2501,1.2501,1.2501,258
63,2011-03-01,1.2586,1.2586,1.2586,1.2586,1
64,2011-03-02,1.3012,1.3437,1.2501,1.2927,5044
65,2011-03-03,1.3352,1.3352,1.2501,1.3097,1215
66,2011-03-04,1.1906,1.1906,1.1906,1.1906,5879
67,2011-03-07,1.2501,1.2501,1.2501,1.2501,13
68,2011-03-08,1.1906,1.2501,1.1906,1.2416,7063
69,2011-03-09,1.1906,1.2501,1.1481,1.2416,10958
70,2011-03-10,1.2416,1.3097,1.2416,1.3097,1920
71,2011-03-11,1.1991,1.1991,1.1396,1.1991,1575
72,2011-03-14,1.1736,1.1736,1.1736,1.1736,823
73,2011-03-15,1.1991,1.3012,1.1481,1.1481,14267
74,2011-03-16,1.1481,1.1481,1.1055,1.1055,43253
75,2011-03-17,1.182,1.182,1.182,1.182,112
76,2011-03-23,1.1906,1.1906,1.1906,1.1906,677
77,2011-03-24,1.1906,1.1906,1.1481,1.1906,3293
78,2011-03-25,1.1481,1.1481,1.1481,1.1481,1705
79,2011-03-28,1.233,1.2842,1.233,1.2842,3560
80,2011-03-30,1.3012,1.5137,1.3012,1.3607,10588
81,2011-03-31,1.3607,1.3777,1.3097,1.3607,7554
82,2011-04-01,1.3607,1.3607,1.3607,1.3607,367
83,2011-04-04,1.3182,1.3182,1.2842,1.2842,1383
84,2011-04-06,1.2756,1.2756,1.2756,1.2756,665
85,2011-04-08,1.2671,1.2671,1.2501,1.2501,52023
86,2011-04-12,1.2586,1.2586,1.1906,1.2246,5056
87,2011-04-13,1.1906,1.1906,1.1906,1.1906,393
88,2011-04-14,1.1906,1.1906,1.1906,1.1906,393
89,2011-04-15,1.233,1.233,1.1906,1.1906,1982
90,2011-04-18,1.233,1.233,1.1991,1.1991,1764
91,2011-04-19,1.1991,1.1991,1.1991,1.1991,71
92,2011-04-21,1.2416,1.2416,1.233,1.233,1270
93,2011-04-27,1.2756,1.3012,1.2756,1.3012,1558
94,2011-04-29,1.3012,1.3097,1.3012,1.3012,1376
95,2011-05-02,1.3012,1.3437,1.2246,1.3437,2356
96,2011-05-04,1.3692,1.3777,1.3692,1.3777,3233
97,2011-05-06,1.3097,1.3097,1.2756,1.2756,3743
98,2011-05-09,1.3352,1.7433,1.3352,1.6584,74064
99,2011-05-10,1.6584,1.6584,1.4967,1.5647,36904
100,2011-05-11,1.5222,1.5477,1.4202,1.5392,13358
101,2011-05-12,1.4372,1.4372,1.4202,1.4287,10407
102,2011-05-13,1.4202,1.4202,1.3437,1.3437,1171
103,2011-05-16,1.3182,1.3352,1.2756,1.3012,8223
104,2011-05-17,1.3352,1.3522,1.2671,1.2671,12221
105,2011-05-18,1.3012,1.4457,1.2671,1.4457,18489
106,2011-05-19,1.3947,1.4457,1.2756,1.2756,39504
107,2011-05-20,1.3267,1.3352,1.3267,1.3352,2704
108,2011-05-23,1.3012,1.3352,1.3012,1.3352,3057
109,2011-05-24,1.2756,1.2756,1.2416,1.2756,24970
110,2011-05-25,1.3522,1.3522,1.2842,1.3522,8111
111,2011-05-26,1.2842,1.3607,1.2842,1.3607,3881
112,2011-05-27,1.3607,1.3607,1.3607,1.3607,1175
113,2011-05-31,1.4202,1.4542,1.3522,1.3522,5746
114,2011-06-01,1.3607,1.3607,1.3182,1.3607,10326
115,2011-06-02,1.4032,1.4032,1.3862,1.3862,3227
116,2011-06-03,1.3267,1.3352,1.3267,1.3352,2079
117,2011-06-06,1.3522,1.3522,1.3012,1.3012,1195
118,2011-06-07,1.3437,1.3607,1.3437,1.3607,1230
119,2011-06-08,1.3692,1.3692,1.3692,1.3692,2352
120,2011-06-09,1.4202,1.4202,1.4202,1.4202,3527
121,2011-06-10,1.3862,1.4457,1.3862,1.4457,999
122,2011-06-13,1.4372,1.4798,1.4372,1.4798,4440
123,2011-06-15,1.4712,1.4967,1.4627,1.4967,2847
124,2011-06-16,1.5308,1.5308,1.4457,1.4457,962
125,2011-06-17,1.4457,1.4457,1.4287,1.4457,1652
126,2011-06-20,1.4457,1.4457,1.4457,1.4457,385
127,2011-06-21,1.4457,1.4457,1.3947,1.3947,1937
128,2011-06-22,1.3862,1.3862,1.2927,1.3607,15087
129,2011-06-24,1.3182,1.3607,1.3097,1.3182,3818
130,2011-06-27,1.3182,1.3182,1.3182,1.3182,757
131,2011-06-30,1.3097,1.3097,1.2842,1.2927,2900
132,2011-07-04,1.3182,1.3522,1.2927,1.3522,10584
133,2011-07-05,1.3522,1.3522,1.3522,1.3522,1175
134,2011-07-06,1.3267,1.3267,1.3012,1.3012,1434
135,2011-07-08,1.3522,1.3522,1.3522,1.3522,16
136,2011-07-11,1.3012,1.3012,1.3012,1.3012,236
137,2011-07-12,1.2927,1.2927,1.2756,1.2756,5198
138,2011-07-15,1.2416,1.2416,1.1906,1.1906,2265
139,2011-07-18,1.2756,1.3182,1.2756,1.2756,6177
140,2011-07-19,1.2756,1.2756,1.2501,1.2756,3057
141,2011-07-20,1.2501,1.2501,1.2501,1.2501,588
142,2011-07-21,1.3267,1.4967,1.3267,1.4627,50879
143,2011-07-22,1.4798,1.4967,1.4032,1.4627,6435
144,2011-07-26,1.3947,1.3947,1.3437,1.3437,1077
145,2011-07-27,1.3437,1.3437,1.2756,1.3182,7332
146,2011-07-28,1.3182,1.3182,1.3182,1.3182,1175
147,2011-07-29,1.2756,1.2756,1.2416,1.2416,4533
148,2011-08-01,1.2416,1.2927,1.2161,1.2927,4314
149,2011-08-02,1.233,1.2842,1.2161,1.2842,3941
150,2011-08-03,1.233,1.233,1.182,1.1906,12337
151,2011-08-04,1.1906,1.1906,1.1055,1.1055,12347
152,2011-08-08,1.1481,1.2161,1.1481,1.1736,5661
153,2011-08-09,1.2246,1.2246,1.1055,1.1481,17553
154,2011-08-10,1.1651,1.1651,1.1481,1.1481,779
155,2011-08-11,1.1651,1.233,1.1651,1.233,929
156,2011-08-12,1.233,1.233,1.1481,1.1481,4664
157,2011-08-16,1.1906,1.2416,1.1906,1.2416,4115
158,2011-08-17,1.1906,1.1906,1.1565,1.1565,1175
159,2011-08-19,1.1565,1.2756,1.1481,1.2586,3934
160,2011-08-22,1.2756,1.3267,1.2756,1.3267,5266
161,2011-08-23,1.2756,1.2756,1.2671,1.2671,3504
162,2011-08-24,1.233,1.233,1.233,1.233,470
163,2011-08-29,1.233,1.233,1.1906,1.233,9901
164,2011-08-30,1.233,1.233,1.233,1.233,2038
165,2011-08-31,1.1991,1.1991,1.1906,1.1906,3234
166,2011-09-01,1.182,1.182,1.1481,1.1481,7056
167,2011-09-02,1.131,1.131,1.1055,1.131,13757
168,2011-09-05,1.131,1.131,1.131,1.131,2704
169,2011-09-06,1.1396,1.1565,1.0716,1.0716,5129
170,2011-09-07,1.1141,1.1736,1.1141,1.1736,3527
171,2011-09-09,1.1055,1.1055,1.0971,1.1055,9113
172,2011-09-12,1.1055,1.1055,1.1055,1.1055,701
173,2011-09-13,1.08,1.1481,1.063,1.1481,7466
174,2011-09-15,1.1481,1.1481,1.1481,1.1481,870
175,2011-09-19,1.0971,1.0971,1.0971,1.0971,705
176,2011-09-21,1.063,1.063,0.9779,0.9864,23291
177,2011-09-22,0.9014,1.0206,0.9014,1.0206,5644
178,2011-09-23,0.8844,1.012,0.8844,1.012,7941
179,2011-09-27,0.9099,0.9099,0.8674,0.8674,10357
180,2011-09-28,0.9014,0.9185,0.9014,0.9185,8227
181,2011-09-30,0.9014,0.9014,0.9014,0.9014,4
182,2011-10-10,0.9354,0.944,0.9354,0.944,1276
183,2011-10-11,0.944,1.0206,0.944,1.0206,864
184,2011-10-12,1.012,1.0206,1.012,1.0206,1558
185,2011-10-13,1.0206,1.063,0.995,0.995,3958
186,2011-10-14,0.9779,0.9779,0.9354,0.9354,4587
187,2011-10-21,0.9524,0.9524,0.9354,0.9354,2003
188,2011-10-24,0.9354,0.9354,0.9354,0.9354,5879
189,2011-10-25,0.9354,0.9354,0.9354,0.9354,5879
190,2011-10-26,0.9354,0.9354,0.9354,0.9354,2940
191,2011-10-27,0.9354,1.0206,0.9354,1.0206,6349
192,2011-10-28,1.0545,1.1141,1.0035,1.1141,10387
193,2011-10-31,1.1396,1.1481,1.1226,1.1481,6938
194,2011-11-02,1.0886,1.0886,0.9524,1.0886,15294
195,2011-11-08,1.012,1.012,0.995,0.995,2050
196,2011-11-09,1.0461,1.0461,1.0461,1.0461,1334
197,2011-11-14,1.0545,1.0886,1.0035,1.0035,7738
198,2011-11-15,1.0545,1.08,1.0545,1.08,764
199,2011-11-18,1.012,1.012,1.012,1.012,764
200,2011-11-22,0.9695,0.9695,0.9695,0.9695,530
201,2011-11-29,1.0375,1.0375,1.0375,1.0375,1175
202,2011-12-05,1.012,1.012,1.012,1.012,236
203,2011-12-16,0.9609,0.9609,0.9524,0.9524,3018
204,2011-12-21,0.9185,0.9185,0.9099,0.9099,1685
205,2011-12-23,1.012,1.012,1.012,1.012,1
206,2011-12-27,0.9185,0.9185,0.9014,0.9014,38392
207,2012-01-10,0.9354,0.9524,0.9354,0.9524,1511
208,2012-01-11,0.9524,0.995,0.9524,0.995,804
209,2012-01-19,0.995,0.995,0.995,0.995,218
210,2012-01-24,0.995,0.995,0.995,0.995,2172
211,2012-01-25,0.9354,0.995,0.8674,0.995,3900
212,2012-01-26,1.0035,1.0035,1.0035,1.0035,211
213,2012-01-30,1.0035,1.0035,1.0035,1.0035,2352
214,2012-02-01,1.0035,1.0035,1.0035,1.0035,4599
215,2012-02-03,1.0461,1.1055,1.0461,1.1055,6852
216,2012-02-06,1.1226,1.1226,1.1226,1.1226,353
217,2012-02-07,1.1055,1.1055,1.1055,1.1055,823
218,2012-02-08,1.1565,1.1651,1.1565,1.1651,1175
219,2012-02-22,1.0545,1.1141,1.0545,1.1141,1631
220,2012-02-27,1.063,1.063,1.063,1.063,723
221,2012-02-28,1.012,1.0971,1.012,1.0206,14922
222,2012-02-29,1.0035,1.0461,0.9779,1.0375,9118
223,2012-03-01,0.9609,1.0461,0.9609,1.0461,3640
224,2012-03-08,1.0971,1.1736,1.0971,1.1736,4832
225,2012-03-14,1.1906,1.1906,1.1906,1.1906,3351
226,2012-03-15,1.1906,1.1906,1.1481,1.1481,5409
227,2012-03-19,1.1481,1.1481,1.1481,1.1481,1059
228,2012-03-20,1.1481,1.1481,1.1481,1.1481,1293
229,2012-03-27,1.1226,1.131,1.0206,1.0206,16874
230,2012-04-02,1.0206,1.0206,1.0206,1.0206,177
231,2012-04-05,1.0206,1.0206,1.0206,1.0206,2175
232,2012-04-10,0.995,0.995,0.944,0.944,3705
233,2012-04-13,0.944,0.944,0.944,0.944,976
234,2012-04-19,0.9779,1.131,0.9779,0.9864,13025
235,2012-04-20,0.944,0.944,0.8589,0.8589,6217
236,2012-04-23,0.8589,0.944,0.8589,0.944,1999
237,2012-04-27,0.8844,0.8844,0.8844,0.8844,525
238,2012-04-30,0.9354,0.9779,0.9354,0.9779,1175
239,2012-05-10,0.9014,0.9099,0.8674,0.9099,8007
240,2012-05-17,0.8674,0.9099,0.8674,0.9099,746
241,2012-05-28,0.8674,0.8674,0.8674,0.8674,888
242,2012-06-04,0.8674,0.8674,0.8674,0.8674,1175
243,2012-06-20,0.8334,0.8334,0.8164,0.8164,6679
244,2012-07-11,0.7824,0.7824,0.7144,0.7229,5957
245,2012-07-13,0.6888,0.6888,0.6888,0.6888,2352
246,2012-07-16,0.6803,0.6803,0.5953,0.5953,8154
247,2012-07-17,0.5953,0.5953,0.47627,0.5103,25918
248,2012-07-19,0.5443,0.5443,0.5443,0.5443,1587
249,2012-07-23,0.5953,0.5953,0.48478,0.5528,4704
250,2012-07-24,0.6208,0.6208,0.5358,0.5358,2469
251,2012-07-25,0.5528,0.5953,0.48478,0.5953,16004
252,2012-07-26,0.5103,0.5103,0.48478,0.48478,5761
253,2012-07-30,0.5358,0.5698,0.5358,0.5698,3928
254,2012-08-01,0.5953,0.5953,0.5953,0.5953,258
255,2012-08-02,0.5103,0.5103,0.5018,0.5018,3881
256,2012-08-08,0.45072,0.45072,0.42521,0.42521,23529
257,2012-08-10,0.42521,0.42521,0.42521,0.42521,6497
258,2012-08-13,0.5018,0.5018,0.5018,0.5018,1175
259,2012-08-16,0.5018,0.5018,0.5018,0.5018,705
260,2012-08-21,0.42521,0.42521,0.42521,0.42521,480
