,Date,Open,High,Low,Close,Volume
0,2011-10-10,10.781,10.781,8.6324,8.6324,1180
1,2011-10-11,6.9117,8.2629,5.5313,8.2629,444
2,2011-10-13,6.6104,6.6104,6.6104,6.6104,2
3,2011-10-14,6.7465,6.7465,4.2481,5.6382,1763
4,2011-10-17,4.5398,4.5398,4.5106,4.5106,9007
5,2011-10-18,3.6163,4.5398,3.6163,4.5398,208
6,2011-10-19,3.6357,4.3551,3.6357,4.3551,354
7,2011-10-20,3.4899,4.3551,3.4802,3.4802,67
8,2011-10-21,2.9163,2.9163,2.79,2.79,2543
9,2011-10-24,2.4303,2.7802,2.4303,2.7802,4
10,2011-10-25,2.5275,2.5275,2.022,2.2845,942
11,2011-10-26,2.022,2.022,2.022,2.022,21
12,2011-10-27,2.4011,2.4011,2.4011,2.4011,10
13,2011-10-28,2.0123,2.7219,2.0123,2.7219,23
14,2011-10-31,2.7219,2.7219,2.7219,2.7219,8
15,2011-11-02,2.8191,2.8191,2.8191,2.8191,2
16,2011-11-04,2.8191,2.8191,2.8191,2.8191,13
17,2011-11-10,2.9163,3.0622,2.9163,3.0622,56
18,2011-11-15,3.0524,3.0622,2.9747,2.9747,527
19,2011-11-16,3.5482,3.5482,3.5482,3.5482,4
20,2011-11-17,3.4996,3.6454,3.4996,3.6454,33
21,2011-11-18,3.1108,3.4996,3.1108,3.4996,25
22,2011-11-23,2.8677,3.519,2.858,3.519,210
23,2011-12-06,2.3331,2.3331,2.2845,2.2845,462
24,2011-12-07,2.1775,2.1775,2.1386,2.1386,144
25,2011-12-08,2.4303,2.4303,2.4303,2.4303,10
26,2011-12-12,2.7219,2.7219,2.5275,2.5275,15
27,2011-12-13,2.7802,2.7802,2.7802,2.7802,10
28,2011-12-16,2.4303,2.4303,2.372,2.4303,198
29,2011-12-27,2.0025,2.3914,2.0025,2.3914,96
30,2011-12-29,2.5275,2.8191,2.5275,2.8191,6
31,2011-12-30,3.3441,3.3441,3.3441,3.3441,2
32,2012-01-03,2.3428,2.3428,2.3428,2.3428,307
33,2012-01-04,2.8094,2.8094,2.1095,2.1095,113
34,2012-01-09,1.9539,1.9539,1.9539,1.9539,195
35,2012-01-12,2.0414,2.0414,2.0414,2.0414,21
36,2012-01-13,2.2747,2.2747,2.2747,2.2747,2
37,2012-01-16,2.2747,2.7219,2.2747,2.7219,103
38,2012-01-17,2.7122,2.8191,2.7122,2.8191,105
39,2012-01-23,2.2942,2.2942,2.2942,2.2942,103
40,2012-01-24,2.1484,2.1484,2.1484,2.1484,103
41,2012-01-30,2.2164,2.3525,2.2164,2.3525,105
42,2012-02-06,2.3136,2.7219,2.3136,2.7219,239
43,2012-02-07,2.9163,2.9163,2.9163,2.9163,1134
44,2012-02-16,2.3817,2.9066,2.3817,2.9066,223
45,2012-02-20,2.3914,2.3914,2.3914,2.3914,388
46,2012-02-21,2.3914,2.3914,2.3914,2.3914,154
47,2012-02-24,2.3331,2.3331,2.3331,2.3331,113
48,2012-03-20,2.1484,2.1484,2.1484,2.1484,172
49,2012-03-28,2.2359,2.2359,2.2359,2.2359,2158
50,2012-03-30,2.2359,2.2359,2.2359,2.2359,2
51,2012-04-10,2.6733,2.6733,2.6733,2.6733,1
52,2012-05-14,2.197,2.197,2.197,2.197,1234
53,2012-05-16,1.9345,1.9345,1.9345,1.9345,1029
54,2012-05-22,2.1386,2.1386,2.1386,2.1386,51
