,Date,Open,High,Low,Close,Volume
0,1998-04-02,1.6612,1.6612,1.6612,1.6612,
1,1998-04-07,2.0062,2.0062,2.0062,2.0062,963396.0
2,1998-04-08,1.9424,1.9424,1.9424,1.9424,484468.0
3,1998-04-09,1.8531,1.8531,1.8531,1.8531,328469.0
4,1998-04-14,1.7886,1.7886,1.7886,1.7886,251982.0
5,1998-04-15,1.8209,1.8209,1.8209,1.8209,189584.0
6,1998-04-16,1.8786,1.8786,1.8786,1.8786,119460.0
7,1998-04-17,1.8531,1.8531,1.8531,1.8531,123222.0
8,1998-04-20,1.9168,1.9168,1.9168,1.9168,135336.0
9,1998-04-21,1.7886,1.7886,1.7886,1.7886,111216.0
10,1998-04-22,1.7955,1.7955,1.7955,1.7955,142686.0
11,1998-04-23,1.8209,1.8209,1.8209,1.8209,99965.0
12,1998-04-24,1.8973,1.8973,1.8973,1.8973,181036.0
13,1998-04-27,1.8531,1.8531,1.8531,1.8531,185963.0
14,1998-04-28,1.7886,1.7886,1.7886,1.7886,186925.0
15,1998-04-29,1.7886,1.7886,1.7886,1.7886,99728.0
16,1998-04-30,1.7886,1.7886,1.7886,1.7886,67743.0
17,1998-05-04,1.7886,1.7886,1.7886,1.7886,68816.0
18,1998-05-05,1.7886,1.7886,1.7886,1.7886,130126.0
19,1998-05-06,1.7249,1.7249,1.7249,1.7249,58525.0
20,1998-05-07,1.7249,1.7249,1.7249,1.7249,62649.0
21,1998-05-08,1.6552,1.6552,1.6552,1.6552,233044.0
22,1998-05-11,1.6678,1.6678,1.6678,1.6678,141350.0
23,1998-05-12,1.6612,1.6612,1.6612,1.6612,100759.0
24,1998-05-13,1.5015,1.5015,1.5015,1.5015,179934.0
25,1998-05-14,1.5015,1.5015,1.5015,1.5015,212549.0
26,1998-05-15,1.5015,1.5015,1.5015,1.5015,190866.0
27,1998-05-18,1.4954,1.4954,1.4954,1.4954,57635.0
28,1998-05-19,1.4692,1.4692,1.4692,1.4692,118347.0
29,1998-05-20,1.3222,1.3222,1.3222,1.3222,246093.0
30,1998-05-21,1.4376,1.4376,1.4376,1.4376,407701.0
31,1998-05-22,1.4954,1.4954,1.4954,1.4954,416908.0
32,1998-05-25,1.4054,1.4054,1.4054,1.4054,63315.0
33,1998-05-26,1.3994,1.3994,1.3994,1.3994,139179.0
34,1998-05-27,1.3416,1.3416,1.3416,1.3416,185922.0
35,1998-05-28,1.2781,1.2781,1.2781,1.2781,251174.0
36,1998-05-29,1.3162,1.3162,1.3162,1.3162,156346.0
37,1998-06-01,1.2713,1.2713,1.2713,1.2713,132465.0
38,1998-06-02,1.1818,1.1818,1.1818,1.1818,179504.0
39,1998-06-03,1.1947,1.1947,1.1947,1.1947,255617.0
40,1998-06-04,1.2458,1.2458,1.2458,1.2458,261089.0
41,1998-06-05,1.233,1.233,1.233,1.233,233477.0
42,1998-06-08,1.2458,1.2458,1.2458,1.2458,129388.0
43,1998-06-09,1.2458,1.2458,1.2458,1.2458,204207.0
44,1998-06-10,1.2074,1.2074,1.2074,1.2074,163155.0
45,1998-06-15,1.0927,1.0927,1.0927,1.0927,183403.0
46,1998-06-16,1.0859,1.0859,1.0859,1.0859,331617.0
47,1998-06-17,1.1886,1.1886,1.1886,1.1886,117607.0
48,1998-06-18,1.2142,1.2142,1.2142,1.2142,311970.0
49,1998-06-19,1.2524,1.2524,1.2524,1.2524,287992.0
50,1998-06-22,1.3095,1.3095,1.3095,1.3095,265336.0
51,1998-06-23,1.3672,1.3672,1.3672,1.3672,215652.0
52,1998-06-24,1.3416,1.3416,1.3416,1.3416,216222.0
53,1998-06-25,1.4054,1.4054,1.4054,1.4054,186480.0
54,1998-06-26,1.4376,1.4376,1.4376,1.4376,196881.0
55,1998-06-29,1.4692,1.4692,1.4692,1.4692,141350.0
56,1998-06-30,1.4692,1.4692,1.4692,1.4692,111954.0
57,1998-07-01,1.5015,1.5015,1.5015,1.5015,134304.0
58,1998-07-02,1.4692,1.4692,1.4692,1.4692,65780.0
59,1998-07-03,1.4054,1.4054,1.4054,1.4054,99868.0
60,1998-07-06,1.4503,1.4503,1.4503,1.4503,167445.0
61,1998-07-07,1.482,1.482,1.482,1.482,233906.0
62,1998-07-08,1.4692,1.4692,1.4692,1.4692,118011.0
63,1998-07-09,1.4692,1.4692,1.4692,1.4692,63525.0
64,1998-07-10,1.3739,1.3739,1.3739,1.3739,68119.0
65,1998-07-13,1.4954,1.4954,1.4954,1.4954,109506.0
66,1998-07-14,1.521,1.521,1.521,1.521,210655.0
67,1998-07-15,1.5015,1.5015,1.5015,1.5015,170357.0
68,1998-07-16,1.4692,1.4692,1.4692,1.4692,94411.0
69,1998-07-17,1.5082,1.5082,1.5082,1.5082,76348.0
70,1998-07-20,1.5591,1.5591,1.5591,1.5591,192146.0
71,1998-07-21,1.5337,1.5337,1.5337,1.5337,185756.0
72,1998-07-22,1.4376,1.4376,1.4376,1.4376,114002.0
73,1998-07-23,1.4054,1.4054,1.4054,1.4054,77799.0
74,1998-07-24,1.4436,1.4436,1.4436,1.4436,127968.0
75,1998-07-27,1.4054,1.4054,1.4054,1.4054,114281.0
76,1998-07-28,1.3416,1.3416,1.3416,1.3416,124085.0
77,1998-07-29,1.2781,1.2781,1.2781,1.2781,168392.0
78,1998-07-30,1.3416,1.3416,1.3416,1.3416,162195.0
79,1998-07-31,1.3095,1.3095,1.3095,1.3095,76530.0
80,1998-08-03,1.2397,1.2397,1.2397,1.2397,189168.0
81,1998-08-04,1.1947,1.1947,1.1947,1.1947,159230.0
82,1998-08-05,1.1947,1.1947,1.1947,1.1947,242248.0
83,1998-08-06,1.2203,1.2203,1.2203,1.2203,114838.0
84,1998-08-07,1.2013,1.2013,1.2013,1.2013,110187.0
85,1998-08-10,1.2013,1.2013,1.2013,1.2013,58512.0
86,1998-08-11,1.1498,1.1498,1.1498,1.1498,62227.0
87,1998-08-12,1.1498,1.1498,1.1498,1.1498,235160.0
88,1998-08-13,1.1818,1.1818,1.1818,1.1818,144957.0
89,1998-08-14,1.1631,1.1631,1.1631,1.1631,123693.0
90,1998-08-17,1.1692,1.1692,1.1692,1.1692,131714.0
91,1998-08-18,1.2074,1.2074,1.2074,1.2074,86139.0
92,1998-08-19,1.2458,1.2458,1.2458,1.2458,259767.0
93,1998-08-20,1.2142,1.2142,1.2142,1.2142,204247.0
94,1998-08-21,1.2142,1.2142,1.2142,1.2142,77713.0
95,1998-08-24,1.1818,1.1818,1.1818,1.1818,167655.0
96,1998-08-25,1.2013,1.2013,1.2013,1.2013,86332.0
97,1998-08-26,1.1818,1.1818,1.1818,1.1818,62786.0
98,1998-08-27,1.067,1.067,1.067,1.067,183139.0
99,1998-08-28,0.9645,0.9645,0.9645,0.9645,
100,1998-08-31,0.9135,0.9135,0.9135,0.9135,366555.0
101,1998-09-01,0.8241,0.8241,0.8241,0.8241,261589.0
102,1998-09-02,0.8436,0.8436,0.8436,0.8436,163269.0
103,1998-09-03,0.837,0.837,0.837,0.837,488897.0
104,1998-09-04,0.7792,0.7792,0.7792,0.7792,183809.0
105,1998-09-07,0.8564,0.8564,0.8564,0.8564,173809.0
106,1998-09-08,0.888,0.888,0.888,0.888,380202.0
107,1998-09-09,0.9075,0.9075,0.9075,0.9075,249658.0
108,1998-09-10,0.8818,0.8818,0.8818,0.8818,99131.0
109,1998-09-11,0.8497,0.8497,0.8497,0.8497,99813.0
110,1998-09-14,0.933,0.933,0.933,0.933,191409.0
111,1998-09-15,0.9713,0.9713,0.9713,0.9713,169087.0
112,1998-09-16,0.939,0.939,0.939,0.939,168336.0
113,1998-09-17,0.9263,0.9263,0.9263,0.9263,145289.0
114,1998-09-18,0.8693,0.8693,0.8693,0.8693,55281.0
115,1998-09-21,0.8311,0.8311,0.8311,0.8311,290345.0
116,1998-09-22,0.8753,0.8753,0.8753,0.8753,97029.0
117,1998-09-23,0.888,0.888,0.888,0.888,168435.0
118,1998-09-24,0.9263,0.9263,0.9263,0.9263,203244.0
