,Date,Open,High,Low,Close,Volume
0,2012-05-11,9.637,9.726,8.8332,9.3279,2656
1,2012-05-14,9.1952,9.1952,7.8693,7.8693,845
2,2012-05-15,8.3114,8.3114,6.2955,6.5872,1784
3,2012-05-16,6.4103,6.4103,5.482,5.482,839
4,2012-05-21,5.1283,5.1283,5.1283,5.1283,34
5,2012-05-23,4.8719,4.8719,4.7038,4.7038,1158
6,2012-05-25,5.482,6.5783,4.9514,6.5783,980
7,2012-05-28,5.5704,5.5704,5.5704,5.5704,158
8,2012-06-01,5.482,5.482,5.482,5.482,113
9,2012-06-05,5.4731,5.4731,5.4731,5.4731,5
10,2012-06-06,5.4643,5.4643,5.4643,5.4643,5
11,2012-06-11,5.3935,5.3935,5.1637,5.3051,418
12,2012-06-13,5.2962,5.2962,5.0487,5.0487,507
13,2012-06-14,4.6861,4.9514,4.642,4.9514,145
14,2012-06-15,5.1283,5.1283,5.1283,5.1283,113
15,2012-06-22,5.1195,5.1195,4.8719,4.8719,340
16,2012-07-25,4.8719,4.8719,4.8719,4.8719,11
17,2012-07-27,4.642,4.642,4.642,4.642,56
18,2012-08-01,4.863,4.863,4.863,4.863,5
19,2012-08-02,4.863,4.863,4.863,4.863,2
20,2012-08-03,4.863,4.863,4.863,4.863,1
21,2012-08-21,4.8542,4.8542,4.8542,4.8542,11
22,2012-09-06,4.8542,5.3051,4.8542,5.3051,1514
23,2012-09-07,5.0045,6.1893,5.0045,6.1893,1343
24,2012-09-10,6.6314,6.6314,6.1893,6.1893,249
25,2012-09-12,6.985,6.985,6.985,6.985,5
26,2012-09-13,6.985,6.985,5.8887,6.3661,753
27,2012-09-14,6.3396,6.3661,5.8798,6.3661,776
28,2012-09-17,6.6314,6.6314,6.1363,6.1363,503
29,2012-09-18,6.1363,6.1363,5.6854,5.6854,270
30,2012-09-19,5.6854,5.6854,5.3493,5.3493,427
31,2012-10-11,6.3661,6.3661,6.3661,6.3661,11
32,2012-10-16,6.3573,6.3573,5.8887,5.8887,141
33,2012-10-26,5.482,5.482,5.482,5.482,11
34,2012-10-29,5.5704,5.5704,5.5704,5.5704,169
35,2012-11-05,5.8356,5.8356,5.8356,5.8356,2
36,2012-11-06,5.8356,5.8356,5.8356,5.8356,5
37,2012-11-07,5.8356,5.8356,5.1283,5.1283,232
38,2012-11-08,5.3051,5.3051,4.863,4.863,130
39,2012-11-09,4.9514,4.9514,4.4209,4.4209,115
40,2013-01-28,3.9789,3.9789,3.9789,3.9789,226
41,2013-03-08,4.1999,4.1999,3.1831,3.1831,147
42,2013-03-11,2.5464,2.5464,2.0424,2.1751,73
43,2013-03-12,1.7684,2.122,1.5031,1.5031,505
44,2013-03-13,1.45,1.45,1.4147,1.4147,12
45,2013-03-14,1.6976,1.6976,1.5915,1.5915,31
46,2013-03-15,1.5915,1.7684,1.344,1.4147,2021
47,2013-03-18,1.4147,1.4147,1.4147,1.4147,11
48,2013-03-19,1.68,1.7242,1.5915,1.7242,104
49,2013-03-20,2.0336,2.0336,1.7242,1.7242,35
50,2013-03-21,2.2105,2.4758,2.2105,2.4758,79
