,Date,Open,High,Low,Close,Volume
0,2016-04-28,5.9718,6.3231,5.5766,6.0596,69553
1,2016-04-29,6.1475,6.1475,5.9279,6.042,1417
2,2016-05-02,6.042,6.0596,6.042,6.0596,539
3,2016-05-04,6.0596,6.0596,6.0157,6.0508,1640
4,2016-05-05,6.0508,6.0508,5.9015,6.0508,1046
5,2016-05-06,6.3231,6.3231,5.9015,6.0596,211
6,2016-05-09,6.0596,6.0596,6.0596,6.0596,270
7,2016-05-10,5.9279,5.9279,5.9279,5.9279,206
8,2016-05-11,5.9279,6.0947,5.9279,6.0947,12
9,2016-05-12,6.0947,6.0947,6.0947,6.0947,99
10,2016-05-13,6.0947,6.1386,6.0245,6.0245,4480
11,2016-05-16,5.9894,6.1475,5.9894,6.1475,2351
12,2016-05-17,6.0245,6.0245,6.0157,6.0157,2488
13,2016-05-18,6.0596,6.0947,6.0596,6.0947,365
14,2016-05-19,6.0684,6.0947,5.9981,6.0947,1866
15,2016-05-20,5.9981,6.0947,5.9981,6.0596,3873
16,2016-05-23,5.9981,6.0596,5.9981,6.0596,3229
17,2016-05-24,5.9981,6.0596,5.9981,6.0596,30
18,2016-05-25,6.1036,6.1036,6.1036,6.1036,40
19,2016-05-27,6.1475,6.1475,6.1475,6.1475,1
20,2016-05-30,6.1036,6.1036,6.0947,6.0947,445
21,2016-05-31,6.0947,6.121,5.9015,6.121,3454
22,2016-06-01,6.1123,6.1123,5.8753,5.9191,457
23,2016-06-02,5.7698,6.1123,5.761,6.1123,3142
24,2016-06-03,6.1123,6.1123,5.9367,5.9367,35
25,2016-06-06,5.9367,6.1123,5.9367,6.1123,33
26,2016-06-07,6.1123,6.1123,6.1123,6.1123,2
27,2016-06-08,6.1123,6.1123,5.9367,5.9367,52
28,2016-06-09,6.1123,6.1123,5.9103,5.9103,1959
29,2016-06-10,6.086,6.086,6.086,6.086,3
30,2016-06-13,6.1123,6.1123,5.884,5.9718,5171
31,2016-06-14,6.1123,6.1123,5.8753,5.8927,5874
32,2016-06-15,6.1123,6.1123,5.8664,5.8927,267
33,2016-06-16,6.1123,6.1123,6.0596,6.0596,56
34,2016-06-17,6.1123,6.1123,6.1123,6.1123,92
35,2016-06-20,6.1123,6.1123,6.1123,6.1123,12
36,2016-06-21,6.0947,6.0947,5.84,5.9981,1942
37,2016-06-22,6.0948,6.0948,5.9981,5.9981,32
38,2016-06-23,6.1036,6.1036,5.9981,6.0508,3535
39,2016-06-24,5.7083,5.7083,5.2692,5.7083,3873
40,2016-06-27,5.6995,5.84,5.6995,5.84,662
41,2016-06-28,5.8576,6.0157,5.8576,6.0069,150
42,2016-06-29,6.1036,6.1036,6.0069,6.0069,2
43,2016-06-30,6.0069,6.4109,5.9893,6.1036,56116
44,2016-07-01,6.1123,6.1123,6.0596,6.0596,2
45,2016-07-04,6.0684,6.2704,6.0684,6.2704,13903
46,2016-07-05,6.2792,6.3846,6.2792,6.3846,3
47,2016-07-06,6.5829,6.5829,6.0148,6.3395,4245
48,2016-07-07,6.3395,6.3395,6.2763,6.3395,26
49,2016-07-08,6.3215,6.3215,6.3215,6.3215,49
50,2016-07-11,6.3215,6.3215,6.2583,6.3124,3194
51,2016-07-12,6.3215,6.3215,6.1771,6.1771,2242
52,2016-07-13,6.3215,6.3215,6.3215,6.3215,1
53,2016-07-14,6.3124,6.3124,6.3124,6.3124,3
54,2016-07-15,6.3215,6.3215,6.1321,6.2944,4568
55,2016-07-18,6.1321,6.1321,5.7984,6.1321,7805
56,2016-07-19,6.1321,6.1321,6.1321,6.1321,2
57,2016-07-20,6.1321,6.1321,5.8074,6.096,4323
58,2016-07-21,6.0419,6.0419,6.0419,6.0419,2
59,2016-07-22,6.0419,6.0419,6.0419,6.0419,1
60,2016-07-25,6.096,6.3034,5.9066,6.3034,2489
61,2016-07-26,6.3034,6.3034,5.9517,6.0599,2389
62,2016-07-27,6.3034,6.3034,6.3034,6.3034,1
63,2016-07-28,6.3034,6.3034,6.2583,6.2583,6
64,2016-07-29,6.3034,6.3034,6.1681,6.1681,13
65,2016-08-01,6.3034,6.3034,6.3034,6.3034,2
66,2016-08-02,6.3034,6.3034,6.1681,6.3034,300
67,2016-08-03,6.3034,6.3034,5.9517,6.0419,9394
68,2016-08-04,6.3034,6.3034,5.9517,6.087,311
69,2016-08-05,6.3034,6.3034,6.3034,6.3034,2
70,2016-08-08,6.3034,6.3034,6.3034,6.3034,2
71,2016-08-09,6.3034,6.3034,6.1321,6.1321,222
72,2016-08-10,6.3034,6.3034,6.0329,6.0329,277
73,2016-08-11,6.0329,6.1321,5.9517,6.1321,42939
74,2016-08-12,6.0419,6.1321,6.0419,6.1321,279
75,2016-08-16,6.2222,6.2222,6.0599,6.2222,1239
76,2016-08-17,6.2222,6.2222,5.9427,6.2222,3468
77,2016-08-18,6.2222,6.2222,6.096,6.2222,113
78,2016-08-19,6.2222,6.2222,6.087,6.087,2442
79,2016-08-22,6.087,6.087,6.0329,6.087,229
80,2016-08-23,6.087,6.087,5.9517,5.9517,6434
81,2016-08-24,6.087,6.087,5.8345,6.0419,1188
82,2016-08-25,6.0419,6.0419,5.9698,6.0419,728
83,2016-08-26,6.0419,6.0419,5.9517,5.9517,2
84,2016-08-29,6.0419,6.0419,5.9607,6.0238,124
85,2016-08-30,6.0419,6.0419,6.0419,6.0419,2
86,2016-08-31,6.0419,6.3124,5.8074,6.3124,11822
87,2016-09-01,6.4747,6.4747,5.8435,5.8435,5181
88,2016-09-02,5.8435,5.8435,5.8435,5.8435,1786
89,2016-09-05,6.1321,6.1321,5.9066,5.9066,567
90,2016-09-06,6.1321,6.1321,5.9066,5.9156,20
91,2016-09-07,6.0419,6.0419,5.636,5.7173,3127
