,Date,Open,High,Low,Close,Volume
0,2008-12-29,1.1166,2.1804,1.0991,2.1804,212366
1,2008-12-30,1.6793,2.031,1.6617,1.7144,266252
2,2008-12-31,1.6705,2.1804,1.6705,2.1804,218958
3,2009-01-05,2.1189,2.2948,1.9343,2.0221,167996
4,2009-01-06,1.9518,2.0046,1.8463,1.8463,77723
5,2009-01-07,1.7584,2.0134,1.6793,1.8112,111764
6,2009-01-08,1.9079,1.9079,1.8463,1.8463,32440
7,2009-01-09,1.8463,1.8639,1.7584,1.8288,39747
8,2009-01-12,1.8463,1.8551,1.6793,1.6881,26576
9,2009-01-13,1.6705,1.6705,1.5122,1.6177,30602
10,2009-01-14,1.6442,1.6442,1.4155,1.4946,46682
11,2009-01-15,1.3364,1.5298,1.3364,1.3364,62115
12,2009-01-16,1.4595,1.4595,1.3715,1.4507,23730
13,2009-01-19,1.4507,1.477,1.4155,1.4155,20868
14,2009-01-20,1.4507,1.4507,1.3364,1.398,24014
15,2009-01-21,1.398,1.4507,1.3628,1.4507,49249
16,2009-01-22,1.4507,1.4507,1.4331,1.4419,34054
17,2009-01-23,1.477,1.477,1.3628,1.4507,100859
18,2009-01-26,1.4859,1.4859,1.4155,1.4859,116373
19,2009-01-27,1.4859,1.5211,1.4859,1.4859,65889
20,2009-01-28,1.4859,1.5122,1.4507,1.4946,128187
21,2009-01-29,1.4859,1.4859,1.4684,1.4859,72003
22,2009-01-30,1.5122,1.5211,1.477,1.5122,68165
23,2009-02-02,1.5122,1.5122,1.4507,1.5035,32436
24,2009-02-03,1.5035,1.5035,1.4419,1.4946,34596
25,2009-02-04,1.5035,1.5035,1.4507,1.5035,39365
26,2009-02-05,1.5035,1.5035,1.4859,1.4946,53276
27,2009-02-06,1.5035,1.5211,1.4946,1.5211,56267
28,2009-02-09,1.4507,1.5122,1.4507,1.5122,19108
29,2009-02-10,1.5122,1.5122,1.4859,1.4946,18405
30,2009-02-11,1.4946,1.4946,1.4684,1.4946,19586
31,2009-02-12,1.4946,1.5035,1.4859,1.5035,29447
32,2009-02-13,1.5035,1.5738,1.4595,1.5386,77834
33,2009-02-16,1.5386,1.5474,1.5122,1.5386,70031
34,2009-02-17,1.5386,1.5386,1.4859,1.5298,36250
35,2009-02-18,1.5386,1.5386,1.5211,1.5298,23715
36,2009-02-19,1.5298,1.5474,1.5035,1.5386,26128
37,2009-02-20,1.5386,1.5386,1.4946,1.5211,16406
38,2009-02-23,1.5386,1.5386,1.4946,1.5298,14568
39,2009-02-24,1.5298,1.5298,1.4946,1.5211,12795
40,2009-02-25,1.5298,1.5386,1.5035,1.5211,26621
41,2009-02-26,1.5298,1.5298,1.5211,1.5298,13547
42,2009-02-27,1.5211,1.5211,1.4859,1.4859,20019
43,2009-03-02,1.5211,1.5211,1.4684,1.4859,13085
44,2009-03-03,1.4859,1.4946,1.4684,1.4946,6642
45,2009-03-04,1.4859,1.4946,1.4595,1.4859,15662
46,2009-03-05,1.4859,1.4859,1.4507,1.477,29259
47,2009-03-06,1.4859,1.4859,1.4331,1.4331,61558
48,2009-03-09,1.4946,1.4946,1.4419,1.4859,25472
49,2009-03-10,1.4859,1.4946,1.477,1.4859,7871
50,2009-03-11,1.5035,1.5122,1.4859,1.4946,40082
51,2009-03-12,1.4946,1.5122,1.4507,1.5035,15934
52,2009-03-13,1.5122,1.5211,1.5122,1.5211,18007
53,2009-03-16,1.5211,1.5211,1.5122,1.5211,14721
54,2009-03-17,1.5122,1.5211,1.4946,1.5211,46538
55,2009-03-18,1.5211,1.5211,1.4859,1.5122,40708
56,2009-03-19,1.5122,1.5122,1.4859,1.5035,41217
57,2009-03-20,1.5122,1.5211,1.5035,1.5122,24804
58,2009-03-23,1.5211,1.5211,1.4946,1.5211,13193
59,2009-03-24,1.5211,1.5211,1.477,1.5035,16401
60,2009-03-25,1.5122,1.5122,1.4946,1.5035,35856
61,2009-03-26,1.5035,1.5035,1.4684,1.5035,17187
62,2009-03-27,1.4946,1.4946,1.4859,1.4946,10904
63,2009-03-30,1.4859,1.5035,1.4684,1.5035,42506
64,2009-03-31,1.5035,1.5035,1.4946,1.5035,15127
65,2009-04-01,1.4946,1.5474,1.4684,1.5035,157379
66,2009-04-02,1.5211,1.5211,1.477,1.5035,41655
67,2009-04-03,1.5035,1.5035,1.4684,1.4684,27706
68,2009-04-06,1.4684,1.5035,1.4595,1.4946,40934
69,2009-04-07,1.5035,1.5211,1.4946,1.5122,33058
70,2009-04-08,1.5211,1.5474,1.4946,1.5298,106122
71,2009-04-09,1.5386,1.6266,1.5298,1.6177,343644
72,2009-04-14,1.5826,1.6353,1.5211,1.5826,358535
73,2009-04-15,1.5914,1.5914,1.5386,1.5738,62254
74,2009-04-16,1.5914,1.5914,1.5562,1.5738,43127
75,2009-04-17,1.5826,1.6177,1.5474,1.6177,56922
76,2009-04-20,1.6177,1.6266,1.5826,1.6177,83740
77,2009-04-21,1.6266,1.6266,1.5826,1.6266,69621
78,2009-04-22,1.6177,1.6266,1.5826,1.6266,57994
79,2009-04-23,1.6266,1.6266,1.609,1.6266,11525
80,2009-04-24,1.6266,1.6266,1.5562,1.5826,57674
81,2009-04-27,1.6001,1.6001,1.5562,1.5826,32835
82,2009-04-28,1.5474,1.5826,1.5386,1.5562,14128
83,2009-04-29,1.565,1.5914,1.5562,1.5914,17964
84,2009-04-30,1.5914,1.609,1.5562,1.5914,22544
85,2009-05-04,1.6001,1.609,1.5562,1.5826,22592
86,2009-05-05,1.5914,1.5914,1.5386,1.5738,17528
87,2009-05-06,1.6266,1.7321,1.6266,1.7321,682886
88,2009-05-07,1.7673,1.7935,1.7057,1.7232,397110
89,2009-05-08,1.7497,1.7584,1.6793,1.7584,190981
90,2009-05-11,1.7584,1.9166,1.7144,1.8639,554975
91,2009-05-12,1.9166,1.9166,1.8463,1.8815,71047
92,2009-05-13,1.9166,1.9166,1.7057,1.7935,129967
93,2009-05-14,1.7935,1.8112,1.7144,1.8112,73836
94,2009-05-15,1.8288,1.8288,1.7408,1.8024,124817
95,2009-05-18,1.7584,1.8024,1.7321,1.8024,62049
96,2009-05-19,1.7848,1.8024,1.7408,1.7584,46933
97,2009-05-20,1.7584,1.7673,1.6969,1.7497,70427
98,2009-05-21,1.7584,1.7848,1.7408,1.7848,89481
99,2009-05-22,1.7848,1.8112,1.7144,1.7408,47077
100,2009-05-25,1.7848,1.7848,1.6705,1.7408,30425
101,2009-05-26,1.7408,1.7408,1.6266,1.6442,71686
102,2009-05-27,1.6617,1.6969,1.6177,1.6793,52164
103,2009-05-28,1.6969,1.6969,1.6266,1.6617,50270
104,2009-05-29,1.6617,1.7144,1.6617,1.7057,44109
105,2009-06-01,1.6881,1.7408,1.6705,1.6705,43183
106,2009-06-02,1.6969,1.7057,1.6793,1.6881,26889
107,2009-06-03,1.7321,1.7321,1.6705,1.6881,32799
108,2009-06-04,1.6881,1.6881,1.6705,1.6881,30285
109,2009-06-05,1.7321,1.7321,1.6705,1.6969,25307
110,2009-06-08,1.6881,1.6969,1.6177,1.6177,52093
111,2009-06-09,1.6266,1.6969,1.609,1.6617,46802
112,2009-06-10,1.6528,1.7848,1.6266,1.6793,159275
113,2009-06-12,1.6881,1.6969,1.6353,1.6705,50756
114,2009-06-15,1.6617,1.6793,1.6266,1.6617,31950
115,2009-06-16,1.6617,1.6617,1.6177,1.6442,16014
116,2009-06-17,1.6528,1.6528,1.5826,1.609,25518
117,2009-06-18,1.609,1.6353,1.5562,1.5562,37002
118,2009-06-19,1.5474,1.5738,1.5474,1.5738,73194
119,2009-06-22,1.6177,1.6177,1.5298,1.565,69398
120,2009-06-23,1.5826,1.5826,1.5211,1.5211,35510
121,2009-06-24,1.5474,1.565,1.5386,1.565,40191
122,2009-06-25,1.565,1.6705,1.4946,1.6266,70119
123,2009-06-26,1.6266,1.6528,1.5386,1.6353,38954
124,2009-06-29,1.6177,1.6705,1.5562,1.6705,49809
125,2009-06-30,1.6705,1.6705,1.6266,1.6617,22987
126,2009-07-01,1.6442,1.6442,1.6266,1.6442,23021
127,2009-07-02,1.6353,1.6353,1.5826,1.6353,30824
128,2009-07-03,1.6442,1.6442,1.6177,1.6266,27708
129,2009-07-06,1.6266,1.6266,1.5826,1.609,7306
130,2009-07-07,1.609,1.6177,1.5826,1.6177,22920
131,2009-07-08,1.6177,1.6177,1.6001,1.6177,25598
132,2009-07-09,1.6266,1.6266,1.5826,1.6177,21546
133,2009-07-10,1.6705,1.6793,1.6353,1.6528,64791
134,2009-07-13,1.6442,1.6442,1.609,1.6442,31888
135,2009-07-14,1.6528,1.6617,1.6442,1.6617,44757
136,2009-07-15,1.6617,1.6617,1.6266,1.6442,19927
137,2009-07-16,1.6528,1.6617,1.6266,1.6266,22532
138,2009-07-17,1.6266,1.6528,1.609,1.6353,32330
139,2009-07-20,1.6353,1.6353,1.6001,1.609,17703
140,2009-07-21,1.6177,1.6177,1.5474,1.609,17231
141,2009-07-22,1.6266,1.6266,1.5826,1.6266,46806
142,2009-07-23,1.5826,1.6353,1.5826,1.6353,49819
143,2009-07-24,1.6442,1.7584,1.6353,1.7497,203294
144,2009-07-27,1.82,1.8463,1.7057,1.7497,306819
145,2009-07-28,1.7408,1.7848,1.7232,1.7848,68804
146,2009-07-29,1.7935,1.8024,1.7584,1.7935,71236
147,2009-07-30,1.7935,1.8551,1.7935,1.8551,164364
148,2009-07-31,1.8024,1.8639,1.7321,1.8551,213668
149,2009-08-03,1.8639,1.8639,1.7408,1.8639,102838
150,2009-08-04,1.7497,1.8639,1.7497,1.8639,154278
151,2009-08-05,1.8551,1.8551,1.8112,1.8463,30356
152,2009-08-06,1.8463,1.8463,1.82,1.8288,102869
153,2009-08-07,1.8463,1.8639,1.8288,1.8639,122545
154,2009-08-10,1.8639,1.8728,1.8288,1.8728,129620
155,2009-08-11,1.8904,1.9343,1.8112,1.8551,681292
156,2009-08-12,1.8551,1.8551,1.7408,1.7584,400560
157,2009-08-13,1.82,1.82,1.7144,1.7759,156902
158,2009-08-14,1.7759,1.7935,1.7057,1.7584,143647
159,2009-08-17,1.7584,1.7584,1.7057,1.7408,78485
160,2009-08-18,1.7497,1.7673,1.7144,1.7673,175252
161,2009-08-19,1.7935,1.8815,1.7673,1.8551,245542
162,2009-08-20,1.8815,1.9431,1.8728,1.9343,209209
163,2009-08-21,1.9343,1.9431,1.9166,1.9431,195891
164,2009-08-24,1.9431,1.9431,1.899,1.9431,107074
165,2009-08-25,1.9958,2.1452,1.9958,2.1013,2225002
166,2009-08-26,2.0925,2.1189,1.9958,2.0662,348022
167,2009-08-27,2.0486,2.0662,1.9782,2.0134,187798
168,2009-08-28,2.0397,2.0397,1.9166,1.9606,281582
169,2009-08-31,2.0573,2.0573,1.9606,2.0397,264676
170,2009-09-01,2.0486,2.0573,1.9255,1.987,215192
171,2009-09-02,1.9518,1.9518,1.8728,1.9166,299280
172,2009-09-03,1.9782,1.987,1.9166,1.9518,81826
173,2009-09-04,1.9606,1.9694,1.9166,1.9606,88075
174,2009-09-07,1.9606,2.0221,1.9343,1.9958,141824
175,2009-09-08,1.9782,2.0662,1.9343,2.0662,556299
176,2009-09-09,2.1013,2.1717,2.0749,2.1717,580282
177,2009-09-10,2.1893,2.2156,2.1101,2.1277,418273
178,2009-09-11,2.1628,2.1717,2.1013,2.1452,216333
179,2009-09-14,2.1452,2.1452,2.0662,2.1101,203668
180,2009-09-15,2.1189,2.1893,2.1101,2.1893,252356
181,2009-09-16,2.2068,2.2772,2.1717,2.242,820213
182,2009-09-17,2.2772,2.2772,2.2068,2.2156,118058
183,2009-09-18,2.2068,2.4003,2.198,2.4003,833971
184,2009-09-21,2.3914,2.409,2.3299,2.3563,182367
185,2009-09-22,2.3651,2.4706,2.3299,2.4706,921940
186,2009-09-23,2.4882,2.5145,2.409,2.4706,481996
187,2009-09-24,2.4882,2.4882,2.321,2.3299,397269
188,2009-09-25,2.3123,2.3651,2.2244,2.3123,295789
189,2009-09-28,2.3651,2.3914,2.321,2.3738,102203
190,2009-09-29,2.3387,2.4354,2.3387,2.3738,269176
191,2009-09-30,2.409,2.409,2.3387,2.3563,191317
192,2009-10-01,2.3738,2.4354,2.3563,2.409,127840
193,2009-10-02,2.3738,2.4266,2.3299,2.4179,152783
194,2009-10-05,2.4266,2.4354,2.3738,2.4179,120843
195,2009-10-06,2.4266,2.6376,2.4266,2.6025,549061
196,2009-10-07,2.6113,2.6113,2.5145,2.5497,218005
197,2009-10-08,2.5672,2.5937,2.5321,2.5937,116470
198,2009-10-09,2.5937,2.5937,2.541,2.5848,132004
199,2009-10-12,2.5937,2.6025,2.5497,2.5937,109951
200,2009-10-13,2.5585,2.6025,2.5145,2.5321,118864
201,2009-10-14,2.5937,2.6025,2.4794,2.5672,152099
202,2009-10-15,2.5672,2.5761,2.4617,2.5233,137261
203,2009-10-16,2.5497,2.5497,2.4969,2.5497,182111
204,2009-10-19,2.5761,2.7168,2.5672,2.6816,1057644
205,2009-10-20,2.7255,2.7255,2.6113,2.6727,196004
206,2009-10-21,2.6816,2.6903,2.6113,2.6464,185084
207,2009-10-22,2.6464,2.6552,2.6025,2.6288,150260
208,2009-10-23,2.6552,2.6727,2.5848,2.5937,83737
209,2009-10-26,2.6113,2.6113,2.4706,2.5497,98115
210,2009-10-27,2.541,2.541,2.4441,2.4882,92253
211,2009-10-28,2.4882,2.5321,2.4441,2.4794,142708
212,2009-10-29,2.5057,2.62,2.4794,2.5937,201948
213,2009-10-30,2.62,2.62,2.5145,2.5497,90489
214,2009-11-02,2.5233,2.5585,2.453,2.4617,270614
215,2009-11-03,2.4706,2.5057,2.409,2.4617,372483
216,2009-11-04,2.4617,2.4706,2.3651,2.3738,220776
217,2009-11-05,2.3826,2.4179,2.3738,2.3738,134847
218,2009-11-06,2.3738,2.3914,2.3387,2.3914,167561
219,2009-11-09,2.4003,2.5585,2.4003,2.5585,154703
220,2009-11-10,2.5761,2.6727,2.5585,2.6727,215429
221,2009-11-12,2.6816,2.7255,2.6376,2.7255,443224
222,2009-11-13,2.6992,2.7255,2.6552,2.6903,113487
223,2009-11-16,2.7168,2.7168,2.5761,2.62,72013
224,2009-11-17,2.6376,2.6641,2.6288,2.6288,41746
225,2009-11-18,2.6376,2.6376,2.5672,2.6113,153318
226,2009-11-19,2.62,2.6464,2.6025,2.62,119997
227,2009-11-20,2.62,2.6464,2.6113,2.6376,149579
228,2009-11-23,2.7079,2.7079,2.6552,2.6816,93198
229,2009-11-24,2.6727,2.6992,2.6464,2.6727,108163
230,2009-11-25,2.6816,2.6903,2.541,2.5937,161265
231,2009-11-26,2.6113,2.62,2.5057,2.5585,34540
232,2009-11-27,2.541,2.541,2.4969,2.541,31051
233,2009-11-30,2.541,2.5937,2.4617,2.4794,72639
234,2009-12-01,2.4794,2.5672,2.4794,2.5497,197601
235,2009-12-02,2.5585,2.5585,2.453,2.4794,182411
236,2009-12-03,2.5057,2.5233,2.4441,2.4882,144389
237,2009-12-04,2.4882,2.4969,2.453,2.4794,70894
238,2009-12-07,2.4969,2.4969,2.4441,2.4706,77173
239,2009-12-08,2.4794,2.4794,2.4617,2.4706,68939
240,2009-12-09,2.4794,2.4794,2.4617,2.4706,55192
241,2009-12-10,2.4706,2.4794,2.453,2.4706,56056
242,2009-12-11,2.4617,2.4794,2.4617,2.4794,55072
243,2009-12-14,2.4794,2.5057,2.453,2.5057,181579
244,2009-12-15,2.5057,2.5057,2.4706,2.4969,62056
245,2009-12-16,2.5057,2.5497,2.4441,2.4794,335745
246,2009-12-17,2.4794,2.4794,2.4441,2.4441,49995
247,2009-12-18,2.453,2.453,2.4441,2.453,43880
248,2009-12-21,2.4441,2.453,2.409,2.4441,128088
249,2009-12-22,2.4354,2.4441,2.4179,2.4266,53673
250,2009-12-23,2.4266,2.4266,2.3563,2.3563,63059
251,2009-12-28,2.3563,2.3914,2.3299,2.3651,68379
252,2009-12-29,2.3651,2.3651,2.3651,2.3651,52294
253,2009-12-30,2.3651,2.3651,2.2772,2.3299,109434
254,2009-12-31,2.3563,2.3563,2.3299,2.3387,32306
255,2010-01-04,2.3563,2.4441,2.3299,2.4266,391716
256,2010-01-05,2.4617,2.4969,2.4266,2.4882,3358268
257,2010-01-06,2.5497,2.5497,2.5057,2.5497,135484
258,2010-01-07,2.5848,2.5848,2.5145,2.5672,113741
259,2010-01-08,2.5848,2.6025,2.5497,2.6025,220579
260,2010-01-11,2.6113,2.62,2.5761,2.5848,89812
261,2010-01-12,2.5848,2.5937,2.5233,2.5848,56147
262,2010-01-13,2.5848,2.6113,2.5585,2.6113,90256
263,2010-01-14,2.6376,2.6376,2.6113,2.62,74227
264,2010-01-15,2.62,2.6464,2.5848,2.5937,313281
265,2010-01-18,2.6288,2.6376,2.5761,2.6113,40817
266,2010-01-19,2.6376,2.6376,2.5937,2.6376,61531
267,2010-01-20,2.6376,2.6376,2.5937,2.62,48808
268,2010-01-21,2.6288,2.6288,2.5761,2.5761,74283
269,2010-01-22,2.5761,2.6113,2.4617,2.5497,178087
270,2010-01-25,2.6113,2.6113,2.5233,2.5761,76372
271,2010-01-26,2.5761,2.5937,2.4003,2.5937,75852
272,2010-01-27,2.5761,2.6025,2.5761,2.5937,473523
273,2010-01-28,2.5937,2.6025,2.4969,2.5497,232185
274,2010-01-29,2.5672,2.5672,2.5057,2.541,37012
275,2010-02-01,2.5672,2.6025,2.541,2.541,40167
276,2010-02-02,2.5848,2.5848,2.5321,2.5321,65921
277,2010-02-03,2.5848,2.5848,2.541,2.5761,54010
278,2010-02-04,2.5848,2.5848,2.4617,2.4617,89480
279,2010-02-05,2.4706,2.5057,2.4179,2.4969,135622
280,2010-02-08,2.4969,2.5057,2.4882,2.5057,49000
281,2010-02-09,2.5057,2.5057,2.4882,2.5057,42080
282,2010-02-10,2.5057,2.5057,2.4969,2.5057,31635
283,2010-02-11,2.5233,2.5497,2.5057,2.5321,71529
284,2010-02-12,2.5321,2.541,2.5145,2.541,50883
285,2010-02-15,2.541,2.541,2.5145,2.541,36649
286,2010-02-16,2.5321,2.5321,2.5145,2.5233,27534
