,Date,Open,High,Low,Close,Volume
0,2012-06-21,5.9797,5.9797,4.9884,4.9884,2217
1,2012-06-22,4.9884,4.9884,4.4767,4.4767,130
2,2012-06-25,4.4767,4.4767,3.8372,4.4767,1379
3,2012-06-26,4.4767,4.4767,4.4767,4.4767,8
4,2012-06-27,4.4767,4.4767,3.8372,4.4767,2061
5,2012-06-28,4.4767,4.4767,3.7093,3.7093,219
6,2012-06-29,3.8372,4.4512,3.8372,4.4512,641
7,2012-07-02,4.2337,4.2337,4.2337,4.2337,360
8,2012-07-03,4.2337,4.4767,3.6453,3.6453,1967
9,2012-07-04,3.6453,3.6453,3.3895,3.3895,125
10,2012-07-05,3.3895,3.3895,3.1977,3.1977,3620
11,2012-07-10,3.1337,3.5174,2.8715,3.5174,1087
12,2012-07-11,3.332,3.332,3.2616,3.2616,485
13,2012-07-12,3.1337,3.5174,2.8779,3.5174,563
14,2012-07-13,3.3576,3.3576,3.332,3.332,469
15,2012-07-16,3.2297,3.2297,3.1785,3.1785,485
16,2012-07-17,2.814,2.814,2.814,2.814,16
17,2012-07-24,2.8843,2.8843,2.8843,2.8843,547
18,2012-07-26,2.9227,3.4343,2.9227,3.4343,1126
19,2012-07-27,3.4343,3.8372,3.4343,3.8372,227
20,2012-07-30,3.8372,4.6047,3.8372,4.6047,649
21,2012-07-31,4.6047,4.6686,4.6047,4.6686,31
22,2012-08-01,4.6686,5.1163,4.6686,5.1163,391
23,2012-08-02,5.014,5.3721,5.0076,5.1483,407
24,2012-08-03,6.3953,6.3953,6.3953,6.3953,39
25,2012-08-09,6.3953,7.1628,6.3953,7.1628,1024
26,2012-08-10,7.1628,7.5465,7.1564,7.5465,266
27,2012-08-13,7.6744,7.6744,6.9709,7.6744,600
28,2012-08-14,7.6744,7.6744,7.0349,7.6744,461
29,2012-08-16,7.3291,7.3547,7.0988,7.3547,245
30,2012-08-17,7.3483,7.5465,7.2012,7.3547,805
31,2012-08-20,7.3547,7.3547,7.1628,7.3547,510
32,2012-08-21,7.3547,7.3547,7.3547,7.3547,8
33,2012-08-22,7.3547,7.5465,7.3547,7.5465,688
