,Date,Open,High,Low,Close,Volume
0,2011-09-08,8.5,8.5,7.11,7.65,6834
1,2011-09-09,7.46,8.08,6.52,7.45,1718
2,2011-09-12,7.46,8.9,7.45,8.8,6083
3,2011-09-13,8.99,9.2,8.6,9.16,462
4,2011-09-14,8.93,9.15,8.0,8.85,4450
5,2011-09-16,8.65,8.85,8.65,8.85,510
6,2011-09-19,8.63,8.85,8.63,8.85,1590
7,2011-09-20,8.63,8.84,8.5,8.7,380
8,2011-09-21,8.48,8.48,8.47,8.47,350
9,2011-09-22,8.67,8.79,8.26,8.79,659
10,2011-09-23,8.8,8.8,8.5,8.8,322
11,2011-09-26,8.58,8.79,8.58,8.79,165
12,2011-09-27,8.57,8.57,8.57,8.57,200
13,2011-09-28,8.36,8.36,8.36,8.36,300
14,2011-09-29,8.15,8.77,8.15,8.77,310
15,2011-09-30,8.55,8.73,8.55,8.73,2843
16,2011-10-03,8.51,8.74,8.51,8.74,290
17,2011-10-04,8.52,8.73,8.52,8.73,304
18,2011-10-05,8.51,8.74,8.51,8.74,297
19,2011-10-07,8.1,8.73,8.1,8.73,290
20,2011-10-13,7.9,8.74,7.9,8.74,360
21,2011-10-14,7.7,8.73,7.7,8.73,290
22,2011-10-24,8.51,8.85,8.51,8.85,1942
23,2011-10-25,10.62,10.62,9.0,10.35,357
24,2011-10-26,9.9,10.4,9.9,10.4,110
25,2011-10-31,9.9,12.44,9.9,12.44,2384
26,2011-11-02,10.9,12.0,10.0,10.0,260
27,2011-11-03,11.2,11.5,10.7,10.7,550
28,2011-11-29,8.5,9.85,8.5,9.85,172
29,2011-12-05,8.0,8.0,8.0,8.0,1
30,2011-12-06,8.0,8.0,8.0,8.0,1
31,2011-12-07,9.85,9.85,9.85,9.85,10
32,2011-12-15,9.85,9.85,9.85,9.85,30
33,2011-12-16,9.0,9.85,9.0,9.85,1710
34,2011-12-22,9.0,9.0,9.0,9.0,220
35,2011-12-23,9.85,9.85,9.85,9.85,10
36,2011-12-27,9.0,9.0,9.0,9.0,86
37,2011-12-28,9.01,9.85,8.9,9.85,1562
38,2011-12-29,9.0,9.85,9.0,9.85,1006
39,2012-01-02,11.0,11.0,11.0,11.0,1
40,2012-01-04,9.05,9.05,9.05,9.05,1500
41,2012-01-05,9.05,9.05,9.05,9.05,3759
42,2012-01-09,9.05,9.05,9.05,9.05,1982
43,2012-01-10,8.7,9.2,8.7,9.2,110
44,2012-01-11,9.05,9.05,9.05,9.05,1795
45,2012-01-24,9.13,11.25,9.13,11.25,29575
46,2012-01-25,11.55,11.55,11.55,11.55,10
47,2012-01-26,11.45,11.45,11.45,11.45,19
48,2012-01-27,10.64,10.64,9.17,10.6,505
49,2012-01-30,9.9,9.9,9.65,9.65,517
50,2012-01-31,9.41,10.1,9.41,9.64,690
51,2012-02-01,9.4,10.05,9.39,9.56,1384
52,2012-02-02,9.79,10.03,9.79,10.03,506
53,2012-02-03,10.27,10.4,10.2,10.4,525
54,2012-02-06,10.14,10.39,10.14,10.39,850
55,2012-02-07,10.15,10.15,10.15,10.15,40
56,2012-02-08,10.38,10.64,10.2,10.6,959
57,2012-02-09,10.86,11.25,10.6,11.25,1067
58,2012-02-10,10.97,10.97,10.59,10.59,207
59,2012-02-13,10.85,10.89,10.36,10.5,1350
60,2012-02-14,10.75,11.0,10.36,10.36,708
61,2012-02-15,11.02,11.02,11.02,11.02,227
62,2012-02-16,10.4,11.6,10.4,10.89,127483
63,2012-02-17,10.63,11.01,10.52,10.52,998
64,2012-02-20,10.92,11.59,10.54,10.76,1021
65,2012-02-21,11.01,11.01,10.75,10.75,546
66,2012-02-22,11.29,12.75,10.26,10.36,3803
67,2012-02-23,10.92,10.92,10.92,10.92,172
68,2012-02-24,10.92,12.04,10.45,10.71,1972
69,2012-02-27,10.0,12.1,10.0,11.06,1468
70,2012-02-28,11.66,12.2,10.77,11.65,910
71,2012-02-29,10.67,11.97,10.67,11.63,329
72,2012-03-01,11.91,13.89,11.66,13.89,1504
73,2012-03-02,12.15,14.55,12.15,12.31,1051
74,2012-03-05,12.8,12.8,12.04,12.04,548
75,2012-03-06,12.21,12.21,11.64,12.1,315
76,2012-03-07,12.33,12.33,11.73,12.33,208
77,2012-03-08,12.62,12.62,12.0,12.0,189
78,2012-03-09,12.28,12.65,11.76,12.65,450
79,2012-03-12,12.35,12.35,12.35,12.35,99
80,2012-03-13,10.0,12.5,10.0,12.2,741
81,2012-03-14,10.51,12.61,10.51,12.61,20
82,2012-03-16,12.4,13.9,12.4,13.9,133
83,2012-03-19,13.55,13.55,12.88,12.88,295
84,2012-03-20,12.56,12.56,12.56,12.56,10
85,2012-03-21,12.25,12.25,12.25,12.25,110
86,2012-03-22,11.94,11.94,11.35,11.35,714
87,2012-03-23,11.35,13.0,11.35,13.0,421
88,2012-03-26,11.7,11.7,11.7,11.7,10
89,2012-03-27,11.45,11.45,11.45,11.45,8
90,2012-03-28,11.45,11.45,11.45,11.45,10
91,2012-03-29,11.45,11.45,11.45,11.45,10
92,2012-04-02,11.45,11.45,11.45,11.45,15
93,2012-04-03,11.45,11.45,11.45,11.45,5
94,2012-04-04,12.65,12.65,11.99,11.99,125
95,2012-04-10,12.22,12.65,12.22,12.65,857
96,2012-04-11,13.98,13.98,13.98,13.98,34
97,2012-04-12,13.98,14.4,13.98,14.4,58
98,2012-04-13,12.5,17.0,12.5,17.0,190
99,2012-04-16,14.0,14.0,14.0,14.0,200
100,2012-04-17,13.8,13.8,11.45,12.2,722
101,2012-04-18,13.2,13.2,13.2,13.2,17
102,2012-04-19,13.2,13.2,13.2,13.2,190
103,2012-04-20,12.87,13.17,12.87,13.17,335
104,2012-04-23,12.84,12.84,12.84,12.84,160
105,2012-04-24,12.2,12.49,12.2,12.2,432
106,2012-04-25,12.49,14.49,12.22,14.49,228
107,2012-04-26,12.25,12.25,12.25,12.25,13
108,2012-04-27,11.0,11.0,11.0,11.0,1550
109,2012-04-30,11.77,11.77,11.5,11.5,216
110,2012-05-02,11.5,11.5,11.5,11.5,10
111,2012-05-04,11.01,11.01,11.01,11.01,10
112,2012-05-07,10.8,13.4,10.8,13.4,152
113,2012-05-14,12.0,14.0,11.23,14.0,11996
114,2012-05-15,14.0,14.0,12.45,12.45,768
115,2012-05-16,13.89,14.0,13.89,14.0,1202
116,2012-05-17,13.65,14.1,13.0,14.1,1826
117,2012-05-18,13.75,13.75,11.6,12.11,423
118,2012-05-21,12.4,13.89,12.4,13.0,4341
119,2012-05-22,13.31,13.31,12.26,12.26,196
120,2012-05-23,12.76,13.8,12.76,13.8,400
121,2012-05-24,13.8,13.8,12.99,12.99,58
122,2012-05-28,13.0,13.0,13.0,13.0,8
123,2012-05-29,12.36,14.45,12.36,14.45,210
124,2012-06-05,14.0,14.0,14.0,14.0,180
125,2012-06-06,12.96,14.3,12.96,13.4,3502
126,2012-06-08,13.65,14.0,13.65,13.7,365
127,2012-06-11,13.65,14.64,13.3,14.64,352
128,2012-06-12,14.0,14.64,12.2,14.63,883
129,2012-06-15,13.7,13.7,12.35,13.0,200
130,2012-06-18,13.33,14.54,12.7,14.54,782
131,2012-06-19,14.18,14.18,14.18,14.18,20
132,2012-06-21,14.0,14.0,14.0,14.0,180
133,2012-06-27,14.5,14.55,14.5,14.53,2467
134,2012-06-29,14.0,14.52,14.0,14.52,207
135,2012-07-09,14.0,14.0,14.0,14.0,130
136,2012-07-11,14.0,14.0,13.8,13.8,3000
137,2012-07-12,13.8,13.8,13.1,13.1,192
138,2012-07-13,13.1,13.1,12.7,12.7,599
139,2012-07-16,12.2,12.8,10.7,12.33,10249
140,2012-07-17,12.32,12.35,10.75,11.97,2544
141,2012-07-18,12.6,12.6,11.4,11.96,735
142,2012-07-19,11.4,11.44,10.75,11.0,48788
143,2012-07-20,11.23,12.6,11.23,11.8,1552
144,2012-07-23,11.86,14.09,11.3,13.94,2499
145,2012-07-24,13.0,13.0,13.0,13.0,293
146,2012-07-26,12.6,12.6,12.0,12.0,208
147,2012-07-27,12.49,13.9,12.49,13.9,210
148,2012-08-01,13.5,13.5,13.5,13.5,10
149,2012-08-02,12.5,13.3,12.5,13.3,865
150,2012-08-03,13.33,13.5,13.33,13.5,425
151,2012-08-09,13.33,13.33,13.33,13.33,5
152,2012-08-14,13.64,13.95,13.64,13.95,529
153,2012-08-16,14.38,15.75,14.38,14.5,943
154,2012-08-17,14.8,14.8,14.8,14.8,25
155,2012-08-20,14.1,14.1,14.1,14.1,1158
156,2012-08-21,14.0,14.0,14.0,14.0,179
157,2012-08-22,13.8,14.0,13.8,14.0,1645
158,2012-08-23,13.8,13.8,13.8,13.8,84
159,2012-08-24,13.8,13.8,13.0,13.44,499
160,2012-08-27,13.0,13.33,13.0,13.33,358
161,2012-08-28,12.8,12.81,12.8,12.81,173
162,2012-08-29,12.8,12.8,12.8,12.8,194
163,2012-08-30,12.8,12.8,12.8,12.8,100
164,2012-08-31,13.0,13.0,13.0,13.0,260
165,2012-09-04,12.8,12.8,12.8,12.8,39
166,2012-09-05,12.5,12.5,12.5,12.5,100
167,2012-09-06,12.2,12.2,12.1,12.1,360
168,2012-09-07,12.05,12.05,11.97,11.97,545
169,2012-09-10,12.18,12.18,12.0,12.0,500
170,2012-09-11,12.07,12.28,12.07,12.28,198
171,2012-09-14,12.78,12.78,12.78,12.78,10
172,2012-09-17,12.3,12.3,12.3,12.3,15
173,2012-09-18,12.1,12.1,12.1,12.1,226
174,2012-09-20,12.6,12.6,12.0,12.0,814
175,2012-09-25,12.0,12.0,11.99,11.99,181
176,2012-10-01,12.39,12.39,12.39,12.39,202
177,2012-10-05,12.6,13.3,12.6,12.6,280
178,2012-10-08,12.6,13.3,12.6,13.3,210
179,2012-10-09,13.0,13.8,13.0,13.8,732
180,2012-10-10,13.8,13.8,13.8,13.8,20
181,2012-10-11,13.65,13.99,13.4,13.4,276
182,2012-10-15,13.65,14.44,13.65,14.44,649
183,2012-10-16,14.5,14.5,13.65,13.65,206
184,2012-10-18,13.97,14.5,13.62,14.5,530
185,2012-10-29,13.8,14.17,13.8,14.17,192
186,2012-10-30,13.5,13.5,13.5,13.5,186
187,2012-10-31,13.5,13.65,13.5,13.65,250
188,2012-11-06,13.0,13.0,12.5,12.5,450
189,2012-11-09,12.65,13.02,12.6,13.01,870
190,2012-11-12,12.3,12.3,12.3,12.3,204
191,2012-11-13,11.9,13.7,10.11,12.0,8251
192,2012-11-14,11.7,11.7,10.62,11.15,514
193,2012-11-15,11.15,11.9,10.1,10.49,702
194,2012-11-19,10.05,10.05,10.05,10.05,90
195,2012-11-20,10.05,10.05,9.8,9.8,964
196,2012-11-22,9.9,9.9,9.81,9.81,25402
197,2012-11-23,9.9,9.9,9.8,9.8,151
198,2012-11-26,9.8,9.8,9.79,9.79,305
199,2012-11-27,9.97,9.97,9.97,9.97,251
200,2012-11-30,10.0,10.28,9.9,10.28,505
201,2012-12-05,10.34,10.34,9.85,9.85,304
202,2012-12-06,9.52,9.55,9.15,9.15,20450
203,2012-12-10,9.15,9.15,9.1,9.1,425
204,2012-12-11,9.2,9.2,9.2,9.2,10
205,2012-12-12,9.18,9.18,9.18,9.18,5
206,2012-12-13,8.86,8.86,8.86,8.86,283
207,2012-12-14,8.97,8.97,8.97,8.97,5
208,2012-12-17,8.01,8.01,7.2,7.25,1064
209,2012-12-18,7.15,8.0,7.0,7.0,987
210,2012-12-19,5.6,5.6,5.6,5.6,46
211,2012-12-20,6.0,6.2,6.0,6.2,52800
212,2012-12-21,7.43,7.43,7.43,7.43,10
213,2013-01-03,8.24,8.24,8.23,8.24,220
214,2013-01-04,8.24,8.24,8.24,8.24,50
215,2013-01-07,8.05,8.05,8.05,8.05,100
216,2013-01-14,8.2,8.9,8.2,8.9,101
217,2013-01-17,8.9,8.9,8.1,8.1,370
218,2013-01-21,6.5,6.5,6.5,6.5,673
219,2013-01-23,5.61,5.61,5.61,5.61,100
220,2013-01-24,5.61,5.61,5.61,5.61,200
221,2013-01-25,6.7,6.95,6.7,6.95,30
222,2013-02-07,6.95,6.95,6.0,6.0,10250
223,2013-02-12,5.6,5.61,5.6,5.6,48338
224,2013-02-13,5.0,5.5,4.65,5.5,1020
225,2013-02-14,6.44,6.44,6.44,6.44,210
226,2013-02-15,6.45,6.45,6.45,6.45,10
227,2013-02-18,6.45,6.45,6.45,6.45,10
228,2013-02-22,6.45,6.45,5.15,5.15,510
229,2013-02-27,4.25,4.25,4.15,4.15,1604
230,2013-02-28,4.15,4.15,3.9,3.9,1004
231,2013-03-01,4.3,4.68,3.51,4.5,680
232,2013-03-04,4.7,4.7,4.6,4.6,2253
233,2013-03-05,3.9,4.6,3.75,4.6,1010
234,2013-03-06,3.7,3.7,3.7,3.7,400
235,2013-03-08,4.0,4.2,4.0,4.0,1900
236,2013-03-11,4.0,4.5,4.0,4.5,983
237,2013-03-12,4.3,4.4,4.3,4.4,1250
238,2013-03-13,4.2,4.38,4.2,4.38,940
239,2013-03-14,4.3,4.8,4.3,4.8,1457
240,2013-03-15,4.9,4.9,4.9,4.9,20
