,Date,Open,High,Low,Close,Volume
0,1998-09-15,7.3578,7.3578,7.3578,7.3578,129025
1,1998-09-16,7.2766,7.2766,7.2766,7.2766,55988
2,1998-09-17,6.5854,6.5854,6.5854,6.5854,12709
3,1998-09-18,5.9283,5.9283,5.9283,5.9283,123355
4,1998-09-21,5.9283,5.9283,5.9283,5.9283,88317
5,1998-09-22,6.057,6.057,6.057,6.057,57589
6,1998-09-23,6.4635,6.4635,6.4635,6.4635,20945
7,1998-09-24,6.5448,6.5448,6.5448,6.5448,42209
8,1998-09-25,6.2535,6.2535,6.2535,6.2535,15122
9,1998-09-28,6.3822,6.3822,6.3822,6.3822,14847
10,1998-09-29,6.4161,6.4161,6.4161,6.4161,15261
11,1998-09-30,6.5448,6.5448,6.5448,6.5448,7465
12,1998-10-01,5.9689,5.9689,5.9689,5.9689,27384
13,1998-10-02,5.7656,5.7656,5.7656,5.7656,15326
14,1998-10-05,5.8875,5.8875,5.8875,5.8875,10242
15,1998-10-06,5.3998,5.3998,5.3998,5.3998,10123
16,1998-10-07,5.4404,5.4404,5.4404,5.4404,22006
17,1998-10-08,5.156,5.156,5.156,5.156,9119
18,1998-10-09,4.9052,4.9052,4.9052,4.9052,17915
19,1998-10-12,4.946,4.946,4.946,4.946,34211
20,1998-10-13,4.9865,4.9865,4.9865,4.9865,22836
21,1998-10-14,5.0679,5.0679,5.0679,5.0679,11870
22,1998-10-15,5.3184,5.3184,5.3184,5.3184,7718
23,1998-10-16,5.4811,5.4811,5.4811,5.4811,17592
24,1998-10-19,5.6031,5.6031,5.6031,5.6031,9657
25,1998-10-20,5.5624,5.5624,5.5624,5.5624,9356
26,1998-10-21,5.725,5.725,5.725,5.725,3070
27,1998-10-22,6.0097,6.0097,6.0097,6.0097,10066
28,1998-10-23,6.1383,6.1383,6.1383,6.1383,11800
29,1998-10-26,6.1383,6.1383,6.1383,6.1383,14755
30,1998-10-27,6.1383,6.1383,6.1383,6.1383,26812
31,1998-10-28,6.1383,6.1383,6.1383,6.1383,31573
32,1998-10-29,6.1383,6.1383,6.1383,6.1383,20039
33,1998-10-30,6.4974,6.4974,6.4974,6.4974,4521
34,1998-11-02,6.4635,6.4635,6.4635,6.4635,3495
35,1998-11-03,6.3822,6.3822,6.3822,6.3822,5649
36,1998-11-04,6.3347,6.3347,6.3347,6.3347,4403
37,1998-11-05,6.4635,6.4635,6.4635,6.4635,8310
38,1998-11-06,5.9689,5.9689,5.9689,5.9689,3052
39,1998-11-09,6.2535,6.2535,6.2535,6.2535,22687
40,1998-11-10,6.3347,6.3347,6.3347,6.3347,6130
41,1998-11-12,6.3347,6.3347,6.3347,6.3347,12839
42,1998-11-13,6.4635,6.4635,6.4635,6.4635,14597
43,1998-11-16,6.5854,6.5854,6.5854,6.5854,20374
44,1998-11-17,6.7481,6.7481,6.7481,6.7481,14683
45,1998-11-18,6.7481,6.7481,6.7481,6.7481,8472
46,1998-11-19,6.4974,6.4974,6.4974,6.4974,10715
47,1998-11-20,6.3008,6.3008,6.3008,6.3008,7841
48,1998-11-23,6.3347,6.3347,6.3347,6.3347,965
49,1998-11-24,6.3347,6.3347,6.3347,6.3347,4891
50,1998-11-25,6.1383,6.1383,6.1383,6.1383,587
51,1998-11-26,6.5448,6.5448,6.5448,6.5448,23717
52,1998-11-27,6.5854,6.5854,6.5854,6.5854,16712
53,1998-11-30,6.5448,6.5448,6.5448,6.5448,19043
54,1998-12-01,6.7481,6.7481,6.7481,6.7481,28920
55,1998-12-02,6.9106,6.9106,6.9106,6.9106,37904
56,1998-12-03,6.9106,6.9106,6.9106,6.9106,17438
57,1998-12-04,7.1139,7.1139,7.1139,7.1139,24037
58,1998-12-07,7.3578,7.3578,7.3578,7.3578,25575
59,1998-12-08,7.3239,7.3239,7.3239,7.3239,5300
60,1998-12-09,7.3239,7.3239,7.3239,7.3239,16251
61,1998-12-10,6.6262,6.6262,6.6262,6.6262,5281
62,1998-12-11,6.6262,6.6262,6.6262,6.6262,6417
63,1998-12-14,6.4635,6.4635,6.4635,6.4635,3986
64,1998-12-15,6.5854,6.5854,6.5854,6.5854,1357
65,1998-12-16,6.6668,6.6668,6.6668,6.6668,1220
66,1998-12-17,6.7481,6.7481,6.7481,6.7481,491
67,1998-12-18,6.5854,6.5854,6.5854,6.5854,1589
68,1998-12-21,6.6262,6.6262,6.6262,6.6262,1315
69,1998-12-22,6.5448,6.5448,6.5448,6.5448,491
70,1998-12-23,6.6262,6.6262,6.6262,6.6262,8070
71,1998-12-28,6.7481,6.7481,6.7481,6.7481,975
72,1998-12-29,6.9513,6.9513,6.9513,6.9513,5085
73,1998-12-30,6.8699,6.8699,6.8699,6.8699,4056
74,1998-12-31,6.7075,6.7075,6.7075,6.7075,1835
75,1999-01-04,6.9513,6.9513,6.9513,6.9513,4660
76,1999-01-05,6.9106,6.9106,6.9106,6.9106,4339
77,1999-01-06,6.7075,6.7075,6.7075,6.7075,1515
78,1999-01-07,6.9513,6.9513,6.9513,6.9513,8173
79,1999-01-08,6.9106,6.9106,6.9106,6.9106,5723
80,1999-01-11,6.8699,6.8699,6.8699,6.8699,3086
