,Date,Open,High,Low,Close,Volume
0,2017-10-09,0.6104,0.8139,0.5443,0.6257,1318220
1,2017-10-10,0.6053,0.6817,0.5087,0.6104,1148791
2,2017-10-11,0.6562,0.7122,0.6104,0.6613,353966
3,2017-10-12,0.6969,0.7071,0.6257,0.6918,109930
4,2017-10-13,0.6969,0.6969,0.6257,0.646,283977
5,2017-10-16,0.646,0.6562,0.585,0.585,144574
6,2017-10-17,0.6257,0.7376,0.6104,0.6359,347744
7,2017-10-18,0.6155,0.6562,0.6053,0.6359,141141
8,2017-10-19,0.6664,0.6867,0.6053,0.6613,95071
9,2017-10-20,0.6257,0.6613,0.6155,0.6613,12585
10,2017-10-23,0.6359,0.6359,0.585,0.6053,114153
11,2017-10-24,0.6053,0.6053,0.5392,0.585,64424
12,2017-10-25,0.5697,0.5952,0.5443,0.5901,7867
13,2017-10-26,0.6003,0.6003,0.5494,0.5799,21828
14,2017-10-27,0.5494,0.5952,0.5494,0.5901,54913
15,2017-10-30,0.5748,0.585,0.5494,0.5799,18642
16,2017-10-31,0.6104,0.6511,0.5901,0.6003,328625
17,2017-11-02,0.6003,0.6003,0.5647,0.5901,60470
18,2017-11-03,0.5647,0.5952,0.5647,0.5952,17158
19,2017-11-06,0.5697,0.6003,0.5087,0.5494,165553
20,2017-11-07,0.5494,0.5494,0.5036,0.524,68917
21,2017-11-08,0.5545,0.5545,0.529,0.5443,64868
22,2017-11-09,0.5392,0.5392,0.47817,0.48326,50209
23,2017-11-10,0.5036,0.524,0.47817,0.5087,55053
24,2017-11-13,0.5087,0.5087,0.44765,0.49852,19515
25,2017-11-14,0.5036,0.5392,0.468,0.5392,18791
26,2017-11-15,0.5036,0.529,0.43239,0.468,48573
27,2017-11-16,0.44257,0.47309,0.44257,0.45783,3951
28,2017-11-17,0.47309,0.47309,0.43748,0.47309,2915
29,2017-11-20,0.45274,0.47309,0.43748,0.46291,13928
30,2017-11-21,0.43748,0.47309,0.40696,0.44765,44382
31,2017-11-22,0.43748,0.44765,0.43748,0.44765,6236
32,2017-11-23,0.42222,0.44765,0.42222,0.44765,3244
33,2017-11-24,0.42222,0.42222,0.40696,0.41713,36155
34,2017-11-27,0.40187,0.40187,0.36117,0.40187,36769
35,2017-11-28,0.37135,0.38152,0.37135,0.38152,7315
36,2017-11-29,0.38152,0.38661,0.32557,0.37135,15837
37,2017-11-30,0.37135,0.468,0.37135,0.43239,53545
38,2017-12-01,0.45274,0.45274,0.39678,0.43239,16363
39,2017-12-04,0.40696,0.4273,0.40696,0.4273,2345
40,2017-12-05,0.3917,0.4273,0.3917,0.4273,651
41,2017-12-06,0.4273,0.45274,0.4273,0.4273,5412
42,2017-12-07,0.45274,0.45274,0.41713,0.41713,2259
43,2017-12-08,0.44257,0.44257,0.44257,0.44257,786
44,2017-12-11,0.40696,0.43748,0.40696,0.4273,5392
45,2017-12-12,0.4273,0.4273,0.37643,0.37643,18304
46,2017-12-13,0.41204,0.41204,0.41204,0.41204,20
47,2017-12-14,0.40187,0.40696,0.37135,0.40696,2381
48,2017-12-15,0.38152,0.45783,0.38152,0.44765,33851
49,2017-12-18,0.45274,0.5087,0.45274,0.49852,44760
50,2017-12-19,0.49852,0.49852,0.49852,0.49852,6880
51,2017-12-20,0.49852,0.49852,0.49852,0.49852,98
52,2017-12-21,0.49852,0.5392,0.49852,0.529,50958
53,2017-12-22,0.49852,0.5341,0.49852,0.5341,2271
54,2017-12-27,0.5189,0.5189,0.45274,0.5138,19668
55,2017-12-28,0.49343,0.49343,0.48326,0.48326,4097
