,Date,Open,High,Low,Close,Volume
0,2017-04-03,0.6067,0.6673,0.52,0.6673,2087639
1,2017-04-04,0.7973,0.9533,0.7973,0.9533,245050
2,2017-04-05,1.0747,1.2827,0.9013,1.2827,1115427
3,2017-04-06,1.4647,1.612,0.962,1.17,3552732
4,2017-04-07,1.2133,1.248,0.78,0.78,3176052
5,2017-04-10,0.7973,0.806,0.5113,0.5113,2800377
6,2017-04-11,0.494,0.702,0.468,0.702,1374976
7,2017-04-12,0.7367,0.7367,0.43333,0.43333,2535258
8,2017-04-13,0.45933,0.468,0.39,0.442,1037380
9,2017-04-18,0.47667,0.48533,0.312,0.32067,3888852
10,2017-04-19,0.32067,0.37267,0.30333,0.338,784307
11,2017-04-20,0.364,0.364,0.29467,0.34667,1096898
12,2017-04-21,0.35533,0.35533,0.21667,0.21667,4437433
13,2017-04-24,0.21667,0.234,0.13867,0.14733,8218972
14,2017-04-25,0.13867,0.19067,0.13867,0.182,3621490
15,2017-04-26,0.182,0.19067,0.156,0.17333,1640701
16,2017-04-27,0.17333,0.208,0.156,0.182,3891007
17,2017-04-28,0.16467,0.19933,0.14733,0.19933,4795475
18,2017-05-02,0.22533,0.234,0.19933,0.208,3500349
19,2017-05-04,0.21667,0.21667,0.17333,0.182,1365419
20,2017-05-05,0.182,0.22533,0.182,0.21667,1600231
21,2017-05-08,0.21667,0.22533,0.19933,0.208,867494
22,2017-05-09,0.21667,0.21667,0.19933,0.21667,852425
23,2017-05-10,0.21667,0.22533,0.19933,0.21667,734043
24,2017-05-11,0.19067,0.19067,0.16467,0.182,2107450
25,2017-05-12,0.182,0.19067,0.156,0.17333,1145031
26,2017-05-15,0.17333,0.182,0.16467,0.182,197896
27,2017-05-16,0.182,0.182,0.16467,0.17333,293793
28,2017-05-17,0.17333,0.17333,0.14733,0.16467,583576
29,2017-05-18,0.156,0.16467,0.156,0.156,303869
30,2017-05-19,0.16467,0.16467,0.14733,0.156,229040
31,2017-05-22,0.16467,0.16467,0.156,0.16467,285408
32,2017-05-23,0.156,0.19067,0.14733,0.19067,1012495
33,2017-05-24,0.182,0.182,0.156,0.16467,1039124
34,2017-05-25,0.16467,0.16467,0.14733,0.16467,813144
35,2017-05-26,0.156,0.16467,0.14733,0.16467,120800
36,2017-05-29,0.16467,0.16467,0.14733,0.16467,163595
37,2017-05-30,0.156,0.16467,0.14733,0.156,339613
38,2017-05-31,0.156,0.16467,0.14733,0.14733,233385
39,2017-06-01,0.14733,0.156,0.13867,0.156,425458
40,2017-06-02,0.13867,0.156,0.13867,0.14733,94251
41,2017-06-05,0.156,0.156,0.156,0.156,9185
42,2017-06-06,0.156,0.19067,0.14733,0.156,2725138
43,2017-06-07,0.14733,0.156,0.13867,0.14733,1552180
44,2017-06-08,0.14733,0.14733,0.13,0.14733,393644
45,2017-06-09,0.13867,0.156,0.13867,0.156,611748
46,2017-06-12,0.156,0.156,0.13867,0.156,45862
47,2017-06-13,0.14733,0.156,0.13867,0.14733,332109
48,2017-06-14,0.14733,0.156,0.14733,0.156,120757
49,2017-06-16,0.14733,0.14733,0.13867,0.14733,96578
50,2017-06-19,0.13867,0.14733,0.13,0.13867,277042
51,2017-06-20,0.14733,0.14733,0.13,0.13,41273
52,2017-06-21,0.14,0.18,0.13,0.16,572158
53,2017-06-22,0.17,0.17,0.15,0.15,96626
54,2017-06-23,0.15,0.16,0.14,0.15,76455
55,2017-06-26,0.15,0.15,0.13,0.13,454221
56,2017-06-27,0.13,0.13,0.12,0.13,204898
57,2017-06-28,0.13,0.13,0.11,0.13,169591
58,2017-06-29,0.13,0.15,0.13,0.15,751020
59,2017-06-30,0.16,0.16,0.13,0.15,263122
60,2017-07-03,0.14,0.15,0.13,0.15,16483
61,2017-07-04,0.15,0.15,0.13,0.15,181692
62,2017-07-05,0.14,0.15,0.14,0.15,121436
63,2017-07-06,0.15,0.16,0.14,0.14,5602
64,2017-07-07,0.14,0.15,0.13,0.14,111242
65,2017-07-10,0.14,0.15,0.14,0.15,20818
66,2017-07-11,0.13,0.14,0.13,0.14,46877
67,2017-07-12,0.14,0.14,0.14,0.14,30000
68,2017-07-13,0.14,0.14,0.13,0.14,224261
69,2017-07-14,0.14,0.14,0.14,0.14,50800
70,2017-07-17,0.14,0.14,0.13,0.13,17791
71,2017-07-18,0.13,0.14,0.13,0.14,41330
72,2017-07-19,0.14,0.14,0.13,0.13,169714
73,2017-07-20,0.13,0.14,0.12,0.13,125287
74,2017-07-21,0.13,0.13,0.13,0.13,7500
75,2017-07-24,0.13,0.13,0.12,0.13,111140
76,2017-07-25,0.12,0.13,0.11,0.12,308196
77,2017-07-26,0.13,0.13,0.11,0.11,679824
78,2017-07-27,0.11,0.12,0.1,0.12,122583
79,2017-07-28,0.12,0.12,0.11,0.12,48623
80,2017-07-31,0.11,0.12,0.11,0.12,36472
