,Date,Open,High,Low,Close,Volume
0,2008-06-19,4.6677,21.184,4.6677,5.7446,8265
1,2008-06-20,5.7446,6.3191,5.3143,5.4936,36707
2,2008-06-23,5.3858,5.3858,5.0271,5.3786,6310
3,2008-06-24,5.5615,5.5615,5.1163,5.3858,3561
4,2008-06-25,5.3858,5.3858,5.206,5.206,5264
5,2008-06-26,5.0805,5.2782,5.0271,5.2782,1157
6,2008-06-27,5.0627,5.6803,5.0627,5.5654,428
7,2008-06-30,5.6729,6.2368,5.4936,5.7412,482
8,2008-07-01,6.1001,6.1001,5.5654,5.7412,145
9,2008-07-02,5.7446,5.7446,5.709,5.709,8
10,2008-07-03,5.7446,5.7446,5.7446,5.7446,2
11,2008-07-04,5.4575,5.4575,5.4575,5.4575,579
12,2008-07-07,5.6155,5.6155,5.4288,5.4288,74
13,2008-07-08,5.4288,5.4288,5.407,5.407,5
14,2008-07-09,5.4218,5.655,5.4218,5.655,51
15,2008-07-10,5.6729,5.6729,5.3858,5.4575,6928
16,2008-07-11,5.4648,5.4648,5.2242,5.3858,286
17,2008-07-14,5.447,5.447,5.26,5.447,2849
18,2008-07-15,5.447,5.4575,5.447,5.4575,1286
19,2008-07-16,5.5222,5.5222,5.2782,5.4575,126
20,2008-07-17,5.5185,5.5185,5.5043,5.5043,5
21,2008-07-18,5.5222,5.5222,5.2743,5.5222,145
22,2008-07-21,5.4862,5.4862,5.4862,5.4862,5
23,2008-07-22,5.5222,5.5222,5.5222,5.5222,5
24,2008-07-23,5.7446,5.7446,5.5615,5.5615,5
25,2008-07-24,5.5222,5.5222,5.5222,5.5222,5
26,2008-07-25,5.26,5.26,5.26,5.26,5
27,2008-07-28,5.26,5.26,5.26,5.26,2
28,2008-07-29,5.26,5.26,5.26,5.26,28
29,2008-07-30,5.2421,5.2421,5.206,5.206,257
30,2008-07-31,5.1703,5.1703,4.9548,4.9548,2046
31,2008-08-01,4.9188,5.3858,4.9188,5.3858,3169
32,2008-08-04,5.7446,5.7446,5.7268,5.7268,570
33,2008-08-05,5.4396,5.4396,5.4396,5.4396,2
34,2008-08-06,5.4753,5.4753,5.4753,5.4753,2
35,2008-08-07,5.4753,5.4753,5.4753,5.4753,2
36,2008-08-08,5.4575,5.4575,5.4575,5.4575,2
37,2008-08-11,5.4575,5.4575,5.4575,5.4575,2
38,2008-08-12,5.4719,5.4719,5.4719,5.4719,2
39,2008-08-13,5.4719,5.4719,5.4719,5.4719,2
40,2008-08-14,5.4719,5.4719,5.4719,5.4719,5
41,2008-08-18,5.4719,5.4719,5.4719,5.4719,2
42,2008-08-19,5.4753,5.4753,5.454,5.454,979
43,2008-08-20,5.3858,5.3858,5.3858,5.3858,2
44,2008-08-21,5.3858,5.3858,5.3858,5.3858,31
45,2008-08-22,5.3858,5.3858,5.3858,5.3858,2
46,2008-08-25,5.3858,5.3858,5.3858,5.3858,2
47,2008-08-26,5.3858,5.3858,5.3858,5.3858,2
48,2008-08-27,5.3858,5.3858,5.3858,5.3858,2
49,2008-08-28,5.3858,5.3858,5.3858,5.3858,2
50,2008-08-29,5.3858,5.3858,5.3858,5.3858,2
51,2008-09-01,5.3822,5.3822,5.3822,5.3822,2
52,2008-09-02,5.3679,5.3679,5.3639,5.3639,1648
53,2008-09-03,5.3143,5.3143,5.3143,5.3143,2
54,2008-09-04,5.2782,5.2782,5.2782,5.2782,2
55,2008-09-05,5.2712,5.2712,5.2712,5.2712,2
56,2008-09-08,5.2817,5.2817,5.2817,5.2817,2
57,2008-09-09,5.2817,5.2817,5.2782,5.2782,559
58,2008-09-10,5.2421,5.2421,5.2421,5.2421,2
59,2008-09-11,5.2387,5.2387,5.2387,5.2387,2
60,2008-09-12,5.2387,5.2387,5.2387,5.2387,575
61,2008-09-15,5.0984,5.0984,5.0984,5.0984,2
62,2008-09-17,5.0805,5.0805,5.0805,5.0805,28
63,2008-09-18,5.0271,5.0271,5.0271,5.0271,31
64,2008-09-19,5.2029,5.2029,5.2029,5.2029,57
65,2008-09-22,5.2387,5.2387,5.2387,5.2387,2
66,2008-09-24,5.2387,5.2387,5.2387,5.2387,2
67,2008-10-01,5.2387,5.2387,4.9906,4.9906,57
68,2008-10-07,5.088,5.088,5.088,5.088,2
69,2008-10-14,5.1272,5.1272,5.1272,5.1272,5
70,2008-10-16,4.901,4.901,4.901,4.901,2
71,2008-10-21,4.901,4.901,4.901,4.901,8
72,2008-10-22,4.6677,4.6677,4.6677,4.6677,8
73,2008-10-24,4.6498,4.6498,4.6498,4.6498,1530
74,2008-10-27,4.3087,4.3087,4.3087,4.3087,1343
75,2008-11-05,4.3087,4.3087,4.3087,4.3087,2
76,2008-11-06,4.3087,4.3087,4.3087,4.3087,1391
77,2008-11-10,4.273,4.273,4.273,4.273,1755
78,2008-11-13,4.4162,4.4201,4.4162,4.4201,28
79,2008-11-14,4.2548,4.2548,4.2548,4.2548,2
80,2008-11-17,4.2439,4.2439,4.2439,4.2439,2
81,2008-11-18,4.2691,4.4489,4.2691,4.4489,1069
82,2008-11-19,4.452,4.5959,4.452,4.5959,2412
83,2008-11-20,4.3805,4.3805,4.3805,4.3805,642
84,2008-11-21,4.3087,4.3087,4.3087,4.3087,291
85,2008-11-26,4.3087,4.3087,4.3087,4.3087,12
86,2008-12-01,4.3087,4.3087,4.3087,4.3087,28
87,2008-12-02,4.237,4.237,4.237,4.237,5
88,2008-12-04,4.237,4.237,4.237,4.237,2
89,2008-12-10,4.3087,4.3087,4.3087,4.3087,2
90,2008-12-15,4.3983,4.3983,4.3983,4.3983,561
91,2008-12-23,4.3232,4.3232,4.3232,4.3232,2
92,2008-12-30,4.3087,4.4885,4.3087,4.4885,698
93,2008-12-31,4.3983,4.3983,4.3983,4.3983,2
94,2009-01-06,4.5385,4.5385,4.5385,4.5385,82
95,2009-01-07,4.5385,4.5385,4.5385,4.5385,5
96,2009-01-08,4.5385,4.5385,4.5385,4.5385,103
97,2009-01-09,4.6746,4.6746,4.6746,4.6746,2
98,2009-01-12,4.6929,4.6929,4.6929,4.6929,2
99,2009-01-13,4.6929,4.7073,4.6929,4.7073,15
100,2009-01-15,4.5886,4.5886,4.5886,4.5886,12
101,2009-01-16,4.5063,4.5063,4.5063,4.5063,278
102,2009-01-23,4.7108,4.7108,4.7108,4.7108,642
103,2009-01-26,4.8113,5.088,4.8113,5.088,3180
104,2009-01-29,5.1881,5.1881,4.9548,4.9548,949
105,2009-02-02,5.0271,5.0271,5.0271,5.0271,2
106,2009-02-03,4.937,4.937,4.937,4.937,99
107,2009-02-04,5.0271,5.0271,5.0271,5.0271,195
108,2009-02-12,5.0627,5.0627,5.0627,5.0627,2
109,2009-02-13,5.0916,5.0916,5.0916,5.0916,2
110,2009-02-25,5.0089,5.0089,5.0089,5.0089,2
111,2009-03-03,4.937,4.9548,4.937,4.9548,113
112,2009-03-05,5.088,5.088,5.088,5.088,5
113,2009-03-09,5.1163,5.1163,5.1163,5.1163,28
114,2009-03-11,5.0984,5.0984,5.0271,5.0271,554
115,2009-03-12,5.1163,5.1163,5.1163,5.1163,28
116,2009-03-13,5.0271,5.0271,5.0271,5.0271,585
117,2009-03-17,5.1163,5.1346,5.1163,5.1346,547
118,2009-03-24,5.1703,5.1703,5.1703,5.1703,28
119,2009-03-26,5.1703,5.1703,5.1703,5.1703,5
120,2009-03-27,5.1703,5.1703,5.0271,5.1703,248
121,2009-03-30,5.2782,5.2782,5.2782,5.2782,5
122,2009-03-31,5.407,5.4109,5.407,5.4109,10
123,2009-04-01,5.5222,5.5257,5.5222,5.5257,5
124,2009-04-02,5.655,5.655,5.655,5.655,90
125,2009-04-03,5.655,5.655,5.655,5.655,2
126,2009-04-06,5.6585,5.6585,5.6585,5.6585,328
127,2009-04-07,5.7699,5.7699,5.7699,5.7699,28
128,2009-04-09,5.7665,5.7665,5.6729,5.6729,328
129,2009-04-22,5.5654,5.5654,5.5654,5.5654,90
130,2009-05-06,5.4575,5.4575,5.4575,5.4575,278
131,2009-05-15,5.3714,5.3714,5.3714,5.3714,12
132,2009-05-18,5.4753,6.3621,4.6715,4.7577,56218
133,2009-05-19,4.7577,4.7577,4.5959,4.7395,3749
134,2009-05-20,4.6498,4.6498,4.3087,4.6316,4005
135,2009-05-21,4.5419,4.5419,4.237,4.4453,9240
136,2009-05-22,4.4489,4.4489,4.1291,4.3013,4226
137,2009-05-25,4.3013,4.3013,3.9854,4.1291,2229
138,2009-05-26,3.9888,4.0933,3.8417,3.8775,6257
139,2009-05-27,3.9888,4.0141,3.8061,4.0141,1559
140,2009-05-28,3.8096,3.9785,3.8096,3.9785,5
141,2009-05-29,3.9498,3.9675,3.8775,3.8775,1463
142,2009-06-01,4.1256,4.1256,3.971,3.971,838
143,2009-06-02,4.2477,4.3087,3.9785,4.237,1685
144,2009-06-03,4.2548,4.2548,4.0933,4.0933,650
