,Date,Open,High,Low,Close,Volume
0,2010-12-30,8.561,8.561,8.561,8.561,13904
1,2010-12-31,9.4215,10.984,9.4215,10.984,3029
2,2011-01-03,13.566,16.279,13.566,16.174,15924
3,2011-01-04,16.174,19.317,15.805,19.317,9542
4,2011-01-05,19.668,21.073,15.366,15.366,8731
5,2011-01-07,15.361,16.679,9.878,16.679,9134
6,2011-01-10,14.488,17.385,14.488,16.244,4576
7,2011-01-11,16.134,16.244,14.488,16.244,907
8,2011-01-12,16.244,16.463,16.244,16.441,216
9,2011-01-13,16.463,23.672,15.607,21.951,1979
10,2011-01-14,21.951,26.341,21.951,25.288,2802
11,2011-01-17,25.815,29.151,20.652,26.341,5779
12,2011-01-18,28.098,29.415,23.049,24.585,1970
13,2011-01-19,24.146,34.2,22.61,34.2,4581
14,2011-01-20,32.922,38.195,25.029,25.029,10651
15,2011-01-21,25.029,25.029,20.024,20.024,12223
16,2011-01-24,16.02,17.561,12.82,12.82,25195
17,2011-01-25,12.679,13.39,10.383,10.409,11009
18,2011-01-26,11.151,12.135,9.878,10.317,11961
19,2011-01-27,10.317,10.537,9.2195,9.3117,12974
20,2011-01-28,9.4785,9.4785,8.1,8.5171,18521
21,2011-01-31,8.4688,10.098,7.9024,9.2634,12983
22,2011-02-01,9.0,9.834,7.9024,9.812,19742
23,2011-02-02,9.2195,9.2195,8.6927,8.6927,8535
24,2011-02-03,8.7805,8.9122,7.4678,8.561,10778
25,2011-02-04,8.7805,9.2854,7.9024,9.2854,10826
26,2011-02-07,9.659,9.659,8.7146,9.2195,1027
27,2011-02-08,8.7805,9.2195,8.3415,8.7366,1567
28,2011-02-09,8.7322,9.022,8.2317,8.5171,1674
29,2011-02-10,8.3415,8.5171,7.4941,7.4941,5214
30,2011-02-11,7.6829,7.9859,7.2439,7.9859,2790
31,2011-02-14,8.122,8.2098,7.4854,8.122,1501
32,2011-02-15,7.4634,7.9902,7.0288,7.0683,9824
33,2011-02-16,7.1561,7.2439,6.1463,7.2439,14056
34,2011-02-17,7.1078,7.6829,6.4098,6.7741,7375
35,2011-02-18,6.4537,7.2,6.4537,6.6732,932
36,2011-02-21,6.5634,6.6468,6.4537,6.4537,934
37,2011-02-22,6.458,7.3317,6.4537,7.0244,8733
38,2011-02-23,6.5854,6.9805,6.5854,6.9673,843
39,2011-02-24,6.6293,6.8268,6.1463,6.3659,3542
40,2011-02-25,6.4756,6.5854,6.1683,6.5678,4685
41,2011-02-28,6.5722,6.7083,6.1683,6.4844,6175
42,2011-03-01,6.3834,6.6556,6.0629,6.3659,13523
43,2011-03-02,6.3659,6.3659,5.9268,6.3351,6307
44,2011-03-03,6.3,6.4537,6.1068,6.1068,1034
45,2011-03-04,6.1507,7.4195,5.9312,7.4195,13377
46,2011-03-07,7.4634,7.8146,6.5854,7.1122,3606
47,2011-03-08,6.9366,7.0244,6.5854,6.9366,1524
48,2011-03-09,6.9366,9.966,6.5854,7.9024,57507
49,2011-03-10,7.9463,9.0615,7.3493,8.0561,31080
50,2011-03-11,8.0737,8.4732,7.3361,7.8585,11883
51,2011-03-14,7.6829,7.9024,7.0376,7.1122,4086
52,2011-03-15,7.0463,7.3756,6.761,7.2439,1895
53,2011-03-16,7.0244,7.3624,6.6732,7.2439,1702
54,2011-03-17,7.2,7.2,6.6732,7.0244,1920
55,2011-03-18,6.8268,7.1341,6.6293,6.9585,4665
56,2011-03-21,6.9585,6.9585,6.4976,6.4976,1412
57,2011-03-22,6.4756,6.6732,6.0937,6.5854,9419
58,2011-03-23,6.1946,6.5415,6.1463,6.5195,2856
59,2011-03-24,6.4976,6.4976,6.1902,6.4932,526
60,2011-03-25,6.4932,6.4932,6.1463,6.3615,3275
61,2011-03-28,6.3571,6.5195,6.2561,6.2561,1396
62,2011-03-29,6.3659,6.5195,6.0585,6.3659,1153
63,2011-03-30,6.3439,6.3439,6.0146,6.3,1845
64,2011-03-31,6.2517,6.3659,6.0146,6.3439,1777
65,2011-04-01,6.3176,6.3176,6.019,6.2341,3793
66,2011-04-04,6.1463,6.8488,6.019,6.6907,5066
67,2011-04-05,6.4317,7.3756,6.3659,7.3756,18165
68,2011-04-06,7.3317,8.4293,7.1561,7.8541,37556
69,2011-04-07,7.8498,7.8541,6.8532,7.1561,3963
70,2011-04-08,7.1561,7.6829,7.1122,7.5512,4218
71,2011-04-11,7.5951,9.834,7.5951,8.6488,30609
72,2011-04-12,8.7541,8.9517,7.6829,7.6829,10255
73,2011-04-13,7.8102,8.1132,7.1122,7.1122,16632
74,2011-04-14,7.1122,7.639,6.9015,7.1561,7407
75,2011-04-15,7.1122,7.5512,6.9366,6.9585,16664
76,2011-04-18,6.9629,7.3976,6.1463,6.1463,26600
77,2011-04-19,6.3,6.5195,6.0849,6.1463,23755
78,2011-04-20,6.1463,7.2395,6.1068,6.6688,75925
79,2011-04-21,6.7083,7.0244,6.1024,6.8927,55737
80,2011-04-26,6.8927,7.4459,6.5898,7.0244,27862
81,2011-04-27,7.0463,7.0463,6.4844,6.7741,21445
82,2011-04-28,6.8049,6.818,6.5063,6.5107,12341
83,2011-04-29,6.4098,6.581,6.2166,6.581,7218
84,2011-05-02,6.5634,6.5854,6.1902,6.3746,6487
85,2011-05-04,6.4141,6.5854,6.3659,6.5634,7316
86,2011-05-05,6.6732,6.6732,6.2868,6.6073,2959
87,2011-05-06,6.4317,6.4317,6.1463,6.278,14637
88,2011-05-09,6.2473,6.3,6.1463,6.3,10325
89,2011-05-10,6.3,6.4449,6.0673,6.3439,7246
90,2011-05-11,6.3659,6.4098,6.1683,6.3922,2392
91,2011-05-12,6.3746,6.3966,6.1551,6.2561,7776
92,2011-05-13,6.1727,6.1727,6.0849,6.1463,1476
93,2011-05-16,6.1463,6.2956,6.0849,6.2956,3469
94,2011-05-17,6.3,6.5634,6.2956,6.4976,5526
95,2011-05-18,6.4756,6.4756,6.1024,6.1463,3207
96,2011-05-19,6.1463,6.2561,5.9707,6.1463,1952
97,2011-05-20,6.1463,6.1463,6.1024,6.1463,672
98,2011-05-23,6.1683,6.1683,6.1463,6.1463,1155
99,2011-05-24,6.1068,6.2122,5.1146,5.4834,12239
100,2011-05-25,5.2595,5.4176,4.7415,5.198,44601
101,2011-05-26,5.0312,5.602,5.0312,5.3122,10378
102,2011-05-27,5.2683,5.5098,5.2463,5.4132,6442
103,2011-05-30,5.4395,5.4659,5.0488,5.4395,1444
104,2011-05-31,5.4132,5.4132,5.0049,5.2463,4528
105,2011-06-01,5.2463,5.2463,4.9434,5.1893,4248
106,2011-06-02,5.1761,5.198,4.6098,5.198,20867
