,Date,Open,High,Low,Close,Volume
0,2004-09-30,32.016,32.225,30.114,31.662,49284
1,2004-10-01,31.662,32.225,31.662,31.878,16161
2,2004-10-04,32.225,32.652,32.225,32.369,10670
3,2004-10-05,32.369,32.434,32.369,32.369,11079
4,2004-10-06,32.088,32.299,32.016,32.299,1307
5,2004-10-07,32.016,32.225,32.016,32.225,2260
6,2004-10-08,31.662,32.088,31.662,32.088,747
7,2004-10-11,31.662,31.662,30.605,31.523,2239
8,2004-10-12,30.822,30.96,30.259,30.259,690
9,2004-10-13,30.54,30.54,30.395,30.395,1068
10,2004-10-14,30.469,30.469,30.469,30.469,711
11,2004-10-15,29.905,30.54,29.905,30.54,27
12,2004-10-18,30.259,30.331,29.55,30.331,834
13,2004-10-20,29.202,29.55,29.202,29.55,1545
14,2004-10-21,29.55,30.469,29.55,30.469,889
15,2004-10-22,29.129,29.129,29.057,29.057,1088
16,2004-10-25,30.114,30.114,28.848,28.848,3170
17,2004-10-26,28.848,31.313,28.494,31.313,892
18,2004-10-27,31.241,31.241,29.275,31.03,15132
19,2004-10-28,30.822,30.822,30.822,30.822,1
20,2004-10-29,30.96,30.96,30.888,30.888,10
21,2004-11-02,31.103,31.103,29.905,30.96,1044
22,2004-11-03,30.96,30.96,29.766,30.96,1566
23,2004-11-04,30.822,30.888,29.977,29.977,2033
24,2004-11-05,29.977,30.331,29.977,30.048,276
25,2004-11-08,29.623,30.749,29.55,30.749,923
26,2004-11-10,30.678,30.678,29.695,30.605,1718
27,2004-11-12,29.905,30.749,29.832,30.749,1136
28,2004-11-15,30.259,30.749,29.977,30.749,937
29,2004-11-16,30.186,30.186,29.977,30.186,1040
30,2004-11-17,30.259,30.331,30.259,30.331,1066
31,2004-11-18,30.186,30.259,30.186,30.259,1133
32,2004-11-19,30.259,30.259,29.905,29.905,2124
33,2004-11-22,30.605,30.605,30.395,30.395,145
34,2004-11-23,28.494,29.55,28.494,29.484,4190
35,2004-11-24,28.637,29.55,28.494,29.55,3153
36,2004-11-25,29.55,29.55,29.55,29.55,10
37,2004-11-26,28.494,29.341,28.494,29.341,3430
38,2004-11-29,29.484,29.695,28.637,29.695,3161
39,2004-12-01,29.55,29.55,29.202,29.55,5998
40,2004-12-02,29.55,29.695,29.55,29.695,3020
41,2004-12-03,29.55,29.55,28.848,29.55,2730
42,2004-12-06,29.341,29.341,29.341,29.341,57
43,2004-12-07,28.567,29.55,28.567,29.55,2470
44,2004-12-08,29.484,29.55,29.412,29.55,1572
45,2004-12-09,29.341,29.977,29.202,29.832,2185
46,2004-12-13,29.55,29.55,29.55,29.55,214
47,2004-12-14,28.92,29.832,28.92,29.832,1453
48,2004-12-15,28.992,29.55,28.992,29.55,734
49,2004-12-16,29.55,29.766,29.55,29.766,1769
50,2004-12-17,29.275,29.766,29.202,29.766,785
51,2004-12-20,29.202,29.55,29.202,29.55,908
52,2004-12-21,29.55,29.55,29.55,29.55,5117
53,2004-12-22,29.484,29.484,29.484,29.484,60
54,2004-12-23,28.92,29.484,28.92,29.484,769
55,2004-12-24,29.484,29.55,29.484,29.55,1419
56,2004-12-27,29.55,29.55,29.275,29.275,123
57,2004-12-28,28.992,28.992,28.92,28.92,1540
58,2004-12-29,28.848,29.695,28.848,29.55,2945
59,2004-12-30,28.637,30.259,28.637,30.259,3109
60,2004-12-31,30.186,30.186,29.905,29.905,345
61,2005-01-03,30.605,30.605,29.905,29.905,140
62,2005-01-04,29.55,30.331,29.55,30.331,1564
63,2005-01-10,29.623,30.186,29.623,29.905,2921
64,2005-01-11,29.202,30.048,29.202,30.048,775
65,2005-01-12,29.202,30.048,29.202,30.048,848
66,2005-01-13,29.905,29.905,29.905,29.905,4346
