,Date,Open,High,Low,Close,Volume
0,2017-06-12,17.99,17.99,13.8,15.46,110298
1,2017-06-13,15.62,15.95,14.8,15.88,27090
2,2017-06-14,16.0,16.4,15.8,15.99,21169
3,2017-06-16,16.4,17.0,16.3,16.65,16302
4,2017-06-19,16.74,17.2,16.7,16.7,14216
5,2017-06-20,16.8,16.95,15.7,15.8,20161
6,2017-06-21,15.8,16.09,14.17,15.47,27654
7,2017-06-22,15.47,16.15,14.8,15.46,12869
8,2017-06-23,15.99,15.99,14.85,15.21,4784
9,2017-06-26,15.0,15.4,14.8,15.19,5372
10,2017-06-27,15.22,15.22,13.86,14.3,18055
11,2017-06-28,14.3,14.82,13.5,14.82,6440
12,2017-06-29,14.79,15.1,14.79,15.06,3673
13,2017-06-30,15.15,15.2,14.5,14.6,9581
14,2017-07-03,14.72,14.72,13.9,14.0,11930
15,2017-07-04,14.04,14.38,14.0,14.14,6536
16,2017-07-05,14.14,14.37,13.9,13.9,3518
17,2017-07-06,13.6,14.4,13.6,14.35,2421
18,2017-07-07,14.2,14.5,14.2,14.3,4961
19,2017-07-10,14.25,14.6,14.25,14.4,1552
20,2017-07-11,14.25,14.35,14.0,14.2,685
21,2017-07-12,14.0,14.18,13.4,13.89,10482
22,2017-07-13,13.89,13.9,12.72,13.05,14703
23,2017-07-14,12.8,13.05,12.54,13.05,6975
24,2017-07-17,13.04,13.04,12.1,12.21,6700
25,2017-07-18,12.2,12.3,12.15,12.2,1464
26,2017-07-19,12.2,12.2,11.53,11.85,5007
27,2017-07-20,11.8,12.25,9.88,10.42,18001
28,2017-07-21,10.3,10.42,9.0,9.32,12255
29,2017-07-24,9.52,10.0,8.0,9.88,31790
30,2017-07-25,9.99,10.59,9.7,10.58,10501
31,2017-07-26,10.6,10.65,9.85,10.49,2309
32,2017-07-27,10.49,10.49,9.5,10.05,8762
33,2017-07-28,9.8,10.0,9.7,10.0,839
34,2017-07-31,10.0,10.4,9.73,10.25,3855
35,2017-08-01,9.81,10.2,9.81,10.2,1635
36,2017-08-02,10.2,10.2,9.73,9.99,2457
37,2017-08-03,9.99,10.35,9.8,10.2,2425
38,2017-08-04,10.1,10.3,9.73,10.05,3738
39,2017-08-07,10.05,10.2,10.0,10.0,4695
40,2017-08-08,10.0,10.05,9.8,10.05,2504
41,2017-08-09,9.92,9.92,9.9,9.9,3250
42,2017-08-10,9.9,10.25,9.9,10.25,3615
43,2017-08-11,9.9,10.07,9.6,9.9,8706
44,2017-08-14,9.93,9.99,9.8,9.99,749
45,2017-08-16,9.9,9.9,9.9,9.9,240
46,2017-08-17,9.88,9.9,9.88,9.9,500
47,2017-08-18,9.89,9.9,9.51,9.55,4487
48,2017-08-21,9.51,9.55,9.33,9.4,8029
49,2017-08-22,9.4,9.4,9.3,9.3,867
50,2017-08-23,9.4,9.4,9.3,9.3,2180
51,2017-08-24,9.3,9.35,8.77,9.0,5029
52,2017-08-25,9.4,9.4,9.0,9.0,514
53,2017-08-28,9.3,9.3,8.75,8.8,685
54,2017-08-29,8.76,9.14,8.28,9.14,10481
55,2017-08-30,8.9,9.6,8.7,9.6,3947
56,2017-08-31,9.59,9.6,9.5,9.5,3575
57,2017-09-01,9.5,9.5,9.2,9.2,256
58,2017-09-04,9.5,9.5,9.5,9.5,500
59,2017-09-06,9.5,9.5,8.77,9.4,12049
60,2017-09-07,9.19,9.19,9.0,9.0,2332
61,2017-09-08,9.0,9.4,9.0,9.1,1895
62,2017-09-11,9.15,9.3,9.15,9.2,3659
63,2017-09-12,9.1,9.1,9.0,9.1,1113
64,2017-09-13,9.1,9.1,8.91,9.1,1195
65,2017-09-14,8.91,9.2,8.64,9.2,10194
66,2017-09-15,9.15,9.2,9.15,9.2,865
67,2017-09-18,8.9,9.3,8.7,9.3,5121
68,2017-09-19,9.3,9.3,8.8,8.9,1403
69,2017-09-20,8.9,9.15,8.54,9.0,1862
70,2017-09-21,9.0,9.25,9.0,9.25,1020
71,2017-09-22,9.25,9.25,8.54,9.09,4824
72,2017-09-25,9.09,9.75,9.09,9.65,10730
73,2017-09-26,9.7,10.3,9.7,9.97,28889
74,2017-09-27,9.93,9.97,9.41,9.6,6291
75,2017-09-28,9.5,10.4,9.5,9.94,17684
76,2017-09-29,9.94,9.95,9.7,9.93,5272
77,2017-10-02,9.8,9.8,9.57,9.8,2426
78,2017-10-03,9.8,9.8,9.37,9.67,2535
79,2017-10-04,9.4,9.67,9.27,9.4,1749
80,2017-10-05,9.4,9.4,9.2,9.2,662
81,2017-10-06,9.2,9.4,9.05,9.05,5027
82,2017-10-09,9.1,9.2,8.8,9.2,5337
83,2017-10-10,9.2,9.2,8.9,9.15,2089
84,2017-10-11,9.0,9.1,8.99,8.99,1402
85,2017-10-12,8.99,9.1,8.99,9.0,2651
86,2017-10-13,9.15,9.25,9.03,9.03,2522
87,2017-10-16,9.03,9.03,8.97,8.97,226
88,2017-10-17,8.97,8.97,8.77,8.97,693
89,2017-10-18,8.9,8.97,8.28,8.9,6375
90,2017-10-19,8.88,8.88,8.8,8.8,288
91,2017-10-20,8.31,8.68,8.3,8.68,223
92,2017-10-23,8.68,8.68,8.68,8.68,50
93,2017-10-24,8.65,8.66,8.65,8.65,1475
94,2017-10-25,8.64,8.79,8.64,8.79,695
95,2017-10-26,8.7,8.7,8.6,8.6,1760
96,2017-10-27,8.4,8.64,8.02,8.15,8481
97,2017-10-30,7.3,7.3,6.0,6.3,62172
98,2017-10-31,6.3,6.49,6.0,6.11,16688
99,2017-11-02,6.15,6.5,6.15,6.41,3260
100,2017-11-03,6.47,7.0,6.46,7.0,17780
101,2017-11-06,7.0,7.92,6.83,7.68,20146
102,2017-11-07,7.75,8.9,7.56,8.38,23017
103,2017-11-08,8.4,8.75,7.5,8.4,37692
104,2017-11-09,8.45,8.71,8.2,8.44,18408
105,2017-11-10,8.5,9.26,8.5,9.08,20222
106,2017-11-13,9.15,9.35,9.0,9.07,17332
107,2017-11-14,9.25,9.25,8.4,8.5,7687
108,2017-11-15,8.53,8.95,8.53,8.53,2240
109,2017-11-16,8.41,8.45,7.85,8.21,7931
110,2017-11-17,8.25,8.25,7.75,7.86,11813
111,2017-11-20,8.0,8.0,7.11,7.34,6843
112,2017-11-21,7.34,7.9,7.34,7.84,6126
113,2017-11-22,7.7,7.7,7.44,7.7,1255
114,2017-11-23,7.7,7.95,7.45,7.8,4676
115,2017-11-24,7.51,7.7,7.4,7.7,3471
116,2017-11-27,7.7,7.75,7.1,7.15,4493
117,2017-11-28,7.07,7.29,6.86,7.29,1709
118,2017-11-29,7.31,7.63,7.3,7.5,3084
119,2017-11-30,7.5,7.5,7.35,7.49,508
120,2017-12-01,7.05,7.05,6.72,6.99,4933
121,2017-12-04,7.0,7.65,7.0,7.45,5440
122,2017-12-05,7.45,7.45,7.15,7.15,1651
123,2017-12-06,7.45,7.45,7.45,7.45,82
124,2017-12-07,7.15,7.37,6.08,7.31,7660
125,2017-12-08,7.25,7.25,6.72,7.04,2768
126,2017-12-11,6.72,6.95,6.72,6.95,427
