,Date,Open,High,Low,Close,Volume
0,2010-01-27,4.7141,4.8766,4.1117,4.1404,152637
1,2010-01-28,4.2455,4.2742,4.0161,4.2455,7268
2,2010-01-29,3.9396,4.0065,3.6814,3.9013,15746
3,2010-02-01,3.9204,3.9204,3.5188,3.8057,6571
4,2010-02-02,3.8248,3.8248,3.2989,3.385,39351
5,2010-02-03,3.5762,3.5762,3.2798,3.471,5612
6,2010-02-04,3.3467,3.4423,3.3085,3.4423,2777
7,2010-02-05,3.2702,3.3467,3.012,3.318,4674
8,2010-02-08,3.2033,3.2511,3.0599,3.0599,9740
9,2010-02-09,3.2415,3.2415,3.079,3.232,2501
10,2010-02-10,3.2511,3.8631,3.2511,3.7674,11854
11,2010-02-11,3.7674,3.777,3.4423,3.5858,3564
12,2010-02-12,3.7483,3.7483,3.4519,3.538,174
13,2010-02-15,3.4615,3.6336,3.3467,3.6336,1355
14,2010-02-16,3.5762,3.5762,3.5762,3.5762,105
15,2010-02-17,3.318,3.5858,3.1555,3.5858,8925
16,2010-02-18,3.3945,3.538,3.3945,3.538,1579
17,2010-02-19,3.3467,3.3467,3.1842,3.3467,3341
18,2010-02-22,3.1555,3.3372,2.9164,3.3372,1499
19,2010-02-23,2.9451,3.3085,2.9355,3.3085,3228
20,2010-02-24,2.9547,3.4519,2.9547,3.1077,74
21,2010-02-25,2.9451,3.4997,2.9451,3.0025,3327
22,2010-02-26,2.9642,3.3467,2.9642,3.3467,4848
23,2010-03-01,3.4806,3.4806,3.4806,3.4806,1145
24,2010-03-02,2.9355,3.3372,2.9355,3.3372,21
25,2010-03-03,3.3276,3.4423,2.9451,3.4423,3533
26,2010-03-05,2.9642,3.4423,2.9642,3.4423,3977
27,2010-03-09,3.012,3.1937,3.012,3.1937,1697
28,2010-03-10,3.1937,3.3276,3.1937,3.3276,716
29,2010-03-11,3.2893,3.2893,3.2893,3.2893,209
30,2010-03-12,3.2989,3.2989,3.0407,3.0407,3660
31,2010-03-15,3.3276,3.3276,2.7921,3.0503,1569
32,2010-03-16,3.1268,3.1268,3.1268,3.1268,209
33,2010-03-17,3.0981,3.3467,3.012,3.3467,5711
34,2010-03-18,3.3467,3.3467,3.3467,3.3467,10
35,2010-03-19,3.1842,3.1842,3.1746,3.1746,1001
36,2010-03-22,3.1555,3.1555,3.1555,3.1555,10
37,2010-03-23,2.9164,3.3467,2.9164,3.3467,314
38,2010-03-25,2.9164,3.1172,2.6869,3.1172,3932
39,2010-03-29,3.1172,3.1172,3.1172,3.1172,10
40,2010-03-30,2.8877,3.0981,2.8877,3.0981,533
41,2010-03-31,3.0981,3.0981,3.0981,3.0981,10
42,2010-04-01,2.9164,3.079,2.6774,3.079,3859
43,2010-04-06,3.0599,3.0885,3.0599,3.079,1673
44,2010-04-07,3.0694,3.0694,3.0599,3.0599,1167
45,2010-04-08,3.0599,3.079,3.0599,3.079,1046
46,2010-04-09,3.079,3.079,3.079,3.079,732
47,2010-04-13,3.079,3.2033,2.8782,3.2033,5741
48,2010-04-14,3.2989,3.3276,3.2989,3.3276,360
49,2010-04-15,3.079,3.232,3.079,3.232,298
50,2010-04-16,2.9547,3.232,2.9547,3.232,507
51,2010-04-20,2.9355,2.9355,2.9069,2.9069,2965
52,2010-04-21,3.1364,3.1364,3.1364,3.1364,314
53,2010-04-22,3.1555,3.2128,2.926,3.1746,958
54,2010-04-26,2.9355,3.2033,2.9355,3.2033,481
55,2010-04-28,2.9451,3.1746,2.9451,3.1746,978
56,2010-04-29,2.9642,3.1746,2.9642,3.0599,338
57,2010-04-30,3.2033,3.2033,2.9834,3.165,495
58,2010-05-04,2.9547,3.0599,2.9547,3.0599,4301
59,2010-05-05,2.9642,3.0694,2.9642,3.0694,105
60,2010-05-06,2.9642,3.0503,2.9642,3.0503,345
61,2010-05-07,3.0503,3.0503,3.0503,3.0503,10
62,2010-05-11,3.0503,3.0503,3.0503,3.0503,10
63,2010-05-13,2.9164,3.0312,2.7539,3.0312,4622
64,2010-05-18,3.0694,3.1746,2.8686,3.1555,2155
65,2010-05-19,2.9164,3.1077,2.8686,3.1077,366
66,2010-05-20,2.8686,3.1459,2.8686,3.1459,711
67,2010-05-26,2.7443,3.1077,2.7443,3.1077,212
68,2010-05-27,3.1077,3.1459,2.9642,3.1459,4342
69,2010-05-28,3.1459,3.232,3.1459,3.232,1004
70,2010-05-31,3.232,3.232,3.0694,3.232,753
71,2010-06-01,3.232,3.232,2.9642,3.232,2154
72,2010-06-02,3.232,3.7196,3.1077,3.7196,17822
