,Date,Open,High,Low,Close,Volume
0,2018-03-21,41.928,44.171,39.905,43.658,16236
1,2018-03-22,43.658,44.883,42.86,42.86,6349
2,2018-03-23,42.898,42.898,39.097,41.425,1329
3,2018-03-26,41.33,43.23,41.33,42.194,1785
4,2018-03-27,42.936,42.936,42.375,42.746,8
5,2018-03-28,42.746,42.746,41.52,42.375,289
6,2018-03-29,41.757,41.757,41.748,41.757,264
7,2018-04-03,41.71,41.814,41.71,41.814,2183
8,2018-04-04,41.862,42.508,41.862,42.508,5519
9,2018-04-05,41.957,42.65,41.957,42.118,213
10,2018-04-06,42.109,42.565,41.71,41.71,2605
11,2018-04-09,41.33,42.09,41.045,41.045,280
12,2018-04-10,41.14,42.356,41.14,42.356,310
13,2018-04-11,42.365,42.422,42.365,42.422,139
14,2018-04-12,42.498,42.508,42.28,42.28,724
15,2018-04-13,42.09,42.099,42.09,42.09,2529
16,2018-04-16,42.746,42.803,42.565,42.565,5235
17,2018-04-18,42.356,43.126,42.346,43.126,177
18,2018-04-20,42.755,42.812,42.755,42.812,1004
19,2018-04-24,42.774,42.869,42.755,42.755,1604
20,2018-04-26,42.109,42.166,41.71,42.166,10336
21,2018-04-27,41.805,41.805,41.805,41.805,1
22,2018-04-30,41.349,42.441,41.349,42.441,64
23,2018-05-04,42.213,42.213,42.213,42.213,737
24,2018-05-07,42.213,42.213,42.213,42.213,1205
25,2018-05-08,42.213,42.213,41.52,41.52,12121
26,2018-05-09,42.66,43.23,42.28,42.755,3816
27,2018-05-10,42.28,42.28,41.805,41.805,3496
28,2018-05-11,42.755,42.755,41.805,42.004,28435
29,2018-05-14,42.004,42.156,41.805,41.805,8628
30,2018-05-15,40.475,42.755,40.475,42.755,23618
31,2018-05-16,42.194,44.779,42.194,44.513,19719
32,2018-05-17,42.85,42.85,42.812,42.812,1058
33,2018-05-18,42.831,44.161,42.831,44.161,7
34,2018-05-21,42.86,43.886,42.86,43.886,252
35,2018-05-22,42.945,43.677,42.755,42.812,3163
36,2018-05-23,42.812,42.822,42.812,42.822,17
37,2018-05-24,43.23,43.895,43.23,43.705,1136
38,2018-05-25,43.705,44.513,43.705,44.513,318
39,2018-05-28,44.513,44.845,44.228,44.228,1917
40,2018-05-29,44.228,44.228,43.753,43.753,34
41,2018-05-30,43.762,43.762,43.762,43.762,19
42,2018-06-01,43.753,43.753,43.42,43.42,779
43,2018-06-04,43.43,44.655,43.23,44.655,2199
44,2018-06-05,44.18,44.18,42.993,43.23,5700
45,2018-06-06,43.363,43.363,43.363,43.363,42
46,2018-06-07,43.705,44.228,43.705,44.228,295
47,2018-06-11,43.705,44.218,43.705,44.218,354
48,2018-06-13,43.8,43.8,43.8,43.8,43
49,2018-06-14,43.8,43.8,43.8,43.8,179
50,2018-06-15,43.8,44.218,43.325,44.218,572
51,2018-06-19,43.705,43.705,43.43,43.43,358
52,2018-06-26,44.171,45.035,44.171,44.275,3591
53,2018-06-27,44.275,45.415,44.275,45.415,922
54,2018-06-28,44.655,45.415,44.655,45.415,384
55,2018-06-29,45.558,45.605,45.558,45.605,327
56,2018-07-02,45.605,46.46,45.605,46.365,1084
57,2018-07-03,46.46,48.456,46.46,48.456,2218
58,2018-07-04,49.311,49.311,49.311,49.311,198
59,2018-07-05,49.311,49.311,47.506,47.981,723
60,2018-07-06,47.791,47.791,47.791,47.791,22
61,2018-07-09,47.506,47.506,47.506,47.506,55
62,2018-07-10,47.506,47.506,45.976,47.031,132
63,2018-07-11,47.031,47.031,47.031,47.031,24
64,2018-07-12,47.411,49.216,47.411,49.216,617
65,2018-07-13,49.311,51.306,49.311,51.021,2774
66,2018-07-16,50.356,52.256,50.356,52.161,1690
67,2018-07-17,52.256,53.206,50.831,51.306,744
68,2018-07-18,53.206,53.206,50.546,50.831,498
69,2018-07-19,52.256,52.256,51.316,51.316,58
70,2018-07-20,53.206,53.206,52.826,52.826,77
71,2018-07-23,52.874,53.159,52.874,53.159,111
72,2018-07-24,51.306,53.206,51.306,52.256,338
73,2018-07-25,50.831,50.831,49.406,49.406,716
74,2018-07-26,51.116,51.116,48.864,48.864,1025
75,2018-07-27,49.406,49.406,48.551,48.931,342
76,2018-07-30,47.506,49.881,47.069,49.881,780
77,2018-07-31,49.881,49.881,49.881,49.881,20
78,2018-08-01,49.881,49.881,49.881,49.881,2
79,2018-08-02,49.881,49.881,45.605,47.411,1656
80,2018-08-03,46.175,47.031,46.175,47.031,277
81,2018-08-06,46.555,47.506,46.08,47.506,573
82,2018-08-07,47.401,47.496,46.375,46.375,469
83,2018-08-08,47.496,47.506,46.555,47.496,838
84,2018-08-09,47.506,47.506,46.555,47.506,305
85,2018-08-10,47.525,49.216,47.506,47.506,825
86,2018-08-13,46.65,46.65,46.612,46.612,447
87,2018-08-14,47.981,47.981,47.981,47.981,1
88,2018-08-16,47.933,47.933,45.795,47.791,847
89,2018-08-17,47.506,47.601,46.033,46.745,1014
90,2018-08-20,47.506,47.506,47.506,47.506,458
91,2018-08-21,47.506,47.506,46.745,46.745,2952
92,2018-08-22,45.805,46.555,45.805,46.555,1294
93,2018-08-23,46.555,46.555,46.555,46.555,180
94,2018-08-24,46.555,47.506,46.185,47.506,202
95,2018-08-27,47.487,47.487,46.27,46.27,27
96,2018-08-28,46.46,46.46,41.995,43.905,6677
97,2018-08-29,43.895,43.895,42.755,43.468,7934
98,2018-08-30,43.468,44.655,43.468,44.655,410
99,2018-08-31,43.715,44.56,43.715,43.819,147
100,2018-09-03,43.819,44.655,43.819,44.655,273
101,2018-09-04,44.655,45.605,44.655,44.655,893
102,2018-09-06,44.655,45.605,44.655,45.605,1866
103,2018-09-07,44.893,45.795,44.893,45.795,1084
104,2018-09-10,44.95,47.506,44.95,47.506,278
105,2018-09-12,47.458,47.458,47.458,47.458,4
106,2018-09-13,46.565,46.907,46.555,46.907,548
107,2018-09-14,46.897,46.897,46.897,46.897,146
108,2018-09-17,47.449,47.449,46.945,46.945,88
109,2018-09-18,47.04,47.04,46.897,46.897,860
110,2018-09-20,46.84,46.84,46.84,46.84,148
111,2018-09-25,44.912,44.94,43.819,44.845,2298
112,2018-09-26,44.94,45.035,44.655,45.035,455
113,2018-09-27,44.94,44.94,44.94,44.94,12
114,2018-10-01,44.94,44.94,44.304,44.304,259
115,2018-10-03,44.38,44.38,44.38,44.38,14
116,2018-10-04,44.38,44.38,44.37,44.37,22
117,2018-10-08,45.89,45.89,43.705,43.705,751
118,2018-10-09,43.61,43.61,43.23,43.23,23
119,2018-10-10,42.755,42.755,42.213,42.66,612
120,2018-10-11,42.0,42.0,41.0,41.0,4804
121,2018-10-12,41.0,44.0,41.0,41.95,47
122,2018-10-15,44.0,44.0,44.0,44.0,1
123,2018-10-18,44.0,44.0,44.0,44.0,8
124,2018-10-22,44.0,44.0,42.6,42.6,45
125,2018-10-24,42.53,42.53,42.53,42.53,26
126,2018-10-25,42.43,42.43,41.12,41.12,300
127,2018-10-29,41.3,41.3,41.3,41.3,22
128,2018-11-02,41.12,41.12,41.12,41.12,16
129,2018-11-05,41.1,41.1,41.1,41.1,16
130,2018-11-07,41.2,41.2,38.01,38.3,9064
131,2018-11-08,38.35,38.35,38.0,38.0,413
132,2018-11-09,37.5,37.5,37.0,37.0,3085
133,2018-11-14,37.15,37.15,37.15,37.15,108
134,2018-11-16,37.0,37.15,37.0,37.0,364
135,2018-11-19,37.0,37.0,36.02,36.03,4661
136,2018-11-20,36.0,36.0,36.0,36.0,2012
137,2018-11-21,36.0,36.0,36.0,36.0,6
138,2018-11-22,35.26,35.26,35.0,35.0,985
139,2018-11-28,34.0,35.0,34.0,35.0,11
140,2018-11-29,33.82,33.82,32.39,32.8,10991
141,2018-12-03,34.0,34.5,34.0,34.5,11
142,2018-12-04,33.0,34.5,32.87,34.5,612
143,2018-12-06,33.5,33.5,33.5,33.5,20
144,2018-12-17,34.5,36.12,34.4,34.4,445
145,2018-12-19,33.2,33.2,33.2,33.2,6
146,2018-12-20,33.2,33.2,33.2,33.2,106
147,2018-12-21,33.2,33.2,33.2,33.2,59
148,2018-12-27,33.2,33.2,33.2,33.2,2
149,2019-01-04,34.6,34.6,34.6,34.6,42
150,2019-01-08,34.8,34.8,34.8,34.8,9
151,2019-01-11,34.8,34.8,34.8,34.8,11
152,2019-01-15,34.8,34.81,34.15,34.15,5820
153,2019-01-16,33.15,34.8,33.15,34.8,43
154,2019-01-17,34.8,34.8,34.01,34.01,799
155,2019-01-18,35.1,35.1,34.02,34.02,6858
156,2019-01-21,35.12,35.12,35.12,35.12,11
157,2019-01-23,35.2,35.2,35.2,35.2,9
158,2019-01-29,35.25,35.25,35.25,35.25,45
159,2019-01-30,35.25,35.25,35.25,35.25,25
160,2019-01-31,35.5,35.5,35.5,35.5,35
161,2019-02-01,35.5,35.5,35.0,35.0,90
162,2019-02-07,35.5,35.5,35.5,35.5,1
163,2019-02-12,34.35,34.35,34.35,34.35,1102
164,2019-02-13,34.4,34.4,34.4,34.4,193
165,2019-02-19,34.41,34.41,34.41,34.41,237
166,2019-02-21,34.0,34.0,34.0,34.0,337
167,2019-02-28,35.5,35.5,35.5,35.5,10
168,2019-03-01,35.5,35.5,35.5,35.5,21
169,2019-03-11,34.2,34.2,34.2,34.2,130
170,2019-03-14,34.1,34.2,34.1,34.2,3012
171,2019-03-19,35.5,35.5,35.5,35.5,18
172,2019-03-20,35.5,35.5,35.5,35.5,161
173,2019-03-22,35.8,35.8,35.8,35.8,20
174,2019-03-25,35.8,37.01,35.8,37.01,55
175,2019-03-28,37.01,38.48,37.01,38.48,213
176,2019-03-29,36.65,37.8,36.65,37.8,72
177,2019-04-01,37.8,39.6,37.8,39.6,579
178,2019-04-02,40.0,40.0,40.0,40.0,10
179,2019-04-03,39.2,39.2,39.2,39.2,165
180,2019-04-08,37.8,39.0,37.8,39.0,47
181,2019-04-11,37.2,37.2,37.2,37.2,200
182,2019-04-12,37.4,37.4,37.4,37.4,10
183,2019-04-15,35.0,36.0,35.0,36.0,135
184,2019-05-02,34.2,35.0,34.2,35.0,77
185,2019-05-17,34.2,35.0,34.2,35.0,13
186,2019-05-20,34.0,34.0,34.0,34.0,18
187,2019-05-21,34.0,34.0,33.4,33.4,170
188,2019-05-22,33.2,33.4,33.2,33.2,3100
189,2019-05-24,33.4,33.4,33.4,33.4,225
190,2019-05-29,34.6,34.6,34.6,34.6,10
191,2019-05-30,33.4,33.4,33.4,33.4,50
192,2019-06-03,33.0,33.2,33.0,33.2,256
193,2019-06-12,31.8,31.8,31.8,31.8,72
194,2019-06-27,33.2,33.2,33.2,33.2,13
195,2019-07-03,31.8,31.8,31.8,31.8,18
196,2019-07-04,31.8,31.8,31.6,31.6,119
197,2019-07-15,31.6,31.6,31.6,31.6,6
198,2019-07-22,31.6,31.6,31.6,31.6,125
199,2019-07-26,31.0,31.0,31.0,31.0,30
200,2019-07-30,31.2,31.2,31.2,31.2,1
201,2019-07-31,28.6,30.2,28.6,30.2,560
202,2019-08-01,29.0,30.0,29.0,30.0,11
203,2019-08-02,28.8,28.8,28.8,28.8,90
204,2019-08-05,28.8,28.8,28.8,28.8,161
205,2019-08-06,29.0,29.0,28.6,28.6,239
206,2019-08-07,28.0,28.0,28.0,28.0,42
207,2019-08-21,28.6,28.6,28.6,28.6,26
208,2019-08-27,28.6,28.6,28.6,28.6,22
209,2019-08-30,28.0,28.0,28.0,28.0,150
210,2019-09-10,27.2,27.2,27.2,27.2,3
211,2019-09-12,27.2,27.2,27.2,27.2,36
212,2019-09-18,27.4,27.4,27.4,27.4,50
213,2019-09-25,28.0,28.4,28.0,28.4,1115
214,2019-09-27,28.4,28.4,28.4,28.4,20
