,Date,Open,High,Low,Close,Volume
0,2013-12-05,17.077,17.449,16.743,17.264,4966521
1,2013-12-06,17.264,17.264,16.556,17.003,665863
2,2013-12-09,17.116,17.116,16.907,16.967,341163
3,2013-12-10,16.921,16.921,16.556,16.601,190128
4,2013-12-11,16.535,16.601,16.044,16.371,150666
5,2013-12-12,16.222,16.296,15.924,16.044,185942
6,2013-12-13,15.999,16.357,15.999,16.088,47992
7,2013-12-16,16.357,16.357,16.161,16.296,43322
8,2013-12-17,16.296,16.296,15.783,15.999,84812
9,2013-12-18,15.849,16.296,15.849,16.073,22480
10,2013-12-19,16.296,16.357,15.71,15.746,73370
11,2013-12-20,15.783,15.849,15.649,15.783,65800
12,2013-12-23,15.879,16.296,15.879,16.148,21336
13,2013-12-27,16.148,16.282,15.999,16.282,26097
14,2013-12-30,16.23,16.326,16.095,16.2,23915
15,2014-01-02,16.296,16.364,16.222,16.222,91919
16,2014-01-03,16.222,16.296,16.088,16.244,14068
17,2014-01-07,16.296,16.296,16.037,16.148,85397
18,2014-01-08,16.207,16.207,15.814,15.924,28098
19,2014-01-09,15.836,15.849,15.181,15.292,56486
20,2014-01-10,15.292,15.849,15.217,15.849,128204
21,2014-01-13,15.999,16.073,15.775,16.073,143830
22,2014-01-14,16.058,16.058,15.849,15.901,75599
23,2014-01-15,15.999,15.999,15.879,15.879,97133
24,2014-01-16,15.879,15.999,15.775,15.857,6483
25,2014-01-17,15.887,15.999,15.783,15.932,95477
26,2014-01-20,16.148,16.335,15.969,16.2,17332
27,2014-01-21,16.296,16.371,16.088,16.148,54263
28,2014-01-22,16.148,16.214,16.088,16.119,181855
29,2014-01-23,16.073,16.148,16.022,16.132,20960
30,2014-01-24,16.11,16.11,15.924,15.94,8019
31,2014-01-27,15.887,15.983,15.887,15.924,27725
32,2014-01-28,15.924,16.051,15.887,15.999,19824
33,2014-01-29,16.051,16.348,16.006,16.014,119131
34,2014-01-30,15.999,16.073,15.901,16.073,10252
35,2014-01-31,16.073,16.14,15.775,16.073,68925
36,2014-02-03,16.073,16.073,15.71,15.94,17075
37,2014-02-04,15.775,15.94,15.715,15.924,19717
38,2014-02-05,15.887,16.073,15.857,16.014,51935
39,2014-02-06,15.865,16.022,15.865,15.94,191263
40,2014-02-07,15.999,15.999,15.775,15.911,148995
41,2014-02-10,15.79,15.887,15.455,15.768,121194
42,2014-02-11,15.626,15.775,15.553,15.723,15679
43,2014-02-12,15.656,15.723,15.567,15.664,57674
44,2014-02-13,15.626,15.737,15.626,15.634,39526
45,2014-02-14,15.664,15.819,15.597,15.819,12463
46,2014-02-17,15.723,15.911,15.701,15.798,86375
47,2014-02-18,15.901,15.911,15.701,15.836,32284
48,2014-02-19,15.775,16.296,15.775,16.006,26522
