,Date,Open,High,Low,Close,Volume
0,2017-08-23,133.0,133.9,122.0,127.9,3389
1,2017-08-24,127.9,130.4,125.0,129.0,419
2,2017-08-25,127.9,128.9,123.1,128.9,665
3,2017-08-28,128.9,129.0,125.0,128.75,1437
4,2017-08-29,129.8,129.8,127.8,127.8,81
5,2017-08-30,127.9,127.9,125.5,127.75,94
6,2017-08-31,127.5,144.85,125.0,138.9,6514
7,2017-09-01,138.8,138.8,132.7,137.0,177
8,2017-09-04,137.4,137.4,136.0,136.0,21
9,2017-09-05,136.0,136.0,130.6,130.6,13
10,2017-09-06,132.0,136.0,132.0,135.0,289
11,2017-09-07,134.0,136.0,133.6,135.0,54
12,2017-09-08,135.9,135.9,135.5,135.5,30
13,2017-09-11,135.9,136.0,133.0,136.0,414
14,2017-09-12,136.0,136.0,132.0,134.9,105
15,2017-09-13,132.0,132.9,127.0,132.9,260
16,2017-09-14,133.85,133.85,111.0,127.7,433
17,2017-09-15,127.7,127.7,125.0,127.7,121
18,2017-09-18,127.65,128.5,105.0,128.5,370
19,2017-09-19,128.5,128.5,128.5,128.5,56
20,2017-09-20,128.5,128.5,123.15,125.0,111
21,2017-09-21,125.0,128.5,124.0,128.5,406
22,2017-09-22,128.5,128.5,128.5,128.5,1
23,2017-09-25,128.5,128.5,123.55,128.5,45
24,2017-09-26,128.5,128.5,128.5,128.5,1
25,2017-09-27,128.5,128.5,128.5,128.5,1
26,2017-09-28,128.5,139.0,128.5,139.0,511
27,2017-09-29,141.5,144.0,135.1,139.1,4748
28,2017-10-02,139.8,139.8,133.95,139.7,562
29,2017-10-03,139.7,139.7,139.7,139.7,1
30,2017-10-04,139.7,139.7,139.65,139.65,90
31,2017-10-05,139.7,139.7,139.5,139.5,18
32,2017-10-06,139.0,141.0,133.55,141.0,319
33,2017-10-09,140.95,140.95,140.95,140.95,1
34,2017-10-10,135.5,140.0,135.5,140.0,102
35,2017-10-11,140.0,140.0,140.0,140.0,22
36,2017-10-12,138.0,138.0,138.0,138.0,1
37,2017-10-13,138.0,138.0,126.15,137.5,394
38,2017-10-16,138.0,138.0,137.5,137.5,81
39,2017-10-17,138.0,138.0,138.0,138.0,1
40,2017-10-18,138.0,138.0,138.0,138.0,1
41,2017-10-19,138.0,138.0,132.1,137.0,371
42,2017-10-20,136.95,136.95,136.9,136.9,131
43,2017-10-23,136.9,136.9,129.55,134.9,1131
44,2017-10-24,130.0,134.5,129.35,129.35,553
45,2017-10-25,130.0,130.0,129.95,129.95,251
46,2017-10-26,130.0,130.0,130.0,130.0,1
47,2017-10-27,129.0,129.0,126.2,129.0,261
48,2017-10-30,129.0,132.0,129.0,131.9,165
49,2017-10-31,134.9,134.9,132.0,133.0,966
50,2017-11-02,127.2,130.0,127.2,130.0,21
51,2017-11-03,127.15,127.15,127.15,127.15,1
52,2017-11-06,130.0,130.0,130.0,130.0,1
53,2017-11-07,129.5,129.95,128.0,129.95,95
54,2017-11-08,129.0,129.0,126.0,128.5,188
55,2017-11-09,128.45,128.45,128.45,128.45,50
56,2017-11-10,124.0,126.95,124.0,126.95,29
57,2017-11-13,126.0,126.0,126.0,126.0,7
58,2017-11-14,125.95,125.95,120.0,124.95,299
59,2017-11-15,118.0,120.0,118.0,120.0,394
60,2017-11-16,123.8,123.8,123.7,123.7,21
61,2017-11-17,123.7,123.7,123.7,123.7,1
62,2017-11-20,123.7,123.7,123.7,123.7,1
63,2017-11-21,123.65,123.65,123.65,123.65,1
64,2017-11-22,123.6,123.6,123.6,123.6,2
65,2017-11-23,123.6,123.6,118.1,118.1,15
66,2017-11-24,122.0,122.0,122.0,122.0,1
67,2017-11-27,119.9,132.75,119.9,126.5,840
68,2017-11-28,124.25,128.9,124.25,128.9,2
69,2017-11-29,129.8,129.8,129.8,129.8,1
70,2017-11-30,129.8,129.8,129.5,129.7,1030
71,2017-12-01,129.0,129.0,129.0,129.0,5
72,2017-12-04,128.95,128.95,128.95,128.95,1
73,2017-12-05,129.9,129.9,129.9,129.9,1
74,2017-12-06,129.9,129.9,107.0,129.1,393
75,2017-12-07,129.8,129.8,129.8,129.8,1
76,2017-12-08,125.0,129.7,108.4,129.6,724
77,2017-12-11,129.5,129.5,125.0,125.0,11
78,2017-12-12,127.95,127.95,124.0,124.0,11
79,2017-12-13,127.95,128.0,127.5,128.0,749
80,2017-12-14,129.0,129.0,128.8,128.95,1025
81,2017-12-15,128.95,128.95,128.75,128.85,1000
82,2017-12-18,128.4,128.5,128.3,128.5,1061
83,2017-12-19,128.45,129.9,128.35,129.9,1000
84,2017-12-20,129.9,138.8,129.9,138.0,1413
85,2017-12-21,138.4,140.0,138.35,139.55,1081
86,2017-12-22,139.85,139.85,139.0,139.6,1000
87,2017-12-27,139.8,139.8,138.9,138.9,1001
88,2017-12-28,138.9,138.9,138.6,138.6,1001
89,2017-12-29,138.55,138.55,135.1,135.1,1047
90,2018-01-03,135.0,140.5,135.0,140.5,644
91,2018-01-04,143.5,143.5,138.5,142.0,9
92,2018-01-05,141.0,141.0,138.0,138.0,615
93,2018-01-08,139.0,139.0,137.0,138.0,1001
94,2018-01-09,138.0,138.0,138.0,138.0,163
95,2018-01-10,138.5,138.5,138.5,138.5,1
96,2018-01-11,138.5,141.0,138.5,141.0,401
97,2018-01-12,141.5,141.5,138.0,140.5,48
98,2018-01-15,140.5,140.5,140.5,140.5,2
99,2018-01-16,140.0,140.0,140.0,140.0,1
100,2018-01-17,140.0,140.0,138.0,139.5,42
101,2018-01-18,139.5,139.5,139.5,139.5,1
102,2018-01-19,125.0,136.5,125.0,136.5,50
103,2018-01-22,136.5,136.5,136.5,136.5,1
104,2018-01-23,135.5,135.5,135.5,135.5,1
105,2018-01-24,134.5,134.5,134.5,134.5,1
106,2018-01-25,138.5,138.5,138.5,138.5,1
107,2018-01-26,137.0,137.0,137.0,137.0,1
108,2018-01-29,138.0,138.0,138.0,138.0,1
109,2018-01-30,136.0,136.0,136.0,136.0,6
110,2018-01-31,137.5,137.5,137.5,137.5,1
111,2018-02-01,136.0,136.0,134.0,134.0,16
112,2018-02-02,132.5,132.5,128.5,128.5,21
113,2018-02-05,127.0,127.0,127.0,127.0,5
114,2018-02-06,126.0,136.0,117.5,136.0,171
115,2018-02-07,136.0,136.0,128.0,128.0,11
116,2018-02-08,128.0,128.0,128.0,128.0,1
117,2018-02-12,128.5,128.5,126.5,126.5,12
118,2018-02-13,131.0,131.0,131.0,131.0,1
119,2018-02-14,135.5,135.5,135.5,135.5,1
120,2018-02-15,135.5,135.5,135.5,135.5,1
121,2018-02-16,135.5,135.5,135.5,135.5,1
122,2018-02-19,136.0,136.0,136.0,136.0,1
123,2018-02-20,135.5,135.5,135.5,135.5,1
124,2018-02-21,133.5,133.5,129.0,132.5,256
125,2018-02-22,132.0,132.0,132.0,132.0,1
126,2018-02-23,132.0,132.0,132.0,132.0,1
127,2018-02-26,134.5,134.5,134.5,134.5,1
128,2018-02-27,134.5,134.5,134.5,134.5,1
129,2018-02-28,133.5,133.5,125.0,131.0,1104
130,2018-03-01,134.5,134.5,124.0,129.0,27
131,2018-03-02,124.0,129.0,124.0,129.0,25
132,2018-03-05,132.0,132.0,132.0,132.0,1
133,2018-03-06,132.0,132.0,132.0,132.0,1
134,2018-03-07,132.0,134.0,132.0,134.0,35
135,2018-03-08,134.0,134.0,134.0,134.0,1
136,2018-03-09,134.0,134.0,134.0,134.0,1
137,2018-03-12,134.5,134.5,134.5,134.5,1
138,2018-03-13,134.0,134.0,134.0,134.0,1
139,2018-03-14,134.0,134.0,134.0,134.0,1
140,2018-03-15,134.0,134.0,134.0,134.0,1
141,2018-03-21,134.0,134.0,134.0,134.0,1
142,2018-03-22,134.0,134.0,134.0,134.0,1
143,2018-03-23,134.0,134.0,133.0,133.0,11
144,2018-03-26,132.5,132.5,132.5,132.5,2
145,2018-03-27,132.5,132.5,132.5,132.5,1
146,2018-03-28,130.0,130.0,111.0,130.0,210
147,2018-03-29,132.5,132.5,113.5,124.5,602
148,2018-04-03,124.5,124.5,124.5,124.5,30
149,2018-04-04,124.5,124.5,124.5,124.5,1
150,2018-04-05,124.5,124.5,124.5,124.5,1
151,2018-04-06,124.5,124.5,124.0,124.0,13
152,2018-04-10,132.5,132.5,132.5,132.5,1
153,2018-04-11,132.5,132.5,124.0,124.0,17346
154,2018-04-12,127.0,127.0,124.0,124.0,38
155,2018-04-13,130.0,130.0,130.0,130.0,1
156,2018-04-16,123.5,128.5,123.5,128.5,9
157,2018-04-17,129.5,129.5,122.5,125.0,2509
158,2018-04-18,129.5,129.5,129.5,129.5,1
159,2018-04-19,129.5,129.5,129.5,129.5,1
160,2018-04-20,130.0,130.0,130.0,130.0,1
161,2018-04-23,132.5,132.5,124.5,132.5,86
162,2018-04-24,132.0,132.0,132.0,132.0,1
163,2018-04-25,125.5,130.0,125.5,126.0,172
164,2018-04-26,132.0,132.0,132.0,132.0,1
165,2018-04-27,131.5,131.5,119.0,131.5,393
166,2018-04-30,131.5,132.0,131.5,132.0,351
167,2018-05-02,131.0,131.0,131.0,131.0,8
168,2018-05-04,131.0,131.0,125.0,125.0,273
169,2018-05-07,131.0,131.0,131.0,131.0,1
170,2018-05-08,125.5,125.5,118.0,118.0,267
171,2018-05-09,118.0,118.0,118.0,118.0,7
172,2018-05-10,120.0,122.5,120.0,122.5,29
173,2018-05-11,126.0,126.0,126.0,126.0,2
174,2018-05-14,131.0,132.0,120.0,132.0,221
175,2018-05-15,131.0,131.0,125.0,130.5,210
176,2018-05-16,126.5,126.5,117.0,117.0,499
177,2018-05-17,117.0,117.0,117.0,117.0,1
178,2018-05-18,117.0,117.0,116.0,116.5,194
179,2018-05-21,116.5,116.5,116.5,116.5,80
180,2018-05-22,120.0,120.0,120.0,120.0,1
181,2018-05-23,116.0,116.0,96.0,115.0,634
182,2018-05-24,110.0,114.5,100.5,106.5,374
183,2018-05-25,106.5,120.0,106.5,119.5,132
184,2018-05-28,119.5,119.5,119.5,119.5,1
185,2018-05-29,119.5,124.5,114.0,124.0,274
186,2018-05-30,124.0,125.0,111.0,125.0,817
187,2018-06-01,124.0,124.0,124.0,124.0,20
188,2018-06-04,126.0,126.0,126.0,126.0,1
189,2018-06-05,126.5,126.5,126.5,126.5,1
190,2018-06-06,126.5,126.5,126.0,126.0,2
191,2018-06-07,125.5,125.5,119.0,121.0,55
192,2018-06-08,125.0,125.0,125.0,125.0,1
193,2018-06-11,124.0,124.0,117.0,120.0,23
194,2018-06-12,120.0,120.0,114.0,118.0,104
195,2018-06-13,119.5,119.5,111.0,114.5,27
196,2018-06-14,115.0,115.0,110.5,115.0,27
197,2018-06-15,124.0,124.0,112.0,112.0,2
