,Date,Open,High,Low,Close,Volume
0,2014-11-26,32.34,34.08,31.8,31.8,194.0
1,2014-11-27,33.9,33.9,33.3,33.36,134.0
2,2014-11-28,33.6,35.28,33.3,35.28,79.0
3,2014-12-01,35.34,36.9,35.34,36.9,89.0
4,2014-12-02,36.48,36.48,36.3,36.3,22.0
5,2014-12-03,35.88,35.88,35.4,35.4,23.0
6,2014-12-04,35.04,35.04,32.7,34.74,96.0
7,2014-12-05,34.14,34.14,34.14,34.14,1.0
8,2014-12-08,32.46,33.24,32.46,33.24,
9,2014-12-09,33.24,33.24,32.58,32.58,1.0
10,2014-12-10,33.36,33.36,31.2,31.2,20.0
11,2014-12-11,32.28,32.28,31.62,31.62,2.0
12,2014-12-12,31.62,31.62,29.58,30.24,19.0
13,2014-12-15,31.02,31.02,31.02,31.02,
14,2014-12-16,32.28,32.28,32.28,32.28,
15,2014-12-17,30.66,30.66,30.06,30.06,50.0
16,2014-12-18,32.34,32.34,32.34,32.34,
17,2014-12-19,31.56,31.56,31.56,31.56,
18,2014-12-22,31.56,31.56,31.2,31.2,
19,2014-12-23,31.56,31.56,29.94,31.5,1.0
20,2014-12-29,31.56,31.56,31.56,31.56,1.0
21,2014-12-30,31.5,31.5,28.86,31.5,129.0
22,2015-01-05,30.96,30.96,30.96,30.96,1.0
23,2015-01-07,32.52,35.7,32.52,35.7,439.0
24,2015-01-08,33.0,35.64,33.0,35.64,818.0
25,2015-01-09,36.0,39.42,36.0,36.0,500.0
26,2015-01-12,37.5,39.42,36.42,39.42,624.0
27,2015-01-13,39.0,39.9,36.96,39.9,596.0
28,2015-01-14,39.9,39.9,39.9,39.9,2.0
29,2015-01-15,39.9,39.9,39.0,39.0,66.0
30,2015-01-16,39.9,39.9,39.9,39.9,1.0
31,2015-01-19,43.5,43.5,39.84,42.0,120.0
32,2015-01-20,45.6,45.6,42.0,42.0,218.0
33,2015-01-21,45.0,45.0,42.0,42.78,357.0
34,2015-01-22,45.0,45.0,42.06,45.0,376.0
35,2015-01-23,45.0,45.0,42.06,43.56,488.0
36,2015-01-26,45.0,45.0,42.42,45.0,340.0
37,2015-01-27,45.0,45.0,42.42,43.74,239.0
38,2015-01-28,42.0,42.0,41.88,42.0,500.0
39,2015-01-29,42.0,42.0,39.96,42.0,956.0
40,2015-01-30,45.0,49.2,41.1,49.2,377.0
41,2015-02-02,49.2,49.2,46.86,46.86,1.0
42,2015-02-03,49.86,49.86,41.04,42.24,194.0
43,2015-02-04,41.52,42.3,40.08,42.3,327.0
44,2015-02-05,41.1,42.0,41.1,42.0,210.0
45,2015-02-10,40.5,40.74,38.94,40.56,324.0
46,2015-02-11,39.12,41.04,37.5,41.04,517.0
47,2015-02-16,40.08,42.0,40.08,42.0,267.0
48,2015-02-17,41.1,41.1,41.1,41.1,33.0
49,2015-02-18,42.0,42.0,42.0,42.0,
50,2015-02-19,42.0,42.0,42.0,42.0,
51,2015-02-20,42.0,42.0,42.0,42.0,
52,2015-02-23,42.0,42.0,42.0,42.0,
53,2015-02-25,42.0,42.0,42.0,42.0,
54,2015-02-26,42.0,42.0,42.0,42.0,
55,2015-02-27,42.0,42.0,42.0,42.0,1.0
56,2015-03-02,42.0,42.0,42.0,42.0,
57,2015-03-03,42.0,42.0,42.0,42.0,1.0
58,2015-03-04,42.0,42.0,42.0,42.0,
59,2015-03-05,42.0,43.8,39.6,43.8,834.0
60,2015-03-06,42.0,42.0,39.36,42.0,210.0
61,2015-03-09,42.0,42.0,42.0,42.0,1.0
62,2015-03-10,42.0,42.0,42.0,42.0,
63,2015-03-11,42.0,42.0,42.0,42.0,
64,2015-03-12,42.0,42.0,42.0,42.0,1.0
65,2015-03-13,42.0,42.0,42.0,42.0,
66,2015-03-23,37.74,37.74,37.74,37.74,1.0
67,2015-03-24,37.74,37.74,37.74,37.74,1.0
68,2015-03-25,37.74,37.74,37.74,37.74,1.0
69,2015-03-26,37.74,37.74,34.02,34.02,220.0
70,2015-03-27,34.02,34.02,34.02,34.02,1.0
71,2015-03-30,34.02,34.02,34.02,34.02,
72,2015-03-31,34.02,34.02,30.66,30.66,100.0
73,2015-04-01,30.66,30.66,30.66,30.66,
74,2015-04-02,30.66,30.66,30.66,30.66,
