,Date,Open,High,Low,Close,Volume
0,2018-04-19,30.9,32.0,27.2,29.0,18751
1,2018-04-20,29.0,29.0,28.5,28.99,2489
2,2018-04-23,28.99,28.99,28.85,28.85,1092
3,2018-04-24,28.85,28.85,27.11,27.9,1863
4,2018-04-25,27.7,28.85,26.95,27.13,1576
5,2018-04-26,28.85,28.85,27.0,27.0,331
6,2018-04-27,28.85,28.85,26.9,27.0,982
7,2018-04-30,27.0,28.6,25.0,25.0,1955
8,2018-05-02,25.01,27.1,25.01,26.3,1520
9,2018-05-04,27.1,27.1,25.85,27.0,244
10,2018-05-07,26.97,27.0,26.96,27.0,627
11,2018-05-08,26.91,26.91,26.5,26.5,448
12,2018-05-09,26.79,26.79,26.77,26.77,82
13,2018-05-10,26.77,27.0,26.2,27.0,645
14,2018-05-11,26.97,26.97,26.69,26.69,863
15,2018-05-14,26.68,28.5,26.61,27.2,114489
16,2018-05-15,28.49,29.89,26.94,29.89,15122
17,2018-05-16,29.99,32.8,29.56,30.8,10195
18,2018-05-17,30.8,30.8,29.5,29.86,1205
19,2018-05-18,29.86,29.86,28.5,29.25,180
20,2018-05-21,29.25,29.89,29.0,29.57,2051
21,2018-05-22,29.79,29.79,28.4,28.68,5587
22,2018-05-23,28.68,28.68,27.75,28.55,273
23,2018-05-24,29.5,29.5,28.0,29.5,14038
24,2018-05-25,29.5,29.5,28.5,28.5,106
25,2018-05-28,29.49,29.49,27.02,28.0,1526
26,2018-05-29,29.0,29.0,27.5,28.0,62
27,2018-05-30,28.0,29.0,27.0,28.5,3049
28,2018-06-01,29.2,30.95,28.0,30.95,1912
29,2018-06-04,30.9,30.9,29.25,29.9,681
30,2018-06-05,30.5,30.5,29.3,29.9,42
31,2018-06-06,30.49,30.49,29.3,29.8,62
32,2018-06-07,28.9,28.9,28.0,28.0,1126
33,2018-06-08,28.85,29.0,28.0,28.2,1697
34,2018-06-11,29.4,29.4,28.5,28.5,842
35,2018-06-12,28.79,28.79,28.22,28.79,662
36,2018-06-13,28.79,29.4,28.79,29.4,3
37,2018-06-14,29.4,29.4,29.4,29.4,2
38,2018-06-15,29.4,29.4,27.6,27.98,4734
39,2018-06-18,29.0,29.0,27.0,27.99,1664
40,2018-06-19,26.07,27.29,26.07,27.29,1912
41,2018-06-20,26.5,27.63,26.5,27.48,1181
42,2018-06-21,27.3,27.3,27.29,27.3,971
43,2018-06-22,28.98,28.98,27.63,27.63,2
44,2018-06-25,27.5,27.5,26.5,27.5,1036
45,2018-06-26,27.5,27.5,27.5,27.5,247
46,2018-06-27,28.5,28.5,24.7,25.7,2813
47,2018-06-28,26.5,26.5,24.5,25.2,1977
48,2018-06-29,25.0,26.39,25.0,25.5,3052
49,2018-07-02,25.8,26.5,25.8,26.0,1791
50,2018-07-03,26.0,28.6,25.75,26.5,2975
51,2018-07-04,26.0,26.0,25.9,26.0,14
52,2018-07-05,25.5,25.5,25.5,25.5,30
53,2018-07-06,26.0,26.0,24.5,26.0,1292
54,2018-07-09,28.48,28.48,25.7,26.0,2065
55,2018-07-10,26.0,26.4,25.4,26.4,3331
56,2018-07-11,28.4,28.4,25.6,26.0,582
57,2018-07-12,26.0,28.0,26.0,28.0,178211
