,Date,Open,High,Low,Close,Volume
0,1998-03-12,4.557,4.557,4.557,4.557,70922.0
1,1998-03-13,4.5947,4.5947,4.5947,4.5947,164904.0
2,1998-03-16,4.5947,4.5947,4.5947,4.5947,96499.0
3,1998-03-17,4.5947,4.5947,4.5947,4.5947,41960.0
4,1998-03-18,4.5193,4.5193,4.5193,4.5193,15630.0
5,1998-03-19,4.5947,4.5947,4.5947,4.5947,27782.0
6,1998-03-20,4.5947,4.5947,4.5947,4.5947,34608.0
7,1998-03-23,4.557,4.557,4.557,4.557,40591.0
8,1998-03-24,4.557,4.557,4.557,4.557,55477.0
9,1998-03-25,4.67,4.67,4.67,4.67,50537.0
10,1998-03-26,4.9712,4.9712,4.9712,4.9712,214539.0
11,1998-03-27,5.1972,5.1972,5.1972,5.1972,300143.0
12,1998-03-30,5.0842,5.0842,5.0842,5.0842,108969.0
13,1998-03-31,4.783,4.783,4.783,4.783,62601.0
14,1998-04-01,4.4439,4.4439,4.4439,4.4439,55177.0
15,1998-04-02,4.3687,4.3687,4.3687,4.3687,46819.0
16,1998-04-06,4.4817,4.4817,4.4817,4.4817,28924.0
17,1998-04-07,4.5193,4.5193,4.5193,4.5193,36338.0
18,1998-04-08,4.4439,4.4439,4.4439,4.4439,36227.0
19,1998-04-09,4.331,4.331,4.331,4.331,77564.0
20,1998-04-14,4.3687,4.3687,4.3687,4.3687,38289.0
21,1998-04-15,4.2933,4.2933,4.2933,4.2933,20724.0
22,1998-04-16,4.2557,4.2557,4.2557,4.2557,17122.0
23,1998-04-17,4.1427,4.1427,4.1427,4.1427,31055.0
24,1998-04-20,4.218,4.218,4.218,4.218,13373.0
25,1998-04-21,4.0673,4.0673,4.0673,4.0673,19188.0
26,1998-04-22,4.218,4.218,4.218,4.218,13462.0
27,1998-04-23,4.2933,4.2933,4.2933,4.2933,25265.0
28,1998-04-24,4.2933,4.2933,4.2933,4.2933,22253.0
29,1998-04-27,4.4063,4.4063,4.4063,4.4063,44855.0
30,1998-04-28,4.2557,4.2557,4.2557,4.2557,6054.0
31,1998-04-29,3.8791,3.8791,3.8791,3.8791,48850.0
32,1998-04-30,4.1804,4.1804,4.1804,4.1804,30037.0
33,1998-05-04,4.3687,4.3687,4.3687,4.3687,17454.0
34,1998-05-05,4.331,4.331,4.331,4.331,14258.0
35,1998-05-06,4.2933,4.2933,4.2933,4.2933,14616.0
36,1998-05-07,4.218,4.218,4.218,4.218,22038.0
37,1998-05-08,4.3687,4.3687,4.3687,4.3687,13276.0
38,1998-05-11,4.3687,4.3687,4.3687,4.3687,17658.0
39,1998-05-12,4.2933,4.2933,4.2933,4.2933,22026.0
40,1998-05-13,4.1427,4.1427,4.1427,4.1427,16440.0
41,1998-05-14,3.9168,3.9168,3.9168,3.9168,19648.0
42,1998-05-15,4.1427,4.1427,4.1427,4.1427,23898.0
43,1998-05-18,4.0673,4.0673,4.0673,4.0673,21774.0
44,1998-05-19,3.992,3.992,3.992,3.992,29235.0
45,1998-05-20,4.0673,4.0673,4.0673,4.0673,35083.0
46,1998-05-21,4.1804,4.1804,4.1804,4.1804,29714.0
47,1998-05-22,4.2933,4.2933,4.2933,4.2933,28367.0
48,1998-05-25,4.2557,4.2557,4.2557,4.2557,24160.0
49,1998-05-26,4.218,4.218,4.218,4.218,33456.0
50,1998-05-27,4.1427,4.1427,4.1427,4.1427,27310.0
51,1998-05-28,3.992,3.992,3.992,3.992,47564.0
52,1998-05-29,4.0298,4.0298,4.0298,4.0298,49425.0
53,1998-06-01,4.0298,4.0298,4.0298,4.0298,33192.0
54,1998-06-02,3.6532,3.6532,3.6532,3.6532,25227.0
55,1998-06-03,3.9168,3.9168,3.9168,3.9168,49969.0
56,1998-06-04,3.8038,3.8038,3.8038,3.8038,32462.0
57,1998-06-05,3.7661,3.7661,3.7661,3.7661,46684.0
58,1998-06-08,3.9544,3.9544,3.9544,3.9544,44038.0
59,1998-06-09,3.9544,3.9544,3.9544,3.9544,39828.0
60,1998-06-10,3.992,3.992,3.992,3.992,55760.0
61,1998-06-15,3.992,3.992,3.992,3.992,40094.0
62,1998-06-16,3.9168,3.9168,3.9168,3.9168,66116.0
63,1998-06-17,3.992,3.992,3.992,3.992,61132.0
64,1998-06-18,4.105,4.105,4.105,4.105,69651.0
65,1998-06-19,4.1804,4.1804,4.1804,4.1804,59430.0
66,1998-06-22,4.2933,4.2933,4.2933,4.2933,57105.0
67,1998-06-23,4.2933,4.2933,4.2933,4.2933,47131.0
68,1998-06-24,4.2933,4.2933,4.2933,4.2933,49959.0
69,1998-06-25,4.2933,4.2933,4.2933,4.2933,51978.0
70,1998-06-26,4.3687,4.3687,4.3687,4.3687,80400.0
71,1998-06-29,4.5193,4.5193,4.5193,4.5193,83091.0
72,1998-06-30,4.4439,4.4439,4.4439,4.4439,58308.0
73,1998-07-01,4.3687,4.3687,4.3687,4.3687,69719.0
74,1998-07-02,4.3687,4.3687,4.3687,4.3687,80907.0
75,1998-07-03,4.3687,4.3687,4.3687,4.3687,103994.0
76,1998-07-06,4.4063,4.4063,4.4063,4.4063,101444.0
77,1998-07-07,4.4439,4.4439,4.4439,4.4439,178812.0
78,1998-07-08,4.5193,4.5193,4.5193,4.5193,96303.0
79,1998-07-09,4.1427,4.1427,4.1427,4.1427,100759.0
80,1998-07-10,4.4063,4.4063,4.4063,4.4063,116039.0
81,1998-07-13,4.4439,4.4439,4.4439,4.4439,91658.0
82,1998-07-14,4.7453,4.7453,4.7453,4.7453,93051.0
83,1998-07-15,4.7453,4.7453,4.7453,4.7453,87797.0
84,1998-07-16,4.67,4.67,4.67,4.67,104883.0
85,1998-07-17,4.67,4.67,4.67,4.67,122613.0
86,1998-07-20,4.67,4.67,4.67,4.67,127831.0
