,Date,Open,High,Low,Close,Volume
0,2011-02-02,6.2729,6.2729,4.2641,4.5109,52739
1,2011-02-03,4.6869,5.413,4.5813,4.8632,39796
2,2011-02-04,4.6305,4.7222,4.5954,4.6024,2228
3,2011-02-07,4.5742,4.8632,4.2429,4.3699,3410
4,2011-02-08,4.229,4.3628,3.9539,4.3628,2977
5,2011-02-09,4.1303,4.2782,4.1303,4.2782,4123
6,2011-02-10,4.229,4.3628,3.9539,4.1655,7562
7,2011-02-11,4.229,4.7222,4.229,4.6517,9051
8,2011-02-14,4.7575,5.2367,4.7575,5.2016,17168
9,2011-02-15,5.1451,5.4482,5.0535,5.427,6224
10,2011-02-16,5.413,5.413,5.413,5.413,6
11,2011-02-17,5.413,5.427,4.9759,5.2016,3067
12,2011-02-18,5.0746,5.0746,5.0746,5.0746,355
13,2011-02-22,4.6234,4.9266,4.4403,4.9266,32533
14,2011-02-23,4.7222,4.8632,4.6517,4.8632,1474
15,2011-02-24,4.6517,4.8632,4.405,4.7222,2638
16,2011-03-03,4.7192,4.7777,4.6899,4.7777,1837
17,2011-03-04,4.5813,4.7787,4.5813,4.7787,525
18,2011-03-07,4.7928,5.1451,4.3699,4.7856,8237
19,2011-03-09,4.4122,4.4122,4.405,4.405,1420
20,2011-03-10,4.6532,4.6532,4.6532,4.6532,70
21,2011-03-15,4.2711,4.546,4.229,4.546,2768
22,2011-03-16,4.2358,4.2358,4.229,4.229,993
23,2011-03-18,4.229,4.229,4.1584,4.1584,1009
24,2011-03-22,4.5037,4.5037,4.5037,4.5037,70
25,2011-03-23,4.5037,4.9337,4.1019,4.856,8584
26,2011-03-24,4.5813,4.5813,4.5813,4.5813,285
27,2011-03-29,4.4756,4.5742,4.0527,4.4756,6252
28,2011-03-31,4.4261,4.4407,4.1037,4.1037,371
29,2011-04-01,3.9498,4.3015,3.8032,4.2134,4070
30,2011-04-04,4.2641,4.2994,3.8413,4.2994,265
31,2011-04-05,3.9498,3.957,3.9498,3.957,2
32,2011-04-07,4.0157,4.0157,4.0157,4.0157,229
33,2011-04-08,3.8765,3.8765,3.8765,3.8765,285
34,2011-04-14,3.8032,3.8765,3.5246,3.8765,4612
35,2011-04-20,3.5906,4.0303,3.5906,4.0303,424
36,2011-04-21,4.0303,4.0303,4.0303,4.0303,1090
37,2011-04-28,3.664,3.664,3.664,3.664,273
38,2011-04-29,4.0303,4.067,3.664,4.045,2234
39,2011-05-04,3.957,4.1037,3.664,4.1037,645
40,2011-05-05,4.1037,4.7192,4.1037,4.7192,586
41,2011-05-06,3.9204,4.2134,3.8911,4.2134,1501
42,2011-05-09,4.7046,4.7046,4.3967,4.6753,360
43,2011-05-10,4.6532,4.6532,4.6532,4.6532,6
44,2011-05-11,3.7519,3.7519,3.7519,3.7519,342
45,2011-05-12,3.7374,3.9864,3.7374,3.9864,1242
46,2011-05-13,3.9864,3.9864,3.9864,3.9864,6
47,2011-05-16,3.7374,3.7374,3.7374,3.7374,35
48,2011-05-17,3.7374,3.7374,3.5393,3.7374,595
49,2011-05-19,3.4441,3.9864,3.4441,3.9864,2
50,2011-05-23,3.8838,3.8838,3.8838,3.8838,27
51,2011-05-26,3.4441,3.4441,3.4441,3.4441,136
52,2011-05-27,3.4807,3.8838,3.4441,3.8838,277
53,2011-05-31,3.664,3.664,3.4441,3.4441,82
54,2011-06-01,3.4441,3.4441,3.4441,3.4441,1122
55,2011-06-02,3.4368,3.4368,3.4368,3.4368,272
56,2011-06-03,3.664,3.664,3.664,3.664,2048
57,2011-06-06,3.8838,3.8838,3.2976,3.2976,785
58,2011-06-07,3.7374,3.957,3.7374,3.9424,2214
59,2011-06-08,3.664,3.664,3.664,3.664,644
60,2011-06-09,3.7738,3.7738,3.7738,3.7738,2730
61,2011-06-10,3.7738,3.7738,3.4514,3.4514,172
62,2011-06-13,3.8545,3.8545,3.664,3.664,171
63,2011-06-14,3.4441,3.957,2.9311,3.957,4121
64,2011-06-15,3.957,4.7486,3.957,4.3235,8686
65,2011-06-17,4.6532,4.6532,4.3601,4.3601,866
66,2011-06-20,4.1476,4.6167,4.1476,4.6167,820
67,2011-06-21,4.6167,5.4226,4.6167,5.3861,6288
68,2011-06-22,5.1293,5.1293,5.1293,5.1293,6
69,2011-06-24,5.1293,5.1293,5.1293,5.1293,68
70,2011-06-27,5.2027,5.2761,5.2027,5.2761,158
71,2011-06-29,5.4226,5.4226,5.4226,5.4226,21
72,2011-06-30,5.2761,5.8257,5.2761,5.8257,2790
73,2011-07-01,5.8623,5.8623,5.8623,5.8623,342
74,2011-07-04,5.8623,6.2653,5.8623,5.8623,174
75,2011-07-05,5.8623,5.8623,5.8623,5.8623,2
76,2011-07-06,5.1293,5.8257,4.7631,5.8257,2661
77,2011-07-07,5.679,5.679,4.6678,5.3494,1309
78,2011-07-08,4.7264,4.7264,4.6899,4.6899,3342
79,2011-07-11,5.4593,5.4593,5.4593,5.4593,2
80,2011-07-12,4.6899,4.6899,4.6899,4.6899,616
81,2011-07-13,5.0489,5.0489,4.3967,4.3967,750
82,2011-07-14,4.3967,4.7631,3.5246,4.7631,38961
83,2011-07-15,4.7264,5.0562,4.7264,5.0562,276
84,2011-07-18,4.7631,5.8623,4.7631,5.8549,1774
85,2011-07-21,5.8403,5.8623,5.789,5.8182,3756
86,2011-07-22,5.8182,5.8182,5.8182,5.8182,409
87,2011-07-25,5.8182,6.5586,5.8182,6.2286,7495
88,2011-07-26,6.368,6.368,6.0089,6.302,3376
89,2011-07-27,5.1514,6.2286,5.1441,6.2286,560
90,2011-07-29,6.0089,6.2141,5.943,5.943,2347
91,2011-08-03,5.8842,5.8842,5.1293,5.7817,618
92,2011-08-04,5.679,5.679,5.679,5.679,2
93,2011-08-18,5.4957,5.4957,5.4957,5.4957,2184
94,2011-08-30,5.4957,5.7158,5.4957,5.7158,1255
95,2011-08-31,5.7158,5.7158,5.7158,5.7158,6
96,2011-09-07,4.5798,5.3127,4.5798,5.3127,3
97,2011-09-12,4.6532,5.3127,4.6532,5.3127,302
98,2011-09-13,4.9462,4.9462,4.6167,4.6167,436
99,2011-09-15,4.9462,4.9462,4.9462,4.9462,68
100,2011-09-16,4.5798,5.3494,4.5798,5.3494,1198
101,2011-09-19,6.4119,6.4119,5.1293,5.9722,10383
102,2011-09-20,5.3494,5.3494,5.3494,5.3494,11
103,2011-09-21,5.789,5.789,5.789,5.789,27
104,2011-09-22,4.6899,4.6899,4.6899,4.6899,6
105,2011-09-26,5.789,5.789,5.789,5.789,11
106,2011-09-28,5.8623,5.8623,5.8257,5.8257,355
107,2011-09-29,5.8182,6.9615,5.8182,6.9615,2859
108,2011-10-04,11.725,14.069,11.725,14.069,8056
109,2011-10-05,16.853,19.199,15.389,19.045,6083
110,2011-10-06,16.122,18.313,13.198,14.069,11885
111,2011-10-07,14.069,14.289,11.286,12.816,13781
112,2011-10-10,13.849,13.849,11.797,13.849,125
