,Date,Open,High,Low,Close,Volume
0,2008-01-30,35.0,35.0,29.0,30.2,4094
1,2008-01-31,31.0,33.0,30.0,33.0,1745
2,2008-02-01,33.0,35.0,33.0,33.0,11050
3,2008-02-04,35.0,35.0,35.0,35.0,10964
4,2008-02-05,35.0,35.0,35.0,35.0,3990
5,2008-02-06,33.01,33.01,30.1,32.89,7326
6,2008-02-07,33.0,33.0,33.0,33.0,8929
7,2008-02-08,33.0,33.0,33.0,33.0,1
8,2008-02-11,30.23,30.23,30.23,30.23,50
9,2008-02-12,31.8,31.8,31.8,31.8,19
10,2008-02-13,33.0,33.0,33.0,33.0,20
11,2008-02-14,32.0,32.0,32.0,32.0,15
12,2008-02-18,32.95,32.95,32.95,32.95,15
13,2008-02-19,32.49,32.5,32.49,32.5,188
14,2008-02-20,32.0,32.0,32.0,32.0,1183
15,2008-02-21,32.0,33.0,32.0,33.0,364
16,2008-02-25,32.0,32.0,32.0,32.0,156
17,2008-02-26,32.0,32.0,32.0,32.0,103
18,2008-02-27,32.0,32.0,32.0,32.0,312
19,2008-02-28,31.5,32.0,31.5,32.0,3725
20,2008-02-29,32.0,32.0,32.0,32.0,230
21,2008-03-04,32.0,32.0,32.0,32.0,21
22,2008-03-07,32.0,32.0,32.0,32.0,20
23,2008-03-11,32.0,32.0,32.0,32.0,1207
24,2008-03-13,32.0,32.0,32.0,32.0,500
25,2008-03-17,35.0,35.0,31.02,31.99,136
26,2008-03-19,30.5,30.5,30.5,30.5,60
27,2008-03-20,29.0,31.97,28.0,31.97,1710
28,2008-03-25,28.0,28.0,28.0,28.0,677
29,2008-03-26,28.0,28.0,28.0,28.0,230
30,2008-03-27,28.0,28.0,28.0,28.0,1173
31,2008-03-28,28.0,28.0,28.0,28.0,497
32,2008-03-31,28.0,28.0,27.2,27.2,160
33,2008-04-04,27.2,27.2,27.2,27.2,627
34,2008-04-07,27.0,27.0,27.0,27.0,1016
35,2008-04-08,32.0,32.0,32.0,32.0,1
36,2008-04-11,26.4,26.4,26.4,26.4,50
37,2008-04-14,28.0,28.0,28.0,28.0,61
38,2008-04-15,28.4,28.4,27.9,28.0,764
39,2008-04-16,27.94,27.94,27.94,27.94,270
40,2008-04-25,27.39,27.39,27.39,27.39,3947
41,2008-04-28,26.4,26.4,26.0,26.0,259
42,2008-04-29,26.0,26.0,26.0,26.0,844
43,2008-04-30,24.0,24.0,24.0,24.0,650
44,2008-05-05,24.0,24.0,24.0,24.0,433
45,2008-05-08,24.0,24.0,24.0,24.0,682
46,2008-05-09,23.6,23.6,23.6,23.6,50
47,2008-05-13,29.0,29.0,23.5,23.5,1766
48,2008-05-14,23.99,23.99,23.0,23.0,200
49,2008-05-15,22.0,22.0,22.0,22.0,300
50,2008-05-16,22.0,22.0,22.0,22.0,240
51,2008-05-19,22.0,22.0,21.0,21.0,123
52,2008-05-20,21.0,23.75,21.0,23.75,280
53,2008-05-21,21.0,22.0,21.0,22.0,163
54,2008-05-23,20.0,21.0,20.0,21.0,246
55,2008-05-26,20.0,20.0,20.0,20.0,470
56,2008-05-27,18.0,18.0,18.0,18.0,299
57,2008-05-30,19.9,19.9,19.9,19.9,330
58,2008-06-02,19.9,19.9,19.9,19.9,20
59,2008-06-03,21.5,21.5,21.5,21.5,10
60,2008-06-04,21.0,22.5,21.0,22.5,59
61,2008-06-05,23.5,23.5,23.5,23.5,5
62,2008-06-06,23.78,23.78,23.78,23.78,30
63,2008-06-09,24.0,24.0,24.0,24.0,10
64,2008-06-16,20.9,20.9,20.9,20.9,300
65,2008-06-24,22.9,22.9,22.9,22.9,13
66,2008-06-26,20.5,22.98,20.5,22.98,48030
67,2008-06-30,21.9,22.0,21.9,22.0,150
68,2008-07-02,22.05,22.05,22.05,22.05,75
69,2008-07-10,19.0,21.0,19.0,21.0,169
70,2008-07-11,21.0,21.45,21.0,21.45,80
71,2008-07-14,17.8,20.0,17.8,20.0,355
72,2008-07-15,16.01,19.0,16.0,19.0,150
73,2008-07-16,21.4,21.4,16.0,18.9,13879
74,2008-07-17,16.0,18.5,16.0,18.5,4688
75,2008-07-23,18.0,21.0,18.0,21.0,516
76,2008-07-24,20.99,21.45,20.99,21.45,260
77,2008-08-05,24.5,24.9,24.5,24.89,247
