,Date,Open,High,Low,Close,Volume
0,2020-08-06,7.8,7.98,6.24,6.59,790342
1,2020-08-07,6.59,6.59,4.66,4.99,274738
2,2020-08-10,4.66,6.0,4.5,5.0,317438
3,2020-08-11,5.34,5.35,4.5,4.845,140753
4,2020-08-12,4.899,4.899,3.92,4.2,165918
5,2020-08-13,4.2,4.2,3.36,3.4,213356
6,2020-08-14,3.4,3.9,3.4,3.859,89840
7,2020-08-17,3.9,3.9,3.6,3.7995,30931
8,2020-08-18,3.66,3.7895,3.45,3.649,31636
9,2020-08-19,3.55,3.688,3.32,3.649,78997
10,2020-08-20,3.52,3.67,3.4,3.41,16372
11,2020-08-21,3.45,3.799,3.375,3.79,195306
12,2020-08-24,3.77,3.889,3.5405,3.6995,40115
13,2020-08-25,3.69,3.69,3.502,3.51,53852
14,2020-08-26,3.68,3.68,3.502,3.6,14762
15,2020-08-27,3.65,3.84,3.6,3.73,28468
16,2020-08-28,3.82,3.85,3.6155,3.85,37065
17,2020-08-31,3.86,3.889,3.651,3.8,19564
18,2020-09-01,3.621,3.65,3.35,3.45,41425
19,2020-09-02,3.52,3.52,3.4,3.4,10074
20,2020-09-03,3.5,3.569,3.38,3.38,8451
21,2020-09-04,3.21,3.31,3.09,3.27,34567
22,2020-09-07,3.279,3.279,2.73,2.84,44482
23,2020-09-08,2.85,2.85,2.37,2.65,67780
24,2020-09-09,2.53,2.9,2.53,2.89,12362
25,2020-09-10,2.9,3.248,2.89,2.985,6947
26,2020-09-11,2.985,3.0,2.96,2.985,4778
27,2020-09-14,3.048,3.1,2.95,3.03,10629
28,2020-09-15,2.95,3.49,2.88,3.385,13403
29,2020-09-16,3.478,3.478,3.11,3.3,1033
30,2020-09-17,3.2,3.399,2.9,3.14,5350
31,2020-09-18,3.14,3.24,2.95,3.24,10840
32,2020-09-21,3.24,3.24,2.85,2.985,15095
33,2020-09-22,2.99,3.14,2.9,3.09,4660
34,2020-09-23,2.98,3.1,2.812,3.1,8034
35,2020-09-24,3.07,3.07,2.94,3.048,200
36,2020-09-25,2.95,2.99,2.95,2.99,2982
37,2020-09-28,2.99,3.18,2.96,3.1,9437
38,2020-09-29,3.0,3.06,2.97,2.998,2385
39,2020-09-30,3.0,3.18,2.982,3.1,49034
40,2020-10-01,3.21,3.21,2.98,3.04,12425
41,2020-10-02,2.96,3.26,2.902,3.19,6449
42,2020-10-05,3.13,3.23,2.85,3.149,42382
43,2020-10-06,3.0,3.0,2.79,2.9,79058
44,2020-10-07,2.88,2.899,2.79,2.899,3466
45,2020-10-08,2.8,2.899,2.8,2.87,1637
46,2020-10-09,2.85,2.92,2.8,2.92,6630
47,2020-10-12,2.82,2.99,2.785,2.89,49553
48,2020-10-13,2.87,2.87,2.84,2.85,1200
49,2020-10-14,2.81,2.87,2.81,2.85,2128
50,2020-10-15,2.87,2.87,2.6,2.75,6377
51,2020-10-16,2.56,2.75,2.4,2.66,12004
52,2020-10-19,2.57,2.695,2.455,2.68,34647
53,2020-10-20,2.521,2.68,2.521,2.68,1767
54,2020-10-21,2.52,2.68,2.502,2.61,2281
55,2020-10-22,2.6,2.6,2.6,2.6,920
56,2020-10-23,2.61,2.8,2.555,2.68,39212
57,2020-10-26,2.87,2.87,2.54,2.566,20508
58,2020-10-27,2.6,2.749,2.56,2.6,3442
59,2020-10-28,2.6,2.6,2.09,2.378,29599
60,2020-10-29,2.16,2.35,2.09,2.3,22528
61,2020-10-30,2.14,2.3,2.1105,2.29,10719
62,2020-11-02,2.25,2.299,2.05,2.289,60898
63,2020-11-03,2.27,2.5,2.27,2.45,58559
64,2020-11-04,2.48,2.5,2.25,2.4,44600
65,2020-11-05,2.36,2.45,2.36,2.45,6829
66,2020-11-06,2.45,2.45,2.37,2.45,696
67,2020-11-09,2.45,2.55,2.382,2.5,26885
68,2020-11-10,2.38,2.5,2.38,2.5,2186
69,2020-11-12,2.49,2.49,2.4,2.45,4037
70,2020-11-13,2.5,2.7,2.4,2.4,23618
71,2020-11-16,2.4,2.5,2.23,2.48,18144
72,2020-11-17,2.48,2.55,2.361,2.54,6080
73,2020-11-18,2.6,2.6,2.37,2.45,6828
74,2020-11-19,2.39,2.5,2.39,2.5,8188
