,Date,Open,High,Low,Close,Volume
0,2020-12-16,9.5,9.5,7.6,8.5,335515
1,2020-12-17,8.697,9.08,7.5,7.8,89579
2,2020-12-18,7.8,8.15,7.5,7.94,17477
3,2020-12-21,8.08,8.08,7.7,7.86,7190
4,2020-12-22,7.87,8.07,7.84,7.98,3392
5,2020-12-23,8.0,8.09,7.7,7.97,8751
6,2020-12-28,7.978,9.2,7.66,9.2,38611
7,2020-12-29,9.551,10.898,9.4,10.0,60756
8,2020-12-30,10.47,11.9,10.0,11.35,83270
9,2021-01-04,13.55,16.26,11.88,16.26,157270
10,2021-01-05,19.51,21.5,16.3,17.05,301035
11,2021-01-07,17.0,18.4,16.5,16.91,48684
12,2021-01-08,17.15,17.15,14.52,14.8,69928
13,2021-01-11,14.55,16.28,14.5,15.35,39525
14,2021-01-12,15.5,15.96,14.6,14.81,10809
15,2021-01-13,14.81,16.0,14.52,16.0,12504
16,2021-01-14,16.2,16.8,15.556,15.8,17384
17,2021-01-15,15.0,15.0,13.4,13.8,41201
18,2021-01-18,13.9,14.69,13.3,14.01,10368
19,2021-01-19,13.7,14.378,13.7,14.2,10917
20,2021-01-20,14.4,14.4,13.82,14.108,4637
21,2021-01-21,14.38,14.38,13.05,13.872,16159
22,2021-01-22,13.51,14.1,13.5,13.91,5668
23,2021-01-25,13.62,13.73,13.02,13.46,17234
24,2021-01-26,13.15,13.978,13.11,13.85,11590
25,2021-01-27,13.62,13.9,12.6,13.19,13126
26,2021-01-28,12.77,13.58,11.3,13.198,18460
27,2021-01-29,12.33,13.44,12.33,13.02,3595
28,2021-02-01,12.68,13.35,12.58,13.11,6422
29,2021-02-02,13.11,13.43,12.7,13.43,6485
30,2021-02-03,13.5,13.6,13.16,13.43,2635
31,2021-02-04,13.5,13.6,12.93,13.59,4013
32,2021-02-05,13.6,13.8,13.59,13.75,2082
33,2021-02-08,13.85,13.85,13.55,13.55,2080
34,2021-02-09,13.55,13.78,12.9,13.3,7918
35,2021-02-10,13.1,13.1,12.59,12.88,4564
36,2021-02-11,12.85,13.1,12.33,12.88,6557
37,2021-02-12,12.45,12.5,12.1,12.25,6242
38,2021-02-15,12.428,13.0,12.4,12.9,12664
39,2021-02-16,12.89,12.89,11.72,12.408,7121
