,Date,Open,High,Low,Close,Volume
0,2018-07-30,14.0,16.8,13.99,16.5,8463
1,2018-07-31,17.9,17.9,13.1,13.31,1882
2,2018-08-01,14.95,15.3,11.96,15.3,1278
3,2018-08-02,15.49,17.9,13.5,13.6,490
4,2018-08-03,13.5,14.0,13.0,13.6,362
5,2018-08-06,13.7,15.9,13.0,14.0,1183
6,2018-08-07,12.9,15.0,12.9,15.0,143
7,2018-08-08,14.95,15.65,14.95,15.65,88
8,2018-08-09,14.3,16.35,12.6,13.8,1194
9,2018-08-10,14.4,14.4,14.4,14.4,1
10,2018-08-13,14.4,14.5,14.4,14.5,99
11,2018-08-14,14.0,14.0,13.5,13.5,450
12,2018-08-16,13.0,13.0,11.0,11.02,394
13,2018-08-17,12.4,12.5,12.4,12.5,209
14,2018-08-20,13.0,13.0,13.0,13.0,100
15,2018-08-22,12.01,12.01,10.8,10.8,145
16,2018-08-23,10.9,10.9,10.9,10.9,2
17,2018-08-27,11.5,11.8,11.5,11.8,161
18,2018-08-29,12.0,12.0,12.0,12.0,15
19,2018-08-31,12.0,12.0,12.0,12.0,83
20,2018-09-03,11.8,11.8,10.8,10.8,281
21,2018-09-04,11.05,11.5,10.0,11.5,700
22,2018-09-05,11.4,11.4,10.0,10.5,422
23,2018-09-06,9.8,10.1,9.5,9.5,551
24,2018-09-07,9.4,9.56,9.4,9.56,121
25,2018-09-10,9.56,9.56,8.9,9.0,180
26,2018-09-11,8.5,8.5,8.0,8.5,315
27,2018-09-12,8.48,8.48,8.48,8.48,117
28,2018-09-13,8.4,8.4,8.21,8.21,110
29,2018-09-14,8.8,8.8,8.8,8.8,4
30,2018-09-17,8.8,8.8,8.8,8.8,36
31,2018-09-18,8.8,10.0,8.8,10.0,125
32,2018-09-19,9.5,9.5,8.8,8.81,330
33,2018-09-21,9.98,9.98,9.98,9.98,5
34,2018-09-24,9.31,9.31,9.31,9.31,175
35,2018-09-27,9.31,9.31,9.31,9.31,188
36,2018-09-28,9.3,9.66,9.3,9.66,99
37,2018-10-16,9.66,9.66,9.66,9.66,102
38,2018-10-18,9.6,9.6,9.6,9.6,30
39,2018-10-23,10.0,10.32,10.0,10.32,9
40,2018-10-25,10.4,10.95,10.4,10.95,63
41,2018-10-26,10.2,11.0,10.2,11.0,21
42,2018-10-29,10.95,10.95,10.2,10.2,102
43,2018-10-30,10.2,10.2,10.0,10.0,15
44,2018-10-31,9.7,10.32,9.7,10.32,14
45,2018-11-05,9.6,9.6,9.6,9.6,40
46,2018-11-08,9.5,9.5,8.0,9.0,270
47,2018-11-09,8.5,9.0,7.2,9.0,449
48,2018-11-13,9.0,9.12,9.0,9.12,30
49,2018-11-14,8.5,8.5,7.3,8.5,391
50,2018-11-15,8.5,8.6,7.01,8.0,648
51,2018-11-16,8.0,9.6,6.4,7.01,1716
52,2018-11-19,8.0,8.0,7.0,7.0,2
53,2018-11-20,8.0,8.0,8.0,8.0,1
54,2018-11-21,8.6,9.6,8.6,8.92,210
55,2018-11-23,10.0,10.0,10.0,10.0,1
56,2018-11-26,9.24,9.24,9.24,9.24,1
57,2018-12-04,9.24,10.0,9.0,9.0,166
58,2018-12-05,9.05,9.72,9.05,9.72,10
59,2018-12-07,9.72,11.0,9.0,9.0,40
60,2018-12-11,9.72,9.72,9.72,9.72,106
61,2018-12-12,10.2,12.0,10.0,10.0,104
62,2018-12-13,11.35,11.35,11.35,11.35,5
63,2018-12-17,11.8,12.0,10.0,10.0,25
64,2018-12-18,11.0,11.0,11.0,11.0,4
65,2018-12-20,11.0,13.0,10.0,13.0,202
