,Date,Open,High,Low,Close,Volume
0,2015-07-08,9.0079,9.0079,9.0079,9.0079,600
1,2015-07-09,9.0079,9.0079,8.9645,8.9645,14916
2,2015-07-10,9.2256,9.2793,9.0983,9.0983,5645
3,2015-07-13,9.0983,9.324,9.0983,9.324,15784
4,2015-07-14,9.4588,9.549,9.324,9.504,12098
5,2015-07-15,9.549,9.549,9.549,9.549,23088
6,2015-07-16,9.612,9.711,9.612,9.711,29164
7,2015-07-17,9.747,9.819,9.729,9.729,8049
8,2015-07-20,9.774,9.911,9.774,9.911,3354
9,2015-07-21,9.911,9.911,9.657,9.81,2595
10,2015-07-22,9.549,9.549,9.549,9.549,3107
11,2015-07-23,9.639,9.649,9.639,9.649,166
12,2015-07-24,9.4499,9.4499,9.4499,9.4499,66
13,2015-07-28,9.639,9.639,9.514,9.514,108
14,2015-07-29,9.514,9.729,9.2968,9.639,630
15,2015-07-30,9.639,9.639,9.639,9.639,16677
16,2015-07-31,9.711,9.711,9.2968,9.2968,5578
17,2015-08-03,9.4588,9.4588,9.4588,9.4588,23530
18,2015-08-04,9.639,9.639,9.639,9.639,22257
19,2015-08-05,9.4134,9.4588,9.4134,9.4588,15138
20,2015-08-06,9.4686,9.4686,9.4686,9.4686,10
21,2015-08-07,9.54,9.639,9.54,9.639,2498
22,2015-08-10,9.684,9.684,9.639,9.639,416
23,2015-08-11,9.567,9.567,9.567,9.567,53
24,2015-08-12,9.549,9.549,9.4588,9.4588,7658
25,2015-08-13,9.567,9.684,9.567,9.684,158
26,2015-08-18,9.629,9.629,9.629,9.629,555
27,2015-08-19,9.548,9.83,9.539,9.539,383
28,2015-08-20,9.539,9.576,9.539,9.566,2063
29,2015-08-24,9.0945,9.531,9.0673,9.44,24094
30,2015-08-25,9.44,9.44,9.3928,9.44,20950
31,2015-08-28,9.44,9.531,9.44,9.531,11503
32,2015-08-31,9.576,9.667,9.531,9.667,8584
33,2015-09-01,9.667,9.667,9.531,9.629,4466
34,2015-09-02,9.657,9.657,9.649,9.649,7100
35,2015-09-03,9.621,9.667,9.621,9.667,19865
36,2015-09-04,9.531,9.531,9.531,9.531,8801
37,2015-09-07,9.2579,9.639,9.167,9.585,1796
38,2015-09-08,9.44,9.513,9.2133,9.513,77948
39,2015-09-10,9.44,9.44,9.44,9.44,320
40,2015-09-11,9.44,9.629,9.44,9.604,12988
41,2015-09-14,9.604,9.604,9.3493,9.531,7174
42,2015-09-15,9.585,9.585,9.531,9.566,2035
43,2015-09-16,9.566,9.566,9.4942,9.4942,1407
44,2015-09-17,9.522,9.522,9.4578,9.4578,6737
45,2015-09-18,9.44,9.44,9.44,9.44,763
46,2015-09-21,9.44,9.44,9.3928,9.3928,616
47,2015-09-22,9.3928,9.44,9.3928,9.44,3440
48,2015-09-23,9.44,9.44,9.44,9.44,680
49,2015-09-24,9.503,9.621,9.3839,9.621,45171
50,2015-09-25,9.3928,9.4676,9.3928,9.4676,877
51,2015-09-28,9.531,9.531,9.4844,9.4844,1788
52,2015-09-29,9.531,9.531,9.531,9.531,10
53,2015-09-30,9.522,9.531,9.522,9.531,21
54,2015-10-01,9.522,9.604,9.4489,9.531,32781
55,2015-10-02,9.612,9.612,9.531,9.531,65959
56,2015-10-05,9.531,9.612,9.4942,9.531,3442
57,2015-10-06,9.531,9.793,9.4125,9.758,42922
58,2015-10-07,9.758,9.758,9.667,9.74,3595
59,2015-10-08,9.74,9.758,9.531,9.711,1333
60,2015-10-09,9.758,9.758,9.629,9.758,2466
61,2015-10-12,9.758,9.939,9.748,9.929,2399
62,2015-10-13,9.893,10.393,9.893,10.393,20928
63,2015-10-15,10.248,10.257,10.075,10.257,793
64,2015-10-16,10.075,10.393,9.802,10.374,7945
65,2015-10-19,10.448,10.847,10.448,10.802,31862
66,2015-10-20,10.802,10.802,10.393,10.393,9259
67,2015-10-21,10.393,10.393,10.129,10.347,8227
68,2015-10-22,10.257,10.438,10.257,10.438,28096
69,2015-10-23,10.438,10.546,10.438,10.546,2137
70,2015-10-26,10.075,10.546,10.075,10.546,94
71,2015-10-27,10.529,10.802,10.347,10.755,4310
72,2015-10-28,10.257,10.71,10.257,10.71,5544
73,2015-10-29,10.693,10.71,10.529,10.693,6416
74,2015-10-30,10.693,10.71,10.474,10.71,1865
75,2015-11-02,10.666,10.764,10.666,10.764,7038
76,2015-11-03,10.71,10.71,10.257,10.71,1071
77,2015-11-04,10.693,10.693,10.266,10.693,249
78,2015-11-05,10.666,10.693,10.283,10.693,1131
79,2015-11-06,10.303,10.666,10.293,10.666,1207
80,2015-11-09,10.656,10.656,10.656,10.656,110
81,2015-11-10,10.293,10.656,10.275,10.656,5232
82,2015-11-13,10.438,10.619,10.257,10.619,8827
83,2015-11-16,10.393,10.565,9.3681,10.565,8637
84,2015-11-17,10.393,10.619,10.393,10.619,6558
85,2015-11-18,10.529,10.619,10.529,10.619,4418
86,2015-11-19,10.609,10.702,10.602,10.702,75263
87,2015-11-20,10.693,10.693,10.693,10.693,84
88,2015-11-24,10.266,10.575,10.257,10.575,4133
89,2015-11-25,10.619,10.619,10.619,10.619,1
90,2015-11-26,10.438,10.693,10.257,10.619,3332
91,2015-11-27,10.202,10.347,9.44,10.347,2239
92,2015-11-30,10.575,10.575,10.165,10.575,3762
93,2015-12-01,10.666,10.666,10.257,10.575,983
94,2015-12-03,10.03,10.438,10.03,10.438,133
95,2015-12-04,10.211,10.483,10.165,10.483,7972
96,2015-12-07,10.575,10.575,10.083,10.575,1862
97,2015-12-08,10.619,10.619,10.619,10.619,1
98,2015-12-09,10.438,10.619,9.802,10.619,7060
99,2015-12-10,10.666,10.666,10.175,10.438,4790
100,2015-12-11,10.647,10.647,10.083,10.438,3117
