,Date,Open,High,Low,Close,Volume
0,2020-12-18,84.717,84.717,64.983,74.73,785673
1,2020-12-21,74.75,76.743,67.275,69.258,125917
2,2020-12-22,69.717,74.531,67.285,72.537,48379
3,2020-12-23,72.757,73.265,69.777,70.763,23867
4,2020-12-28,71.76,73.155,68.272,70.325,71969
5,2020-12-29,70.763,72.199,69.787,71.152,41257
6,2020-12-30,71.611,71.611,69.966,69.976,29971
7,2021-01-04,71.75,74.75,70.763,73.953,19210
8,2021-01-05,74.949,80.73,74.75,79.733,53862
9,2021-01-07,74.75,86.401,74.401,79.733,124036
10,2021-01-08,81.129,81.228,76.664,76.733,35071
11,2021-01-11,76.743,79.504,76.743,77.64,15865
12,2021-01-12,78.637,80.002,77.74,78.238,13683
13,2021-01-13,78.338,78.438,76.803,77.242,10338
14,2021-01-14,77.73,78.866,77.7,78.039,9556
15,2021-01-15,79.095,79.095,77.511,78.238,6045
16,2021-01-18,79.135,79.235,77.64,78.238,9184
17,2021-01-19,78.139,78.139,76.943,77.581,6301
18,2021-01-20,77.74,78.238,77.242,77.64,7986
19,2021-01-21,77.84,77.939,76.504,76.743,12486
20,2021-01-22,76.345,76.664,74.949,75.996,6411
21,2021-01-25,76.006,77.032,75.747,76.046,6997
22,2021-01-26,76.026,77.301,75.547,76.524,3867
23,2021-01-27,76.066,76.863,74.152,74.361,19275
24,2021-01-28,74.75,74.75,71.959,74.75,19361
25,2021-01-29,75.149,75.398,73.873,74.252,12425
26,2021-02-01,74.75,75.248,71.76,71.76,18780
27,2021-02-02,72.757,73.753,71.262,71.262,42077
28,2021-02-03,72.358,72.757,71.361,71.76,24897
29,2021-02-04,72.348,77.74,71.76,77.74,152885
30,2021-02-05,77.969,81.129,74.949,78.737,61112
31,2021-02-08,79.235,82.723,77.79,80.531,92187
32,2021-02-09,80.511,80.511,76.953,77.262,33433
33,2021-02-10,77.262,78.617,75.946,76.255,34410
34,2021-02-11,76.524,77.132,74.999,77.132,40243
35,2021-02-12,77.242,78.517,75.248,75.248,25064
36,2021-02-15,76.245,77.65,75.448,77.242,9440
37,2021-02-16,77.242,78.029,76.743,76.863,22849
38,2021-02-17,77.74,77.74,75.378,75.448,24059
