,Date,Open,High,Low,Close,Volume
0,2012-04-26,300.0,300.0,176.0,176.0,234.0
1,2012-04-27,176.0,193.0,142.0,160.0,53.0
2,2012-04-30,159.0,159.0,128.0,149.0,36.0
3,2012-05-02,149.0,149.0,120.0,149.0,9.0
4,2012-05-04,145.0,160.0,120.0,150.0,27.0
5,2012-05-07,150.0,150.0,149.0,149.0,12.0
6,2012-05-08,149.0,150.0,149.0,150.0,11.0
7,2012-05-09,140.0,144.0,130.0,144.0,24.0
8,2012-05-10,130.0,140.0,125.0,140.0,24.0
9,2012-05-14,125.0,125.0,125.0,125.0,4.0
10,2012-05-15,118.0,127.0,118.0,127.0,1.0
11,2012-05-16,117.0,125.0,115.0,125.0,26.0
12,2012-05-18,113.0,113.0,100.0,110.0,28.0
13,2012-05-28,90.0,100.0,90.0,100.0,1.0
14,2012-05-29,90.0,100.0,80.0,100.0,66.0
15,2012-06-01,99.0,99.0,99.0,99.0,17.0
16,2012-06-06,95.0,95.0,95.0,95.0,1.0
17,2012-06-12,100.0,100.0,100.0,100.0,1.0
18,2012-06-14,105.0,105.0,105.0,105.0,3.0
19,2012-06-15,108.0,126.0,108.0,126.0,29.0
20,2012-06-18,130.0,149.0,130.0,135.0,4.0
21,2012-06-20,135.0,143.0,135.0,143.0,6.0
22,2012-06-21,143.0,143.0,120.0,120.0,2.0
23,2012-06-22,120.0,120.0,120.0,120.0,
24,2012-06-25,120.0,120.0,120.0,120.0,
25,2012-06-26,120.0,120.0,120.0,120.0,
26,2012-06-27,120.0,120.0,112.0,119.0,9.0
27,2012-06-28,118.0,118.0,107.0,107.0,15.0
28,2012-06-29,105.0,105.0,90.0,90.0,20.0
29,2012-07-02,85.0,85.0,50.0,50.0,88.0
30,2012-07-03,52.0,57.0,50.0,50.0,39.0
31,2012-07-04,50.0,56.0,40.0,40.0,78.0
32,2012-07-09,40.0,40.0,40.0,40.0,1.0
33,2012-07-17,42.0,43.0,42.0,43.0,36.0
34,2012-07-18,45.0,48.0,45.0,48.0,1.0
35,2012-07-19,48.0,60.0,48.0,60.0,5.0
36,2012-07-20,60.0,60.0,60.0,60.0,2.0
37,2012-07-23,59.0,59.0,51.0,51.0,30.0
38,2012-07-25,52.0,52.0,52.0,52.0,1.0
39,2012-07-26,48.0,48.0,45.0,48.0,61.0
40,2012-07-30,45.0,45.0,41.0,41.0,25.0
41,2012-08-01,40.0,40.0,40.0,40.0,1.0
42,2012-08-02,40.0,40.0,40.0,40.0,1.0
43,2012-08-03,40.0,40.0,40.0,40.0,1.0
44,2012-08-06,40.0,40.0,40.0,40.0,13.0
45,2012-08-16,38.0,38.0,35.0,35.0,7.0
46,2012-08-27,35.0,38.0,28.0,33.0,117.0
47,2012-08-28,35.0,35.0,29.0,29.0,15.0
48,2012-08-29,32.0,32.0,28.0,28.0,9.0
49,2012-08-31,29.0,30.0,23.0,24.0,91.0
50,2012-09-04,28.0,28.0,28.0,28.0,
51,2012-09-05,30.0,39.0,27.0,32.0,77.0
52,2012-09-06,33.0,33.0,32.0,32.0,6.0
53,2012-09-07,35.0,38.0,34.0,38.0,53.0
54,2012-09-10,40.0,45.0,35.0,45.0,29.0
55,2012-09-11,45.0,59.0,45.0,50.0,83.0
56,2012-09-12,50.0,59.0,50.0,59.0,56.0
57,2012-09-13,54.0,58.0,48.0,54.0,143.0
58,2012-09-14,48.0,52.0,43.0,43.0,98.0
59,2012-09-17,44.0,48.0,38.0,38.0,44.0
60,2012-09-18,36.0,40.0,36.0,40.0,2.0
61,2012-09-19,42.0,44.0,42.0,44.0,7.0
62,2012-09-25,40.0,40.0,36.0,36.0,6.0
63,2012-09-26,32.0,32.0,32.0,32.0,3.0
64,2012-09-27,31.0,31.0,21.0,21.0,150.0
65,2012-09-28,20.0,20.0,13.0,13.0,500.0
66,2012-10-01,11.0,13.0,10.0,11.0,1311.0
67,2012-10-02,10.0,12.0,10.0,12.0,1355.0
68,2012-10-03,12.0,13.0,10.0,13.0,1055.0
69,2012-10-04,13.0,13.0,13.0,13.0,2.0
70,2012-10-05,13.0,15.0,12.0,15.0,3427.0
71,2012-10-08,15.0,20.0,15.0,20.0,350.0
72,2012-10-09,20.0,24.0,20.0,24.0,38.0
73,2012-10-10,24.0,24.0,24.0,24.0,25.0
74,2012-10-11,24.0,24.0,24.0,24.0,1.0
75,2012-10-12,24.0,24.0,21.0,21.0,6.0
76,2012-10-15,18.0,18.0,15.0,15.0,495.0
77,2012-10-16,12.0,13.0,11.0,11.0,1049.0
78,2012-10-17,12.0,13.0,12.0,12.0,601.0
79,2012-10-18,14.0,16.0,14.0,16.0,151.0
80,2012-10-19,16.0,19.0,15.0,19.0,14.0
81,2012-10-22,19.0,20.0,16.0,20.0,68.0
82,2012-10-23,20.0,20.0,17.0,17.0,2.0
83,2012-10-24,17.0,17.0,15.0,15.0,33.0
84,2012-10-25,15.0,19.0,15.0,19.0,11.0
85,2012-10-26,19.0,19.0,19.0,19.0,1.0
86,2012-10-29,19.0,19.0,19.0,19.0,1.0
87,2012-11-05,11.0,13.0,11.0,11.0,960.0
88,2012-11-06,11.0,12.0,9.0,11.0,771.0
89,2012-11-07,10.0,10.0,8.0,9.0,813.0
90,2012-11-08,9.0,10.0,9.0,10.0,57.0
91,2012-11-09,10.0,11.0,9.0,11.0,73.0
92,2012-11-12,11.0,11.0,10.0,11.0,111.0
93,2012-11-13,11.0,12.0,10.0,10.0,602.0
94,2012-11-14,10.0,10.0,9.0,10.0,172.0
95,2012-11-15,10.0,10.0,9.0,10.0,202.0
