,Date,Open,High,Low,Close,Volume
0,2005-09-23,2.5994,2.6274,2.4729,2.48,328518089
1,2005-09-26,2.4587,2.508,2.4237,2.48,58323238
2,2005-09-27,2.508,2.5994,2.508,2.5853,58130358
3,2005-09-28,2.6345,2.7047,2.6063,2.6415,76214670
4,2005-09-29,2.5994,2.6908,2.5713,2.6554,30833909
5,2005-09-30,2.5994,2.5994,2.5289,2.5994,80774836
6,2005-10-03,2.5924,2.5994,2.5573,2.5713,14139291
7,2005-10-04,2.5782,2.5853,2.4941,2.4941,20360717
8,2005-10-05,2.4941,2.508,2.4307,2.508,30880793
9,2005-10-06,2.4729,2.4941,2.4446,2.4729,22570854
10,2005-10-07,2.4587,2.4729,2.4446,2.4729,12774040
11,2005-10-10,2.4729,2.5151,2.466,2.466,5546256
12,2005-10-11,2.4729,2.4941,2.4519,2.4729,8121266
13,2005-10-12,2.4729,2.4941,2.4168,2.4168,9169432
14,2005-10-13,2.4237,2.4237,2.2692,2.2973,40091156
15,2005-10-14,2.2833,2.3464,2.2621,2.3395,21859211
16,2005-10-17,2.3745,2.3817,2.3184,2.3184,11599444
17,2005-10-18,2.3395,2.3464,2.2762,2.2973,14223845
18,2005-10-19,2.2692,2.2902,2.2482,2.2902,16965547
19,2005-10-20,2.3395,2.3464,2.2482,2.2621,10080407
20,2005-10-21,2.2482,2.2551,2.227,2.2341,18551628
21,2005-10-24,2.2061,2.227,2.1639,2.22,24982283
22,2005-10-25,2.2411,2.3536,2.2341,2.3536,14580054
23,2005-10-26,2.3676,2.4168,2.3042,2.3745,19726620
24,2005-10-27,2.2973,2.3395,2.2833,2.3113,7086285
25,2005-10-28,2.2833,2.3536,2.2692,2.3464,11154983
26,2005-10-31,2.3676,2.3676,2.3395,2.3464,2062059
27,2005-11-02,2.3464,2.3956,2.3464,2.3956,8241253
28,2005-11-03,2.4026,2.4096,2.2973,2.3042,13938942
29,2005-11-04,2.3254,2.3325,2.2762,2.2833,7484617
30,2005-11-07,2.2833,2.2833,2.199,2.2129,10664511
31,2005-11-08,2.2411,2.2551,2.227,2.227,7713100
32,2005-11-09,2.2411,2.2482,2.22,2.227,6231710
33,2005-11-10,2.2411,2.2482,2.1778,2.2129,7524792
34,2005-11-14,2.2341,2.2341,2.1639,2.1778,6543289
35,2005-11-15,2.1848,2.2129,2.1639,2.2061,5613480
36,2005-11-16,2.1918,2.1918,2.0865,2.1075,30312733
37,2005-11-17,2.1005,2.1709,2.0374,2.1639,22170827
38,2005-11-18,2.1918,2.2061,2.1639,2.1918,11881268
39,2005-11-21,2.2061,2.2061,2.1778,2.1918,5718665
