,Date,Open,High,Low,Close,Volume
0,2012-09-28,0.5,0.5,0.25,0.25,15880
1,2012-10-01,0.25,0.26,0.21,0.22,28786
2,2012-10-02,0.22,0.22,0.22,0.22,9250
3,2012-10-03,0.22,0.22,0.2,0.2,4300
4,2012-10-04,0.2,0.28,0.2,0.28,26948
5,2012-10-05,0.38,0.38,0.38,0.38,4100
6,2012-10-08,0.36,0.43,0.34,0.4,31241
7,2012-10-09,0.43,0.57,0.41,0.54,18032
8,2012-10-10,0.53,0.61,0.43,0.43,18848
9,2012-10-11,0.49,0.49,0.4,0.4,19077
10,2012-10-12,0.37,0.44,0.37,0.4,1450
11,2012-10-15,0.38,0.38,0.32,0.35,5227
12,2012-10-16,0.37,0.37,0.3,0.36,2413
13,2012-10-17,0.3,0.36,0.3,0.36,500
14,2012-10-18,0.37,0.38,0.37,0.38,300
15,2012-10-23,0.31,0.33,0.26,0.26,7750
16,2012-10-24,0.21,0.27,0.21,0.25,6016
17,2012-10-25,0.28,0.28,0.23,0.23,340
18,2012-10-26,0.22,0.22,0.21,0.21,300
19,2012-10-29,0.21,0.22,0.19,0.22,845
20,2012-10-30,0.23,0.26,0.22,0.26,2600
21,2012-10-31,0.26,0.27,0.26,0.27,350
22,2012-11-02,0.27,0.31,0.27,0.31,11147
23,2012-11-05,0.33,0.44,0.33,0.34,11825
24,2012-11-06,0.34,0.34,0.29,0.32,5551
25,2012-11-07,0.25,0.29,0.25,0.29,498
26,2012-11-08,0.28,0.28,0.25,0.25,2449
27,2012-11-09,0.25,0.26,0.2,0.25,4130
28,2012-11-12,0.24,0.3,0.24,0.28,8734
29,2012-11-13,0.3,0.32,0.28,0.32,8948
30,2012-11-14,0.32,0.32,0.32,0.32,100
31,2012-11-15,0.32,0.32,0.28,0.28,200
32,2012-11-16,0.3,0.32,0.3,0.32,101
33,2012-11-19,0.32,0.32,0.3,0.3,51
34,2012-11-20,0.3,0.3,0.24,0.24,4180
35,2012-11-21,0.26,0.26,0.23,0.23,6168
36,2012-11-22,0.24,0.24,0.24,0.24,1
37,2012-11-23,0.23,0.25,0.2,0.23,9306
38,2012-11-26,0.25,0.26,0.25,0.26,1900
39,2012-11-27,0.25,0.25,0.21,0.21,1050
40,2012-11-28,0.21,0.21,0.17,0.17,11523
41,2012-11-29,0.16,0.16,0.16,0.16,1
42,2012-11-30,0.18,0.18,0.15,0.18,2750
43,2012-12-05,0.18,0.19,0.18,0.19,1863
44,2012-12-06,0.2,0.2,0.2,0.2,1
45,2012-12-07,0.2,0.22,0.2,0.22,1000
46,2012-12-10,0.18,0.18,0.18,0.18,2500
47,2012-12-11,0.18,0.18,0.15,0.18,5025
48,2012-12-12,0.18,0.18,0.18,0.18,1000
49,2012-12-13,0.17,0.17,0.15,0.15,2000
50,2012-12-14,0.17,0.17,0.17,0.17,86000
51,2012-12-17,0.17,0.18,0.16,0.16,1466
52,2012-12-21,0.16,0.16,0.15,0.15,1728
53,2012-12-27,0.15,0.15,0.15,0.15,250
54,2012-12-28,0.15,0.18,0.15,0.18,2171
55,2013-01-03,0.18,0.18,0.18,0.18,750
56,2013-01-04,0.18,0.18,0.17,0.17,1700
57,2013-01-08,0.17,0.18,0.17,0.18,1750
58,2013-01-09,0.18,0.18,0.18,0.18,1000
59,2013-01-11,0.17,0.17,0.12,0.16,23297
60,2013-01-15,0.13,0.15,0.13,0.15,6300
61,2013-01-16,0.14,0.14,0.14,0.14,1000
62,2013-01-17,0.14,0.14,0.14,0.14,2422
63,2013-01-18,0.15,0.16,0.15,0.16,4600
64,2013-01-21,0.15,0.15,0.15,0.15,1000
65,2013-01-22,0.15,0.15,0.15,0.15,200
66,2013-01-23,0.15,0.15,0.15,0.15,518
67,2013-01-24,0.15,0.15,0.15,0.15,500
68,2013-01-25,0.15,0.15,0.15,0.15,250
69,2013-01-28,0.15,0.17,0.15,0.17,3000
70,2013-01-29,0.16,0.16,0.16,0.16,100
71,2013-01-30,0.16,0.19,0.16,0.16,11600
72,2013-01-31,0.16,0.22,0.16,0.2,15550
73,2013-02-01,0.2,0.28,0.2,0.23,22966
74,2013-02-04,0.26,0.26,0.26,0.26,1000
75,2013-02-08,0.24,0.24,0.22,0.22,8650
76,2013-02-11,0.24,0.24,0.24,0.24,2000
77,2013-02-12,0.24,0.28,0.24,0.24,15610
78,2013-02-13,0.28,0.28,0.25,0.25,6100
79,2013-02-15,0.29,0.29,0.29,0.29,100
80,2013-02-18,0.29,0.31,0.29,0.31,10100
81,2013-02-19,0.31,0.37,0.31,0.35,9800
82,2013-02-20,0.35,0.36,0.35,0.36,1100
83,2013-02-21,0.36,0.51,0.36,0.51,11100
84,2013-02-22,0.56,0.61,0.43,0.6,23108
85,2013-02-25,0.54,0.54,0.4,0.4,6708
86,2013-02-26,0.47,0.47,0.34,0.34,86410
87,2013-02-27,0.35,0.35,0.33,0.33,300
88,2013-02-28,0.35,0.35,0.33,0.33,250
89,2013-03-06,0.41,0.41,0.4,0.4,8100
90,2013-03-07,0.39,0.39,0.39,0.39,100
91,2013-03-08,0.4,0.46,0.39,0.46,18097
92,2013-03-11,0.46,0.46,0.46,0.46,50
93,2013-03-12,0.46,0.46,0.46,0.46,50
94,2013-03-13,0.46,0.46,0.43,0.43,200
95,2013-03-18,0.43,0.43,0.38,0.38,342
96,2013-03-19,0.38,0.38,0.33,0.33,4740
97,2013-03-20,0.31,0.31,0.3,0.3,600
98,2013-03-21,0.28,0.28,0.28,0.28,200
99,2013-03-22,0.27,0.27,0.27,0.27,100
100,2013-03-25,0.27,0.27,0.27,0.27,100
101,2013-03-26,0.27,0.27,0.25,0.25,6528
102,2013-04-02,0.25,0.25,0.2,0.2,4100
103,2013-04-03,0.19,0.19,0.16,0.16,15900
104,2013-04-04,0.17,0.22,0.15,0.22,22325
105,2013-04-05,0.26,0.28,0.26,0.28,1000
106,2013-04-08,0.3,0.3,0.3,0.3,100
107,2013-04-09,0.26,0.26,0.24,0.24,1750
108,2013-04-10,0.23,0.23,0.22,0.22,1500
109,2013-04-11,0.21,0.21,0.2,0.2,4000
110,2013-04-17,0.2,0.24,0.2,0.23,15961
111,2013-04-19,0.23,0.23,0.23,0.23,1000
112,2013-05-09,0.23,0.23,0.23,0.23,100
113,2013-05-10,0.23,0.23,0.23,0.23,100
114,2013-05-13,0.23,0.23,0.21,0.21,1075
115,2013-05-14,0.23,0.23,0.23,0.23,200
116,2013-05-15,0.23,0.23,0.23,0.23,100
117,2013-05-16,0.23,0.23,0.23,0.23,100
118,2013-05-17,0.23,0.23,0.23,0.23,185
119,2013-05-20,0.21,0.21,0.21,0.21,96
120,2013-05-24,0.2,0.2,0.2,0.2,100
121,2013-05-28,0.2,0.2,0.19,0.19,1100
122,2013-06-19,0.2,0.2,0.2,0.2,480
123,2013-06-21,0.19,0.23,0.19,0.23,2502
124,2013-06-24,0.2,0.2,0.2,0.2,600
125,2013-06-28,0.21,0.21,0.21,0.21,600
126,2013-07-17,0.21,0.21,0.21,0.21,500
127,2013-07-18,0.21,0.21,0.21,0.21,100
128,2013-07-19,0.21,0.21,0.21,0.21,150
129,2013-07-22,0.21,0.21,0.21,0.21,100
130,2013-07-23,0.21,0.21,0.21,0.21,200
131,2013-07-24,0.21,0.21,0.21,0.21,200
132,2013-07-25,0.21,0.21,0.21,0.21,500
133,2013-07-26,0.2,0.2,0.2,0.2,200
134,2013-07-29,0.2,0.2,0.2,0.2,235
135,2013-07-30,0.2,0.2,0.2,0.2,200
136,2013-07-31,0.21,0.21,0.21,0.21,200
137,2013-08-01,0.21,0.21,0.21,0.21,200
138,2013-08-02,0.21,0.21,0.21,0.21,200
139,2013-08-05,0.21,0.21,0.21,0.21,200
140,2013-08-06,0.21,0.21,0.21,0.21,50
141,2013-08-07,0.21,0.21,0.21,0.21,50
142,2013-08-08,0.21,0.21,0.17,0.17,32153
143,2013-08-09,0.17,0.17,0.14,0.14,52300
144,2013-08-12,0.14,0.14,0.13,0.13,15100
145,2013-08-13,0.13,0.13,0.13,0.13,297
146,2013-08-14,0.14,0.15,0.14,0.15,2500
147,2013-08-16,0.16,0.16,0.15,0.15,800
148,2013-08-19,0.16,0.16,0.16,0.16,150
149,2013-08-20,0.16,0.16,0.16,0.16,100
150,2013-08-22,0.16,0.16,0.16,0.16,150
151,2013-08-23,0.16,0.16,0.16,0.16,150
152,2013-08-26,0.16,0.16,0.16,0.16,100
153,2013-08-27,0.16,0.16,0.16,0.16,150
154,2013-08-28,0.17,0.17,0.17,0.17,100
155,2013-08-29,0.17,0.17,0.17,0.17,100
156,2013-09-02,0.17,0.17,0.17,0.17,100
157,2013-09-03,0.17,0.17,0.17,0.17,100
158,2013-09-04,0.17,0.17,0.17,0.17,150
159,2013-09-05,0.17,0.17,0.17,0.17,100
160,2013-09-06,0.17,0.17,0.17,0.17,50
161,2013-09-09,0.17,0.17,0.17,0.17,100
162,2013-09-11,0.17,0.17,0.17,0.17,100
163,2013-09-12,0.15,0.15,0.13,0.13,1100
164,2013-09-13,0.13,0.15,0.11,0.11,4651
165,2013-09-16,0.12,0.12,0.12,0.12,294
166,2013-09-18,0.12,0.12,0.11,0.11,14510
167,2013-09-19,0.11,0.11,0.11,0.11,100
168,2013-09-20,0.11,0.11,0.11,0.11,100
169,2013-09-23,0.11,0.11,0.11,0.11,100
170,2013-09-24,0.11,0.11,0.11,0.11,100
171,2013-09-25,0.11,0.11,0.11,0.11,100
172,2013-09-26,0.11,0.11,0.11,0.11,150
173,2013-09-27,0.11,0.11,0.11,0.11,100
174,2013-09-30,0.11,0.11,0.11,0.11,100
175,2013-10-01,0.11,0.11,0.11,0.11,150
176,2013-10-02,0.11,0.11,0.11,0.11,200
177,2013-10-03,0.11,0.11,0.11,0.11,200
178,2013-10-04,0.11,0.11,0.11,0.11,200
179,2013-10-07,0.11,0.13,0.11,0.13,600
180,2013-10-09,0.14,0.16,0.14,0.16,7819
181,2013-10-10,0.17,0.17,0.17,0.17,100
182,2013-10-11,0.17,0.17,0.17,0.17,100
183,2013-10-14,0.17,0.17,0.17,0.17,100
184,2013-10-15,0.17,0.17,0.15,0.15,890
185,2013-10-16,0.15,0.15,0.14,0.14,377
186,2013-10-17,0.14,0.14,0.13,0.13,20308
187,2013-10-18,0.13,0.13,0.13,0.13,8319
188,2013-11-08,0.14,0.14,0.12,0.12,3800
189,2013-11-12,0.12,0.12,0.12,0.12,200
190,2013-11-13,0.12,0.12,0.12,0.12,200
191,2013-11-14,0.12,0.12,0.12,0.12,200
192,2013-11-15,0.12,0.12,0.11,0.11,6492
193,2013-11-20,0.11,0.11,0.11,0.11,1000
194,2013-11-21,0.11,0.11,0.1,0.1,9666
195,2013-11-25,0.11,0.13,0.11,0.13,4000
196,2013-11-29,0.12,0.12,0.11,0.11,2500
197,2013-12-02,0.1,0.1,0.08,0.08,13500
198,2013-12-16,0.09,0.11,0.09,0.11,5000
199,2013-12-17,0.11,0.14,0.11,0.14,4250
200,2013-12-18,0.15,0.17,0.15,0.17,2600
201,2013-12-19,0.17,0.17,0.17,0.17,3250
202,2013-12-20,0.17,0.21,0.16,0.21,12627
203,2013-12-23,0.21,0.25,0.21,0.25,7229
204,2013-12-27,0.25,0.3,0.22,0.23,11899
205,2013-12-30,0.23,0.23,0.19,0.19,400
206,2014-01-02,0.2,0.2,0.2,0.2,100
207,2014-01-03,0.21,0.21,0.18,0.18,400
208,2014-01-07,0.18,0.18,0.18,0.18,100
209,2014-01-09,0.17,0.17,0.14,0.14,7033
210,2014-01-10,0.12,0.13,0.11,0.13,17064
211,2014-01-13,0.13,0.13,0.13,0.13,100
212,2014-01-14,0.13,0.13,0.13,0.13,300
213,2014-01-15,0.12,0.12,0.11,0.11,329
214,2014-01-17,0.13,0.13,0.13,0.13,200
215,2014-01-20,0.13,0.13,0.13,0.13,100
216,2014-01-21,0.13,0.13,0.13,0.13,100
217,2014-01-22,0.11,0.11,0.1,0.1,3675
218,2014-01-23,0.1,0.1,0.1,0.1,1001
219,2014-01-24,0.1,0.11,0.1,0.1,2801
220,2014-01-27,0.11,0.13,0.11,0.13,9851
221,2014-01-28,0.13,0.14,0.13,0.14,365
222,2014-01-29,0.12,0.12,0.12,0.12,500
223,2014-01-30,0.11,0.11,0.1,0.1,6850
224,2014-02-04,0.1,0.1,0.1,0.1,500
225,2014-02-06,0.1,0.1,0.1,0.1,1000
226,2014-02-07,0.1,0.1,0.1,0.1,1000
227,2014-02-10,0.1,0.1,0.1,0.1,500
228,2014-02-11,0.1,0.1,0.1,0.1,500
229,2014-02-12,0.1,0.1,0.1,0.1,200
230,2014-02-13,0.1,0.1,0.1,0.1,500
231,2014-02-14,0.1,0.1,0.1,0.1,500
232,2014-02-17,0.1,0.11,0.1,0.11,1500
233,2014-02-18,0.11,0.11,0.11,0.11,600
234,2014-02-19,0.11,0.11,0.11,0.11,600
235,2014-02-20,0.11,0.11,0.11,0.11,600
236,2014-02-21,0.11,0.11,0.11,0.11,600
237,2014-03-07,0.12,0.12,0.12,0.12,3829
238,2014-03-11,0.12,0.16,0.12,0.16,7326
239,2014-03-12,0.16,0.16,0.13,0.13,1100
240,2014-03-13,0.15,0.16,0.15,0.16,4171
241,2014-03-14,0.16,0.16,0.16,0.16,2341
