,Date,Open,High,Low,Close,Volume
0,2013-10-17,0.762,1.1387,0.762,1.1387,203459
1,2013-10-18,1.3664,1.6204,1.1212,1.2876,235868
2,2013-10-21,1.2788,1.4014,1.1475,1.2876,50416
3,2013-10-22,1.3139,1.5766,1.2438,1.4365,76898
4,2013-10-23,1.4365,1.5766,1.4014,1.5678,60282
5,2013-10-24,1.5854,1.6992,1.489,1.489,51778
6,2013-10-25,1.5065,1.7868,1.419,1.7518,120618
7,2013-10-28,1.7518,2.1022,1.6642,1.997,63385
8,2013-10-29,1.9707,2.0146,1.6642,1.7343,70240
9,2013-10-30,1.8394,1.8482,1.4453,1.4453,48656
10,2013-10-31,1.5591,1.7168,1.4102,1.5416,46855
11,2013-11-04,1.5416,1.6292,1.5241,1.6204,7114
12,2013-11-05,1.5153,1.5504,1.4102,1.489,15782
13,2013-11-06,1.489,1.6204,1.4802,1.4978,7714
14,2013-11-07,1.6029,1.8744,1.4802,1.8131,32690
15,2013-11-08,1.8394,1.962,1.6292,1.7956,52143
16,2013-11-12,1.7956,1.8131,1.6204,1.6817,11878
17,2013-11-13,1.6729,1.7956,1.5854,1.6817,6928
18,2013-11-14,1.6905,1.7693,1.6642,1.6817,3365
19,2013-11-15,1.7168,1.7518,1.5153,1.5854,17408
20,2013-11-18,1.5591,1.6467,1.3839,1.4014,26545
21,2013-11-19,1.4014,1.4978,1.27,1.4978,14878
22,2013-11-20,1.4978,1.4978,1.2876,1.4277,9889
23,2013-11-21,1.3751,1.4014,1.3051,1.4014,6291
24,2013-11-22,1.3576,1.3839,1.2788,1.3576,7684
25,2013-11-25,1.3576,1.3927,1.27,1.3664,6901
26,2013-11-26,1.2525,1.2963,1.2175,1.2876,11776
27,2013-11-27,1.2876,1.2963,1.2788,1.2963,1644
28,2013-11-28,1.3314,1.4802,1.2963,1.2963,2964
29,2013-11-29,1.2963,1.3051,1.235,1.3051,6616
30,2013-12-02,1.27,1.3051,1.2,1.2963,4326
31,2013-12-03,1.3489,1.3489,1.2876,1.2963,365
32,2013-12-04,1.3051,1.3051,1.2263,1.2963,187
33,2013-12-05,1.2963,1.2963,1.2,1.27,1160
34,2013-12-06,1.2263,1.3839,1.2263,1.3839,3602
35,2013-12-09,1.3489,1.3489,1.3314,1.3402,3682
36,2013-12-10,1.3402,1.4014,1.3314,1.3576,3602
37,2013-12-11,1.3927,1.3927,1.27,1.3139,1519
38,2013-12-12,1.3314,1.3314,1.2613,1.3051,457
39,2013-12-13,1.3051,1.3489,1.2963,1.3314,5601
40,2013-12-16,1.3314,1.3402,1.2525,1.2963,1881
41,2013-12-17,1.3051,1.3139,1.3051,1.3139,491
42,2013-12-18,1.3051,1.3051,1.3051,1.3051,57
43,2013-12-19,1.3226,1.3226,1.3139,1.3139,46
44,2013-12-20,1.3139,1.3139,1.2525,1.2525,1409
45,2013-12-23,1.3139,1.3402,1.3139,1.3402,1228
46,2013-12-27,1.3402,1.454,1.3402,1.454,5569
47,2013-12-30,1.4627,1.6029,1.454,1.5591,8984
48,2014-01-02,1.5504,1.6554,1.5329,1.5941,8220
49,2014-01-03,1.6467,1.6467,1.6029,1.6029,171
50,2014-01-07,1.5766,1.5941,1.3314,1.5241,34410
51,2014-01-08,1.5153,1.6642,1.4802,1.6204,10725
52,2014-01-09,1.6204,1.6204,1.5329,1.5329,1124
53,2014-01-10,1.5591,1.638,1.5416,1.6204,1370
54,2014-01-13,1.5766,1.5766,1.5678,1.5766,2620
55,2014-01-14,1.5941,1.5941,1.5678,1.5678,1359
56,2014-01-15,1.5766,1.6029,1.4014,1.5766,7257
57,2014-01-16,1.5854,1.5854,1.489,1.5504,817
58,2014-01-20,1.5416,1.5416,1.5416,1.5416,137
59,2014-01-22,1.5416,1.5504,1.5329,1.5504,177
60,2014-01-23,1.5416,1.5504,1.5416,1.5504,900
61,2014-01-24,1.5504,1.5678,1.4453,1.5241,3091
62,2014-01-27,1.5241,1.5241,1.4014,1.4802,1394
63,2014-01-28,1.4802,1.4978,1.4802,1.4978,38
64,2014-01-29,1.4453,1.6029,1.3751,1.4102,7175
65,2014-01-30,1.4102,1.4978,1.3664,1.419,1525
66,2014-01-31,1.419,1.454,1.419,1.4453,229
67,2014-02-03,1.4453,1.4627,1.4453,1.4627,125
68,2014-02-04,1.454,1.4627,1.3927,1.3927,229
69,2014-02-05,1.454,1.454,1.4453,1.454,348
70,2014-02-06,1.454,1.454,1.3576,1.3927,3682
71,2014-02-07,1.3927,1.419,1.3402,1.419,5246
72,2014-02-10,1.3751,1.3927,1.3751,1.3927,36
73,2014-02-11,1.4014,1.4014,1.3576,1.4014,1855
74,2014-02-12,1.4277,1.4277,1.3139,1.3751,2072
75,2014-02-13,1.4365,1.4365,1.3139,1.3751,3088
76,2014-02-14,1.3226,1.3927,1.3139,1.3927,1875
77,2014-02-17,1.419,1.419,1.3051,1.3927,5842
78,2014-02-18,1.3489,1.3751,1.3139,1.3139,3613
79,2014-02-19,1.3051,1.3489,1.2613,1.3139,15110
80,2014-02-20,1.27,1.3489,1.2263,1.2613,7471
81,2014-02-21,1.2876,1.3051,1.2263,1.2788,1808
82,2014-02-24,1.3139,1.3139,1.2175,1.2788,8586
83,2014-02-25,1.2963,1.2963,1.27,1.2876,3042
84,2014-02-26,1.1912,1.2963,1.1912,1.2788,5619
85,2014-02-27,1.2788,1.2876,1.2263,1.2788,4028
86,2014-02-28,1.2876,1.2876,1.2263,1.27,4039
