,Date,Open,High,Low,Close,Volume
0,2011-12-14,21.0,21.9,20.5,21.0,6520
1,2011-12-15,21.0,24.5,21.0,23.7,9898
2,2011-12-16,23.0,25.4,21.9,25.4,6655
3,2011-12-19,25.0,26.7,25.0,26.7,8126
4,2011-12-20,26.7,28.7,26.7,28.7,1492
5,2011-12-21,28.63,31.0,28.0,30.6,24707
6,2011-12-22,30.6,31.0,30.0,30.95,34331
7,2011-12-23,30.7,30.7,29.4,30.45,6955
8,2011-12-27,30.9,30.9,28.93,30.19,5
9,2011-12-28,29.0,31.4,29.0,31.0,10813
10,2011-12-29,31.0,31.0,29.55,31.0,713
11,2011-12-30,29.55,32.9,29.55,32.9,13559
12,2012-01-02,33.0,33.0,33.0,33.0,14
13,2012-01-03,31.35,33.0,30.0,32.99,846
14,2012-01-04,31.45,32.99,29.99,31.9,507
15,2012-01-05,31.4,31.4,31.4,31.4,25000
16,2012-01-09,31.4,31.4,28.0,31.0,781
17,2012-01-11,29.0,32.3,29.0,32.3,563
18,2012-01-12,33.0,33.0,31.0,32.0,25057
19,2012-01-13,32.0,32.0,32.0,32.0,20
20,2012-01-16,32.0,32.0,30.0,30.0,104
21,2012-01-17,29.0,31.5,29.0,31.5,401
22,2012-01-18,31.46,31.5,30.5,31.5,359
23,2012-01-19,31.33,31.33,30.5,31.0,20623
24,2012-01-20,31.41,31.5,31.0,31.0,383
25,2012-01-23,31.0,31.2,31.0,31.2,412
26,2012-01-24,31.0,31.21,31.0,31.19,150
27,2012-01-25,31.3,31.3,31.3,31.3,3
28,2012-01-26,31.0,31.0,31.0,31.0,3
29,2012-01-27,31.0,31.49,30.8,31.49,620
30,2012-01-30,31.22,31.49,30.0,31.49,207
31,2012-01-31,31.49,31.49,31.0,31.49,20710
32,2012-02-01,31.0,31.99,31.0,31.5,127
33,2012-02-02,31.99,31.99,31.52,31.52,15
34,2012-02-03,31.99,31.99,31.98,31.98,95
35,2012-02-06,31.98,31.98,31.98,31.98,10
36,2012-02-07,31.85,34.5,31.85,34.19,103
37,2012-02-08,31.7,31.7,31.7,31.7,5
38,2012-02-10,30.59,30.59,30.59,30.59,75
39,2012-02-14,30.35,30.35,30.35,30.35,85
40,2012-02-15,31.49,31.49,30.91,30.91,10
41,2012-02-17,31.49,31.49,31.49,31.49,2
42,2012-02-20,31.99,31.99,31.99,31.99,2
43,2012-02-22,29.45,29.45,29.45,29.45,5
44,2012-02-23,29.45,31.98,29.45,31.98,195
45,2012-02-24,31.99,31.99,31.2,31.99,42
46,2012-02-28,31.98,31.98,31.98,31.98,2
47,2012-02-29,31.98,31.98,30.5,31.98,90
48,2012-03-01,31.98,31.98,31.98,31.98,2
49,2012-03-02,31.98,31.98,31.98,31.98,2
50,2012-03-07,31.98,31.98,31.98,31.98,2
51,2012-03-08,30.35,30.35,30.35,30.35,65
52,2012-03-12,31.99,31.99,31.99,31.99,2
53,2012-03-16,31.8,31.8,31.8,31.8,2
54,2012-03-19,31.99,31.99,31.99,31.99,2
55,2012-03-20,30.3,31.75,30.3,31.75,20
56,2012-03-23,30.3,31.81,30.3,31.81,58
57,2012-03-27,31.8,31.8,31.8,31.8,2
58,2012-03-28,31.8,31.8,31.7,31.75,80
59,2012-04-03,31.88,31.88,31.88,31.88,2
60,2012-04-04,31.81,32.5,31.81,32.5,415
61,2012-04-05,32.4,32.4,32.4,32.4,2
62,2012-04-11,32.4,32.4,32.4,32.4,2
63,2012-04-13,32.97,34.0,32.97,34.0,95
64,2012-04-19,31.5,34.0,31.5,33.5,163
65,2012-04-23,33.07,34.5,33.07,34.5,201
66,2012-04-24,34.0,34.0,34.0,34.0,20
67,2012-04-25,34.0,34.0,33.0,33.0,97
68,2012-04-26,33.6,33.6,32.0,33.0,34
69,2012-04-30,32.55,34.5,32.55,34.5,136
70,2012-05-07,33.0,34.5,32.5,33.85,306
71,2012-05-09,32.5,35.0,32.5,34.0,273
72,2012-05-10,32.0,33.5,32.0,32.7,152
73,2012-05-11,31.4,32.9,31.4,32.9,110
74,2012-05-14,31.4,32.9,31.4,32.9,82
75,2012-05-15,32.34,32.34,32.34,32.34,1
76,2012-06-01,32.3,35.01,32.3,35.0,1304
77,2012-06-05,35.0,35.17,34.0,34.0,80
78,2012-06-06,33.5,34.0,33.5,34.0,85
79,2012-06-08,34.35,34.35,34.35,34.35,20
80,2012-06-11,34.5,34.5,34.5,34.5,2
81,2012-06-14,34.2,34.2,33.0,33.89,53
82,2012-06-19,32.5,33.79,32.5,33.79,11
83,2012-06-20,32.2,33.51,32.2,33.51,21
84,2012-06-25,33.0,33.0,33.0,33.0,10
85,2012-06-26,32.23,34.0,32.23,34.0,3151
86,2012-06-27,33.9,33.9,33.9,33.9,5
87,2012-06-28,34.12,36.0,32.5,33.4,575
88,2012-06-29,36.0,37.0,33.0,37.0,5376
89,2012-07-02,35.4,35.4,35.4,35.4,2
90,2012-07-03,33.05,35.0,33.05,35.0,92
91,2012-07-04,35.6,35.6,35.6,35.6,1
92,2012-07-05,35.0,36.0,34.0,36.0,66
93,2012-07-06,35.5,35.8,35.5,35.8,111
94,2012-07-09,35.0,36.03,35.0,36.03,46
95,2012-07-10,35.0,35.0,35.0,35.0,5
96,2012-07-11,36.55,36.55,36.55,36.55,1
97,2012-07-12,34.03,34.03,34.03,34.03,46
98,2012-07-13,32.65,35.0,32.65,35.0,62
99,2012-07-26,33.52,36.0,33.52,36.0,12
100,2012-08-09,34.9,36.0,34.9,36.0,145
101,2012-08-23,36.0,36.0,36.0,36.0,71028
102,2012-08-24,33.53,33.53,33.53,33.53,28
103,2012-08-28,34.91,34.91,34.91,34.91,45
104,2012-08-29,35.0,35.0,35.0,35.0,5
105,2012-08-31,34.9,34.9,32.77,32.77,9
106,2012-09-17,32.12,32.12,32.12,32.12,26
107,2012-09-28,34.0,34.0,34.0,34.0,486
108,2012-10-02,34.0,34.0,34.0,34.0,4
109,2012-10-03,34.0,34.0,34.0,34.0,19
110,2012-10-31,33.0,38.0,33.0,38.0,4277
111,2012-11-02,33.98,33.98,30.5,32.0,168
112,2012-11-05,31.99,36.0,31.99,36.0,90
113,2012-11-07,28.0,30.0,28.0,30.0,319
114,2012-11-08,30.0,34.0,29.0,34.0,160
115,2012-11-09,31.15,35.0,31.15,35.0,106
116,2012-11-13,35.0,35.0,35.0,35.0,1
117,2012-11-14,35.0,35.0,35.0,35.0,2
118,2012-11-16,32.5,32.5,30.26,31.0,72
119,2012-11-20,29.79,29.79,29.79,29.79,53
120,2012-11-21,29.0,29.0,29.0,29.0,60
121,2012-11-22,29.0,29.79,29.0,29.79,20
122,2012-11-23,29.79,29.79,29.79,29.79,42
123,2012-11-29,30.35,35.94,30.35,35.94,482
124,2012-11-30,36.0,40.0,36.0,40.0,1584
