,Date,Open,High,Low,Close,Volume
0,2008-01-10,0.318,0.318,0.283,0.297,2778760
1,2008-01-11,0.289,0.299,0.238,0.273,226840
2,2008-01-14,0.258,0.258,0.231,0.231,67000
3,2008-01-15,0.231,0.297,0.231,0.294,876160
4,2008-01-16,0.231,0.285,0.231,0.28,194170
5,2008-01-17,0.28,0.284,0.259,0.259,239980
6,2008-01-18,0.255,0.274,0.255,0.274,15480
7,2008-01-21,0.283,0.284,0.279,0.284,117320
8,2008-01-22,0.279,0.279,0.279,0.279,1100
9,2008-01-23,0.27,0.289,0.24,0.246,532540
10,2008-01-24,0.249,0.279,0.242,0.26,56790
11,2008-01-25,0.243,0.25,0.241,0.245,147000
12,2008-01-28,0.24,0.249,0.232,0.249,51910
13,2008-01-30,0.249,0.249,0.212,0.249,15920
14,2008-02-04,0.22,0.248,0.22,0.248,1010
15,2008-02-05,0.248,0.297,0.248,0.278,451650
16,2008-02-06,0.25,0.259,0.246,0.259,450950
17,2008-02-07,0.235,0.268,0.232,0.259,157470
18,2008-02-08,0.26,0.26,0.25,0.25,15500
19,2008-02-11,0.232,0.278,0.232,0.26,23500
20,2008-02-12,0.25,0.26,0.25,0.26,2500
21,2008-02-13,0.231,0.255,0.231,0.255,5600
22,2008-02-14,0.254,0.275,0.254,0.275,95890
23,2008-02-15,0.272,0.272,0.271,0.271,2150
24,2008-02-18,0.271,0.275,0.26,0.273,33150
25,2008-02-20,0.27,0.27,0.27,0.27,5000
26,2008-02-21,0.252,0.269,0.251,0.269,16000
27,2008-02-22,0.265,0.265,0.255,0.265,11000
28,2008-02-25,0.26,0.272,0.26,0.272,750
29,2008-02-26,0.251,0.261,0.241,0.261,65060
30,2008-02-27,0.261,0.261,0.24,0.255,54970
31,2008-02-29,0.267,0.267,0.267,0.267,500
32,2008-03-04,0.233,0.26,0.232,0.26,16000
33,2008-03-05,0.258,0.258,0.258,0.258,200
34,2008-03-07,0.24,0.26,0.24,0.26,18500
35,2008-03-11,0.236,0.251,0.236,0.251,12190
36,2008-03-12,0.25,0.251,0.25,0.251,11000
37,2008-03-13,0.251,0.251,0.251,0.251,200
38,2008-03-14,0.237,0.25,0.235,0.25,8210
39,2008-03-17,0.234,0.244,0.233,0.233,108060
40,2008-03-18,0.24,0.24,0.24,0.24,100
41,2008-03-19,0.24,0.24,0.239,0.239,1110
42,2008-03-20,0.202,0.202,0.202,0.202,120
43,2008-03-25,0.24,0.24,0.205,0.205,11150
44,2008-03-26,0.24,0.24,0.21,0.21,17160
45,2008-03-27,0.215,0.224,0.21,0.21,18920
46,2008-03-28,0.234,0.234,0.229,0.229,2330
47,2008-04-01,0.232,0.232,0.213,0.213,4750
48,2008-04-02,0.238,0.238,0.237,0.237,2540
49,2008-04-04,0.215,0.235,0.215,0.235,8440
50,2008-04-07,0.222,0.235,0.222,0.235,5140
51,2008-04-10,0.23,0.235,0.219,0.235,28590
52,2008-04-11,0.235,0.235,0.235,0.235,7000
53,2008-04-14,0.225,0.235,0.225,0.235,3500
54,2008-04-15,0.234,0.234,0.225,0.225,3250
55,2008-04-16,0.225,0.225,0.225,0.225,3920
56,2008-04-21,0.216,0.233,0.216,0.233,4700
57,2008-04-22,0.216,0.229,0.215,0.229,16700
58,2008-04-23,0.215,0.215,0.215,0.215,118630
59,2008-04-24,0.225,0.225,0.205,0.224,13710
60,2008-04-29,0.21,0.229,0.21,0.229,3600
61,2008-05-05,0.229,0.229,0.212,0.229,20900
62,2008-05-06,0.213,0.228,0.213,0.228,3130
63,2008-05-07,0.213,0.228,0.212,0.228,3000
64,2008-05-09,0.216,0.216,0.215,0.215,53470
65,2008-05-13,0.215,0.226,0.213,0.226,29380
66,2008-05-16,0.224,0.224,0.224,0.224,3800
67,2008-05-19,0.213,0.222,0.213,0.222,8890
68,2008-05-20,0.211,0.211,0.211,0.211,14580
69,2008-05-21,0.228,0.228,0.228,0.228,600
70,2008-05-28,0.21,0.21,0.21,0.21,14230
71,2008-05-29,0.228,0.228,0.208,0.228,2770
72,2008-05-30,0.209,0.228,0.209,0.228,50840
73,2008-06-02,0.209,0.209,0.207,0.207,341010
74,2008-06-03,0.207,0.23,0.181,0.23,718040
75,2008-06-04,0.184,0.184,0.184,0.184,3600
76,2008-06-05,0.22,0.22,0.163,0.163,715980
77,2008-06-06,0.169,0.186,0.157,0.157,1570
78,2008-06-09,0.188,0.188,0.151,0.187,841600
79,2008-06-10,0.214,0.214,0.214,0.214,100
80,2008-06-23,0.18,0.181,0.18,0.18,244270
81,2008-06-24,0.18,0.18,0.18,0.18,5000
82,2008-06-26,0.162,0.179,0.162,0.179,1980
83,2008-06-30,0.179,0.179,0.179,0.179,9220
84,2008-07-04,0.158,0.192,0.158,0.192,6100
85,2008-07-17,0.156,0.188,0.156,0.188,4470
86,2008-07-21,0.172,0.185,0.171,0.185,43610
87,2008-07-23,0.161,0.184,0.161,0.184,55150
88,2008-07-24,0.179,0.185,0.179,0.185,7610
89,2008-07-25,0.172,0.179,0.171,0.179,58180
90,2008-07-28,0.18,0.194,0.18,0.194,123000
91,2008-07-29,0.193,0.241,0.192,0.241,59730
92,2008-07-30,0.243,0.243,0.2,0.225,31770
93,2008-07-31,0.225,0.225,0.225,0.225,500
94,2008-08-01,0.225,0.24,0.225,0.239,6090
95,2008-08-05,0.21,0.219,0.21,0.219,3830
96,2008-08-06,0.236,0.236,0.236,0.236,300
97,2008-08-08,0.19,0.21,0.19,0.21,280
98,2008-08-11,0.235,0.235,0.192,0.228,10410
99,2008-08-12,0.217,0.234,0.217,0.234,9790
100,2008-08-14,0.236,0.236,0.195,0.226,12110
101,2008-08-18,0.19,0.221,0.186,0.221,6010
102,2008-08-19,0.181,0.2,0.177,0.2,5390
103,2008-08-21,0.213,0.213,0.16,0.19,46020
104,2008-08-22,0.199,0.199,0.199,0.199,10
105,2008-08-25,0.195,0.195,0.16,0.173,29930
106,2008-08-26,0.16,0.172,0.16,0.172,11070
107,2008-08-27,0.161,0.18,0.161,0.18,8010
108,2008-08-28,0.163,0.18,0.162,0.18,10040
109,2008-09-01,0.146,0.174,0.146,0.174,70
110,2008-09-02,0.174,0.174,0.174,0.174,1100
111,2008-09-04,0.175,0.175,0.175,0.175,10
112,2008-09-05,0.14,0.14,0.14,0.14,7330
113,2008-09-08,0.168,0.168,0.14,0.166,77300
114,2008-09-09,0.141,0.162,0.141,0.162,18500
115,2008-09-11,0.141,0.162,0.141,0.162,61420
116,2008-09-12,0.139,0.147,0.13,0.147,9420
117,2008-09-15,0.157,0.157,0.157,0.157,5000
118,2008-09-16,0.137,0.144,0.137,0.144,8500
119,2008-09-17,0.154,0.154,0.154,0.154,10
120,2008-09-18,0.124,0.124,0.124,0.124,10000
121,2008-09-19,0.148,0.148,0.1,0.13,31740
122,2008-09-22,0.145,0.145,0.13,0.144,2020
123,2008-09-24,0.116,0.144,0.116,0.144,8010
124,2008-09-29,0.118,0.144,0.118,0.144,7020
125,2008-09-30,0.121,0.125,0.121,0.125,30000
126,2008-10-02,0.125,0.125,0.125,0.125,2700
127,2008-10-07,0.125,0.14,0.11,0.124,10030
128,2008-10-08,0.115,0.148,0.115,0.125,15150
129,2008-10-09,0.124,0.125,0.124,0.125,14930
130,2008-10-10,0.111,0.123,0.11,0.123,42260
131,2008-10-13,0.123,0.147,0.123,0.147,15690
132,2008-10-22,0.12,0.12,0.12,0.12,53100
133,2008-10-27,0.122,0.122,0.122,0.122,100
134,2008-11-03,0.122,0.122,0.122,0.122,5000
135,2008-11-04,0.123,0.148,0.123,0.148,24200
136,2008-11-05,0.167,0.167,0.167,0.167,100
137,2008-11-06,0.155,0.164,0.155,0.164,110
138,2008-11-10,0.132,0.132,0.116,0.119,16750
139,2008-11-12,0.132,0.132,0.12,0.12,5210
140,2008-11-14,0.101,0.144,0.09,0.098,581950
141,2008-11-17,0.095,0.097,0.085,0.097,54220
142,2008-11-18,0.086,0.088,0.078,0.088,17100
143,2008-11-19,0.085,0.089,0.082,0.089,11660
144,2008-11-20,0.09,0.105,0.09,0.105,29350
145,2008-11-24,0.099,0.099,0.099,0.099,10
146,2008-12-03,0.083,0.09,0.071,0.09,39950
147,2008-12-11,0.073,0.073,0.072,0.072,4000
148,2008-12-12,0.07,0.087,0.07,0.087,5100
149,2008-12-15,0.08,0.088,0.08,0.088,6220
150,2008-12-19,0.075,0.084,0.072,0.084,266780
151,2008-12-23,0.09,0.09,0.09,0.09,30
152,2008-12-31,0.071,0.071,0.071,0.071,280
153,2009-01-07,0.091,0.091,0.091,0.091,100
154,2009-01-12,0.076,0.091,0.076,0.091,600340
155,2009-01-13,0.085,0.091,0.085,0.091,340010
156,2009-01-16,0.08,0.081,0.08,0.081,45500
157,2009-01-19,0.091,0.091,0.083,0.083,5010
158,2009-01-20,0.085,0.085,0.085,0.085,10780
159,2009-01-21,0.08,0.09,0.08,0.088,7600
160,2009-01-22,0.075,0.088,0.075,0.088,3050
161,2009-01-26,0.088,0.088,0.088,0.088,29200
162,2009-01-27,0.089,0.089,0.089,0.089,1040
163,2009-01-30,0.1,0.1,0.1,0.1,13280
164,2009-02-16,0.09,0.09,0.09,0.09,1050
165,2009-02-18,0.081,0.081,0.081,0.081,2400
166,2009-02-20,0.08,0.088,0.08,0.088,21050
167,2009-02-24,0.088,0.088,0.088,0.088,500
168,2009-03-02,0.075,0.088,0.075,0.088,330
169,2009-03-05,0.088,0.088,0.088,0.088,1100
170,2009-03-06,0.088,0.098,0.088,0.098,16030
171,2009-03-09,0.088,0.088,0.088,0.088,10000
172,2009-03-10,0.088,0.097,0.088,0.097,17120
173,2009-03-20,0.096,0.096,0.096,0.096,10
174,2009-03-26,0.099,0.1,0.099,0.1,19290
175,2009-03-30,0.101,0.105,0.1,0.105,14700
176,2009-03-31,0.1,0.1,0.1,0.1,50000
177,2009-04-02,0.105,0.105,0.105,0.105,5780
178,2009-04-07,0.11,0.11,0.11,0.11,5350
179,2009-04-08,0.11,0.11,0.11,0.11,940
180,2009-04-09,0.11,0.112,0.11,0.112,4820
181,2009-04-14,0.115,0.13,0.115,0.13,19340
182,2009-04-15,0.133,0.15,0.133,0.15,28150
183,2009-04-16,0.16,0.16,0.16,0.16,620
184,2009-04-17,0.157,0.16,0.157,0.16,28490
185,2009-04-20,0.128,0.148,0.128,0.148,1850
186,2009-04-22,0.14,0.14,0.14,0.14,10
187,2009-04-30,0.13,0.13,0.13,0.13,42640
188,2009-05-04,0.12,0.13,0.12,0.13,10000
189,2009-05-12,0.13,0.13,0.13,0.13,760
190,2009-05-13,0.11,0.13,0.11,0.13,23400
191,2009-05-20,0.104,0.104,0.104,0.104,10000
192,2009-05-21,0.124,0.124,0.124,0.124,10
193,2009-05-25,0.124,0.124,0.124,0.124,10
194,2009-05-26,0.139,0.139,0.139,0.139,10
195,2009-06-04,0.115,0.115,0.115,0.115,20000
196,2009-06-15,0.121,0.121,0.121,0.121,40000
197,2009-06-16,0.12,0.12,0.12,0.12,620
198,2009-06-22,0.125,0.125,0.125,0.125,1000
199,2009-06-30,0.135,0.14,0.135,0.14,56240
200,2009-07-21,0.12,0.12,0.12,0.12,3000
201,2009-07-24,0.113,0.113,0.113,0.113,2400
202,2009-07-27,0.11,0.11,0.11,0.11,2400
203,2009-07-30,0.13,0.134,0.13,0.134,53750
204,2009-07-31,0.138,0.138,0.134,0.134,6520
205,2009-08-04,0.133,0.139,0.133,0.139,48450
206,2009-08-10,0.14,0.16,0.14,0.16,31010
207,2009-08-11,0.142,0.159,0.142,0.159,600
208,2009-08-13,0.16,0.17,0.142,0.17,10370
209,2009-08-14,0.143,0.193,0.141,0.193,47460
210,2009-08-18,0.155,0.192,0.155,0.192,11000
211,2009-08-19,0.192,0.193,0.192,0.193,11500
212,2009-08-20,0.192,0.193,0.192,0.193,27990
213,2009-08-21,0.171,0.192,0.165,0.192,20050
214,2009-08-24,0.191,0.191,0.191,0.191,2840
215,2009-08-25,0.209,0.209,0.169,0.199,21600
216,2009-08-26,0.169,0.19,0.164,0.188,50930
217,2009-08-28,0.165,0.17,0.151,0.17,11250
218,2009-09-03,0.155,0.155,0.155,0.155,101540
219,2009-09-21,0.15,0.17,0.15,0.17,43180
220,2009-09-22,0.15,0.15,0.15,0.15,14000
221,2009-09-24,0.155,0.155,0.155,0.155,11160
222,2009-09-28,0.156,0.156,0.156,0.156,670
223,2009-09-29,0.176,0.176,0.176,0.176,820
224,2009-09-30,0.164,0.164,0.164,0.164,10000
225,2009-10-01,0.16,0.16,0.16,0.16,44000
226,2009-10-02,0.176,0.176,0.176,0.176,6770
227,2009-10-05,0.176,0.18,0.176,0.18,1000
228,2009-10-07,0.15,0.15,0.15,0.15,50000
229,2009-10-09,0.189,0.189,0.17,0.17,1110
230,2009-10-21,0.176,0.189,0.17,0.17,32140
231,2009-10-30,0.151,0.151,0.151,0.151,16010
232,2009-11-02,0.16,0.16,0.16,0.16,20000
233,2009-11-03,0.165,0.165,0.165,0.165,15000
234,2009-11-04,0.17,0.17,0.17,0.17,27930
235,2009-11-05,0.175,0.189,0.175,0.189,19490
236,2009-11-06,0.175,0.189,0.175,0.176,24240
237,2009-11-10,0.174,0.174,0.174,0.174,15000
238,2009-11-12,0.163,0.163,0.16,0.16,25980
239,2009-11-13,0.179,0.179,0.179,0.179,10
240,2009-11-20,0.177,0.178,0.177,0.178,4000
241,2009-11-27,0.178,0.178,0.178,0.178,11180
242,2009-12-02,0.15,0.19,0.15,0.19,30040
243,2009-12-17,0.153,0.187,0.153,0.187,54610
244,2009-12-22,0.178,0.178,0.17,0.17,11180
245,2009-12-30,0.185,0.185,0.147,0.147,1060
246,2009-12-31,0.15,0.15,0.15,0.15,840
