,Date,Open,High,Low,Close,Volume
0,2006-10-27,1008.0,1008.0,954.7,964.8,372873.0
1,2006-10-30,981.4,981.4,965.8,965.8,32306.0
2,2006-10-31,977.7,977.7,966.7,977.7,21435.0
3,2006-11-01,988.7,994.2,977.7,977.7,23008.0
4,2006-11-02,974.9,974.9,963.9,972.2,12074.0
5,2006-11-03,975.9,986.9,974.0,974.0,2195.0
6,2006-11-06,970.3,978.6,970.3,973.1,29053.0
7,2006-11-07,975.9,975.9,965.8,965.8,645.0
8,2006-11-08,962.1,963.9,962.1,962.1,7086.0
9,2006-11-09,982.3,987.8,962.1,972.2,2465.0
10,2006-11-10,960.2,964.8,960.2,964.8,3964.0
11,2006-11-13,965.8,968.5,965.8,968.5,5504.0
12,2006-11-14,961.2,961.2,950.1,955.7,8201.0
13,2006-11-15,949.22,949.22,949.22,949.22,6817.0
14,2006-11-16,946.47,952.0,936.37,936.37,14962.0
15,2006-11-17,947.39,947.39,937.29,937.29,5616.0
16,2006-11-20,955.7,955.7,951.1,951.1,7729.0
17,2006-11-21,949.22,954.7,949.22,954.7,15701.0
18,2006-11-22,958.4,958.4,952.0,954.7,446.0
19,2006-11-24,959.3,959.3,959.3,959.3,13243.0
20,2006-11-27,948.31,952.0,948.31,952.0,9390.0
21,2006-11-28,952.9,952.9,952.9,952.9,11440.0
22,2006-11-29,955.7,961.2,955.7,961.2,9846.0
23,2006-11-30,961.2,961.2,955.7,958.4,874.0
24,2006-12-01,957.5,973.1,957.5,973.1,7333.0
25,2006-12-04,983.2,1030.0,983.2,1017.2,18032.0
26,2006-12-05,1014.4,1014.4,1007.1,1014.4,5747.0
27,2006-12-06,1010.7,1010.7,1003.4,1003.4,2259.0
28,2006-12-07,1005.2,1020.8,1005.2,1020.8,1584.0
29,2006-12-08,1033.7,1118.1,1033.7,1064.9,2188.0
30,2006-12-11,1067.7,1088.8,1067.7,1069.5,2509.0
31,2006-12-12,1077.8,1088.8,1075.9,1075.9,19823.0
32,2006-12-13,1088.8,1088.8,1067.7,1070.4,2967.0
33,2006-12-14,1064.0,1073.2,1064.0,1066.7,4937.0
34,2006-12-15,1064.9,1070.4,1061.2,1067.7,8916.0
35,2006-12-18,1064.9,1064.9,1064.9,1064.9,377.0
36,2006-12-19,1071.3,1071.3,1053.0,1055.7,241.0
37,2006-12-20,1069.5,1069.5,1043.8,1064.0,3823.0
38,2006-12-21,1066.7,1066.7,1061.2,1061.2,6375.0
39,2006-12-22,1043.8,1048.4,1025.4,1025.4,329.0
40,2006-12-27,1030.9,1030.9,1030.9,1030.9,484.0
41,2006-12-29,1047.5,1053.0,1024.5,1024.5,391.0
42,2007-01-02,1032.8,1038.3,1012.6,1017.2,331.0
43,2007-01-03,1039.2,1039.2,1027.3,1027.3,5172.0
44,2007-01-04,1041.9,1087.8,1041.9,1072.2,1093.0
45,2007-01-05,1097.0,1101.6,1070.4,1086.0,596.0
46,2007-01-08,1083.3,1088.8,1075.0,1075.0,224.0
47,2007-01-09,1073.2,1073.2,1064.9,1064.9,99.0
48,2007-01-10,1093.4,1093.4,1078.7,1078.7,393.0
49,2007-01-11,1097.0,1097.0,1064.9,1067.7,2249.0
50,2007-01-12,1075.0,1075.0,1075.0,1075.0,7218.0
51,2007-01-15,1079.6,1090.6,1079.6,1090.6,1009.0
52,2007-01-16,1084.2,1084.2,1084.2,1084.2,816.0
53,2007-01-17,1108.0,1108.0,1108.0,1108.0,10.0
54,2007-01-18,1084.2,1106.2,1084.2,1092.4,16896.0
55,2007-01-19,1096.1,1096.1,1079.6,1079.6,313.0
56,2007-01-22,1094.3,1094.3,1084.2,1084.2,4148.0
57,2007-01-23,1104.4,1109.9,1104.4,1109.9,265.0
58,2007-01-24,1104.4,1104.4,1104.4,1104.4,680.0
59,2007-01-25,1088.8,1088.8,1088.8,1088.8,2828.0
60,2007-01-26,1115.4,1131.9,1101.6,1101.6,4980.0
61,2007-01-29,1119.1,1119.1,1110.8,1110.8,223.0
62,2007-01-30,1123.7,1123.7,1115.4,1115.4,20.0
63,2007-01-31,1101.6,1101.6,1090.6,1090.6,2066.0
64,2007-02-01,1081.4,1081.4,1081.4,1081.4,1355.0
65,2007-02-02,1084.2,1110.8,1084.2,1110.8,36516.0
66,2007-02-06,1079.6,1089.7,1079.6,1089.7,8417.0
67,2007-02-07,1075.0,1080.5,1075.0,1075.0,11582.0
68,2007-02-08,1077.8,1077.8,1073.2,1073.2,4380.0
69,2007-02-12,1069.5,1069.5,1069.5,1069.5,1198.0
70,2007-02-13,1075.0,1075.0,1069.5,1069.5,2573.0
71,2007-02-14,1069.5,1069.5,1064.0,1064.0,2491.0
72,2007-02-15,1066.7,1066.7,1064.0,1064.0,14346.0
73,2007-02-16,1065.8,1078.7,1063.1,1078.7,18897.0
74,2007-02-20,1064.0,1064.0,1055.7,1055.7,2725.0
75,2007-02-21,1055.7,1055.7,1051.1,1051.1,5832.0
76,2007-02-22,1045.6,1045.6,1037.4,1040.1,1318.0
