,Date,Open,High,Low,Close,Volume
0,2018-11-19,19.36,29.0,19.36,29.0,132
1,2018-11-20,30.0,43.2,30.0,33.5,833
2,2018-11-21,34.0,34.0,29.12,29.2,71
3,2018-11-22,26.0,26.0,22.9,22.9,122
4,2018-11-23,19.36,19.36,19.36,19.36,26
5,2018-11-26,19.9,19.9,18.52,18.52,7
6,2018-11-27,18.52,18.52,18.52,18.52,54
7,2018-11-30,18.5,18.5,18.5,18.5,10
8,2018-12-17,18.52,18.52,18.52,18.52,54
9,2018-12-19,18.52,18.52,18.52,18.52,54
10,2019-01-04,18.52,19.0,18.52,19.0,10612
11,2019-01-17,17.23,17.23,17.23,17.23,59
12,2019-01-18,16.03,16.03,16.03,16.03,76
13,2019-01-21,15.0,15.0,15.0,15.0,61
14,2019-02-20,14.92,14.92,14.92,14.92,50
15,2019-03-04,14.94,17.8,14.94,17.8,250
16,2019-03-06,17.6,18.52,17.6,18.52,114
17,2019-03-13,19.9,23.8,19.9,23.0,180
18,2019-04-03,21.4,21.4,21.4,21.4,2
19,2019-04-12,23.0,27.6,23.0,27.0,415
20,2019-04-16,27.2,35.0,27.2,35.0,364
21,2019-04-17,35.0,35.0,35.0,35.0,65
22,2019-04-18,40.0,40.0,40.0,40.0,200
23,2019-04-23,42.0,42.0,42.0,42.0,10
24,2019-04-24,42.0,42.0,40.0,40.0,60
25,2019-04-25,40.0,40.0,40.0,40.0,10
26,2019-04-29,38.0,38.0,32.0,32.0,45
27,2019-04-30,30.0,31.6,30.0,31.6,143
28,2019-05-02,31.0,33.0,31.0,33.0,48300
29,2019-05-07,33.6,33.6,32.4,32.4,170
30,2019-05-09,33.6,33.6,33.6,33.6,90
31,2019-05-10,33.6,34.0,33.6,34.0,120
32,2019-05-13,33.2,34.8,33.2,34.8,260
33,2019-05-14,33.0,35.0,33.0,35.0,706
34,2019-05-15,34.8,36.8,34.8,36.8,496
35,2019-05-16,36.8,37.6,36.8,37.4,234
36,2019-05-17,37.2,38.8,37.2,38.8,696
37,2019-05-20,38.8,40.0,38.8,40.0,330
38,2019-05-22,39.8,39.8,39.8,39.8,325
39,2019-05-23,39.8,39.8,39.8,39.8,550
