,Date,Open,High,Low,Close,Volume
0,2008-04-14,5.2564,5.2564,4.0951,4.1868,21393
1,2008-04-15,3.9422,4.5841,3.9422,4.5841,36940
2,2008-04-16,4.4619,4.7552,4.1562,4.7552,5194
3,2008-04-17,4.8224,4.8224,4.5841,4.7979,1113
4,2008-04-18,4.7979,4.7979,4.3702,4.7979,4550
5,2008-04-21,4.5841,4.792,4.5841,4.792,4089
6,2008-04-22,4.7674,4.7674,4.2785,4.639,10083
7,2008-04-23,4.4313,4.6451,4.4313,4.6451,1423
8,2008-04-24,4.5841,4.5841,4.4313,4.5779,1735
9,2008-04-25,4.5841,4.5841,4.4373,4.5841,3906
10,2008-04-28,4.5841,4.6146,4.5841,4.6146,236
11,2008-04-29,4.4619,4.6819,4.4619,4.6451,998
12,2008-04-30,4.6146,4.6451,4.4619,4.6451,1501
13,2008-05-05,4.6451,4.6451,4.3396,4.6451,1746
14,2008-05-06,4.639,4.639,4.639,4.639,164
15,2008-05-07,4.639,4.639,4.639,4.639,81
16,2008-05-08,4.639,4.6451,4.4007,4.6451,4963
17,2008-05-09,4.6451,4.6451,4.6451,4.6451,33
18,2008-05-12,4.6451,4.6451,4.4313,4.639,3804
19,2008-05-13,4.6451,4.6451,4.4313,4.5841,998
20,2008-05-14,4.4313,4.5474,4.3702,4.5474,1048
21,2008-05-15,4.5535,4.5535,4.3823,4.5535,573
22,2008-05-16,4.4068,4.4619,4.3457,4.4619,5890
23,2008-05-19,4.5228,4.5228,4.2478,4.4923,7804
24,2008-05-20,4.4923,4.4923,4.2785,4.4923,1898
25,2008-05-21,4.4619,4.4619,4.2785,4.4619,1112
26,2008-05-23,4.4619,4.4619,4.1868,4.4619,604
27,2008-05-26,4.4619,4.4619,4.2785,4.4619,2995
28,2008-05-27,4.4619,4.4619,4.1562,4.4007,11960
29,2008-05-28,4.5474,4.5474,4.5474,4.5474,17
30,2008-05-29,4.5351,4.5351,4.3396,4.4619,443
31,2008-06-02,4.3396,4.5228,4.2357,4.5228,2862
32,2008-06-03,4.2846,4.2907,4.2846,4.2846,4909
33,2008-06-04,4.2785,4.4619,4.1562,4.4619,2208
34,2008-06-05,4.2173,4.4619,4.2173,4.4619,359
35,2008-06-06,4.4619,4.4619,4.4619,4.4619,17
36,2008-06-09,4.4558,4.4558,4.2173,4.4313,1342
37,2008-06-10,4.4558,4.4558,4.4558,4.4558,33
38,2008-06-11,4.4558,4.4558,4.254,4.309,1669
39,2008-06-12,4.2785,4.2785,4.0951,4.2785,672
40,2008-06-13,4.2785,4.2785,4.0951,4.2785,2158
41,2008-06-16,4.2785,4.2785,4.2785,4.2785,17
42,2008-06-17,4.2785,4.2785,4.2785,4.2785,17
43,2008-06-18,4.1012,4.3212,4.1012,4.3212,850
44,2008-06-19,4.1562,4.3579,4.1562,4.3579,819
45,2008-06-20,4.1562,4.3396,4.1562,4.3396,719
46,2008-06-23,4.3396,4.3396,4.1623,4.3396,3338
47,2008-06-24,4.3334,4.3334,4.1562,4.2785,687
48,2008-06-25,4.309,4.309,4.309,4.309,17
49,2008-06-26,4.0951,4.0951,4.0951,4.0951,655
50,2008-06-27,4.0951,4.0951,3.8262,4.0951,2011
51,2008-06-30,4.0646,4.2785,3.9117,4.2785,4369
52,2008-07-01,4.1072,4.1072,3.9117,4.0951,2454
53,2008-07-02,4.0951,4.0951,3.8506,3.9729,1635
54,2008-07-03,3.9729,3.9729,3.9729,3.9729,164
55,2008-07-04,3.9729,3.9729,3.7895,3.9729,5890
56,2008-07-08,3.8506,3.9117,3.8506,3.9117,833
57,2008-07-09,3.9117,3.9117,3.6672,3.7895,769
58,2008-07-10,3.9117,4.034,3.5145,3.9422,4854
59,2008-07-11,3.7589,3.9117,3.7589,3.8201,2364
60,2008-07-14,3.9117,3.9422,3.9117,3.9422,1226
61,2008-07-16,3.7895,3.7895,3.6978,3.7895,1669
62,2008-07-17,3.7895,3.7895,3.6978,3.7284,918
63,2008-07-18,3.6978,3.8506,3.6978,3.8506,1326
64,2008-07-21,3.8506,3.979,3.6672,3.8506,5109
65,2008-07-22,3.7895,3.7895,3.7895,3.7895,819
66,2008-07-23,3.9117,3.9117,3.9117,3.9117,819
67,2008-07-24,4.034,4.034,4.034,4.034,81
68,2008-07-25,4.0646,4.0646,4.0646,4.0646,327
69,2008-07-28,4.0646,4.0646,4.0646,4.0646,164
70,2008-07-29,4.0646,4.0646,4.0646,4.0646,17
71,2008-07-30,4.0646,4.1685,4.0646,4.1685,2274
72,2008-07-31,4.309,4.309,4.309,4.309,491
73,2008-08-01,4.4619,4.5841,4.3946,4.3946,1832
74,2008-08-05,4.6207,4.6207,4.6207,4.6207,1
75,2008-08-11,4.6146,4.6146,4.6146,4.6146,17
76,2008-08-12,4.6146,4.6146,4.6146,4.6146,17
77,2008-08-13,4.6146,4.6146,4.6146,4.6146,17
78,2008-08-14,4.6146,4.6207,4.6146,4.6146,160
79,2008-08-18,4.4923,4.4923,4.4923,4.4923,819
80,2008-08-25,4.5535,4.5535,4.4619,4.4619,1474
