,Date,Open,High,Low,Close,Volume
0,2012-02-16,0.15,0.16,0.11,0.11,1396819
1,2012-02-17,0.12,0.13,0.11,0.12,215084
2,2012-02-20,0.12,0.12,0.1,0.12,164130
3,2012-02-21,0.11,0.12,0.11,0.11,33007
4,2012-02-22,0.11,0.12,0.11,0.12,11000
5,2012-02-23,0.11,0.11,0.11,0.11,6633
6,2012-02-24,0.1,0.13,0.1,0.13,157985
7,2012-02-27,0.11,0.12,0.11,0.12,82326
8,2012-02-28,0.11,0.12,0.11,0.11,11246
9,2012-02-29,0.1,0.11,0.1,0.11,70800
10,2012-03-01,0.1,0.1,0.09,0.1,21411
11,2012-03-02,0.1,0.12,0.1,0.12,239387
12,2012-03-05,0.12,0.12,0.11,0.11,99200
13,2012-03-06,0.11,0.11,0.11,0.11,4969
14,2012-03-07,0.1,0.11,0.1,0.11,124000
15,2012-03-08,0.1,0.11,0.1,0.11,38120
16,2012-03-09,0.1,0.1,0.09,0.1,32921
17,2012-03-12,0.09,0.11,0.09,0.11,37662
18,2012-03-13,0.1,0.1,0.09,0.1,135140
19,2012-03-14,0.1,0.1,0.09,0.1,112100
20,2012-03-15,0.1,0.11,0.1,0.11,28700
21,2012-03-16,0.11,0.11,0.1,0.11,9211
22,2012-03-19,0.09,0.11,0.09,0.11,61051
23,2012-03-20,0.1,0.11,0.1,0.11,26000
24,2012-03-21,0.1,0.11,0.09,0.09,137942
25,2012-03-22,0.1,0.14,0.1,0.12,2414687
26,2012-03-23,0.13,0.14,0.11,0.12,3014882
27,2012-03-26,0.11,0.11,0.1,0.11,417153
28,2012-03-27,0.11,0.11,0.1,0.1,152526
29,2012-03-28,0.1,0.11,0.1,0.11,68510
30,2012-03-29,0.1,0.1,0.09,0.09,175344
31,2012-03-30,0.1,0.13,0.1,0.13,1814693
32,2012-04-02,0.12,0.14,0.11,0.12,860060
33,2012-04-03,0.13,0.13,0.11,0.11,77146
34,2012-04-04,0.12,0.13,0.11,0.12,763542
35,2012-04-05,0.11,0.11,0.1,0.11,169502
36,2012-04-10,0.1,0.11,0.09,0.1,1489597
37,2012-04-11,0.1,0.1,0.09,0.1,85923
38,2012-04-12,0.09,0.1,0.09,0.1,334627
39,2012-04-13,0.1,0.12,0.09,0.12,844905
40,2012-04-16,0.11,0.12,0.1,0.11,891545
41,2012-04-17,0.1,0.11,0.1,0.1,774713
42,2012-04-18,0.1,0.1,0.1,0.1,90931
43,2012-04-19,0.1,0.1,0.09,0.1,325789
44,2012-04-20,0.1,0.1,0.09,0.1,199550
45,2012-04-23,0.1,0.1,0.09,0.1,329080
46,2012-04-24,0.09,0.09,0.08,0.09,175993
47,2012-04-25,0.09,0.11,0.09,0.11,231344
48,2012-04-26,0.1,0.1,0.08,0.09,627089
49,2012-04-27,0.09,0.1,0.08,0.1,139333
50,2012-04-30,0.09,0.1,0.09,0.1,128774
51,2012-05-02,0.09,0.09,0.08,0.09,69147
52,2012-05-04,0.09,0.09,0.08,0.09,63740
53,2012-05-07,0.09,0.09,0.08,0.09,17661
54,2012-05-08,0.09,0.09,0.08,0.09,233583
55,2012-05-09,0.09,0.09,0.09,0.09,11600
56,2012-05-10,0.08,0.11,0.08,0.09,2423039
