,Date,Open,High,Low,Close,Volume
0,2013-02-07,2.612,3.0808,2.1097,2.6387,39265
1,2013-02-08,2.6789,2.6789,2.1431,2.6187,9061
2,2013-02-11,2.6187,2.6187,2.2973,2.4646,1512
3,2013-02-12,2.612,2.612,2.324,2.3977,1859
4,2013-02-13,2.478,2.6187,2.0762,2.6187,181
5,2013-02-14,2.4379,2.6187,2.0963,2.6187,3620
6,2013-02-15,2.6187,2.6187,2.2904,2.4914,288
7,2013-02-18,2.6387,2.6387,2.6387,2.6387,2
8,2013-02-19,2.6387,2.6387,2.612,2.612,51
9,2013-02-20,2.6387,2.6387,2.6387,2.6387,2
10,2013-02-21,2.612,2.612,2.3306,2.612,964
11,2013-02-22,2.6387,2.6387,2.3574,2.6387,28
12,2013-02-25,2.6254,2.6254,2.2102,2.6254,2962
13,2013-02-26,2.6254,2.6254,2.6254,2.6254,3
14,2013-02-27,2.6254,2.6254,2.6254,2.6254,3
15,2013-02-28,2.6254,2.6254,2.6254,2.6254,12
16,2013-03-01,2.4445,2.6387,2.4445,2.6387,1239
17,2013-03-04,2.6254,2.6254,2.3574,2.6254,2382
18,2013-03-05,2.6254,2.6254,2.6254,2.6254,5
19,2013-03-06,2.6254,2.6254,2.6254,2.6254,15
20,2013-03-07,2.6254,2.6254,2.6254,2.6254,5
21,2013-03-08,2.6254,2.6254,2.6254,2.6254,5
22,2013-03-11,2.6254,2.6254,2.6254,2.6254,4
23,2013-03-12,2.6254,2.6254,2.6254,2.6254,5
24,2013-03-13,2.6254,2.6254,2.6254,2.6254,11
25,2013-03-14,2.6254,2.6254,2.2771,2.2771,4023
26,2013-03-15,2.2771,2.5785,2.2771,2.5785,46
27,2013-03-18,2.5785,2.5785,2.5785,2.5785,3
28,2013-03-19,2.5785,2.5785,2.5785,2.5785,2
29,2013-03-20,2.5449,2.5449,2.5449,2.5449,1
30,2013-03-21,2.612,2.612,2.612,2.612,11
31,2013-03-22,2.612,2.612,2.0896,2.612,728
32,2013-03-25,2.612,2.612,2.612,2.612,4
33,2013-03-26,2.612,2.612,2.612,2.612,4
34,2013-03-27,2.612,2.612,2.1968,2.612,690
35,2013-03-28,2.612,2.612,2.612,2.612,2
36,2013-04-02,2.612,2.612,2.612,2.612,3
37,2013-04-03,2.5785,2.5785,2.5785,2.5785,2
38,2013-04-04,2.612,2.612,2.612,2.612,1
39,2013-04-05,2.5785,2.5785,2.5785,2.5785,1
40,2013-04-08,2.5785,2.5785,2.5785,2.5785,2
41,2013-04-09,2.5785,2.5785,2.1431,2.5785,2757
42,2013-04-10,2.5449,2.5449,2.0695,2.5249,1817
43,2013-04-11,2.5785,2.5785,2.1297,2.5785,717
44,2013-04-12,2.5785,2.5785,2.5785,2.5785,1
45,2013-04-15,2.5785,2.5785,2.0762,2.5115,1423
46,2013-04-17,2.5449,2.5449,2.5449,2.5449,2
47,2013-04-18,2.5449,2.5449,2.5449,2.5449,1
48,2013-04-19,2.1564,2.5449,2.1564,2.5449,717
49,2013-04-22,2.5785,2.5785,2.0494,2.3775,3595
50,2013-04-23,2.5449,2.5449,2.5449,2.5449,5
51,2013-04-24,2.478,2.478,2.478,2.478,1
52,2013-04-25,2.3508,2.3508,2.3508,2.3508,5
53,2013-04-26,2.3508,2.3508,1.9355,2.3508,1299
54,2013-04-29,2.3508,2.3508,2.3508,2.3508,1
55,2013-04-30,2.3508,2.478,2.0025,2.478,1596
56,2013-05-07,2.478,2.478,2.0226,2.478,1470
57,2013-05-08,2.478,2.478,2.478,2.478,3
58,2013-05-09,2.478,2.478,2.0361,2.4244,3131
59,2013-05-10,2.3977,2.3977,2.1833,2.3977,700
60,2013-05-13,2.3977,2.3977,2.0361,2.2236,2219
61,2013-05-14,2.1968,2.1968,2.1968,2.1968,747
62,2013-05-15,2.1968,2.1968,2.1968,2.1968,3
63,2013-05-16,2.1968,2.1968,2.0361,2.1766,157
64,2013-05-17,2.1968,2.1968,2.1968,2.1968,3
65,2013-05-20,2.1968,2.1968,2.1365,2.1968,15
66,2013-05-21,2.1365,2.1365,2.1365,2.1365,5
67,2013-05-22,2.1365,2.1365,2.1365,2.1365,1
68,2013-05-23,2.1365,2.1365,1.9958,2.1365,751
69,2013-05-24,2.1365,2.1431,1.9958,2.1431,757
70,2013-05-27,1.9421,2.1431,1.9421,2.1431,971
71,2013-05-28,2.1431,2.1431,2.1431,2.1431,5
72,2013-05-29,2.1431,2.3843,2.1431,2.3843,732
73,2013-05-31,2.3843,2.3843,2.3843,2.3843,1
74,2013-06-03,2.3843,2.3843,1.9421,2.3843,1529
75,2013-06-04,2.3843,2.3843,1.9757,2.3574,2985
76,2013-06-05,2.3574,2.3574,2.3574,2.3574,2
77,2013-06-06,2.3574,2.3574,1.9824,2.3574,1503
78,2013-06-07,2.1231,2.344,2.1231,2.344,106
79,2013-06-10,2.3373,2.3373,1.969,2.3373,2559
80,2013-06-11,2.2771,2.3373,1.9355,2.3373,3096
81,2013-06-12,2.3373,2.3373,1.9757,2.1231,2618
82,2013-06-13,2.3373,2.3373,1.9757,2.0293,2031
83,2013-06-14,2.3373,2.3373,2.3373,2.3373,15
84,2013-06-17,2.3373,2.3373,2.0159,2.0159,47
85,2013-06-18,2.3373,2.3373,2.3373,2.3373,1
