,Date,Open,High,Low,Close,Volume
0,2020-08-31,17.5,18.65,14.0,15.0,218892
1,2020-09-01,15.4,16.43,12.8,15.4,186105
2,2020-09-02,15.6,22.46,14.6,20.8,176868
3,2020-09-03,21.0,22.98,18.82,19.8,139798
4,2020-09-04,19.4,19.4,17.5,19.0,61557
5,2020-09-07,17.6,19.0,17.0,17.0,44322
6,2020-09-08,17.0,17.1,14.62,17.0,41171
7,2020-09-09,16.95,18.8,16.5,18.5,29184
8,2020-09-10,18.5,18.7,17.6,18.5,9518
9,2020-09-11,18.5,18.5,17.6,18.3,2648
10,2020-09-14,18.5,18.5,17.5,18.05,7998
11,2020-09-15,18.0,18.0,17.1,17.788,6490
12,2020-09-16,17.8,18.5,16.0,17.44,24952
13,2020-09-17,17.0,18.0,16.6,17.48,5797
14,2020-09-18,17.48,17.8,17.0,17.4,3795
15,2020-09-21,17.1,17.5,16.3,16.8,12486
16,2020-09-22,16.42,17.25,15.72,17.25,13798
17,2020-09-23,16.3,16.44,15.8,15.8,15749
18,2020-09-24,15.5,17.5,14.3,16.0,42418
19,2020-09-25,16.9,17.28,16.0,17.1,11038
20,2020-09-28,17.08,17.08,16.06,16.4,4738
21,2020-09-29,16.8,16.8,15.8,16.48,3823
22,2020-09-30,16.0,17.0,15.9,16.95,18098
23,2020-10-01,16.95,17.15,16.45,16.87,3259
24,2020-10-02,17.1,17.1,16.5,16.62,3097
25,2020-10-05,16.3,16.768,16.0,16.0,3092
26,2020-10-06,15.83,16.298,15.5,15.9,5979
27,2020-10-07,16.0,16.08,15.5,15.97,2250
28,2020-10-08,15.6,15.96,14.75,15.11,10220
29,2020-10-09,15.2,17.5,14.75,16.4,36771
30,2020-10-12,16.5,16.55,15.7,16.5,6421
31,2020-10-13,16.9,16.9,15.2,15.8,13885
32,2020-10-14,15.23,15.5,12.8,14.85,24982
33,2020-10-15,15.0,15.0,13.4,14.4,7628
34,2020-10-16,14.38,14.38,13.6,14.178,7056
35,2020-10-19,13.86,14.5,13.76,14.1,8586
36,2020-10-20,14.5,14.5,13.84,14.0,961
37,2020-10-21,14.0,15.09,13.5,15.09,16011
38,2020-10-22,14.89,15.0,14.35,14.7,4320
39,2020-10-23,14.25,15.1,14.1,14.38,8448
40,2020-10-26,14.0,14.1,13.3,13.68,20706
41,2020-10-27,13.66,13.66,13.1,13.39,4702
42,2020-10-28,13.14,13.3,11.0,12.7,25035
43,2020-10-29,11.4,12.48,11.0,12.43,11601
44,2020-10-30,12.57,12.57,11.5,11.98,6614
45,2020-11-02,11.98,13.25,11.34,12.4,45685
46,2020-11-03,12.84,13.45,12.04,13.45,6424
47,2020-11-04,13.88,13.88,13.0,13.64,2074
48,2020-11-05,13.77,14.7,13.77,14.4,6909
49,2020-11-06,14.5,14.5,13.2,14.22,6566
50,2020-11-09,14.2,15.2,14.0,14.79,6843
51,2020-11-10,14.94,15.45,14.6,15.44,10070
52,2020-11-12,15.5,15.5,15.1,15.12,2358
53,2020-11-13,14.65,15.25,13.92,14.35,5382
54,2020-11-16,13.99,14.39,13.26,13.796,5239
55,2020-11-17,13.78,13.78,13.204,13.76,2445
56,2020-11-18,13.78,13.94,13.78,13.92,896
57,2020-11-19,13.54,13.94,13.54,13.6,782
58,2020-11-20,13.5,13.6,13.12,13.6,2990
59,2020-11-23,13.8,13.8,12.832,13.53,12585
60,2020-11-24,13.0,13.39,12.91,13.29,4295
61,2020-11-25,13.3,13.646,12.9,13.3,6202
62,2020-11-26,13.4,13.4,13.08,13.08,1290
63,2020-11-27,13.08,13.19,12.9,13.1,2207
64,2020-11-30,13.17,13.18,12.83,13.18,2169
