,Date,Open,High,Low,Close,Volume
0,2007-12-04,4.01,4.4,2.5,2.89,186368
1,2007-12-05,2.92,3.18,2.7,2.89,48033
2,2007-12-06,2.76,2.93,2.75,2.76,9443
3,2007-12-07,2.73,2.85,2.73,2.84,10715
4,2007-12-10,2.84,2.86,2.73,2.74,15302
5,2007-12-11,2.8,2.86,2.75,2.86,4814
6,2007-12-12,2.86,2.86,2.76,2.76,7940
7,2007-12-13,2.8,2.8,2.72,2.72,7683
8,2007-12-14,2.7,2.8,2.6,2.79,3801
9,2007-12-17,2.66,2.7,2.61,2.7,2300
10,2007-12-18,2.7,2.73,2.53,2.7,7579
11,2007-12-19,2.73,2.73,2.69,2.7,10600
12,2007-12-20,2.88,3.18,2.72,2.8,43361
13,2007-12-21,3.04,3.04,2.82,2.88,7404
14,2007-12-27,2.88,3.9,2.88,3.21,61611
15,2007-12-28,3.41,3.84,3.25,3.28,101067
16,2008-01-02,3.45,3.5,3.1,3.11,57976
17,2008-01-03,3.15,3.15,2.91,2.96,36959
18,2008-01-04,3.04,3.08,2.96,2.96,16092
19,2008-01-07,2.95,3.15,2.83,2.93,18763
20,2008-01-08,2.86,3.02,2.86,3.0,6365
21,2008-01-09,2.88,3.0,2.88,2.98,8325
22,2008-01-10,2.98,2.98,2.98,2.98,350
23,2008-01-11,2.85,2.95,2.81,2.9,2136
24,2008-01-14,2.84,2.85,2.6,2.78,7364
25,2008-01-15,2.85,2.85,2.6,2.83,1118
26,2008-01-16,2.61,2.8,2.35,2.35,10394
27,2008-01-17,2.52,2.64,2.41,2.6,3953
28,2008-01-18,2.6,2.7,2.6,2.7,4280
29,2008-01-21,2.47,2.8,2.47,2.8,301
30,2008-01-22,2.45,2.78,2.45,2.78,1770
31,2008-01-23,2.75,2.78,2.75,2.75,1319
32,2008-01-24,2.83,2.84,2.71,2.82,3024
33,2008-01-25,2.85,2.96,2.77,2.96,7605
34,2008-01-28,2.94,2.94,2.8,2.93,1841
35,2008-01-29,2.98,2.98,2.86,2.96,2226
36,2008-01-30,2.98,2.98,2.98,2.98,9
37,2008-01-31,2.9,2.97,2.85,2.97,5765
38,2008-02-01,2.97,3.1,2.6,3.03,8066
39,2008-02-04,2.97,3.0,2.76,3.0,5250
40,2008-02-05,2.8,2.99,2.65,2.66,3305
41,2008-02-06,2.97,2.97,2.7,2.8,1738
42,2008-02-07,2.99,2.99,2.75,2.95,1302
43,2008-02-08,2.66,3.1,2.66,2.8,59539
44,2008-02-11,3.05,3.05,2.72,2.75,13750
45,2008-02-12,2.79,2.92,2.7,2.9,46882
46,2008-02-13,2.88,2.88,2.78,2.85,2920
47,2008-02-14,2.85,2.85,2.62,2.83,1808
48,2008-02-15,2.75,2.82,2.7,2.7,6700
49,2008-02-18,2.85,3.01,2.85,3.0,34995
50,2008-02-19,3.0,3.0,3.0,3.0,2356
51,2008-02-20,2.91,3.0,2.9,3.0,3870
52,2008-02-21,2.9,2.99,2.85,2.9,1335
53,2008-02-22,2.9,3.04,2.9,3.04,701
54,2008-02-25,2.95,2.95,2.72,2.95,964
55,2008-02-26,2.95,2.95,2.81,2.94,1030
56,2008-02-27,3.3,3.8,2.8,2.85,47705
57,2008-02-28,2.81,2.89,2.7,2.88,7156
58,2008-02-29,2.88,2.88,2.7,2.88,4522
59,2008-03-03,2.7,2.88,2.7,2.88,319
60,2008-03-04,2.7,2.88,2.55,2.88,5137
61,2008-03-05,2.7,2.7,2.7,2.7,100
62,2008-03-06,2.7,2.7,2.7,2.7,100
63,2008-03-07,2.82,2.82,2.35,2.7,11539
64,2008-03-10,2.78,2.78,2.78,2.78,44
65,2008-03-11,2.72,2.84,2.6,2.84,6850
66,2008-03-12,2.68,2.7,2.66,2.7,630
67,2008-03-13,2.6,2.7,2.35,2.7,7362
68,2008-03-14,2.64,2.64,2.5,2.5,834
69,2008-03-17,2.5,2.64,2.35,2.5,11654
70,2008-03-18,2.45,2.5,2.35,2.5,8901
71,2008-03-19,2.4,2.5,2.35,2.49,3077
72,2008-03-20,2.38,2.38,2.36,2.36,900
73,2008-03-25,2.35,2.45,2.35,2.4,679
74,2008-03-26,2.35,2.35,2.28,2.28,15017
75,2008-03-27,2.39,2.39,2.29,2.29,1335
76,2008-03-28,2.29,2.29,2.22,2.29,823
77,2008-03-31,2.25,2.25,2.25,2.25,1108
78,2008-04-01,2.15,2.15,2.13,2.15,3336
79,2008-04-02,2.15,2.36,2.15,2.36,11781
80,2008-04-03,2.17,2.32,2.17,2.32,2324
81,2008-04-04,2.25,2.25,2.13,2.25,922
82,2008-04-07,2.24,2.25,2.23,2.25,1120
83,2008-04-08,2.25,2.25,2.17,2.25,442
84,2008-04-09,2.25,2.25,2.1,2.25,6086
85,2008-04-10,2.13,2.25,2.13,2.25,716
86,2008-04-11,2.25,2.25,2.12,2.25,856
87,2008-04-14,2.11,2.25,2.11,2.25,1981
88,2008-04-15,2.15,2.25,2.15,2.25,1007
