,Date,Open,High,Low,Close,Volume
0,1997-10-15,50.82,50.82,50.82,50.82,41552.0
1,1997-10-17,48.99,48.99,48.99,48.99,28611.0
2,1997-10-20,47.16,47.16,47.16,47.16,6322.0
3,1997-10-21,47.16,47.16,47.16,47.16,4288.0
4,1997-10-22,46.695,46.695,46.695,46.695,3628.0
5,1997-10-23,46.245,46.245,46.245,46.245,9242.0
6,1997-10-24,45.325,45.325,45.325,45.325,8057.0
7,1997-10-27,40.75,40.75,40.75,40.75,2538.0
8,1997-10-28,37.085,37.085,37.085,37.085,8149.0
9,1997-10-29,40.75,40.75,40.75,40.75,10998.0
10,1997-10-30,40.75,40.75,40.75,40.75,7729.0
11,1997-10-31,40.75,40.75,40.75,40.75,1872.0
12,1997-11-03,44.865,44.865,44.865,44.865,1192.0
13,1997-11-04,45.325,45.325,45.325,45.325,4511.0
14,1997-11-05,46.245,46.245,46.245,46.245,4183.0
15,1997-11-06,45.325,45.325,45.325,45.325,5156.0
16,1997-11-07,44.415,44.415,44.415,44.415,6445.0
17,1997-11-12,43.035,43.035,43.035,43.035,6644.0
18,1997-11-13,41.665,41.665,41.665,41.665,14380.0
19,1997-11-14,42.125,42.125,42.125,42.125,580.0
20,1997-11-17,44.415,44.415,44.415,44.415,4046.0
21,1997-11-18,44.415,44.415,44.415,44.415,3315.0
22,1997-11-19,43.495,43.495,43.495,43.495,2505.0
23,1997-11-20,43.495,43.495,43.495,43.495,5292.0
24,1997-11-21,44.415,44.415,44.415,44.415,7857.0
25,1997-11-24,42.58,42.58,42.58,42.58,1789.0
26,1997-11-25,41.665,41.665,41.665,41.665,3399.0
27,1997-11-26,42.58,42.58,42.58,42.58,2688.0
28,1997-11-27,41.205,41.205,41.205,41.205,5324.0
29,1997-11-28,40.75,40.75,40.75,40.75,8478.0
30,1997-12-01,43.035,43.035,43.035,43.035,1385.0
31,1997-12-02,43.035,43.035,43.035,43.035,3854.0
32,1997-12-03,43.035,43.035,43.035,43.035,3664.0
33,1997-12-04,42.58,42.58,42.58,42.58,1253.0
34,1997-12-05,42.58,42.58,42.58,42.58,3781.0
35,1997-12-08,42.58,42.58,42.58,42.58,4226.0
36,1997-12-09,42.58,42.58,42.58,42.58,7192.0
37,1997-12-10,42.58,42.58,42.58,42.58,1267.0
38,1997-12-11,41.665,41.665,41.665,41.665,4774.0
39,1997-12-12,41.665,41.665,41.665,41.665,3895.0
40,1997-12-15,41.665,41.665,41.665,41.665,1426.0
41,1997-12-16,41.665,41.665,41.665,41.665,3459.0
42,1997-12-17,41.665,41.665,41.665,41.665,658.0
43,1997-12-18,41.665,41.665,41.665,41.665,1099.0
44,1997-12-19,41.205,41.205,41.205,41.205,6164.0
45,1997-12-22,40.75,40.75,40.75,40.75,3178.0
46,1997-12-23,39.835,39.835,39.835,39.835,3123.0
47,1997-12-29,39.375,39.375,39.375,39.375,2178.0
48,1997-12-30,39.835,39.835,39.835,39.835,1626.0
49,1997-12-31,36.165,36.165,36.165,36.165,1998.0
50,1998-01-05,38.46,38.46,38.46,38.46,5780.0
51,1998-01-06,38.0,38.0,38.0,38.0,4382.0
52,1998-01-07,38.0,38.0,38.0,38.0,4566.0
53,1998-01-08,38.46,38.46,38.46,38.46,5977.0
54,1998-01-09,38.46,38.46,38.46,38.46,7056.0
55,1998-01-12,37.085,37.085,37.085,37.085,5508.0
56,1998-01-13,37.085,37.085,37.085,37.085,4508.0
57,1998-01-14,36.635,36.635,36.635,36.635,5745.0
58,1998-01-15,35.71,35.71,35.71,35.71,4240.0
59,1998-01-16,35.71,35.71,35.71,35.71,5222.0
60,1998-01-19,38.0,38.0,38.0,38.0,1830.0
61,1998-01-20,36.635,36.635,36.635,36.635,1426.0
62,1998-01-21,37.085,37.085,37.085,37.085,6351.0
63,1998-01-22,35.71,35.71,35.71,35.71,5690.0
64,1998-01-23,35.71,35.71,35.71,35.71,2939.0
65,1998-01-26,35.71,35.71,35.71,35.71,1987.0
66,1998-01-27,35.71,35.71,35.71,35.71,4478.0
67,1998-01-28,35.71,35.71,35.71,35.71,7797.0
68,1998-01-29,36.635,36.635,36.635,36.635,5929.0
69,1998-01-30,37.085,37.085,37.085,37.085,6012.0
70,1998-02-02,38.0,38.0,38.0,38.0,8214.0
71,1998-02-03,39.835,39.835,39.835,39.835,14954.0
72,1998-02-04,38.915,38.915,38.915,38.915,13950.0
73,1998-02-05,39.835,39.835,39.835,39.835,10597.0
74,1998-02-06,40.29,40.29,40.29,40.29,11498.0
75,1998-02-09,41.665,41.665,41.665,41.665,7561.0
76,1998-02-10,41.665,41.665,41.665,41.665,4439.0
77,1998-02-11,41.665,41.665,41.665,41.665,881.0
78,1998-02-12,40.75,40.75,40.75,40.75,8694.0
79,1998-02-13,41.665,41.665,41.665,41.665,2747.0
80,1998-02-16,41.665,41.665,41.665,41.665,3889.0
81,1998-02-17,40.75,40.75,40.75,40.75,14925.0
82,1998-02-18,38.0,38.0,38.0,38.0,10358.0
83,1998-02-19,37.545,37.545,37.545,37.545,4194.0
84,1998-02-20,37.085,37.085,37.085,37.085,5627.0
85,1998-02-23,34.795,34.795,34.795,34.795,7476.0
86,1998-02-24,35.71,35.71,35.71,35.71,8682.0
87,1998-02-25,35.71,35.71,35.71,35.71,4766.0
88,1998-02-26,36.635,36.635,36.635,36.635,8929.0
89,1998-02-27,36.165,36.165,36.165,36.165,9854.0
90,1998-03-02,37.085,37.085,37.085,37.085,3196.0
91,1998-03-03,37.545,37.545,37.545,37.545,3750.0
92,1998-03-04,36.635,36.635,36.635,36.635,1961.0
93,1998-03-05,36.635,36.635,36.635,36.635,4384.0
94,1998-03-06,36.635,36.635,36.635,36.635,1076.0
95,1998-03-09,37.085,37.085,37.085,37.085,4081.0
96,1998-03-10,37.545,37.545,37.545,37.545,4411.0
97,1998-03-11,38.46,38.46,38.46,38.46,10119.0
98,1998-03-12,38.46,38.46,38.46,38.46,3833.0
99,1998-03-13,39.375,39.375,39.375,39.375,5538.0
100,1998-03-16,39.835,39.835,39.835,39.835,12684.0
101,1998-03-17,40.75,40.75,40.75,40.75,31729.0
102,1998-03-18,40.75,40.75,40.75,40.75,5311.0
103,1998-03-19,40.29,40.29,40.29,40.29,5795.0
104,1998-03-20,38.915,38.915,38.915,38.915,6976.0
105,1998-03-23,38.46,38.46,38.46,38.46,5244.0
106,1998-03-24,38.0,38.0,38.0,38.0,2076.0
107,1998-03-25,37.545,37.545,37.545,37.545,5123.0
108,1998-03-26,37.085,37.085,37.085,37.085,6250.0
109,1998-03-27,37.085,37.085,37.085,37.085,3097.0
110,1998-03-30,37.085,37.085,37.085,37.085,1099.0
111,1998-03-31,36.635,36.635,36.635,36.635,2875.0
112,1998-04-01,36.635,36.635,36.635,36.635,5710.0
113,1998-04-02,37.085,37.085,37.085,37.085,1793.0
114,1998-04-06,37.085,37.085,37.085,37.085,4247.0
115,1998-04-07,39.835,39.835,39.835,39.835,5494.0
116,1998-04-08,38.0,38.0,38.0,38.0,6782.0
117,1998-04-09,37.545,37.545,37.545,37.545,6184.0
118,1998-04-14,37.085,37.085,37.085,37.085,5407.0
119,1998-04-15,37.545,37.545,37.545,37.545,8103.0
120,1998-04-16,38.0,38.0,38.0,38.0,2098.0
121,1998-04-17,37.545,37.545,37.545,37.545,3305.0
122,1998-04-20,37.545,37.545,37.545,37.545,4917.0
123,1998-04-21,38.0,38.0,38.0,38.0,5433.0
124,1998-04-22,37.545,37.545,37.545,37.545,3846.0
125,1998-04-23,38.0,38.0,38.0,38.0,2901.0
126,1998-04-24,38.0,38.0,38.0,38.0,3573.0
127,1998-04-27,38.0,38.0,38.0,38.0,2345.0
128,1998-04-28,37.085,37.085,37.085,37.085,2747.0
129,1998-04-29,37.085,37.085,37.085,37.085,5494.0
130,1998-04-30,36.165,36.165,36.165,36.165,7676.0
131,1998-05-04,36.165,36.165,36.165,36.165,2011.0
132,1998-05-05,32.51,32.51,32.51,32.51,10207.0
133,1998-05-06,32.51,32.51,32.51,32.51,3984.0
134,1998-05-07,31.135,31.135,31.135,31.135,9293.0
135,1998-05-08,30.225,30.225,30.225,30.225,1589.0
