,Date,Open,High,Low,Close,Volume
0,2013-08-13,0.19556,0.19556,0.09778,0.11556,351287
1,2013-08-14,0.10667,0.10667,0.08889,0.09778,412463
2,2013-08-16,0.09778,0.13333,0.09778,0.12444,192832
3,2013-08-19,0.11556,0.11556,0.09778,0.09778,474161
4,2013-08-20,0.09778,0.09778,0.08889,0.09778,308898
5,2013-08-21,0.09778,0.10667,0.08889,0.10667,474419
6,2013-08-22,0.10667,0.14222,0.10667,0.13333,939974
7,2013-08-23,0.13333,0.14222,0.11556,0.12444,368726
8,2013-08-26,0.12444,0.16889,0.12444,0.15111,443504
9,2013-08-27,0.15111,0.15111,0.12444,0.15111,192688
10,2013-08-28,0.13333,0.14222,0.11556,0.13333,336976
11,2013-08-29,0.12444,0.12444,0.11556,0.12444,161513
12,2013-08-30,0.12444,0.13333,0.12444,0.12444,192597
13,2013-09-02,0.13333,0.13333,0.12444,0.12444,92310
14,2013-09-03,0.13333,0.13333,0.11556,0.12444,189473
15,2013-09-04,0.11556,0.12444,0.10667,0.11556,155276
16,2013-09-05,0.10667,0.11556,0.10667,0.11556,59406
17,2013-09-06,0.11556,0.12444,0.10667,0.12444,98871
18,2013-09-09,0.11556,0.11556,0.09778,0.10667,223649
19,2013-09-10,0.10667,0.10667,0.09778,0.09778,150226
20,2013-09-11,0.10667,0.10667,0.09778,0.10667,60077
21,2013-09-12,0.10667,0.10667,0.10667,0.10667,11250
22,2013-09-13,0.09778,0.10667,0.09778,0.10667,111197
23,2013-09-16,0.09778,0.09778,0.09778,0.09778,62485
24,2013-09-17,0.10667,0.10667,0.09778,0.09778,39549
25,2013-09-18,0.09778,0.10667,0.09778,0.10667,26951
26,2013-09-19,0.09778,0.10667,0.09778,0.10667,41388
27,2013-09-20,0.09778,0.09778,0.08889,0.09778,25832
28,2013-09-23,0.08889,0.09778,0.08889,0.09778,35381
29,2013-09-24,0.09778,0.10667,0.09778,0.10667,21263
30,2013-09-25,0.10667,0.10667,0.09778,0.09778,34070
31,2013-09-26,0.09778,0.09778,0.08889,0.09778,89001
32,2013-09-27,0.08889,0.08889,0.08889,0.08889,4500
33,2013-09-30,0.09778,0.09778,0.09778,0.09778,450
34,2013-10-01,0.08889,0.09778,0.08889,0.09778,12513
35,2013-10-03,0.08889,0.08889,0.08889,0.08889,10968
36,2013-10-04,0.08889,0.08889,0.08889,0.08889,11250
37,2013-10-08,0.08889,0.09778,0.08889,0.09778,16806
38,2013-10-09,0.08889,0.08889,0.08889,0.08889,7875
39,2013-10-10,0.09778,0.10667,0.09778,0.10667,48473
40,2013-10-11,0.09778,0.10667,0.09778,0.10667,3039
41,2013-10-14,0.09778,0.09778,0.09778,0.09778,4887
42,2013-10-16,0.08889,0.09778,0.08889,0.09778,16876
43,2013-10-17,0.08889,0.09778,0.08889,0.09778,11475
44,2013-10-22,0.08889,0.09778,0.08889,0.09778,84375
45,2013-10-23,0.08889,0.09778,0.08889,0.09778,19689
46,2013-10-24,0.08889,0.09778,0.08889,0.09778,5626
47,2013-10-25,0.08889,0.09778,0.08889,0.09778,67501
48,2013-10-28,0.08889,0.08889,0.08889,0.08889,6750
49,2013-10-29,0.08889,0.09778,0.08889,0.09778,7314
50,2013-10-30,0.08889,0.09778,0.08889,0.09778,19744
51,2013-10-31,0.09778,0.09778,0.09778,0.09778,113
52,2013-11-04,0.08889,0.08889,0.08889,0.08889,38250
53,2013-11-08,0.08,0.08889,0.08,0.08889,33751
54,2013-11-12,0.08889,0.10667,0.08889,0.08889,357590
55,2013-11-13,0.08889,0.10667,0.08889,0.10667,155222
56,2013-11-14,0.09778,0.11556,0.09778,0.10667,133907
57,2013-11-15,0.10667,0.12444,0.10667,0.12444,597098
58,2013-11-18,0.12444,0.13333,0.11556,0.11556,180942
59,2013-11-19,0.11556,0.11556,0.10667,0.11556,177284
60,2013-11-20,0.10667,0.11556,0.10667,0.11556,60470
61,2013-11-21,0.10667,0.11556,0.10667,0.11556,25764
62,2013-11-22,0.10667,0.11556,0.10667,0.11556,181458
63,2013-11-25,0.10667,0.11556,0.10667,0.11556,23625
64,2013-11-26,0.10667,0.12444,0.10667,0.12444,133008
65,2013-11-27,0.12444,0.14222,0.11556,0.13333,265038
66,2013-11-28,0.14222,0.15111,0.13333,0.14222,209123
67,2013-11-29,0.14222,0.16,0.14222,0.15111,338697
68,2013-12-02,0.16,0.16889,0.16,0.16889,119194
69,2013-12-03,0.16889,0.16889,0.15111,0.16,23985
70,2013-12-04,0.17778,0.17778,0.14222,0.16,28086
71,2013-12-06,0.14222,0.16,0.14222,0.15111,3938
72,2013-12-09,0.15111,0.15111,0.13333,0.14222,98931
73,2013-12-10,0.14222,0.15111,0.14222,0.14222,88791
74,2013-12-11,0.14222,0.15111,0.14222,0.15111,54084
75,2013-12-12,0.14222,0.15111,0.14222,0.15111,176414
76,2013-12-13,0.15111,0.15111,0.15111,0.15111,46969
77,2013-12-16,0.15111,0.15111,0.15111,0.15111,1125
78,2013-12-17,0.15111,0.16,0.15111,0.16,30488
79,2013-12-18,0.15111,0.16,0.14222,0.15111,32937
80,2013-12-19,0.15111,0.15111,0.14222,0.15111,38201
81,2013-12-20,0.15111,0.16,0.15111,0.16,25875
82,2013-12-23,0.16,0.16,0.16,0.16,13130
83,2013-12-27,0.16,0.16889,0.16,0.16889,13939
84,2013-12-30,0.16,0.16889,0.16,0.16,124089
85,2014-01-02,0.17778,0.17778,0.16,0.16889,31163
86,2014-01-03,0.16,0.16889,0.14222,0.14222,124570
87,2014-01-07,0.14222,0.16,0.14222,0.15111,81279
88,2014-01-08,0.16,0.16,0.15111,0.16,78762
89,2014-01-09,0.16,0.16889,0.15111,0.15111,319767
90,2014-01-10,0.16,0.16889,0.16,0.16,137798
91,2014-01-13,0.17778,0.21333,0.16889,0.21333,323250
92,2014-01-14,0.21333,0.22222,0.19556,0.22222,120302
93,2014-01-15,0.20444,0.22222,0.20444,0.22222,146430
94,2014-01-16,0.20444,0.23111,0.18667,0.23111,76151
95,2014-01-17,0.24,0.24,0.19556,0.21333,220853
96,2014-01-20,0.22222,0.22222,0.22222,0.22222,17135
97,2014-01-21,0.22222,0.22222,0.19556,0.22222,1520
98,2014-01-22,0.21333,0.22222,0.20444,0.21333,30549
99,2014-01-23,0.20444,0.20444,0.19556,0.20444,73013
100,2014-01-24,0.20444,0.21333,0.20444,0.21333,16989
101,2014-01-27,0.19556,0.23111,0.19556,0.22222,163373
102,2014-01-28,0.21333,0.24,0.21333,0.23111,68544
103,2014-01-29,0.22222,0.23111,0.22222,0.22222,22452
104,2014-01-30,0.21333,0.22222,0.20444,0.22222,102909
105,2014-01-31,0.22222,0.22222,0.20444,0.20444,37688
106,2014-02-03,0.22222,0.24,0.21333,0.24,114860
107,2014-02-04,0.23111,0.23111,0.23111,0.23111,6550
108,2014-02-05,0.24,0.24889,0.24,0.24889,27564
109,2014-02-06,0.24,0.24,0.23111,0.24,17325
110,2014-02-07,0.24889,0.30222,0.24,0.30222,204731
111,2014-02-10,0.32,0.39111,0.32,0.39111,152762
112,2014-02-11,0.38222,0.40889,0.35556,0.39111,162989
113,2014-02-12,0.39111,0.40889,0.35556,0.38222,76734
114,2014-02-13,0.39111,0.4,0.35556,0.39111,70797
115,2014-02-14,0.39111,0.44444,0.37333,0.42667,42820
116,2014-02-17,0.38222,0.4,0.34667,0.36444,134872
117,2014-02-18,0.35556,0.35556,0.33778,0.34667,11439
118,2014-02-19,0.35556,0.36444,0.34667,0.36444,9450
119,2014-02-20,0.35556,0.35556,0.34667,0.35556,14988
120,2014-02-21,0.35556,0.35556,0.33778,0.35556,60373
121,2014-02-24,0.34667,0.34667,0.31111,0.32889,45316
122,2014-02-25,0.32889,0.32889,0.32889,0.32889,1125
123,2014-02-26,0.27556,0.32889,0.27556,0.32889,44776
124,2014-02-27,0.29333,0.33778,0.29333,0.32,62103
125,2014-02-28,0.30222,0.31111,0.27556,0.28444,69095
126,2014-03-03,0.30222,0.30222,0.24889,0.24889,176338
127,2014-03-04,0.28444,0.28444,0.28444,0.28444,1136
128,2014-03-05,0.28444,0.30222,0.26667,0.30222,43111
129,2014-03-06,0.30222,0.30222,0.28444,0.28444,24532
130,2014-03-07,0.28444,0.29333,0.25778,0.29333,36056
131,2014-03-10,0.28444,0.29333,0.28444,0.29333,52988
132,2014-03-11,0.29333,0.30222,0.28444,0.29333,76836
133,2014-03-12,0.29333,0.29333,0.26667,0.29333,18600
134,2014-03-13,0.28444,0.29333,0.28444,0.29333,12065
135,2014-03-14,0.28444,0.28444,0.23111,0.25778,107497
136,2014-03-17,0.28444,0.28444,0.27556,0.28444,4101
137,2014-03-18,0.28444,0.28444,0.24889,0.26667,6599
138,2014-03-19,0.25778,0.26667,0.25778,0.26667,1577
139,2014-03-20,0.26667,0.26667,0.24889,0.24889,20431
140,2014-03-21,0.26667,0.26667,0.24,0.24889,15197
141,2014-03-24,0.23111,0.23111,0.20444,0.21333,87980
142,2014-03-25,0.22222,0.22222,0.19556,0.19556,14951
143,2014-03-26,0.18667,0.19556,0.18667,0.19556,12066
144,2014-03-27,0.18667,0.18667,0.16,0.18667,7333
145,2014-03-31,0.18667,0.21333,0.18667,0.21333,3713
146,2014-04-01,0.21333,0.24889,0.21333,0.24889,11531
147,2014-04-02,0.24,0.24889,0.24,0.24889,619
148,2014-04-03,0.24889,0.25778,0.24889,0.25778,4228
149,2014-04-04,0.26667,0.26667,0.26667,0.26667,56
150,2014-04-07,0.25778,0.26667,0.25778,0.26667,4086
151,2014-04-08,0.25778,0.25778,0.23111,0.25778,7425
152,2014-04-09,0.25778,0.26667,0.25778,0.25778,599
153,2014-04-10,0.25778,0.25778,0.25778,0.25778,17
154,2014-04-11,0.21333,0.25778,0.21333,0.25778,12038
155,2014-04-14,0.21333,0.24,0.20444,0.24,11261
156,2014-04-15,0.24,0.24,0.24,0.24,1463
157,2014-04-16,0.20444,0.22222,0.19556,0.22222,15542
158,2014-04-17,0.22222,0.23111,0.21333,0.23111,13520
159,2014-04-22,0.23111,0.23111,0.23111,0.23111,1125
160,2014-04-23,0.19556,0.23111,0.19556,0.23111,1349
161,2014-04-24,0.22222,0.23111,0.21333,0.23111,5322
162,2014-04-25,0.22222,0.22222,0.19556,0.22222,16594
163,2014-04-28,0.21333,0.21333,0.21333,0.21333,59
164,2014-04-29,0.21333,0.22222,0.20444,0.22222,3488
165,2014-05-02,0.22222,0.22222,0.22222,0.22222,225
166,2014-05-06,0.21333,0.22222,0.21333,0.22222,7313
167,2014-05-07,0.20444,0.22222,0.20444,0.22222,799
168,2014-05-08,0.18667,0.23111,0.16,0.23111,41375
169,2014-05-12,0.19556,0.22222,0.19556,0.22222,113
170,2014-05-13,0.18667,0.22222,0.18667,0.22222,6515
171,2014-05-14,0.19556,0.21333,0.19556,0.21333,8295
172,2014-05-16,0.21333,0.21333,0.21333,0.21333,6680
173,2014-05-19,0.23111,0.23111,0.23111,0.23111,113
174,2014-05-20,0.23111,0.23111,0.19556,0.19556,955
175,2014-05-21,0.22222,0.24,0.22222,0.24,15891
176,2014-05-22,0.24,0.24889,0.22222,0.24889,16856
177,2014-05-27,0.24,0.24,0.24,0.24,1
178,2014-05-28,0.26,0.31,0.26,0.28,6505
179,2014-05-29,0.24,0.27,0.24,0.27,2477
180,2014-06-02,0.27,0.27,0.24,0.24,2601
181,2014-06-03,0.24,0.24,0.22,0.22,17550
182,2014-06-04,0.24,0.24,0.24,0.24,4000
183,2014-06-05,0.23,0.23,0.23,0.23,150
184,2014-06-06,0.24,0.25,0.24,0.25,2249
185,2014-06-09,0.2,0.24,0.2,0.24,5200
186,2014-06-12,0.2,0.22,0.2,0.22,9690
187,2014-06-13,0.22,0.24,0.22,0.24,1500
188,2014-06-16,0.22,0.24,0.22,0.24,1100
189,2014-06-17,0.21,0.23,0.21,0.23,2561
190,2014-06-18,0.23,0.23,0.23,0.23,5
191,2014-06-20,0.21,0.22,0.2,0.22,22159
192,2014-06-23,0.22,0.22,0.2,0.22,31300
193,2014-06-24,0.2,0.2,0.2,0.2,93580
194,2014-06-25,0.22,0.26,0.21,0.26,343432
195,2014-06-26,0.24,0.25,0.24,0.24,20210
196,2014-06-27,0.26,0.26,0.23,0.24,21360
197,2014-06-30,0.23,0.23,0.22,0.22,20838
198,2014-07-01,0.21,0.23,0.21,0.22,29938
199,2014-07-02,0.23,0.26,0.23,0.23,126150
200,2014-07-04,0.24,0.24,0.22,0.22,23912
201,2014-07-07,0.23,0.23,0.22,0.23,31629
202,2014-07-08,0.22,0.22,0.22,0.22,11000
203,2014-07-09,0.23,0.23,0.22,0.22,5400
204,2014-07-10,0.21,0.22,0.21,0.22,19350
205,2014-07-14,0.23,0.23,0.22,0.22,21000
206,2014-07-16,0.22,0.22,0.22,0.22,23591
207,2014-07-17,0.24,0.24,0.23,0.23,12779
208,2014-07-18,0.23,0.24,0.23,0.24,4050
209,2014-07-21,0.23,0.23,0.22,0.23,54500
210,2014-07-22,0.22,0.22,0.22,0.22,10001
211,2014-07-24,0.22,0.23,0.22,0.23,5500
212,2014-07-25,0.23,0.24,0.23,0.23,18542
213,2014-07-29,0.22,0.24,0.22,0.24,52585
214,2014-07-30,0.25,0.25,0.24,0.24,33666
215,2014-07-31,0.23,0.25,0.23,0.25,38496
216,2014-08-01,0.25,0.28,0.24,0.28,40702
217,2014-08-04,0.27,0.28,0.26,0.28,6006
218,2014-08-05,0.26,0.28,0.25,0.28,15575
219,2014-08-06,0.27,0.28,0.25,0.28,6038
220,2014-08-13,0.25,0.26,0.25,0.26,14226
221,2014-08-19,0.24,0.24,0.24,0.24,2320
222,2014-08-20,0.23,0.27,0.22,0.26,107115
223,2014-08-21,0.26,0.26,0.23,0.25,47980
224,2014-08-22,0.24,0.25,0.24,0.25,3000
225,2014-08-25,0.23,0.24,0.23,0.24,29100
226,2014-08-26,0.23,0.24,0.2,0.23,97545
227,2014-08-27,0.22,0.22,0.22,0.22,12400
228,2014-08-28,0.23,0.24,0.23,0.24,3600
229,2014-09-01,0.22,0.24,0.22,0.24,565
230,2014-09-02,0.24,0.25,0.24,0.25,2505
231,2014-09-10,0.24,0.25,0.23,0.25,3005
232,2014-09-15,0.24,0.25,0.24,0.25,1005
233,2014-09-29,0.23,0.25,0.21,0.25,16600
234,2014-09-30,0.24,0.24,0.24,0.24,4000
235,2014-10-01,0.22,0.22,0.22,0.22,900
236,2014-10-02,0.23,0.23,0.23,0.23,100
237,2014-10-08,0.22,0.23,0.22,0.23,1385
238,2014-10-09,0.23,0.24,0.23,0.23,22480
239,2014-10-10,0.22,0.24,0.22,0.24,21462
240,2014-10-14,0.24,0.24,0.24,0.24,100
241,2014-10-20,0.24,0.24,0.24,0.24,2400
242,2014-10-22,0.21,0.21,0.21,0.21,3000
243,2014-10-23,0.21,0.21,0.21,0.21,2000
244,2014-10-27,0.21,0.24,0.21,0.24,105
245,2014-10-28,0.24,0.25,0.24,0.25,59562
246,2014-10-29,0.25,0.25,0.2,0.22,68174
247,2014-10-30,0.22,0.25,0.21,0.25,51987
248,2014-10-31,0.25,0.25,0.24,0.25,53030
249,2014-11-03,0.25,0.25,0.25,0.25,660
250,2014-11-04,0.24,0.24,0.23,0.24,45996
251,2014-11-05,0.23,0.23,0.23,0.23,28877
252,2014-11-06,0.24,0.25,0.24,0.25,32770
253,2014-11-07,0.24,0.25,0.23,0.25,2980
254,2014-11-10,0.24,0.24,0.24,0.24,824
255,2014-11-12,0.24,0.25,0.24,0.25,6570
256,2014-11-13,0.24,0.24,0.24,0.24,8000
257,2014-11-14,0.23,0.25,0.23,0.25,2300
258,2014-11-17,0.24,0.24,0.23,0.23,6000
259,2014-11-18,0.23,0.23,0.23,0.23,2000
260,2014-11-19,0.23,0.23,0.23,0.23,6000
261,2014-11-21,0.23,0.24,0.23,0.24,10900
262,2014-11-24,0.23,0.23,0.22,0.22,16072
263,2014-11-25,0.22,0.23,0.22,0.23,1151
