,Date,Open,High,Low,Close,Volume
0,2019-01-18,58.05,58.05,53.5,56.0,958
1,2019-01-21,56.0,65.2,56.0,60.5,1827
2,2019-01-22,60.0,60.0,57.6,59.7,416
3,2019-01-23,58.1,58.2,56.4,58.2,198
4,2019-01-24,56.5,58.0,45.2,49.0,892
5,2019-01-25,49.0,51.0,49.0,51.0,160
6,2019-01-28,51.0,52.5,51.0,52.4,201
7,2019-01-29,52.4,52.6,52.3,52.3,117
8,2019-01-30,52.8,52.8,50.0,51.5,209
9,2019-01-31,53.0,53.9,52.2,52.2,698
10,2019-02-01,52.2,53.0,52.2,52.2,226
11,2019-02-04,52.7,53.0,52.0,52.0,40
12,2019-02-05,52.0,52.0,51.0,51.0,133
13,2019-02-06,51.05,51.05,51.0,51.0,240
14,2019-02-07,51.0,51.8,50.6,51.0,1930
15,2019-02-08,51.0,51.0,50.6,50.6,652
16,2019-02-11,51.9,51.9,50.6,50.8,133
17,2019-02-12,50.6,50.6,49.0,49.9,326
18,2019-02-13,50.0,50.0,47.8,49.7,416
19,2019-02-14,48.7,48.7,42.2,43.0,955
20,2019-02-15,43.1,46.0,42.7,43.7,821
21,2019-02-18,43.7,45.6,43.7,45.6,364
22,2019-02-19,45.8,45.8,43.0,44.6,403
23,2019-02-20,42.0,43.5,42.0,42.2,238
24,2019-02-21,42.0,42.0,42.0,42.0,530
25,2019-02-22,41.9,41.9,41.9,41.9,255
26,2019-02-25,42.4,43.2,42.4,42.9,120
27,2019-02-26,42.4,42.4,42.3,42.4,401
28,2019-02-27,42.4,42.4,42.0,42.0,698
29,2019-02-28,42.0,48.96,42.0,42.0,1831
30,2019-03-01,42.0,42.0,41.5,41.5,718
31,2019-03-04,43.2,47.9,35.0,40.0,405
32,2019-03-05,40.0,40.0,39.9,39.9,3
33,2019-03-06,40.4,40.4,40.0,40.0,290
34,2019-03-07,39.9,40.0,39.9,40.0,139
35,2019-03-08,40.0,40.0,40.0,40.0,1
36,2019-03-11,40.2,40.2,38.605,38.65,562
37,2019-03-12,39.2,39.8,39.2,39.8,15
38,2019-03-13,38.6,38.6,38.6,38.6,5
39,2019-03-14,38.6,38.6,38.6,38.6,2
40,2019-03-15,38.9,38.9,38.8,38.9,26
41,2019-03-18,38.9,38.9,33.0,38.7,727
42,2019-03-20,38.0,38.0,38.0,38.0,206
43,2019-03-21,38.0,38.0,36.0,38.0,15
44,2019-03-22,36.0,36.0,35.5,35.5,25
45,2019-03-25,35.0,35.5,32.0,34.9,310
46,2019-03-26,34.9,34.9,34.9,34.9,1
47,2019-03-27,34.9,39.6,34.6,37.8,471
48,2019-03-28,37.8,42.5,37.8,42.5,140
49,2019-03-29,41.2,46.0,41.2,45.1,960
50,2019-04-01,45.4,53.0,45.0,51.5,1449
51,2019-04-02,47.8,49.2,47.8,48.6,144
52,2019-04-03,47.7,57.0,44.3,57.0,2037
53,2019-04-04,50.0,56.5,50.0,56.5,596
54,2019-04-05,55.6,55.6,55.6,55.6,10
55,2019-04-08,54.6,56.6,50.0,50.8,160
56,2019-04-11,49.6,50.0,41.0,50.0,110
57,2019-04-12,50.0,51.5,50.0,51.5,194
58,2019-04-15,54.0,63.0,52.2,57.0,328
59,2019-04-16,57.0,57.0,54.1,54.1,30
60,2019-04-17,54.1,54.1,53.2,53.2,15
61,2019-04-18,52.2,54.0,52.0,54.0,28
62,2019-04-23,53.4,62.9,53.4,55.0,448
63,2019-04-24,59.6,59.6,55.6,55.6,45
64,2019-04-25,57.0,57.0,54.2,54.2,36
65,2019-04-26,54.2,54.2,54.2,54.2,20
66,2019-04-29,54.0,54.0,50.0,53.0,42
67,2019-05-06,54.9,56.8,54.5,54.5,50
68,2019-05-07,54.5,54.5,54.5,54.5,85
69,2019-05-08,54.8,59.4,54.8,59.4,64
70,2019-05-09,55.8,57.0,53.6,53.6,110
71,2019-05-10,55.8,59.3,53.0,53.0,245
72,2019-05-13,52.0,59.2,52.0,57.8,257
73,2019-05-15,55.0,55.0,55.0,55.0,26
74,2019-05-16,54.0,54.0,53.0,53.0,20
75,2019-05-17,53.0,53.0,53.0,53.0,402
76,2019-05-20,56.8,56.8,56.8,56.8,1
77,2019-05-22,54.0,54.0,54.0,54.0,2
78,2019-05-27,54.0,54.0,54.0,54.0,7
