,Date,Open,High,Low,Close,Volume
0,2012-01-19,4.0,4.75,3.9,3.9,7522
1,2012-01-20,3.9,4.2,3.23,3.9,4830
2,2012-01-23,3.9,3.9,3.9,3.9,15
3,2012-01-24,3.9,3.9,3.9,3.9,15
4,2012-01-25,3.9,3.9,3.9,3.9,358
5,2012-01-26,4.0,4.05,4.0,4.05,869
6,2012-01-27,4.05,4.05,3.8,3.8,1300
7,2012-01-30,3.8,3.8,3.7,3.7,1009
8,2012-02-01,3.5,3.7,3.35,3.7,300
9,2012-02-07,3.55,3.55,3.5,3.5,740
10,2012-02-20,3.5,4.1,3.5,4.1,960
11,2012-02-21,4.1,4.1,4.1,4.1,50
12,2012-02-22,4.1,4.1,4.1,4.1,50
13,2012-02-27,4.2,4.2,4.2,4.2,5
14,2012-02-28,4.15,4.15,3.91,4.0,895
15,2012-02-29,4.01,4.01,4.01,4.01,20
16,2012-03-09,4.18,4.5,4.18,4.5,620
17,2012-03-12,4.93,5.14,4.93,5.14,20
18,2012-03-13,5.25,5.25,5.25,5.25,10
19,2012-03-14,5.4,5.56,5.4,5.56,20
20,2012-03-15,5.57,5.57,5.4,5.4,495
21,2012-03-16,5.05,5.05,5.05,5.05,496
22,2012-03-19,4.81,4.81,4.81,4.81,520
23,2012-03-26,4.4,4.4,4.15,4.15,655
24,2012-03-27,3.7,3.7,3.1,3.1,635
25,2012-03-28,3.15,3.15,3.15,3.15,5
26,2012-04-02,3.0,3.0,3.0,3.0,390
27,2012-04-05,3.0,3.3,3.0,3.3,845
28,2012-04-13,3.15,3.15,3.15,3.15,800
29,2012-04-16,3.3,3.3,3.3,3.3,100
30,2012-04-17,3.4,3.4,3.4,3.4,100
31,2012-04-18,3.5,3.5,3.5,3.5,100
32,2012-04-19,3.67,3.67,3.67,3.67,100
33,2012-04-23,3.8,3.8,3.8,3.8,15
34,2012-04-24,3.8,3.8,3.8,3.8,20
35,2012-04-25,3.8,3.8,3.8,3.8,50
36,2012-04-26,3.8,3.8,3.8,3.8,20
37,2012-04-27,3.8,3.8,3.8,3.8,30
38,2012-05-04,3.8,3.8,3.8,3.8,30
39,2012-05-07,3.63,3.63,3.63,3.63,635
40,2012-06-28,3.65,3.65,3.65,3.65,66687
41,2012-07-10,3.65,3.65,3.65,3.65,16879
42,2013-02-01,3.71,3.71,3.0,3.0,800
43,2013-02-12,3.0,3.6,3.0,3.6,1141
44,2013-02-13,3.0,3.0,3.0,3.0,660
45,2013-02-28,3.0,3.0,3.0,3.0,30
46,2013-03-01,3.0,3.0,3.0,3.0,15
47,2013-03-04,3.0,3.0,3.0,3.0,10
48,2013-03-05,3.0,3.0,3.0,3.0,20
49,2013-03-06,3.0,3.0,3.0,3.0,15
50,2013-03-07,3.0,3.0,3.0,3.0,25
51,2013-03-08,3.0,3.0,3.0,3.0,20
52,2013-03-11,3.0,3.0,3.0,3.0,15
53,2013-03-12,3.0,3.0,3.0,3.0,20
54,2013-03-13,3.0,3.0,3.0,3.0,15
55,2013-03-14,3.0,3.0,3.0,3.0,16
56,2013-03-15,3.0,3.0,3.0,3.0,20
57,2013-03-18,3.0,3.0,3.0,3.0,20
58,2013-03-19,3.0,3.0,3.0,3.0,20
59,2013-03-20,3.0,3.0,3.0,3.0,20
60,2013-03-21,3.0,3.0,3.0,3.0,15
61,2013-03-22,3.0,3.0,3.0,3.0,15
62,2013-03-25,3.0,3.0,3.0,3.0,15
63,2013-03-26,3.0,3.0,3.0,3.0,15
64,2013-03-27,3.0,3.0,3.0,3.0,15
65,2013-03-28,3.0,3.0,3.0,3.0,10
66,2013-04-02,3.0,3.0,3.0,3.0,10
67,2013-04-03,3.0,3.0,3.0,3.0,15
68,2013-04-04,3.0,3.0,3.0,3.0,20
