,Date,Open,High,Low,Close,Volume
0,2017-12-29,21.902,21.902,17.761,17.925,28927
1,2018-01-03,17.945,17.945,16.989,17.375,6484
2,2018-01-04,17.424,17.424,16.024,16.94,8904
3,2018-01-05,17.761,17.761,17.655,17.655,129
4,2018-01-08,17.858,18.331,17.375,17.375,2275
5,2018-01-09,17.182,17.182,16.95,16.95,5847
6,2018-01-10,17.076,17.365,17.076,17.365,209
7,2018-01-11,17.617,17.617,16.989,17.375,8660
8,2018-01-12,16.94,17.664,16.94,17.664,156
9,2018-01-15,18.244,18.244,17.761,18.003,505
10,2018-01-16,18.331,18.331,17.703,18.021,11088
11,2018-01-17,18.021,18.021,17.626,17.761,9363
12,2018-01-18,17.761,17.945,17.036,17.848,3332
13,2018-01-19,17.848,17.848,17.664,17.761,6582
14,2018-01-22,17.848,17.858,17.761,17.858,1813
15,2018-01-23,17.761,17.973,17.664,17.858,12551
16,2018-01-24,17.858,17.954,17.703,17.916,1050
17,2018-01-25,17.916,19.306,17.742,19.151,13142
18,2018-01-26,18.341,19.074,18.341,18.919,6588
19,2018-01-29,18.417,18.919,18.417,18.919,6759
20,2018-01-30,18.998,18.998,18.417,18.727,21211
21,2018-01-31,18.514,19.151,18.514,18.727,10253
22,2018-02-01,19.132,19.306,18.707,19.306,3846
23,2018-02-02,19.306,19.306,19.306,19.306,35
24,2018-02-05,18.822,19.19,18.148,18.822,13774
25,2018-02-06,18.341,18.63,16.893,18.63,31002
26,2018-02-07,19.209,19.209,18.63,18.804,197
27,2018-02-08,18.61,18.822,17.858,18.822,1718
28,2018-02-09,18.36,18.765,18.051,18.727,1962
29,2018-02-12,18.804,18.822,18.785,18.822,11891
30,2018-02-13,18.881,19.692,18.881,19.132,9638
31,2018-02-14,19.402,19.595,19.306,19.499,5572
32,2018-02-15,19.643,19.74,19.546,19.74,3318
33,2018-02-16,19.74,19.789,19.499,19.692,3945
34,2018-02-19,19.789,20.223,19.789,20.078,85843
35,2018-02-20,20.078,20.078,19.692,20.078,618
36,2018-02-21,19.982,19.982,19.306,19.595,2550
37,2018-02-22,19.74,19.74,18.534,19.595,6647
38,2018-02-23,19.45,19.45,18.592,18.822,3989
39,2018-02-26,19.015,19.499,19.015,19.306,2378
40,2018-02-27,19.306,19.306,19.306,19.306,7
41,2018-02-28,18.881,19.209,18.398,19.209,2299
42,2018-03-01,19.015,19.286,18.534,18.534,1145
43,2018-03-02,18.63,18.804,18.205,18.727,2954
44,2018-03-05,18.919,18.919,18.437,18.727,385
45,2018-03-06,18.727,19.306,18.727,19.286,7067
46,2018-03-07,19.248,19.248,18.822,19.113,561
47,2018-03-08,18.842,18.998,18.727,18.822,3483
48,2018-03-09,18.727,19.286,18.727,19.286,15042
49,2018-03-12,19.286,19.286,18.534,18.901,2129
50,2018-03-13,19.015,19.015,18.63,18.63,563
51,2018-03-14,19.015,19.015,18.63,18.63,488
52,2018-03-15,18.63,18.63,18.63,18.63,53
53,2018-03-16,18.534,18.534,18.437,18.437,24
54,2018-03-19,18.437,18.437,18.264,18.341,179
55,2018-03-20,18.148,18.63,18.148,18.63,1059
56,2018-03-21,18.63,18.822,18.63,18.727,1302
57,2018-03-22,18.727,18.727,18.63,18.63,1334
58,2018-03-23,18.63,18.727,18.534,18.688,739
59,2018-03-26,18.688,18.688,18.688,18.688,8
60,2018-03-27,18.437,18.688,18.437,18.688,78
61,2018-03-28,18.688,18.727,18.341,18.727,10828
62,2018-03-29,18.727,18.919,18.148,18.919,21812
63,2018-04-03,18.881,19.692,18.36,19.546,4280
64,2018-04-04,19.692,19.692,18.978,19.595,51
65,2018-04-05,19.595,19.595,19.306,19.546,158
66,2018-04-06,19.306,19.546,19.306,19.546,43
67,2018-04-09,19.546,19.837,19.306,19.837,1159
68,2018-04-10,19.789,19.789,19.015,19.132,1641
69,2018-04-11,19.74,19.74,19.035,19.595,25
70,2018-04-12,19.595,19.789,19.306,19.789,138141
71,2018-04-13,19.789,21.622,19.402,21.092,46970
72,2018-04-16,21.236,21.622,20.464,21.429,2870
73,2018-04-17,21.236,21.236,20.513,20.898,20676
74,2018-04-18,21.236,21.236,19.933,20.078,1588
75,2018-04-19,19.885,20.27,19.306,19.306,3119
76,2018-04-20,19.933,19.933,18.998,19.306,2733
77,2018-04-23,19.837,19.837,19.306,19.837,86
78,2018-04-24,20.174,20.174,19.015,19.643,524
79,2018-04-25,19.595,19.595,18.919,19.595,514
80,2018-04-26,19.402,19.499,19.035,19.499,986
81,2018-04-27,19.499,19.982,19.113,19.306,211026
82,2018-04-30,19.789,20.078,19.306,20.078,9430
83,2018-05-02,20.27,20.27,19.499,19.499,178
84,2018-05-04,20.27,20.27,18.842,19.306,2396
85,2018-05-07,19.306,19.306,19.209,19.267,458
86,2018-05-08,19.267,19.267,17.973,18.998,1539
87,2018-05-09,19.267,19.267,18.224,18.822,832
88,2018-05-10,18.822,18.822,18.534,18.727,509
89,2018-05-11,18.727,18.727,18.128,18.727,386
90,2018-05-14,18.727,19.015,17.954,18.745,2442
91,2018-05-15,18.051,18.727,18.051,18.727,673
92,2018-05-16,18.727,18.727,18.148,18.727,524
93,2018-05-17,18.727,18.727,17.973,18.514,1604
94,2018-05-18,18.727,18.727,18.417,18.688,924
95,2018-05-21,18.688,18.688,17.993,18.669,40
