,Date,Open,High,Low,Close,Volume
0,2008-10-07,2.05,2.07,1.8,2.02,8958
1,2008-10-08,1.8,2.05,1.8,2.05,1656
2,2008-10-09,2.04,2.04,2.04,2.04,20
3,2008-10-10,2.04,2.04,2.04,2.04,10
4,2008-10-13,2.04,2.04,2.04,2.04,10
5,2008-10-14,2.04,2.04,2.04,2.04,10
6,2008-10-15,2.12,2.12,2.12,2.12,10
7,2008-10-16,2.12,2.12,2.12,2.12,40
8,2008-10-17,2.12,2.12,2.12,2.12,50
9,2008-10-20,2.12,2.12,2.12,2.12,10
10,2008-10-21,2.12,2.12,2.12,2.12,10
11,2008-10-22,2.12,2.15,2.12,2.15,251
12,2008-10-29,1.8,2.2,1.8,2.2,1410
13,2008-10-30,2.28,2.28,2.28,2.28,10
14,2008-11-18,2.3,2.3,2.3,2.3,100
15,2008-11-24,2.3,2.3,2.3,2.3,1
16,2008-12-04,2.4,2.76,2.4,2.76,484
17,2008-12-05,2.85,3.6,2.85,3.6,611
18,2008-12-08,3.8,4.5,3.04,3.7,1462
19,2008-12-15,3.7,4.2,3.5,4.15,698
20,2008-12-17,3.6,3.6,3.6,3.6,50
21,2008-12-29,3.4,3.6,3.2,3.6,180
22,2009-01-05,3.7,3.9,3.7,3.9,60
23,2009-01-21,3.9,4.2,3.9,4.2,241
24,2009-01-22,4.2,4.2,4.2,4.2,45
25,2009-01-29,4.21,4.21,4.21,4.21,2
26,2009-02-06,4.22,4.22,4.22,4.22,35
27,2009-02-11,3.8,3.8,3.7,3.7,100
28,2009-02-17,3.8,3.95,3.8,3.95,53
29,2009-02-20,3.95,3.95,3.95,3.95,5
30,2009-03-05,3.5,3.5,3.2,3.2,735
31,2009-04-14,3.2,3.2,3.2,3.2,10
32,2009-04-20,3.19,3.19,3.19,3.19,5
33,2009-04-27,3.0,3.0,2.8,2.8,115
34,2009-06-02,2.8,2.8,2.8,2.8,2
35,2009-06-04,2.85,2.85,2.85,2.85,10
36,2009-06-05,2.85,2.85,2.85,2.85,20
37,2009-06-08,2.85,2.85,2.85,2.85,10
38,2009-06-09,2.85,2.85,2.85,2.85,10
39,2009-06-10,2.85,2.85,2.85,2.85,10
40,2009-06-12,2.85,2.85,2.85,2.85,20
41,2009-06-15,2.85,2.85,2.85,2.85,10
42,2009-06-16,2.85,2.85,2.85,2.85,10
43,2009-06-17,2.85,2.85,2.85,2.85,10
44,2009-06-18,2.85,2.85,2.85,2.85,10
45,2009-06-19,2.85,2.85,2.85,2.85,10
46,2009-06-22,2.85,2.85,2.85,2.85,10
47,2009-06-23,2.85,2.85,2.85,2.85,10
48,2009-06-24,2.85,2.85,2.85,2.85,10
49,2009-06-25,2.85,2.85,2.85,2.85,10
50,2009-06-26,2.85,2.85,2.85,2.85,10
51,2009-06-29,2.85,2.85,2.85,2.85,10
52,2009-06-30,2.85,2.85,2.85,2.85,10
53,2009-07-01,2.85,2.85,2.85,2.85,10
54,2009-07-02,2.84,2.84,2.84,2.84,8
55,2009-07-07,2.85,2.85,2.85,2.85,10
