,Date,Open,High,Low,Close,Volume
0,2010-11-19,0.44,0.52,0.42,0.52,2200359
1,2010-11-23,0.77,0.92,0.73,0.83,1163439
2,2010-11-24,0.83,0.91,0.7,0.74,515462
3,2010-11-25,0.73,0.76,0.67,0.69,233369
4,2010-11-26,0.69,0.98,0.69,0.98,720425
5,2010-11-29,0.95,0.98,0.81,0.82,409271
6,2010-11-30,0.84,0.91,0.8,0.85,129973
7,2010-12-01,0.87,1.02,0.85,0.97,516357
8,2010-12-02,0.97,1.04,0.88,0.96,399361
9,2010-12-03,0.96,0.99,0.92,0.95,118125
10,2010-12-06,0.95,1.09,0.92,1.02,425362
11,2010-12-07,1.02,1.08,0.99,1.0,198169
12,2010-12-08,1.0,1.0,0.94,0.97,157331
13,2010-12-09,0.96,1.0,0.93,1.0,61365
14,2010-12-10,0.99,0.99,0.93,0.96,8581
15,2010-12-13,0.95,0.98,0.87,0.87,103564
16,2010-12-14,0.87,0.91,0.84,0.88,48739
17,2010-12-15,0.83,0.88,0.83,0.88,20008
18,2010-12-16,0.87,0.93,0.87,0.9,34742
19,2010-12-17,0.9,0.91,0.87,0.91,29237
20,2010-12-20,0.86,0.89,0.84,0.89,8814
21,2010-12-21,0.88,0.88,0.81,0.81,62641
22,2010-12-22,0.81,0.97,0.81,0.95,138861
23,2010-12-23,0.99,1.36,0.98,1.22,472818
24,2010-12-27,1.29,1.44,1.17,1.19,156382
25,2010-12-28,1.19,1.19,1.04,1.09,78404
26,2010-12-29,1.09,1.19,1.0,1.08,23271
27,2010-12-30,1.08,1.23,1.02,1.11,60137
28,2010-12-31,1.1,1.26,1.05,1.24,68729
29,2011-01-03,1.25,1.5,1.17,1.4,100513
30,2011-01-04,1.43,1.43,1.16,1.3,36809
31,2011-01-05,1.23,1.26,1.14,1.2,51500
32,2011-01-07,1.2,1.28,1.1,1.28,118523
33,2011-01-10,1.28,1.28,1.05,1.15,29939
34,2011-01-11,1.15,1.18,1.05,1.18,11629
35,2011-01-12,1.18,1.18,1.03,1.09,41753
36,2011-01-13,1.09,1.09,0.99,1.0,16975
37,2011-01-14,1.07,1.14,1.02,1.07,18265
38,2011-01-17,1.14,1.18,0.99,1.07,54239
39,2011-01-18,1.1,1.1,1.01,1.07,13304
40,2011-01-19,1.01,1.1,1.01,1.07,5032
41,2011-01-20,1.07,1.07,0.95,1.02,25494
42,2011-01-21,1.02,1.02,0.86,0.95,96586
43,2011-01-24,0.95,0.98,0.85,0.9,49787
44,2011-01-25,0.92,1.03,0.89,0.96,86025
45,2011-01-26,0.97,1.01,0.92,0.97,51838
46,2011-01-27,0.97,0.97,0.91,0.95,28700
47,2011-01-28,0.94,0.94,0.87,0.89,44470
48,2011-01-31,0.89,0.96,0.89,0.9,10410
49,2011-02-01,0.91,0.91,0.73,0.77,98112
50,2011-02-02,0.78,0.83,0.7,0.83,43512
51,2011-02-03,0.78,0.83,0.75,0.83,24596
