,Date,Open,High,Low,Close,Volume
0,2007-12-13,30.0,53.0,30.0,37.2,48912
1,2007-12-14,40.5,40.5,31.55,33.9,42874
2,2007-12-17,32.0,32.5,28.85,29.3,14478
3,2007-12-18,29.3,31.48,27.8,29.69,5382
4,2007-12-19,30.5,36.0,30.0,34.9,13464
5,2007-12-20,36.66,37.5,31.0,31.0,23613
6,2007-12-21,33.5,33.5,31.0,32.35,3407
7,2007-12-27,30.61,33.0,29.5,30.48,5904
8,2007-12-28,30.0,30.0,29.23,29.89,3985
9,2008-01-02,32.0,32.0,28.3,29.0,2894
10,2008-01-03,27.8,29.6,27.01,27.99,2352
11,2008-01-04,27.5,27.89,26.05,27.0,6564
12,2008-01-07,25.52,26.65,25.5,26.65,3130
13,2008-01-08,25.71,27.0,25.15,27.0,1092
14,2008-01-09,25.2,26.5,24.51,25.58,2459
15,2008-01-10,24.66,24.66,23.37,24.35,1741
16,2008-01-11,22.31,23.49,22.31,22.75,1766
17,2008-01-14,22.55,22.55,20.5,21.0,1576
18,2008-01-15,21.0,21.5,20.8,21.5,1395
19,2008-01-16,18.5,20.0,18.25,19.0,2901
20,2008-01-17,19.29,21.0,19.0,19.5,2778
21,2008-01-18,19.5,19.8,18.42,19.4,1992
22,2008-01-21,19.29,19.29,17.6,18.09,2239
23,2008-01-22,17.5,18.8,17.5,18.8,4061
24,2008-01-23,17.91,19.24,17.91,19.24,891
25,2008-01-24,20.0,20.98,19.1,20.19,841
26,2008-01-25,20.47,20.48,20.1,20.2,775
27,2008-01-28,20.46,20.46,19.0,20.44,300
28,2008-01-29,21.55,21.55,19.01,19.3,292
29,2008-01-30,20.88,20.88,19.21,19.21,742
30,2008-01-31,19.25,19.35,18.41,19.0,822
31,2008-02-01,19.2,20.39,19.2,19.45,493
32,2008-02-04,20.1,20.58,19.6,19.99,914
33,2008-02-05,19.6,20.2,19.36,19.5,7507
34,2008-02-06,18.75,19.35,18.71,19.1,447
35,2008-02-07,19.0,19.0,19.0,19.0,2542
36,2008-02-08,19.1,19.5,19.1,19.5,715
37,2008-02-11,19.8,19.8,19.08,19.8,256
38,2008-02-12,19.21,20.2,19.21,20.2,2531
39,2008-02-13,19.5,19.99,19.5,19.5,893
40,2008-02-14,19.5,20.2,19.5,20.1,1488
41,2008-02-15,19.85,19.85,19.7,19.7,75
42,2008-02-18,19.21,20.1,19.21,20.1,260
43,2008-02-19,19.99,20.0,19.47,20.0,461
44,2008-02-20,19.5,19.5,19.11,19.5,2691
45,2008-02-21,20.0,20.5,20.0,20.5,141
46,2008-02-22,19.55,20.0,19.55,20.0,227
47,2008-02-25,20.83,20.83,20.83,20.83,1
48,2008-02-26,20.5,20.5,19.5,19.5,810
49,2008-02-27,19.5,19.5,19.49,19.49,701
50,2008-02-28,20.0,20.0,19.06,19.06,26
51,2008-02-29,19.1,19.1,18.7,18.7,140
52,2008-03-03,18.7,18.7,16.26,17.0,462
53,2008-03-04,17.63,17.9,17.63,17.9,111
54,2008-03-05,18.49,18.49,18.4,18.4,15
55,2008-03-06,18.9,18.9,18.0,18.5,63
56,2008-03-07,18.0,18.5,18.0,18.5,609
57,2008-03-10,20.2,20.2,18.03,18.03,258
58,2008-03-11,19.8,19.8,19.79,19.79,106
59,2008-03-12,20.0,20.0,19.3,19.3,66
60,2008-03-13,18.4,18.4,18.4,18.4,50
61,2008-03-14,18.1,19.5,17.1,19.48,302
62,2008-03-17,18.2,19.95,18.05,19.95,206
63,2008-03-18,19.98,19.98,18.6,18.6,31
64,2008-03-19,18.6,19.0,18.15,19.0,382
65,2008-03-20,19.0,19.0,18.8,19.0,221
66,2008-03-25,20.0,20.0,19.05,19.8,91
67,2008-03-26,19.8,19.9,19.1,19.9,254
68,2008-03-27,18.02,19.8,18.01,19.8,407
69,2008-03-28,18.3,19.7,18.1,18.52,202
70,2008-03-31,18.7,18.95,18.54,18.54,186
71,2008-04-01,18.73,18.86,18.73,18.86,178
72,2008-04-02,18.86,19.2,18.11,19.14,283
73,2008-04-03,19.05,19.05,19.05,19.05,2
74,2008-04-04,18.9,19.15,18.1,19.15,142
75,2008-04-07,18.1,18.92,18.1,18.92,72
76,2008-04-08,17.53,18.0,17.53,18.0,225
77,2008-04-09,18.75,18.76,18.75,18.76,89
78,2008-04-14,17.1,17.4,17.0,17.4,505
79,2008-04-15,17.3,17.3,17.0,17.0,120
80,2008-04-16,16.3,16.3,16.0,16.0,230
81,2008-04-18,17.3,17.3,15.1,15.15,818
82,2008-04-21,16.0,16.0,16.0,16.0,100
83,2008-04-23,13.7,15.5,13.7,15.5,646
84,2008-04-24,15.9,15.9,15.9,15.9,1
85,2008-04-25,13.6,15.8,13.6,15.8,2
86,2008-04-30,15.6,15.6,15.6,15.6,4
87,2008-05-05,14.0,15.79,14.0,15.79,286
88,2008-05-06,14.23,15.5,13.42,15.18,887
89,2008-05-07,15.0,15.0,14.0,14.9,283
90,2008-05-08,13.47,13.47,13.47,13.47,5
91,2008-05-09,12.7,14.77,12.7,14.15,239
92,2008-05-12,13.49,13.79,13.35,13.79,733
93,2008-05-13,13.35,13.95,13.35,13.95,194
94,2008-05-14,14.69,14.69,14.69,14.69,3
95,2008-05-15,14.5,14.69,14.16,14.5,432
96,2008-05-16,14.85,15.79,14.2,15.7,880
97,2008-05-19,15.7,17.8,15.7,17.8,2250
98,2008-05-20,18.4,18.4,18.29,18.29,26
99,2008-05-23,17.97,17.97,17.97,17.97,36
100,2008-05-27,14.41,17.75,14.41,17.75,70
101,2008-05-28,16.0,17.74,16.0,17.74,235
102,2008-06-05,17.3,17.3,17.3,17.3,9
103,2008-06-17,13.31,16.87,13.31,16.86,9
104,2008-06-18,13.5,16.87,13.5,16.87,31
105,2008-06-26,16.5,16.5,16.5,16.5,4
106,2008-06-30,16.5,16.5,16.5,16.5,23
107,2008-07-04,12.81,14.09,12.81,14.09,1
108,2008-07-07,16.4,16.4,15.9,15.9,43
109,2008-07-09,15.9,15.9,15.9,15.9,10
110,2008-07-18,14.32,15.0,12.21,15.0,102
111,2008-07-22,14.0,14.0,14.0,14.0,31
112,2008-07-23,14.8,14.8,14.8,14.8,5
113,2008-07-28,13.01,13.3,12.71,12.71,144
114,2008-07-30,12.72,12.72,12.71,12.71,119
115,2008-07-31,12.76,12.76,12.71,12.71,70
