,Date,Open,High,Low,Close,Volume
0,2022-01-12,36.22,41.38,35.6,40.01,116139
1,2022-01-13,40.01,40.35,37.65,39.4,19839
2,2022-01-14,39.3,39.3,36.5,38.45,18636
3,2022-01-17,38.7,38.86,35.61,38.86,10326
4,2022-01-18,38.6,38.6,37.0,37.95,10668
5,2022-01-19,37.22,39.24,36.7,38.895,4126
6,2022-01-20,38.2,40.59,36.855,40.1,11272
7,2022-01-21,39.0,41.205,37.84,40.995,7595
8,2022-01-24,41.215,46.5,39.6,44.0,15397
9,2022-01-25,44.0,46.72,40.6,45.995,9173
10,2022-01-26,44.2,46.5,43.8,46.28,6706
11,2022-01-27,43.13,50.0,43.13,49.0,10234
12,2022-01-28,49.0,55.0,48.125,54.5,11014
13,2022-01-31,53.1,56.75,53.0,55.2,6565
14,2022-02-01,56.2,57.98,50.5,53.88,9539
15,2022-02-02,53.87,53.87,50.6,51.2,714
16,2022-02-03,51.0,53.1,50.0,50.46,1428
17,2022-02-04,49.12,50.15,46.03,49.0,1912
