,Date,Open,High,Low,Close,Volume
0,2004-11-30,9.2285,9.2285,8.4972,8.7271,159396
1,2004-12-01,8.8043,9.574,8.8043,9.4203,31371
2,2004-12-02,9.651,9.651,9.1512,9.2285,27734
3,2004-12-03,9.1512,9.3813,9.0748,9.1512,18674
4,2004-12-06,9.4584,9.4584,9.0748,9.1889,1613
5,2004-12-07,9.0748,9.2285,9.0748,9.0748,5457
6,2004-12-08,9.0748,9.2285,9.0748,9.2285,2039
7,2004-12-09,9.3051,9.3051,8.8806,8.9974,4521
8,2004-12-10,8.9974,8.9974,8.9974,8.9974,2834
9,2004-12-13,8.7661,8.7661,8.7661,8.7661,79
10,2004-12-14,8.7661,8.7661,8.7661,8.7661,299
11,2004-12-15,8.7271,8.7271,8.7271,8.7271,618
12,2004-12-16,8.7271,8.8434,8.5742,8.8434,1137
13,2004-12-17,8.9974,8.9974,8.9188,8.9974,1910
14,2004-12-20,8.9974,9.0351,8.9974,9.0351,941
15,2004-12-21,8.9974,9.3051,8.9974,9.3051,14284
16,2004-12-22,9.2662,9.2662,9.0748,9.0748,670
17,2004-12-23,9.2285,9.2285,9.2285,9.2285,2006
18,2004-12-27,9.2285,9.3051,9.1512,9.1512,20367
19,2004-12-28,9.2285,9.2662,9.1889,9.2662,13391
20,2004-12-29,9.2285,9.3051,9.2285,9.2285,17174
21,2004-12-30,9.2662,9.3051,9.1512,9.1889,17871
22,2004-12-31,9.1889,9.2662,9.1889,9.2662,6957
23,2005-01-03,9.2285,9.2662,9.2285,9.2285,6980
24,2005-01-04,9.2285,9.2662,9.2285,9.2662,10382
25,2005-01-05,9.2662,9.919,9.2285,9.689,91651
26,2005-01-06,9.728,9.765,9.4203,9.728,16050
27,2005-01-07,9.689,9.765,9.612,9.728,9133
28,2005-01-10,9.689,9.689,9.612,9.689,12113
29,2005-01-11,9.612,9.728,9.612,9.728,6687
30,2005-01-12,9.689,9.728,9.651,9.728,4602
31,2005-01-13,9.689,9.728,9.651,9.689,14662
32,2005-01-14,9.535,9.728,9.4966,9.728,3267
33,2005-01-17,9.689,9.765,9.689,9.728,3582
34,2005-01-18,9.689,9.728,9.651,9.728,6191
35,2005-01-19,9.651,9.689,9.651,9.689,9613
36,2005-01-20,9.689,9.689,9.612,9.612,10986
37,2005-01-21,9.689,9.765,9.535,9.689,18148
38,2005-01-24,9.689,9.689,9.651,9.689,34176
39,2005-01-25,9.689,9.728,9.651,9.689,70861
40,2005-01-26,9.765,9.765,9.689,9.765,21801
41,2005-01-27,9.765,9.765,9.728,9.765,7995
42,2005-01-28,9.689,9.689,9.689,9.689,2401
43,2005-01-31,9.765,10.227,9.765,9.995,7398
44,2005-02-01,10.151,10.227,9.995,9.995,10619
45,2005-02-02,10.072,10.112,10.072,10.112,3350
46,2005-02-03,10.264,10.264,10.151,10.151,949
47,2005-02-04,10.305,10.305,10.151,10.151,36553
48,2005-02-07,10.151,10.189,10.072,10.072,23882
49,2005-02-08,10.227,10.264,10.035,10.151,9426
50,2005-02-09,9.995,10.151,9.995,10.151,73127
51,2005-02-10,10.035,10.072,9.995,9.995,3607
52,2005-02-11,10.035,10.112,9.995,10.072,5637
53,2005-02-14,10.151,10.227,10.151,10.227,3472
54,2005-02-15,10.264,10.305,10.151,10.189,3772
55,2005-02-16,10.227,10.382,10.227,10.305,696
56,2005-02-17,10.344,10.689,10.344,10.648,23400
57,2005-02-18,10.689,11.072,10.689,10.766,8411
58,2005-02-21,11.072,11.072,10.766,10.995,173385
59,2005-02-22,11.15,11.689,10.995,11.112,12797
60,2005-02-23,11.15,12.149,11.15,11.88,28833
61,2005-02-24,11.919,11.919,11.38,11.842,5761
62,2005-02-25,11.803,11.919,11.611,11.689,7179
63,2005-02-28,11.535,11.535,10.995,11.072,3537
64,2005-03-01,11.266,11.266,11.188,11.266,2771
65,2005-03-02,11.496,11.496,10.766,11.227,13281
66,2005-03-03,11.15,11.266,11.15,11.266,5454
67,2005-03-04,11.227,11.227,10.958,11.227,28961
68,2005-03-07,11.303,11.303,10.958,10.958,59
69,2005-03-08,10.842,11.15,10.842,11.15,21723
70,2005-03-09,10.881,11.15,10.881,11.15,13896
71,2005-03-10,11.419,11.419,10.919,11.034,13777
72,2005-03-11,11.15,11.15,10.766,10.995,134465
73,2005-03-15,10.842,10.842,10.382,10.727,41382
74,2005-03-16,10.457,10.612,10.457,10.496,29629
75,2005-03-17,10.496,10.727,10.496,10.727,3706
76,2005-03-21,10.457,10.457,10.457,10.457,1301
77,2005-03-22,10.457,10.648,10.382,10.648,39015
78,2005-03-23,10.727,10.727,10.689,10.689,4323
79,2005-03-24,10.382,10.648,10.382,10.648,653
80,2005-03-29,10.382,10.612,10.382,10.612,1950
81,2005-03-30,10.612,10.612,10.612,10.612,13004
82,2005-03-31,10.612,10.919,10.612,10.919,33714
83,2005-04-01,10.919,10.919,10.727,10.727,2901
84,2005-04-04,10.382,10.689,10.382,10.689,7933
85,2005-04-05,10.727,10.804,10.612,10.727,1377
86,2005-04-06,10.727,10.766,10.612,10.727,101721
87,2005-04-07,10.689,10.766,10.689,10.766,131739
88,2005-04-11,10.766,10.919,10.766,10.804,5131
89,2005-04-12,10.804,10.804,10.612,10.612,7720
90,2005-04-13,10.689,11.072,10.689,10.919,79074
91,2005-04-14,11.112,11.112,10.842,10.881,18151
92,2005-04-15,10.995,11.034,10.881,11.034,22690
93,2005-04-18,10.958,10.958,10.766,10.958,9487
94,2005-04-19,10.881,10.958,10.881,10.958,6932
95,2005-04-20,10.995,10.995,10.766,10.766,66396
96,2005-04-21,10.689,10.766,10.689,10.766,7851
97,2005-04-22,10.689,10.727,10.457,10.727,1376
98,2005-04-25,10.727,10.727,10.727,10.727,655
99,2005-04-26,10.648,10.648,10.648,10.648,2039
100,2005-04-27,10.727,10.727,10.727,10.727,226
101,2005-04-28,10.419,10.535,10.419,10.535,65088
102,2005-04-29,10.496,10.766,10.419,10.766,67910
103,2005-05-04,10.804,10.804,10.766,10.766,7916
104,2005-05-05,10.648,10.648,10.648,10.648,135
105,2005-05-06,10.612,10.612,10.573,10.573,1125
106,2005-05-09,10.573,10.689,10.573,10.689,191142
107,2005-05-10,10.766,10.766,10.766,10.766,2392
108,2005-05-11,10.648,10.648,10.573,10.648,7157
109,2005-05-16,10.457,11.072,10.457,11.072,580
110,2005-05-17,11.034,11.034,10.573,10.689,4477
111,2005-05-18,10.573,10.766,10.573,10.766,1554
112,2005-05-19,10.457,10.995,10.457,10.995,4671
113,2005-05-20,10.648,10.766,10.612,10.766,8520
114,2005-05-23,10.766,10.766,10.689,10.689,960
115,2005-05-24,10.766,10.766,10.766,10.766,18282
116,2005-05-25,10.648,10.648,10.648,10.648,349
117,2005-05-27,10.766,10.766,10.766,10.766,3253
118,2005-05-30,10.766,10.842,10.766,10.842,1736
119,2005-05-31,10.804,10.919,10.804,10.919,2580
120,2005-06-01,10.919,10.919,10.919,10.919,1601
121,2005-06-02,10.958,10.995,10.919,10.995,7374
122,2005-06-03,11.034,11.034,10.995,10.995,1008
123,2005-06-06,10.958,10.958,10.958,10.958,465
124,2005-06-07,10.842,10.958,10.842,10.958,323
125,2005-06-08,10.919,10.958,10.881,10.881,7214
126,2005-06-09,10.881,10.881,10.881,10.881,361
127,2005-06-10,10.919,10.919,10.727,10.727,536
128,2005-06-13,10.842,10.842,10.842,10.842,417
129,2005-06-14,10.573,10.842,10.573,10.842,2902
130,2005-06-15,10.842,10.842,10.842,10.842,111
131,2005-06-17,10.766,10.842,10.766,10.842,1364
132,2005-06-20,10.766,10.766,10.766,10.766,4552
133,2005-06-21,10.842,10.842,10.766,10.766,1290
134,2005-06-22,10.766,10.842,10.766,10.842,465
135,2005-06-23,10.842,10.881,10.842,10.881,24709
136,2005-06-24,10.842,10.881,10.842,10.881,160
137,2005-06-27,10.804,10.881,10.804,10.881,3422
138,2005-06-28,10.919,10.958,10.919,10.958,4503
139,2005-06-29,10.958,10.995,10.958,10.958,22573
140,2005-06-30,10.995,10.995,10.995,10.995,8676
141,2005-07-01,11.072,11.15,11.072,11.15,1561
142,2005-07-04,11.266,11.764,11.227,11.38,7668
143,2005-07-05,11.419,11.573,11.419,11.535,4011
144,2005-07-06,11.535,11.611,11.535,11.611,4760
145,2005-07-07,11.188,11.535,11.188,11.535,28987
146,2005-07-08,11.535,11.535,11.535,11.535,65649
147,2005-07-11,11.535,11.535,11.535,11.535,157
148,2005-07-12,11.611,11.689,11.611,11.689,2139
149,2005-07-13,11.611,11.611,11.611,11.611,121
150,2005-07-15,11.611,11.611,11.227,11.419,7335
151,2005-07-18,11.611,11.611,11.535,11.535,1824
152,2005-07-20,11.689,11.689,11.611,11.611,2557
153,2005-07-21,11.764,11.764,11.689,11.689,729
154,2005-07-22,11.726,12.534,11.726,12.073,10861
155,2005-07-25,12.303,12.534,12.303,12.495,6009
156,2005-07-26,12.534,13.302,12.534,13.302,112782
157,2005-07-27,13.302,13.457,12.919,13.38,83931
158,2005-07-28,13.109,13.109,13.072,13.072,975
